A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Oklahoma City,
12:00.0,Jump ball: D. Dedmon vs. J. Robinson-Earl (P. Tucker gains possession),
11:39.0,K. Lowry misses 2-pt jump shot from 18 ft, ,0-0, , ,
11:37.0, , ,0-0, ,Defensive rebound by J. Giddey,
11:27.0, , ,0-0, ,J. Robinson-Earl misses 2-pt jump shot from 11 ft,
11:23.0,Defensive rebound by P. Tucker, ,0-0, , ,
11:12.0,P. Tucker misses 2-pt hook shot from 9 ft, ,0-0, , ,
11:10.0, , ,0-0, ,Defensive rebound by J. Robinson-Earl,
10:55.0, , ,0-0, ,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,
10:53.0,Defensive rebound by T. Herro, ,0-0, , ,
10:34.0,D. Robinson misses 3-pt jump shot from 23 ft, ,0-0, , ,
10:31.0, , ,0-0, ,Defensive rebound by J. Giddey,
10:29.0, , ,0-2,+2,L. Dort makes 2-pt dunk from 1 ft,
10:13.0,T. Herro makes 3-pt jump shot from 26 ft,+3,3-2, , ,Lead change
9:59.0, , ,3-2, ,L. Dort misses 3-pt jump shot from 26 ft,
9:54.0,Defensive rebound by P. Tucker, ,3-2, , ,
9:36.0,D. Dedmon misses 2-pt layup from 3 ft, ,3-2, , ,
9:33.0, , ,3-2, ,Defensive rebound by J. Giddey,
9:25.0, , ,3-5,+3,L. Dort makes 3-pt jump shot from 23 ft (assist by J. Robinson-Earl),Lead change
9:12.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Lowry),+3,6-5, , ,Lead change
9:05.0, , ,6-5, ,D. Bazley misses 2-pt layup from 5 ft (block by D. Dedmon),
9:03.0, , ,6-5, ,Offensive rebound by D. Bazley,
9:03.0, , ,6-5, ,D. Bazley misses 2-pt layup from 2 ft,
9:02.0, , ,6-5, ,Offensive rebound by Team,
8:57.0, , ,6-5, ,S. Gilgeous-Alexander misses 2-pt jump shot from 5 ft,
8:54.0,Defensive rebound by D. Dedmon, ,6-5, , ,
8:48.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by K. Lowry),+3,9-5, , ,
8:37.0, , ,9-5, ,Turnover by S. Gilgeous-Alexander (lost ball; steal by D. Dedmon),
8:29.0,P. Tucker misses 3-pt jump shot from 23 ft, ,9-5, , ,
8:26.0, , ,9-5, ,Defensive rebound by L. Dort,
8:15.0, , ,9-5, ,J. Robinson-Earl misses 3-pt jump shot from 23 ft,
8:11.0,Defensive rebound by P. Tucker, ,9-5, , ,
7:56.0,T. Herro misses 2-pt jump shot from 7 ft, ,9-5, , ,
7:54.0, , ,9-5, ,Defensive rebound by D. Bazley,
7:45.0, , ,9-5, ,L. Dort misses 3-pt jump shot from 25 ft,
7:43.0,Defensive rebound by D. Dedmon, ,9-5, , ,
7:23.0,T. Herro misses 2-pt layup from 6 ft, ,9-5, , ,
7:21.0, , ,9-5, ,Defensive rebound by J. Giddey,
7:15.0, , ,9-5, ,J. Giddey misses 2-pt layup from 5 ft,
7:13.0,Defensive rebound by T. Herro, ,9-5, , ,
7:05.0,D. Robinson misses 3-pt jump shot from 23 ft (block by D. Bazley), ,9-5, , ,
7:00.0, , ,9-5, ,Defensive rebound by J. Giddey,
6:56.0, , ,9-8,+3,L. Dort makes 3-pt jump shot from 25 ft (assist by J. Giddey),
6:48.0,T. Herro makes 3-pt jump shot from 25 ft (assist by K. Lowry),+3,12-8, , ,
6:45.0, , ,12-8, ,Oklahoma City full timeout,
6:45.0,O. Yurtseven enters the game for D. Dedmon, ,12-8, , ,
6:23.0, , ,12-8, ,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,
6:19.0,Defensive rebound by K. Lowry, ,12-8, , ,
6:10.0,K. Lowry makes 2-pt jump shot from 4 ft,+2,14-8, , ,
5:49.0, , ,14-8, ,D. Bazley misses 2-pt layup from 2 ft (block by O. Yurtseven),
5:46.0,Defensive rebound by T. Herro, ,14-8, , ,
5:43.0,Turnover by T. Herro (bad pass), ,14-8, , ,
5:30.0, , ,14-10,+2,J. Giddey makes 2-pt jump shot from 6 ft,
5:15.0,Turnover by K. Lowry (bad pass), ,14-10, , ,
5:15.0,M. Strus enters the game for T. Herro, ,14-10, , ,
5:15.0, , ,14-10, ,A. Wiggins enters the game for D. Bazley,
5:04.0, , ,14-13,+3,J. Robinson-Earl makes 3-pt jump shot from 25 ft (assist by J. Giddey),
4:52.0,O. Yurtseven misses 2-pt jump shot from 16 ft, ,14-13, , ,
4:49.0, , ,14-13, ,Defensive rebound by J. Giddey,
4:44.0, , ,14-15,+2,L. Dort makes 2-pt layup from 2 ft (assist by J. Robinson-Earl),Lead change
4:39.0,D. Robinson misses 3-pt jump shot from 26 ft, ,14-15, , ,
4:36.0, , ,14-15, ,Defensive rebound by A. Wiggins,
4:30.0, , ,14-17,+2,S. Gilgeous-Alexander makes 2-pt layup from 5 ft,
4:12.0,Offensive foul by K. Lowry (drawn by J. Robinson-Earl), ,14-17, , ,
4:12.0,Turnover by K. Lowry (offensive foul), ,14-17, , ,
3:48.0, , ,14-17, ,Shooting foul by D. Robinson (drawn by S. Gilgeous-Alexander),
3:48.0, , ,14-17, ,S. Gilgeous-Alexander misses free throw 1 of 2,
3:48.0, , ,14-17, ,Offensive rebound by Team,
3:48.0, , ,14-17, ,A. Pokusevski enters the game for J. Giddey,
3:48.0, , ,14-18,+1,S. Gilgeous-Alexander makes free throw 2 of 2,
3:40.0,M. Strus misses 3-pt jump shot from 26 ft, ,14-18, , ,
3:36.0, , ,14-18, ,Defensive rebound by J. Robinson-Earl,
3:30.0, , ,14-21,+3,A. Wiggins makes 3-pt jump shot from 24 ft (assist by L. Dort),
3:29.0,Miami full timeout, ,14-21, , ,
3:29.0,C. Martin enters the game for P. Tucker, ,14-21, , ,
3:12.0,Offensive foul by O. Yurtseven (drawn by J. Robinson-Earl), ,14-21, , ,
3:12.0,Turnover by O. Yurtseven (offensive foul), ,14-21, , ,
3:12.0,D. Dedmon enters the game for O. Yurtseven, ,14-21, , ,
2:54.0, , ,14-21, ,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,
2:50.0,Defensive rebound by C. Martin, ,14-21, , ,
2:41.0,Offensive foul by C. Martin (drawn by L. Dort), ,14-21, , ,
2:41.0,Turnover by C. Martin (offensive foul), ,14-21, , ,
2:41.0,T. Herro enters the game for K. Lowry, ,14-21, , ,
2:41.0,G. Vincent enters the game for D. Robinson, ,14-21, , ,
2:41.0, , ,14-21, ,T. Jerome enters the game for S. Gilgeous-Alexander,
2:41.0, , ,14-21, ,I. Roby enters the game for J. Robinson-Earl,
2:31.0, , ,14-21, ,L. Dort misses 2-pt layup from 3 ft (block by D. Dedmon),
2:28.0, , ,14-21, ,Offensive rebound by L. Dort,
2:27.0, , ,14-21, ,T. Jerome misses 3-pt jump shot from 25 ft,
2:23.0,Defensive rebound by D. Dedmon, ,14-21, , ,
2:14.0,Turnover by T. Herro (step out of bounds), ,14-21, , ,
2:10.0, , ,14-21, ,Turnover by A. Wiggins (out of bounds lost ball),
1:55.0,Shooting foul by A. Wiggins (drawn by C. Martin), ,14-21, , ,
1:55.0,C. Martin misses free throw 1 of 2, ,14-21, , ,
1:55.0,Offensive rebound by Team, ,14-21, , ,
1:55.0, , ,14-21, ,K. Williams enters the game for L. Dort,
1:55.0,C. Martin makes free throw 2 of 2,+1,15-21, , ,
1:32.0, , ,15-21, ,I. Roby misses 2-pt jump shot from 8 ft,
1:26.0,Defensive rebound by D. Dedmon, ,15-21, , ,
1:17.0,T. Herro makes 3-pt jump shot from 26 ft,+3,18-21, , ,
0:59.0, , ,18-24,+3,A. Wiggins makes 3-pt jump shot from 23 ft (assist by A. Pokusevski),
0:45.0,Shooting foul by A. Pokusevski (drawn by C. Martin), ,18-24, , ,
0:45.0,C. Martin makes free throw 1 of 2,+1,19-24, , ,
0:45.0, , ,19-24, ,M. Muscala enters the game for I. Roby,
0:45.0,C. Martin makes free throw 2 of 2,+1,20-24, , ,
0:40.0, , ,20-24, ,Turnover by A. Pokusevski (bad pass; steal by C. Martin),
0:35.0,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),+3,23-24, , ,
0:25.0, , ,23-24, ,M. Muscala misses 3-pt jump shot from 23 ft,
0:22.0, , ,23-24, ,Offensive rebound by A. Pokusevski,
0:14.0, , ,23-24, ,T. Jerome misses 3-pt jump shot from 26 ft,
0:10.0,Defensive rebound by C. Martin, ,23-24, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Oklahoma City,
12:00.0,Start of 2nd quarter,
11:44.0, , ,23-24, ,T. Mann misses 2-pt jump shot from 8 ft,
11:42.0,Defensive rebound by M. Strus, ,23-24, , ,
11:31.0,Turnover by T. Herro (bad pass; steal by K. Williams), ,23-24, , ,
11:27.0, , ,23-24, ,Turnover by A. Wiggins (bad pass),
11:08.0,G. Vincent misses 3-pt jump shot from 24 ft, ,23-24, , ,
11:06.0, , ,23-24, ,Defensive rebound by K. Williams,
10:59.0, , ,23-24, ,A. Wiggins misses 3-pt jump shot from 26 ft,
10:56.0, , ,23-24, ,Offensive rebound by M. Muscala,
10:55.0, , ,23-24, ,Shooting foul by C. Martin (drawn by K. Williams),
10:55.0, , ,23-24, ,K. Williams misses free throw 1 of 2,
10:55.0, , ,23-24, ,Offensive rebound by Team,
10:55.0, , ,23-25,+1,K. Williams makes free throw 2 of 2,
10:44.0,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),+3,26-25, , ,Lead change
10:30.0, , ,26-25, ,M. Muscala misses 3-pt jump shot from 27 ft,
10:25.0,Defensive rebound by G. Vincent, ,26-25, , ,
10:16.0,D. Dedmon misses 2-pt hook shot from 4 ft, ,26-25, , ,
10:15.0, , ,26-25, ,Defensive rebound by T. Mann,
10:03.0, , ,26-25, ,T. Jerome misses 3-pt jump shot from 30 ft,
9:58.0, , ,26-25, ,Offensive rebound by T. Mann,
9:47.0, , ,26-27,+2,M. Muscala makes 2-pt layup from 2 ft (assist by K. Williams),Lead change
9:31.0,Shooting foul by T. Mann (drawn by D. Dedmon), ,26-27, , ,
9:31.0,D. Dedmon misses free throw 1 of 2, ,26-27, , ,
9:31.0,Offensive rebound by Team, ,26-27, , ,
9:31.0,D. Dedmon makes free throw 2 of 2,+1,27-27, , ,Tie
9:15.0, , ,27-27, ,T. Mann misses 3-pt jump shot from 25 ft,
9:13.0,Defensive rebound by Team, ,27-27, , ,
9:13.0,K. Okpala enters the game for D. Dedmon, ,27-27, , ,
9:04.0,Turnover by T. Herro (out of bounds lost ball), ,27-27, , ,
8:39.0, , ,27-27, ,T. Mann misses 2-pt layup from 2 ft,
8:37.0,Defensive rebound by K. Okpala, ,27-27, , ,
8:23.0,M. Strus misses 2-pt layup from 7 ft (block by T. Jerome), ,27-27, , ,
8:23.0,Offensive rebound by Team, ,27-27, , ,
8:23.0, , ,27-27, ,J. Giddey enters the game for A. Wiggins,
8:20.0,Personal foul by M. Muscala (drawn by T. Herro), ,27-27, , ,
8:10.0,C. Martin misses 3-pt jump shot from 24 ft, ,27-27, , ,
8:07.0, , ,27-27, ,Defensive rebound by M. Muscala,
8:04.0, , ,27-27, ,Offensive foul by K. Williams (drawn by M. Strus),
8:04.0, , ,27-27, ,Turnover by K. Williams (offensive foul),
7:48.0,T. Herro misses 2-pt jump shot from 10 ft, ,27-27, , ,
7:46.0, , ,27-27, ,Defensive rebound by M. Muscala,
7:40.0, , ,27-27, ,Oklahoma City full timeout,
7:40.0,K. Lowry enters the game for T. Herro, ,27-27, , ,
7:34.0, , ,27-27, ,M. Muscala misses 3-pt jump shot from 23 ft,
7:30.0,Defensive rebound by K. Okpala, ,27-27, , ,
7:09.0,M. Strus misses 2-pt jump shot from 8 ft, ,27-27, , ,
7:06.0,Offensive rebound by M. Strus, ,27-27, , ,
7:03.0,C. Martin misses 3-pt jump shot from 26 ft, ,27-27, , ,
7:00.0, , ,27-27, ,Defensive rebound by M. Muscala,
6:56.0, , ,27-30,+3,T. Jerome makes 3-pt jump shot from 25 ft (assist by J. Giddey),
6:41.0,Personal foul by T. Mann (drawn by G. Vincent), ,27-30, , ,
6:41.0,D. Robinson enters the game for C. Martin, ,27-30, , ,
6:41.0,P. Tucker enters the game for M. Strus, ,27-30, , ,
6:36.0,K. Okpala misses 3-pt jump shot from 23 ft, ,27-30, , ,
