A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Milwaukee,
12:00.0,Jump ball: D. Dedmon vs. B. Portis (P. Connaughton gains possession),
11:43.0, , ,0-0, ,P. Connaughton misses 3-pt jump shot from 25 ft,
11:39.0,Defensive rebound by T. Herro, ,0-0, , ,
11:29.0,Personal foul by S. Mamukelashvili (drawn by K. Lowry), ,0-0, , ,
11:16.0,K. Lowry misses 2-pt jump shot from 17 ft, ,0-0, , ,
11:13.0, , ,0-0, ,Defensive rebound by B. Portis,
11:04.0, , ,0-0, ,B. Portis misses 3-pt jump shot from 26 ft,
11:04.0, , ,0-0, ,Offensive rebound by Team,
11:04.0,Loose ball foul by P. Tucker (drawn by S. Mamukelashvili), ,0-0, , ,
10:55.0, , ,0-0, ,B. Portis misses 2-pt jump shot from 8 ft,
10:54.0, , ,0-0, ,Offensive rebound by B. Portis,
10:54.0, , ,0-0, ,Turnover by B. Portis (step out of bounds),
10:48.0,D. Robinson misses 3-pt jump shot from 23 ft, ,0-0, , ,
10:44.0,Offensive rebound by D. Dedmon, ,0-0, , ,
10:37.0,D. Robinson misses 3-pt jump shot from 23 ft, ,0-0, , ,
10:35.0, , ,0-0, ,Defensive rebound by B. Portis,
10:26.0, , ,0-0, ,S. Mamukelashvili misses 3-pt jump shot from 25 ft,
10:23.0,Defensive rebound by T. Herro, ,0-0, , ,
10:10.0,K. Lowry misses 3-pt jump shot from 27 ft, ,0-0, , ,
10:05.0, , ,0-0, ,Defensive rebound by K. Middleton,
9:57.0, , ,0-2,+2,J. Holiday makes 2-pt layup from 2 ft (assist by K. Middleton),
9:47.0,T. Herro misses 3-pt jump shot from 26 ft, ,0-2, , ,
9:43.0, , ,0-2, ,Defensive rebound by B. Portis,
9:36.0, , ,0-4,+2,K. Middleton makes 2-pt jump shot from 13 ft,
9:36.0, , ,0-4, ,Shooting foul by T. Herro (drawn by K. Middleton),
9:36.0, , ,0-5,+1,K. Middleton makes free throw 1 of 1,
9:20.0,Turnover by D. Dedmon (3 sec), ,0-5, , ,
9:09.0, , ,0-5, ,K. Middleton misses 2-pt jump shot from 14 ft,
9:06.0,Defensive rebound by D. Dedmon, ,0-5, , ,
8:48.0,T. Herro misses 2-pt jump shot from 16 ft, ,0-5, , ,
8:45.0, , ,0-5, ,Defensive rebound by P. Connaughton,
8:22.0, , ,0-5, ,J. Holiday misses 3-pt jump shot from 24 ft,
8:19.0,Defensive rebound by D. Dedmon, ,0-5, , ,
8:13.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by K. Lowry),+3,3-5, , ,
8:00.0, , ,3-7,+2,S. Mamukelashvili makes 2-pt dunk from 1 ft (assist by B. Portis),
7:43.0,K. Lowry misses 3-pt jump shot from 25 ft, ,3-7, , ,
7:38.0,Offensive rebound by P. Tucker, ,3-7, , ,
7:30.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Herro),+3,6-7, , ,
7:16.0, , ,6-10,+3,P. Connaughton makes 3-pt jump shot from 26 ft (assist by K. Middleton),
7:07.0,Personal foul by P. Connaughton (drawn by K. Lowry), ,6-10, , ,
7:07.0, , ,6-10, ,R. Hood enters the game for S. Mamukelashvili,
6:58.0,T. Herro misses 2-pt jump shot from 7 ft (block by R. Hood), ,6-10, , ,
6:54.0, , ,6-10, ,Defensive rebound by K. Middleton,
6:53.0, , ,6-10, ,P. Connaughton misses 2-pt dunk from 5 ft,
6:53.0,Defensive rebound by D. Dedmon, ,6-10, , ,
6:53.0,Personal take foul by K. Middleton (drawn by D. Dedmon), ,6-10, , ,
6:53.0, , ,6-10, ,Milwaukee full timeout,
6:33.0,T. Herro misses 3-pt jump shot from 23 ft, ,6-10, , ,
6:30.0,Offensive rebound by T. Herro, ,6-10, , ,
6:28.0,D. Robinson misses 3-pt jump shot from 25 ft, ,6-10, , ,
6:28.0,Offensive rebound by T. Herro, ,6-10, , ,
6:21.0,T. Herro makes 2-pt layup at rim,+2,8-10, , ,
6:15.0, , ,8-10, ,K. Middleton misses 3-pt jump shot from 26 ft,
6:13.0, , ,8-10, ,Offensive rebound by P. Connaughton,
6:07.0, , ,8-12,+2,K. Middleton makes 2-pt layup from 3 ft (assist by B. Portis),
5:53.0,P. Tucker makes 2-pt hook shot from 3 ft (assist by K. Lowry),+2,10-12, , ,
5:30.0, , ,10-14,+2,J. Holiday makes 2-pt hook shot from 6 ft,
5:10.0,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Herro),+2,12-14, , ,
4:58.0, , ,12-17,+3,J. Holiday makes 3-pt jump shot from 27 ft,
