A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Detroit,
12:00.0,Jump ball: D. Dedmon vs. I. Stewart (K. Hayes gains possession),
11:39.0, , ,0-2,+2,H. Diallo makes 2-pt jump shot from 14 ft,
11:18.0,D. Dedmon misses 2-pt hook shot from 4 ft, ,0-2, , ,
11:16.0, , ,0-2, ,Defensive rebound by K. Hayes,
11:08.0, , ,0-2, ,K. Hayes misses 2-pt jump shot from 11 ft,
11:05.0,Defensive rebound by G. Vincent, ,0-2, , ,
10:58.0,K. Lowry misses 3-pt jump shot from 26 ft, ,0-2, , ,
10:55.0, , ,0-2, ,Defensive rebound by H. Diallo,
10:50.0, , ,0-2, ,Personal foul by K. Lowry (drawn by H. Diallo),
10:39.0, , ,0-2, ,Personal foul by D. Dedmon (drawn by K. Hayes),
10:32.0, , ,0-2, ,C. Cunningham misses 3-pt jump shot from 28 ft,
10:32.0,Defensive rebound by Team, ,0-2, , ,
10:20.0,D. Robinson misses 2-pt jump shot from 16 ft, ,0-2, , ,
10:18.0, , ,0-2, ,Defensive rebound by C. Cunningham,
10:11.0, , ,0-2, ,Shooting foul by G. Vincent (drawn by S. Bey),
10:11.0, , ,0-3,+1,S. Bey makes free throw 1 of 3,
10:11.0, , ,0-4,+1,S. Bey makes free throw 2 of 3,
10:11.0, , ,0-5,+1,S. Bey makes free throw 3 of 3,
9:58.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),+3,3-5, , ,
9:42.0, , ,3-5, ,K. Hayes misses 3-pt jump shot from 27 ft,
9:38.0,Defensive rebound by D. Robinson, ,3-5, , ,
9:33.0,Personal foul by K. Hayes (drawn by P. Tucker), ,3-5, , ,
9:22.0,G. Vincent misses 3-pt jump shot from 23 ft, ,3-5, , ,
9:19.0, , ,3-5, ,Defensive rebound by H. Diallo,
9:15.0, , ,3-5, ,Turnover by C. Cunningham (bad pass; steal by G. Vincent),
9:13.0,G. Vincent makes 2-pt jump shot from 2 ft,+2,5-5, , ,Tie
9:13.0,Shooting foul by K. Hayes (drawn by G. Vincent), ,5-5, , ,
9:13.0, , ,5-5, ,S. Lee enters the game for K. Hayes,
9:13.0,G. Vincent misses free throw 1 of 1, ,5-5, , ,
9:11.0, , ,5-5, ,Defensive rebound by I. Stewart,
8:52.0, , ,5-7,+2,H. Diallo makes 2-pt layup from 6 ft (assist by C. Cunningham),
8:36.0,Turnover by D. Dedmon (bad pass; steal by C. Cunningham), ,5-7, , ,
8:32.0, , ,5-9,+2,S. Bey makes 2-pt dunk from 2 ft (assist by C. Cunningham),
8:14.0,G. Vincent makes 3-pt jump shot from 28 ft,+3,8-9, , ,
8:01.0, , ,8-11,+2,C. Cunningham makes 2-pt hook shot from 6 ft,
7:47.0,P. Tucker misses 3-pt jump shot from 24 ft, ,8-11, , ,
7:45.0, , ,8-11, ,Defensive rebound by S. Bey,
7:36.0, , ,8-14,+3,I. Stewart makes 3-pt jump shot from 26 ft (assist by S. Bey),
7:14.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by D. Dedmon),+3,11-14, , ,
7:02.0, , ,11-16,+2,H. Diallo makes 2-pt layup from 4 ft,
6:51.0,K. Lowry misses 3-pt jump shot from 30 ft, ,11-16, , ,
6:47.0, , ,11-16, ,Defensive rebound by I. Stewart,
