A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Sacramento,
12:00.0,Jump ball: O. Yurtseven vs. D. Jones (K. Lowry gains possession),
11:44.0,T. Herro misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:37.0, , ,0-0, ,Defensive rebound by T. Haliburton,
11:31.0, , ,0-0, ,Turnover by D. Jones (lost ball; steal by C. Martin),
11:29.0,Turnover by O. Yurtseven (bad pass), ,0-0, , ,
11:14.0, , ,0-0, ,D. Fox misses 3-pt jump shot from 24 ft,
11:11.0,Defensive rebound by O. Yurtseven, ,0-0, , ,
11:00.0,T. Herro misses 2-pt jump shot from 11 ft, ,0-0, , ,
10:56.0, , ,0-0, ,Defensive rebound by M. Bagley,
10:50.0, , ,0-0, ,Shooting foul by O. Yurtseven (drawn by D. Jones),
10:50.0, , ,0-1,+1,D. Jones makes free throw 1 of 2,
10:50.0, , ,0-1, ,D. Jones misses free throw 2 of 2,
10:47.0, , ,0-1, ,Offensive rebound by M. Bagley,
10:46.0, , ,0-1, ,M. Bagley misses 2-pt hook shot from 6 ft,
10:44.0,Defensive rebound by T. Herro, ,0-1, , ,
10:27.0,O. Yurtseven makes 2-pt dunk from 1 ft (assist by K. Lowry),+2,2-1, , ,Lead change
10:13.0, , ,2-1, ,D. Jones misses 2-pt dunk from 6 ft,
10:11.0,Defensive rebound by J. Butler, ,2-1, , ,
9:51.0,J. Butler misses 3-pt jump shot from 23 ft, ,2-1, , ,
9:47.0, , ,2-1, ,Defensive rebound by D. Fox,
9:44.0, , ,2-1, ,M. Bagley misses 2-pt layup from 2 ft (block by C. Martin),
9:44.0,Defensive rebound by J. Butler, ,2-1, , ,
9:33.0,C. Martin misses 3-pt jump shot from 24 ft, ,2-1, , ,
9:31.0,Offensive rebound by Team, ,2-1, , ,
9:22.0,T. Herro misses 2-pt jump shot from 17 ft, ,2-1, , ,
9:18.0, , ,2-1, ,Defensive rebound by M. Bagley,
9:05.0, , ,2-4,+3,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),Lead change
8:43.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by J. Butler),+3,5-4, , ,Lead change
8:31.0, , ,5-6,+2,D. Jones makes 2-pt layup from 1 ft (assist by T. Haliburton),Lead change
8:25.0,J. Butler misses 3-pt jump shot from 25 ft, ,5-6, , ,
8:23.0, , ,5-6, ,Defensive rebound by D. Fox,
8:16.0, , ,5-6, ,Offensive foul by T. Haliburton (drawn by C. Martin),
8:16.0, , ,5-6, ,Turnover by T. Haliburton (offensive foul),
7:57.0,T. Herro misses 2-pt layup from 3 ft, ,5-6, , ,
7:54.0,Offensive rebound by O. Yurtseven, ,5-6, , ,
7:49.0,C. Martin makes 2-pt jump shot from 23 ft (assist by K. Lowry),+2,7-6, , ,Lead change
7:40.0, , ,7-6, ,D. Fox misses 2-pt layup from 4 ft,
7:37.0,Defensive rebound by O. Yurtseven, ,7-6, , ,
7:27.0,J. Butler makes 2-pt layup from 2 ft,+2,9-6, , ,
7:14.0, , ,9-6, ,D. Jones misses 3-pt jump shot from 24 ft,
7:11.0,Defensive rebound by C. Martin, ,9-6, , ,
7:06.0,K. Lowry misses 3-pt jump shot from 25 ft, ,9-6, , ,
7:03.0, , ,9-6, ,Defensive rebound by D. Jones,
6:55.0, , ,9-6, ,Shooting foul by O. Yurtseven (drawn by D. Jones),
6:55.0, , ,9-6, ,Sacramento full timeout,
6:55.0,C. Silva enters the game for O. Yurtseven, ,9-6, , ,
6:55.0, , ,9-6, ,B. Hield enters the game for T. Haliburton,
6:55.0, , ,9-6, ,D. Jones misses free throw 1 of 2,
6:55.0, , ,9-6, ,Offensive rebound by Team,
6:55.0, , ,9-7,+1,D. Jones makes free throw 2 of 2,
6:40.0,C. Martin misses 2-pt layup from 4 ft, ,9-7, , ,
6:37.0, , ,9-7, ,Defensive rebound by D. Jones,
6:26.0, , ,9-7, ,D. Fox misses 2-pt jump shot from 22 ft,
6:22.0,Defensive rebound by C. Silva, ,9-7, , ,
6:17.0,Turnover by T. Herro (bad pass), ,9-7, , ,
6:17.0, , ,9-7, ,A. Len enters the game for D. Jones,
6:04.0, , ,9-9,+2,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Fox),Tie
5:56.0,C. Martin makes 2-pt dunk from 1 ft (assist by K. Lowry),+2,11-9, , ,
5:42.0, , ,11-12,+3,B. Hield makes 3-pt jump shot from 24 ft (assist by M. Bagley),Lead change
5:32.0,K. Lowry misses 3-pt jump shot from 26 ft, ,11-12, , ,
5:30.0, , ,11-12, ,Defensive rebound by D. Fox,
5:25.0, , ,11-15,+3,H. Barnes makes 3-pt jump shot from 24 ft (assist by B. Hield),
5:09.0,T. Herro misses 2-pt hook shot from 8 ft, ,11-15, , ,
5:06.0, , ,11-15, ,Defensive rebound by H. Barnes,
5:02.0, , ,11-15, ,Turnover by H. Barnes (bad pass),
5:02.0,K. Guy enters the game for K. Lowry, ,11-15, , ,
4:44.0,C. Martin misses 3-pt jump shot from 25 ft, ,11-15, , ,
4:39.0, , ,11-15, ,Defensive rebound by A. Len,
4:28.0, , ,11-17,+2,B. Hield makes 2-pt layup from 1 ft (assist by A. Len),
4:28.0,Miami full timeout, ,11-17, , ,
4:28.0,H. Highsmith enters the game for C. Martin, ,11-17, , ,
4:28.0, , ,11-17, ,C. Metu enters the game for M. Bagley,
4:28.0, , ,11-17, ,D. Mitchell enters the game for H. Barnes,
4:13.0,J. Butler misses 2-pt layup from 8 ft, ,11-17, , ,
4:09.0, , ,11-17, ,Defensive rebound by C. Metu,
3:47.0, , ,11-17, ,D. Fox misses 3-pt jump shot from 25 ft,
3:45.0,Defensive rebound by H. Highsmith, ,11-17, , ,
3:37.0,Turnover by C. Silva (out of bounds lost ball), ,11-17, , ,
3:12.0, , ,11-20,+3,D. Mitchell makes 3-pt jump shot from 25 ft (assist by C. Metu),
2:59.0,Turnover by J. Butler (out of bounds lost ball), ,11-20, , ,
2:46.0, , ,11-22,+2,A. Len makes 2-pt dunk at rim (assist by D. Fox),
2:35.0,K. Guy makes 2-pt layup from 5 ft (assist by C. Silva),+2,13-22, , ,
2:35.0,Shooting foul by A. Len (drawn by K. Guy), ,13-22, , ,
2:35.0, , ,13-22, ,T. Haliburton enters the game for D. Fox,
2:35.0,K. Guy makes free throw 1 of 1,+1,14-22, , ,
2:22.0, , ,14-24,+2,A. Len makes 2-pt layup from 3 ft (assist by C. Metu),
2:08.0,T. Herro misses 2-pt jump shot from 16 ft, ,14-24, , ,
2:05.0, , ,14-24, ,Defensive rebound by B. Hield,
2:02.0, , ,14-24, ,Offensive foul by A. Len (drawn by K. Guy),
2:02.0, , ,14-24, ,Turnover by A. Len (offensive foul),
2:02.0,N. Stauskas enters the game for T. Herro, ,14-24, , ,
2:02.0, , ,14-24, ,T. Thompson enters the game for A. Len,
1:45.0,J. Butler makes 2-pt jump shot from 4 ft,+2,16-24, , ,
1:31.0, , ,16-26,+2,D. Mitchell makes 2-pt layup from 2 ft,
1:13.0,C. Silva makes 2-pt dunk from 2 ft (assist by J. Butler),+2,18-26, , ,
1:02.0, , ,18-26, ,Offensive foul by T. Thompson (drawn by C. Silva),
1:02.0, , ,18-26, ,Turnover by T. Thompson (offensive foul),
1:02.0,K. Lowry enters the game for J. Butler, ,18-26, , ,
0:48.0,C. Silva misses 2-pt jump shot from 8 ft, ,18-26, , ,
0:45.0, , ,18-26, ,Defensive rebound by B. Hield,
0:38.0, , ,18-26, ,Offensive foul by B. Hield (drawn by K. Lowry),
0:38.0, , ,18-26, ,Turnover by B. Hield (offensive foul),
0:28.0,K. Lowry misses 2-pt jump shot from 9 ft, ,18-26, , ,
0:27.0,Offensive rebound by Team, ,18-26, , ,
0:21.0,K. Guy misses 3-pt jump shot from 25 ft, ,18-26, , ,
0:18.0, , ,18-26, ,Defensive rebound by C. Metu,
0:03.0, , ,18-26, ,T. Thompson misses 2-pt jump shot from 6 ft,
0:03.0,Defensive rebound by K. Lowry, ,18-26, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Sacramento,
12:00.0,Start of 2nd quarter,
11:38.0, , ,18-26, ,C. Metu misses 3-pt jump shot from 24 ft,
11:33.0,Defensive rebound by O. Yurtseven, ,18-26, , ,
11:26.0,O. Yurtseven misses 2-pt layup from 5 ft, ,18-26, , ,
11:24.0,Offensive rebound by O. Yurtseven, ,18-26, , ,
11:21.0,O. Yurtseven makes 2-pt hook shot from 7 ft,+2,20-26, , ,
11:05.0, , ,20-28,+2,D. Jones makes 2-pt dunk from 1 ft (assist by T. Haliburton),
10:40.0,O. Yurtseven misses 2-pt jump shot from 14 ft, ,20-28, , ,
10:37.0, , ,20-28, ,Defensive rebound by C. Metu,
10:31.0, , ,20-31,+3,B. Hield makes 3-pt jump shot from 26 ft (assist by T. Haliburton),
10:15.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by K. Guy),+3,23-31, , ,
10:02.0, , ,23-31, ,Turnover by D. Jones (out of bounds lost ball),
9:51.0,K. Guy makes 2-pt jump shot from 16 ft,+2,25-31, , ,
9:40.0, , ,25-33,+2,D. Mitchell makes 2-pt jump shot from 18 ft,
9:25.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by K. Guy),+3,28-33, , ,
9:15.0, , ,28-33, ,T. Haliburton misses 2-pt jump shot from 15 ft (block by K. Guy),
9:12.0,Defensive rebound by K. Guy, ,28-33, , ,
9:10.0,N. Stauskas misses 2-pt layup from 2 ft, ,28-33, , ,
9:08.0,Offensive rebound by H. Highsmith, ,28-33, , ,
9:02.0,N. Stauskas misses 2-pt jump shot from 9 ft, ,28-33, , ,
8:58.0,Offensive rebound by O. Yurtseven, ,28-33, , ,
8:57.0,O. Yurtseven misses 2-pt layup from 2 ft, ,28-33, , ,
8:55.0, , ,28-33, ,Defensive rebound by D. Jones,
8:49.0, , ,28-33, ,C. Metu misses 3-pt jump shot from 25 ft,
8:45.0,Defensive rebound by O. Yurtseven, ,28-33, , ,
8:32.0,O. Yurtseven makes 2-pt jump shot from 8 ft (assist by K. Lowry),+2,30-33, , ,
8:19.0, , ,30-33, ,T. Haliburton misses 2-pt jump shot from 10 ft,
8:17.0, , ,30-33, ,Offensive rebound by T. Haliburton,
8:14.0, , ,30-36,+3,B. Hield makes 3-pt jump shot from 25 ft (assist by T. Haliburton),
7:56.0,O. Yurtseven makes 2-pt layup from 2 ft (assist by K. Guy),+2,32-36, , ,
7:41.0, , ,32-38,+2,D. Jones makes 2-pt layup from 3 ft (assist by B. Hield),
7:28.0,K. Guy misses 2-pt jump shot from 10 ft, ,32-38, , ,
7:25.0, , ,32-38, ,Defensive rebound by D. Jones,
7:20.0, , ,32-38, ,D. Mitchell misses 3-pt jump shot from 23 ft,
7:18.0,Defensive rebound by O. Yurtseven, ,32-38, , ,
7:12.0,K. Lowry makes 2-pt layup from 3 ft,+2,34-38, , ,
7:02.0, , ,34-40,+2,T. Haliburton makes 2-pt jump shot from 10 ft,
7:02.0,Miami full timeout, ,34-40, , ,
7:02.0, , ,34-40, ,H. Barnes enters the game for D. Jones,
7:02.0, , ,34-40, ,D. Fox enters the game for C. Metu,
7:02.0, , ,34-40, ,A. Len enters the game for D. Mitchell,
6:52.0,K. Guy makes 2-pt layup from 1 ft,+2,36-40, , ,
6:36.0, , ,36-40, ,B. Hield misses 3-pt jump shot from 26 ft,
6:32.0,Defensive rebound by K. Lowry, ,36-40, , ,
6:23.0,K. Lowry makes 2-pt jump shot from 16 ft,+2,38-40, , ,
6:02.0, , ,38-40, ,H. Barnes misses 2-pt jump shot from 8 ft,
5:59.0,Defensive rebound by H. Highsmith, ,38-40, , ,
5:51.0,O. Yurtseven makes 2-pt hook shot from 4 ft (assist by K. Lowry),+2,40-40, , ,Tie
5:44.0, , ,40-40, ,Offensive foul by D. Fox (drawn by N. Stauskas),
5:44.0, , ,40-40, ,Turnover by D. Fox (offensive foul),
5:44.0,J. Butler enters the game for H. Highsmith, ,40-40, , ,
5:44.0,T. Herro enters the game for K. Lowry, ,40-40, , ,
5:44.0,C. Martin enters the game for N. Stauskas, ,40-40, , ,
5:44.0,C. Silva enters the game for O. Yurtseven, ,40-40, , ,
5:32.0,T. Herro misses 2-pt layup from 5 ft, ,40-40, , ,
5:29.0,Offensive rebound by C. Silva, ,40-40, , ,
5:27.0,K. Guy misses 2-pt jump shot from 14 ft, ,40-40, , ,
5:23.0, , ,40-40, ,Defensive rebound by A. Len,
5:19.0, , ,40-40, ,B. Hield misses 3-pt jump shot from 24 ft,
5:15.0,Defensive rebound by T. Herro, ,40-40, , ,
5:05.0,J. Butler misses 2-pt layup from 3 ft, ,40-40, , ,
5:04.0, , ,40-40, ,Defensive rebound by Team,
5:04.0,Technical foul by E. Spoelstra, ,40-40, , ,
5:04.0, , ,40-41,+1,B. Hield makes technical free throw,
5:04.0, , ,40-41, ,M. Bagley enters the game for B. Hield,
4:51.0, , ,40-41, ,Def 3 sec tech foul by Team,
4:51.0, , ,40-42,+1,T. Haliburton makes technical free throw,
