A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Phoenix,
12:00.0,Jump ball: O. Yurtseven vs. D. Ayton (C. Paul gains possession),
11:45.0, , ,0-0, ,Turnover by C. Paul (bad pass),
11:33.0,K. Lowry misses 3-pt jump shot from 27 ft, ,0-0, , ,
11:29.0, , ,0-0, ,Defensive rebound by C. Paul,
11:19.0, , ,0-0, ,Turnover by D. Booker (bad pass),
10:55.0,Turnover by P. Tucker (bad pass; steal by D. Booker), ,0-0, , ,
10:50.0, , ,0-3,+3,D. Booker makes 3-pt jump shot from 25 ft,
10:29.0,M. Strus makes 3-pt jump shot from 24 ft (assist by O. Yurtseven),+3,3-3, , ,Tie
10:16.0, , ,3-3, ,J. Crowder misses 3-pt jump shot from 25 ft,
10:14.0,Defensive rebound by C. Martin, ,3-3, , ,
10:06.0,C. Martin makes 3-pt jump shot from 24 ft (assist by K. Lowry),+3,6-3, , ,Lead change
9:50.0, , ,6-6,+3,C. Paul makes 3-pt jump shot from 23 ft (assist by M. Bridges),Tie
9:30.0,M. Strus misses 3-pt jump shot from 26 ft, ,6-6, , ,
9:28.0, , ,6-6, ,Defensive rebound by D. Ayton,
9:25.0, , ,6-9,+3,M. Bridges makes 3-pt jump shot from 26 ft (assist by C. Paul),Lead change
9:14.0,Turnover by K. Lowry (bad pass; steal by J. Crowder), ,6-9, , ,
9:07.0, , ,6-12,+3,M. Bridges makes 3-pt jump shot from 24 ft (assist by J. Crowder),
8:46.0,P. Tucker misses 3-pt jump shot from 23 ft, ,6-12, , ,
8:44.0, , ,6-12, ,Defensive rebound by Team,
8:28.0, , ,6-12, ,J. Crowder misses 2-pt jump shot from 14 ft,
8:26.0,Defensive rebound by O. Yurtseven, ,6-12, , ,
8:22.0,C. Martin misses 3-pt jump shot from 23 ft, ,6-12, , ,
8:19.0,Offensive rebound by K. Lowry, ,6-12, , ,
8:18.0,K. Lowry makes 2-pt layup from 1 ft,+2,8-12, , ,
8:06.0, , ,8-12, ,C. Paul misses 2-pt jump shot from 13 ft,
8:05.0,Defensive rebound by P. Tucker, ,8-12, , ,
8:05.0,Personal foul by C. Paul (drawn by P. Tucker), ,8-12, , ,
7:53.0, , ,8-12, ,Violation by Team (kicked ball),
7:47.0,M. Strus makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),+3,11-12, , ,
7:30.0, , ,11-14,+2,J. Crowder makes 2-pt jump shot from 6 ft (assist by C. Paul),
7:16.0,M. Strus misses 3-pt jump shot from 25 ft, ,11-14, , ,
7:15.0, , ,11-14, ,Defensive rebound by J. Crowder,
7:06.0, , ,11-14, ,Shooting foul by O. Yurtseven (drawn by D. Booker),
7:06.0, , ,11-15,+1,D. Booker makes free throw 1 of 2,
7:06.0, , ,11-16,+1,D. Booker makes free throw 2 of 2,
6:53.0,P. Tucker makes 2-pt layup from 3 ft (assist by K. Lowry),+2,13-16, , ,
6:43.0, , ,13-16, ,M. Bridges misses 3-pt jump shot from 23 ft,
6:40.0,Defensive rebound by O. Yurtseven, ,13-16, , ,
6:30.0,Personal foul by D. Booker (drawn by K. Lowry), ,13-16, , ,
6:30.0, , ,13-16, ,Phoenix full timeout,
6:21.0,K. Lowry makes 3-pt jump shot from 25 ft,+3,16-16, , ,Tie
5:57.0, , ,16-16, ,J. Crowder misses 3-pt jump shot from 25 ft,
5:55.0,Defensive rebound by O. Yurtseven, ,16-16, , ,
5:55.0,T. Herro enters the game for C. Martin, ,16-16, , ,
5:55.0, , ,16-16, ,C. Johnson enters the game for J. Crowder,
5:40.0,P. Tucker makes 2-pt layup from 2 ft (assist by O. Yurtseven),+2,18-16, , ,Lead change
5:30.0, , ,18-16, ,D. Booker misses 2-pt jump shot from 13 ft (block by T. Herro),
5:27.0,Defensive rebound by M. Strus, ,18-16, , ,
5:15.0,P. Tucker misses 2-pt jump shot from 10 ft, ,18-16, , ,
5:11.0, , ,18-16, ,Defensive rebound by D. Booker,
5:04.0, , ,18-16, ,D. Booker misses 2-pt jump shot from 11 ft,
5:03.0,Defensive rebound by M. Strus, ,18-16, , ,
4:55.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by K. Lowry),+3,21-16, , ,
4:36.0, , ,21-16, ,M. Bridges misses 3-pt jump shot from 26 ft,
4:34.0,Defensive rebound by T. Herro, ,21-16, , ,
4:28.0,K. Lowry misses 3-pt jump shot from 27 ft, ,21-16, , ,
4:28.0,Offensive rebound by O. Yurtseven, ,21-16, , ,
4:28.0,Instant Replay (Request: Ruling Stands), ,21-16, , ,
4:28.0,Turnover by M. Strus (step out of bounds), ,21-16, , ,
4:28.0,D. Robinson enters the game for M. Strus, ,21-16, , ,
4:28.0,C. Silva enters the game for O. Yurtseven, ,21-16, , ,
4:28.0, , ,21-16, ,J. McGee enters the game for D. Ayton,
4:28.0, , ,21-16, ,C. Payne enters the game for C. Paul,
4:14.0, , ,21-16, ,Offensive foul by J. McGee (drawn by D. Robinson),
4:14.0, , ,21-16, ,Turnover by J. McGee (offensive foul),
3:50.0,K. Lowry misses 2-pt jump shot from 3 ft, ,21-16, , ,
3:48.0, , ,21-16, ,Defensive rebound by J. McGee,
3:35.0, , ,21-19,+3,D. Booker makes 3-pt jump shot from 23 ft (assist by C. Payne),
3:22.0,P. Tucker misses 3-pt jump shot from 23 ft, ,21-19, , ,
3:19.0,Offensive rebound by C. Silva, ,21-19, , ,
3:17.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Silva),+3,24-19, , ,
3:05.0, , ,24-19, ,Shooting foul by P. Tucker (drawn by D. Booker),
3:05.0, , ,24-20,+1,D. Booker makes free throw 1 of 2,
3:05.0,C. Martin enters the game for P. Tucker, ,24-20, , ,
3:05.0, , ,24-20, ,J. Smith enters the game for M. Bridges,
3:05.0, , ,24-21,+1,D. Booker makes free throw 2 of 2,
2:49.0,T. Herro misses 2-pt layup from 4 ft, ,24-21, , ,
2:47.0,Offensive rebound by C. Silva, ,24-21, , ,
2:47.0,Shooting foul by J. Smith (drawn by C. Silva), ,24-21, , ,
2:47.0,Miami full timeout, ,24-21, , ,
2:47.0,C. Silva misses free throw 1 of 2, ,24-21, , ,
2:47.0,Offensive rebound by Team, ,24-21, , ,
2:47.0,C. Silva makes free throw 2 of 2,+1,25-21, , ,
2:22.0, , ,25-21, ,J. McGee misses 2-pt jump shot from 9 ft,
2:19.0,Defensive rebound by D. Robinson, ,25-21, , ,
2:09.0,C. Silva makes 2-pt layup from 2 ft (assist by T. Herro),+2,27-21, , ,
1:51.0, , ,27-21, ,J. Smith misses 3-pt jump shot from 24 ft,
1:49.0,Defensive rebound by C. Silva, ,27-21, , ,
1:40.0,T. Herro misses 2-pt jump shot from 7 ft, ,27-21, , ,
1:38.0, , ,27-21, ,Defensive rebound by D. Booker,
1:26.0, , ,27-21, ,D. Booker misses 2-pt jump shot from 12 ft,
1:23.0,Defensive rebound by D. Robinson, ,27-21, , ,
1:13.0,T. Herro makes 3-pt jump shot from 26 ft,+3,30-21, , ,
0:53.0, , ,30-23,+2,C. Payne makes 2-pt jump shot from 9 ft,
0:43.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Martin),+3,33-23, , ,
0:31.0, , ,33-26,+3,C. Payne makes 3-pt jump shot from 27 ft (assist by D. Booker),
0:07.0,Turnover by Team (shot clock), ,33-26, , ,
0:07.0,K. Guy enters the game for K. Lowry, ,33-26, , ,
0:07.0, , ,33-26, ,Away from play foul by T. Herro (drawn by D. Booker),
0:07.0, , ,33-27,+1,D. Booker makes free throw 1 of 1,
0:07.0,H. Highsmith enters the game for K. Guy, ,33-27, , ,
0:00.0, , ,33-29,+2,D. Booker makes 2-pt jump shot from 19 ft,
0:00.0, , ,33-29, ,Instant Replay (Request: Ruling Stands),
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Phoenix,
12:00.0,Start of 2nd quarter,
11:36.0,D. Robinson misses 3-pt jump shot from 26 ft, ,33-29, , ,
11:33.0, , ,33-29, ,Defensive rebound by J. Crowder,
11:26.0, , ,33-29, ,J. Crowder misses 2-pt jump shot from 4 ft,
11:24.0, , ,33-29, ,Offensive rebound by D. Ayton,
11:20.0, , ,33-32,+3,C. Johnson makes 3-pt jump shot from 25 ft (assist by C. Payne),
11:06.0,K. Guy misses 3-pt jump shot from 25 ft, ,33-32, , ,
11:03.0, , ,33-32, ,Defensive rebound by D. Ayton,
10:55.0, , ,33-32, ,C. Payne misses 2-pt layup from 2 ft,
10:54.0, , ,33-32, ,Offensive rebound by C. Payne,
10:43.0, , ,33-32, ,C. Johnson misses 3-pt jump shot from 23 ft,
10:38.0,Defensive rebound by D. Robinson, ,33-32, , ,
10:34.0,T. Herro misses 3-pt jump shot from 26 ft, ,33-32, , ,
10:30.0, , ,33-32, ,Defensive rebound by C. Johnson,
10:23.0, , ,33-32, ,Turnover by C. Paul (lost ball; steal by C. Martin),
10:21.0,T. Herro misses 2-pt layup from 2 ft (block by D. Ayton), ,33-32, , ,
10:20.0,Offensive rebound by Team, ,33-32, , ,
10:20.0,O. Yurtseven enters the game for C. Silva, ,33-32, , ,
10:09.0,C. Martin makes 3-pt jump shot from 25 ft (assist by K. Guy),+3,36-32, , ,
9:49.0, , ,36-32, ,C. Johnson misses 3-pt jump shot from 25 ft,
9:48.0,Defensive rebound by Team, ,36-32, , ,
9:39.0,T. Herro misses 2-pt jump shot from 22 ft, ,36-32, , ,
9:37.0,Offensive rebound by Team, ,36-32, , ,
9:37.0, , ,36-32, ,M. Bridges enters the game for C. Payne,
9:35.0,D. Robinson misses 3-pt jump shot from 24 ft, ,36-32, , ,
9:32.0,Offensive rebound by O. Yurtseven, ,36-32, , ,
9:31.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),+3,39-32, , ,
9:17.0, , ,39-32, ,Shooting foul by O. Yurtseven (drawn by C. Paul),
9:17.0, , ,39-33,+1,C. Paul makes free throw 1 of 2,
9:17.0, , ,39-34,+1,C. Paul makes free throw 2 of 2,
9:01.0,T. Herro makes 2-pt layup from 2 ft (assist by O. Yurtseven),+2,41-34, , ,
8:49.0, , ,41-36,+2,C. Paul makes 2-pt jump shot from 19 ft,
8:39.0,O. Yurtseven misses 2-pt jump shot from 17 ft, ,41-36, , ,
8:35.0, , ,41-36, ,Defensive rebound by C. Johnson,
8:31.0, , ,41-38,+2,M. Bridges makes 2-pt layup from 1 ft (assist by C. Paul),
8:10.0,K. Guy makes 2-pt jump shot from 12 ft (assist by O. Yurtseven),+2,43-38, , ,
7:54.0, , ,43-38, ,C. Johnson misses 2-pt jump shot from 16 ft,
7:51.0,Defensive rebound by T. Herro, ,43-38, , ,
