A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Toronto,
12:00.0,Jump ball: B. Adebayo vs. S. Barnes (J. Butler gains possession),
11:38.0,J. Butler makes 2-pt jump shot from 15 ft (assist by D. Robinson),+2,2-0, , ,
11:13.0, , ,2-0, ,O. Anunoby misses 2-pt jump shot from 18 ft,
11:09.0,Defensive rebound by P. Tucker, ,2-0, , ,
10:55.0,B. Adebayo makes 2-pt hook shot from 9 ft (assist by J. Butler),+2,4-0, , ,
10:37.0, , ,4-0, ,G. Trent misses 2-pt layup from 2 ft,
10:35.0,Defensive rebound by J. Butler, ,4-0, , ,
10:26.0,Def 3 sec tech foul by Team, ,4-0, , ,
10:26.0,J. Butler makes technical free throw,+1,5-0, , ,
10:18.0,Shooting foul by F. VanVleet (drawn by B. Adebayo), ,5-0, , ,
10:18.0,B. Adebayo makes free throw 1 of 2,+1,6-0, , ,
10:18.0,B. Adebayo makes free throw 2 of 2,+1,7-0, , ,
10:05.0, , ,7-3,+3,G. Trent makes 3-pt jump shot from 25 ft (assist by F. VanVleet),
9:49.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by P. Tucker),+3,10-3, , ,
9:33.0, , ,10-5,+2,P. Siakam makes 2-pt jump shot from 7 ft,
9:17.0,P. Tucker makes 2-pt layup from 2 ft (assist by G. Vincent),+2,12-5, , ,
8:57.0, , ,12-7,+2,G. Trent makes 2-pt layup from 2 ft,
8:57.0, , ,12-7, ,Shooting foul by D. Robinson (drawn by G. Trent),
8:57.0, , ,12-7, ,G. Trent misses free throw 1 of 1,
8:53.0,Defensive rebound by B. Adebayo, ,12-7, , ,
8:46.0,B. Adebayo makes 2-pt layup from 3 ft (assist by D. Robinson),+2,14-7, , ,
8:46.0,Shooting foul by S. Barnes (drawn by B. Adebayo), ,14-7, , ,
8:46.0,B. Adebayo makes free throw 1 of 1,+1,15-7, , ,
8:35.0, , ,15-7, ,F. VanVleet misses 3-pt jump shot from 26 ft,
8:34.0,Defensive rebound by G. Vincent, ,15-7, , ,
8:23.0,Turnover by G. Vincent (bad pass; steal by F. VanVleet), ,15-7, , ,
8:19.0, , ,15-7, ,P. Siakam misses 2-pt jump shot from 9 ft,
8:16.0,Defensive rebound by B. Adebayo, ,15-7, , ,
8:05.0,Shooting foul by P. Siakam (drawn by J. Butler), ,15-7, , ,
8:05.0,J. Butler makes free throw 1 of 2,+1,16-7, , ,
