A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Charlotte,
12:00.0,Jump ball: B. Adebayo vs. M. Plumlee (K. Lowry gains possession),
11:36.0,J. Butler misses 3-pt jump shot from 23 ft, ,0-0, , ,
11:33.0, , ,0-0, ,Defensive rebound by M. Plumlee,
11:12.0, , ,0-0, ,M. Bridges misses 3-pt jump shot from 26 ft,
11:09.0,Defensive rebound by K. Lowry, ,0-0, , ,
10:55.0,B. Adebayo misses 2-pt jump shot from 20 ft, ,0-0, , ,
10:51.0,Offensive rebound by K. Lowry, ,0-0, , ,
10:45.0,Turnover by K. Lowry (bad pass; steal by T. Rozier), ,0-0, , ,
10:41.0, , ,0-2,+2,M. Bridges makes 2-pt dunk from 1 ft (assist by L. Ball),
10:26.0,Shooting foul by M. Plumlee (drawn by B. Adebayo), ,0-2, , ,
10:26.0,B. Adebayo makes free throw 1 of 2,+1,1-2, , ,
10:26.0,B. Adebayo misses free throw 2 of 2, ,1-2, , ,
10:23.0, , ,1-2, ,Defensive rebound by M. Bridges,
10:10.0,Violation by Team (kicked ball), ,1-2, , ,
10:04.0, , ,1-2, ,Turnover by L. Ball (bad pass),
9:53.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),+3,4-2, , ,Lead change
9:40.0, , ,4-4,+2,M. Bridges makes 2-pt layup from 3 ft (assist by P. Washington),Tie
9:22.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by P. Tucker),+2,6-4, , ,
9:07.0, , ,6-4, ,L. Ball misses 3-pt jump shot from 26 ft,
9:04.0,Defensive rebound by P. Tucker, ,6-4, , ,
8:53.0,D. Robinson misses 3-pt jump shot from 23 ft, ,6-4, , ,
8:51.0, , ,6-4, ,Defensive rebound by P. Washington,
8:47.0, , ,6-4, ,T. Rozier misses 3-pt jump shot from 26 ft,
8:45.0,Defensive rebound by K. Lowry, ,6-4, , ,
8:35.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by B. Adebayo),+3,9-4, , ,
8:12.0, , ,9-7,+3,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Rozier),
7:54.0,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Robinson),+2,11-7, , ,
7:39.0, , ,11-10,+3,T. Rozier makes 3-pt jump shot from 22 ft (assist by M. Plumlee),
7:22.0,Shooting foul by L. Ball (drawn by P. Tucker), ,11-10, , ,
7:22.0,P. Tucker makes free throw 1 of 2,+1,12-10, , ,
7:22.0,P. Tucker makes free throw 2 of 2,+1,13-10, , ,
7:13.0, , ,13-10, ,M. Bridges misses 3-pt jump shot from 26 ft,
7:09.0,Defensive rebound by B. Adebayo, ,13-10, , ,
6:58.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by B. Adebayo),+3,16-10, , ,
6:42.0, , ,16-10, ,Charlotte full timeout,
6:42.0, , ,16-10, ,J. Thor enters the game for P. Washington,
6:38.0, , ,16-10, ,L. Ball misses 3-pt jump shot from 25 ft,
6:34.0,Defensive rebound by J. Butler, ,16-10, , ,
6:31.0,P. Tucker makes 2-pt dunk from 1 ft (assist by K. Lowry),+2,18-10, , ,
6:10.0, , ,18-10, ,T. Rozier misses 3-pt jump shot from 23 ft (block by J. Butler),
6:07.0,Defensive rebound by K. Lowry, ,18-10, , ,
6:01.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),+3,21-10, , ,
5:39.0, , ,21-12,+2,M. Bridges makes 2-pt layup from 2 ft (assist by L. Ball),
5:39.0,G. Vincent enters the game for B. Adebayo, ,21-12, , ,
5:39.0,O. Yurtseven enters the game for K. Lowry, ,21-12, , ,
5:39.0, , ,21-12, ,M. Harrell enters the game for L. Ball,
5:39.0, , ,21-12, ,K. Oubre enters the game for M. Plumlee,
5:19.0,D. Robinson misses 3-pt jump shot from 25 ft, ,21-12, , ,
5:17.0, , ,21-12, ,Defensive rebound by M. Bridges,
5:00.0, , ,21-14,+2,M. Bridges makes 2-pt layup from 2 ft,
4:47.0,O. Yurtseven makes 2-pt jump shot from 8 ft (assist by G. Vincent),+2,23-14, , ,
4:37.0, , ,23-14, ,T. Rozier misses 2-pt jump shot from 7 ft,
4:36.0,Defensive rebound by O. Yurtseven, ,23-14, , ,
4:19.0,P. Tucker makes 2-pt layup from 1 ft (assist by O. Yurtseven),+2,25-14, , ,
4:19.0, , ,25-14, ,Charlotte full timeout,
4:19.0, , ,25-14, ,L. Ball enters the game for T. Rozier,
4:03.0, , ,25-14, ,J. Thor misses 2-pt layup from 3 ft,
4:01.0,Defensive rebound by O. Yurtseven, ,25-14, , ,
3:44.0,O. Yurtseven makes 2-pt jump shot from 8 ft (assist by G. Vincent),+2,27-14, , ,
3:32.0, , ,27-17,+3,J. Thor makes 3-pt jump shot from 25 ft (assist by M. Bridges),
3:15.0,Turnover by J. Butler (bad pass), ,27-17, , ,
3:15.0,M. Strus enters the game for D. Robinson, ,27-17, , ,
3:06.0, , ,27-17, ,Shooting foul by O. Yurtseven (drawn by M. Harrell),
3:06.0, , ,27-18,+1,M. Harrell makes free throw 1 of 2,
3:06.0,H. Highsmith enters the game for P. Tucker, ,27-18, , ,
3:06.0, , ,27-18, ,M. Harrell misses free throw 2 of 2,
3:03.0, , ,27-18, ,Offensive rebound by J. Thor,
2:59.0, , ,27-21,+3,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Thor),
2:40.0,M. Strus makes 2-pt layup from 2 ft (assist by J. Butler),+2,29-21, , ,
2:40.0, , ,29-21, ,Violation by Team (def goaltending),
2:23.0, , ,29-23,+2,M. Harrell makes 2-pt layup from 2 ft (assist by L. Ball),
2:11.0,O. Yurtseven makes 2-pt layup from 2 ft (assist by G. Vincent),+2,31-23, , ,
2:02.0, , ,31-23, ,Shooting foul by G. Vincent (drawn by K. Oubre),
2:02.0, , ,31-23, ,K. Oubre misses free throw 1 of 2,
2:02.0, , ,31-23, ,Offensive rebound by Team,
2:02.0, , ,31-24,+1,K. Oubre makes free throw 2 of 2,
1:50.0,Turnover by J. Butler (bad pass), ,31-24, , ,
1:41.0, , ,31-26,+2,L. Ball makes 2-pt jump shot from 16 ft,
1:27.0,M. Strus misses 3-pt jump shot from 26 ft, ,31-26, , ,
1:24.0, , ,31-26, ,Defensive rebound by M. Bridges,
1:17.0, , ,31-26, ,L. Ball misses 3-pt jump shot from 28 ft,
1:14.0,Defensive rebound by G. Vincent, ,31-26, , ,
1:00.0,O. Yurtseven makes 2-pt hook shot from 7 ft (assist by G. Vincent),+2,33-26, , ,
0:47.0, , ,33-28,+2,M. Bridges makes 2-pt dunk from 2 ft (assist by L. Ball),
0:28.0,H. Highsmith makes 2-pt jump shot from 7 ft (assist by J. Butler),+2,35-28, , ,
0:28.0,K. Lowry enters the game for J. Butler, ,35-28, , ,
0:28.0, , ,35-28, ,J. Bouknight enters the game for M. Bridges,
0:28.0, , ,35-28, ,P. Washington enters the game for J. Thor,
0:04.0, , ,35-28, ,M. Harrell misses 2-pt jump shot from 5 ft,
