A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Brooklyn,
12:00.0,Jump ball: O. Yurtseven vs. A. Drummond (S. Curry gains possession),
11:41.0, , ,0-0, ,K. Durant misses 3-pt jump shot from 26 ft,
11:37.0,Defensive rebound by O. Yurtseven, ,0-0, , ,
11:34.0,Turnover by G. Vincent (bad pass), ,0-0, , ,
11:26.0, , ,0-0, ,G. Dragić misses 2-pt layup from 3 ft,
11:24.0,Defensive rebound by O. Yurtseven, ,0-0, , ,
11:17.0,G. Vincent misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:13.0, , ,0-0, ,Defensive rebound by A. Drummond,
10:55.0, , ,0-3,+3,G. Dragić makes 3-pt jump shot from 24 ft (assist by S. Curry),
10:28.0,B. Adebayo misses 2-pt jump shot from 18 ft, ,0-3, , ,
10:25.0, , ,0-3, ,Defensive rebound by B. Brown,
10:21.0, , ,0-5,+2,B. Brown makes 2-pt layup from 2 ft,
10:00.0,Personal foul by B. Brown (drawn by D. Robinson), ,0-5, , ,
9:56.0,M. Strus makes 3-pt jump shot from 25 ft (assist by B. Adebayo),+3,3-5, , ,
9:44.0, , ,3-5, ,A. Drummond misses 2-pt layup from 2 ft (block by O. Yurtseven),
9:44.0, , ,3-5, ,Offensive rebound by Team,
9:35.0, , ,3-7,+2,B. Brown makes 2-pt layup from 2 ft (assist by S. Curry),
9:35.0, , ,3-7, ,Shooting foul by O. Yurtseven (drawn by B. Brown),
9:35.0, , ,3-7, ,B. Brown misses free throw 1 of 1,
9:33.0,Defensive rebound by B. Adebayo, ,3-7, , ,
9:21.0,B. Adebayo makes 2-pt hook shot from 10 ft (assist by G. Vincent),+2,5-7, , ,
9:12.0, , ,5-7, ,G. Dragić misses 2-pt layup from 5 ft,
9:10.0, , ,5-7, ,Offensive rebound by B. Brown,
9:07.0, , ,5-7, ,Personal foul by D. Robinson (drawn by K. Durant),
9:03.0, , ,5-7, ,K. Durant misses 3-pt jump shot from 25 ft,
9:01.0,Defensive rebound by O. Yurtseven, ,5-7, , ,
8:44.0,Personal foul by A. Drummond (drawn by B. Adebayo), ,5-7, , ,
8:37.0,B. Adebayo misses 2-pt jump shot from 11 ft, ,5-7, , ,
8:33.0,Offensive rebound by M. Strus, ,5-7, , ,
8:31.0,O. Yurtseven makes 2-pt jump shot from 5 ft (assist by D. Robinson),+2,7-7, , ,Tie
8:15.0, , ,7-9,+2,K. Durant makes 2-pt jump shot from 21 ft,
8:04.0,M. Strus misses 3-pt jump shot from 25 ft, ,7-9, , ,
8:04.0, , ,7-9, ,Defensive rebound by Team,
7:55.0,Technical foul by M. Strus, ,7-9, , ,
7:55.0, , ,7-10,+1,K. Durant makes technical free throw,
7:46.0, , ,7-12,+2,K. Durant makes 2-pt jump shot from 17 ft (assist by G. Dragić),
7:29.0,G. Vincent misses 2-pt layup from 2 ft (block by K. Durant), ,7-12, , ,
7:29.0, , ,7-12, ,Defensive rebound by G. Dragić,
7:23.0, , ,7-15,+3,S. Curry makes 3-pt jump shot from 25 ft (assist by G. Dragić),
7:22.0,Miami full timeout, ,7-15, , ,
7:02.0,Turnover by M. Strus (bad pass; steal by G. Dragić), ,7-15, , ,
6:54.0, , ,7-17,+2,A. Drummond makes 2-pt dunk at rim (assist by G. Dragić),
6:43.0,Shooting foul by G. Dragić (drawn by G. Vincent), ,7-17, , ,
6:43.0,G. Vincent misses free throw 1 of 2, ,7-17, , ,
6:43.0,Offensive rebound by Team, ,7-17, , ,
6:43.0,G. Vincent makes free throw 2 of 2,+1,8-17, , ,
6:43.0, , ,8-17, ,C. Thomas enters the game for S. Curry,
6:28.0, , ,8-19,+2,K. Durant makes 2-pt jump shot from 8 ft (assist by G. Dragić),
6:11.0,O. Yurtseven misses 2-pt layup from 3 ft, ,8-19, , ,
6:09.0, , ,8-19, ,Defensive rebound by C. Thomas,
6:07.0, , ,8-19, ,Personal foul by O. Yurtseven (drawn by K. Durant),
6:03.0,Violation by Team (kicked ball), ,8-19, , ,
6:03.0,T. Herro enters the game for G. Vincent, ,8-19, , ,
6:03.0,C. Martin enters the game for O. Yurtseven, ,8-19, , ,
5:49.0, , ,8-19, ,C. Thomas misses 3-pt jump shot from 26 ft,
5:42.0,Defensive rebound by B. Adebayo, ,8-19, , ,
5:34.0,B. Adebayo makes 2-pt jump shot from 10 ft,+2,10-19, , ,
5:34.0,Shooting foul by A. Drummond (drawn by B. Adebayo), ,10-19, , ,
5:34.0, , ,10-19, ,L. Aldridge enters the game for B. Brown,
5:34.0, , ,10-19, ,J. Johnson enters the game for G. Dragić,
5:34.0, , ,10-19, ,P. Mills enters the game for A. Drummond,
5:34.0,B. Adebayo makes free throw 1 of 1,+1,11-19, , ,
5:09.0, , ,11-21,+2,L. Aldridge makes 2-pt jump shot from 13 ft (assist by P. Mills),
4:56.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by T. Herro),+2,13-21, , ,
4:41.0, , ,13-23,+2,K. Durant makes 2-pt jump shot from 10 ft (assist by L. Aldridge),
4:27.0,B. Adebayo misses 2-pt jump shot from 20 ft, ,13-23, , ,
4:27.0, , ,13-23, ,Defensive rebound by K. Durant,
4:11.0, , ,13-26,+3,P. Mills makes 3-pt jump shot from 23 ft (assist by J. Johnson),
4:10.0,Miami full timeout, ,13-26, , ,
4:10.0,D. Dedmon enters the game for B. Adebayo, ,13-26, , ,
4:02.0,Personal foul by K. Durant (drawn by C. Martin), ,13-26, , ,
4:02.0,H. Highsmith enters the game for M. Strus, ,13-26, , ,
4:02.0,C. Martin makes free throw 1 of 2,+1,14-26, , ,
4:02.0,C. Martin makes free throw 2 of 2,+1,15-26, , ,
3:51.0, , ,15-26, ,Turnover by K. Durant (traveling),
3:38.0,Personal foul by C. Thomas (drawn by T. Herro), ,15-26, , ,
3:38.0,T. Herro makes free throw 1 of 2,+1,16-26, , ,
3:38.0, , ,16-26, ,N. Claxton enters the game for K. Durant,
3:38.0,T. Herro makes free throw 2 of 2,+1,17-26, , ,
3:21.0, , ,17-29,+3,P. Mills makes 3-pt jump shot from 25 ft (assist by C. Thomas),
3:04.0,D. Robinson misses 3-pt jump shot from 27 ft, ,17-29, , ,
3:01.0, , ,17-29, ,Defensive rebound by L. Aldridge,
2:48.0, , ,17-29, ,C. Thomas misses 2-pt layup from 2 ft (block by D. Dedmon),
2:43.0, , ,17-29, ,Offensive rebound by C. Thomas,
2:41.0, , ,17-29, ,J. Johnson misses 3-pt jump shot from 26 ft,
2:41.0, , ,17-29, ,Offensive rebound by N. Claxton,
2:30.0, , ,17-31,+2,P. Mills makes 2-pt jump shot from 19 ft,
2:18.0,T. Herro misses 3-pt jump shot from 26 ft, ,17-31, , ,
2:18.0, , ,17-31, ,Defensive rebound by N. Claxton,
2:11.0, , ,17-31, ,C. Thomas misses 3-pt jump shot from 25 ft,
2:06.0,Defensive rebound by C. Martin, ,17-31, , ,
2:03.0,Turnover by C. Martin (lost ball; steal by L. Aldridge), ,17-31, , ,
1:58.0, , ,17-31, ,Brooklyn full timeout,
1:58.0,G. Vincent enters the game for D. Robinson, ,17-31, , ,
1:50.0, , ,17-31, ,P. Mills misses 2-pt jump shot from 17 ft (block by D. Dedmon),
1:47.0,Defensive rebound by Team, ,17-31, , ,
1:37.0,T. Herro makes 2-pt jump shot from 14 ft (assist by G. Vincent),+2,19-31, , ,
1:21.0, , ,19-31, ,Turnover by P. Mills (bad pass; steal by C. Martin),
1:10.0,C. Martin makes 2-pt hook shot from 9 ft,+2,21-31, , ,
0:53.0, , ,21-31, ,C. Thomas misses 2-pt jump shot from 12 ft,
0:49.0,Defensive rebound by H. Highsmith, ,21-31, , ,
0:37.0,G. Vincent makes 2-pt layup from 8 ft (assist by D. Dedmon),+2,23-31, , ,
0:28.0, , ,23-31, ,J. Johnson misses 3-pt jump shot from 24 ft,
0:26.0, , ,23-31, ,Offensive rebound by N. Claxton,
0:25.0, , ,23-33,+2,N. Claxton makes 2-pt hook shot from 4 ft,
0:07.0,Offensive foul by D. Dedmon (drawn by C. Thomas), ,23-33, , ,
0:07.0,Turnover by D. Dedmon (offensive foul), ,23-33, , ,
0:07.0,B. Adebayo enters the game for T. Herro, ,23-33, , ,
0:07.0, , ,23-33, ,S. Curry enters the game for N. Claxton,
0:07.0, , ,23-33, ,K. Durant enters the game for J. Johnson,
0:02.0, , ,23-33, ,Shooting foul by G. Vincent (drawn by C. Thomas),
0:02.0, , ,23-34,+1,C. Thomas makes free throw 1 of 2,
0:02.0,T. Herro enters the game for H. Highsmith, ,23-34, , ,
