A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Boston,
12:00.0,Jump ball: B. Adebayo vs. A. Horford (D. White gains possession),
12:00.0, , ,0-0, ,Violation by Team (delay of game),
12:00.0,Violation by Team (delay of game), ,0-0, , ,
11:48.0, , ,0-0, ,J. Brown misses 2-pt jump shot from 19 ft,
11:45.0,Defensive rebound by T. Herro, ,0-0, , ,
11:24.0,Shooting foul by A. Horford (drawn by B. Adebayo), ,0-0, , ,
11:24.0,B. Adebayo makes free throw 1 of 2,+1,1-0, , ,
11:24.0,B. Adebayo makes free throw 2 of 2,+1,2-0, , ,
11:07.0, , ,2-2,+2,M. Smart makes 2-pt layup from 1 ft (assist by A. Horford),Tie
10:47.0,B. Adebayo makes 2-pt jump shot from 18 ft,+2,4-2, , ,
10:32.0, , ,4-4,+2,J. Tatum makes 2-pt jump shot from 8 ft,Tie
10:32.0, , ,4-4, ,Shooting foul by B. Adebayo (drawn by J. Tatum),
10:32.0, , ,4-4, ,J. Tatum misses free throw 1 of 1,
10:32.0,Defensive rebound by T. Herro, ,4-4, , ,
10:22.0,K. Lowry misses 3-pt jump shot from 27 ft, ,4-4, , ,
10:18.0, , ,4-4, ,Defensive rebound by A. Horford,
10:13.0, , ,4-4, ,M. Smart misses 3-pt jump shot from 27 ft,
10:10.0,Defensive rebound by J. Butler, ,4-4, , ,
9:55.0,J. Butler misses 3-pt jump shot from 24 ft, ,4-4, , ,
9:51.0, , ,4-4, ,Defensive rebound by J. Brown,
9:34.0, , ,4-4, ,J. Brown misses 3-pt jump shot from 26 ft,
9:32.0,Defensive rebound by T. Herro, ,4-4, , ,
9:16.0,C. Martin misses 3-pt jump shot from 24 ft, ,4-4, , ,
9:13.0, , ,4-4, ,Defensive rebound by J. Brown,
9:08.0, , ,4-4, ,M. Smart misses 3-pt jump shot from 26 ft,
9:04.0,Defensive rebound by T. Herro, ,4-4, , ,
9:01.0,Personal foul by J. Tatum (drawn by J. Butler), ,4-4, , ,
8:52.0,T. Herro makes 3-pt jump shot from 28 ft,+3,7-4, , ,
8:35.0, , ,7-4, ,Shooting foul by K. Lowry (drawn by D. White),
8:35.0, , ,7-5,+1,D. White makes free throw 1 of 2,
8:35.0, , ,7-6,+1,D. White makes free throw 2 of 2,
8:25.0,B. Adebayo misses 2-pt layup from 3 ft, ,7-6, , ,
8:22.0,Offensive rebound by J. Butler, ,7-6, , ,
8:21.0,J. Butler makes 2-pt layup from 2 ft,+2,9-6, , ,
8:10.0, , ,9-9,+3,J. Brown makes 3-pt jump shot from 25 ft (assist by M. Smart),Tie
7:46.0,T. Herro makes 2-pt jump shot from 20 ft (assist by J. Butler),+2,11-9, , ,
7:31.0, , ,11-11,+2,M. Smart makes 2-pt layup from 2 ft (assist by J. Brown),Tie
7:20.0,B. Adebayo misses 2-pt jump shot from 13 ft, ,11-11, , ,
7:20.0,Offensive rebound by J. Butler, ,11-11, , ,
7:20.0,J. Butler makes 2-pt layup from 3 ft,+2,13-11, , ,
7:20.0,Shooting foul by J. Tatum (drawn by J. Butler), ,13-11, , ,
7:20.0,J. Butler misses free throw 1 of 1, ,13-11, , ,
7:16.0, , ,13-11, ,Defensive rebound by J. Brown,
7:12.0, , ,13-11, ,Violation by Team (kicked ball),
7:12.0, , ,13-11, ,M. Brogdon enters the game for J. Tatum,
7:05.0,B. Adebayo misses 2-pt layup from 3 ft, ,13-11, , ,
