A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Memphis,
12:00.0,Jump ball: B. Adebayo vs. S. Adams (T. Jones gains possession),
11:41.0, , ,0-2,+2,S. Aldama makes 2-pt hook shot from 8 ft,
11:18.0,T. Herro misses 3-pt jump shot from 25 ft, ,0-2, , ,
11:15.0, , ,0-2, ,Defensive rebound by S. Aldama,
11:06.0, , ,0-4,+2,D. Brooks makes 2-pt layup at rim (assist by S. Adams),
10:59.0,Turnover by K. Lowry (bad pass; steal by T. Jones), ,0-4, , ,
10:54.0, , ,0-7,+3,D. Brooks makes 3-pt jump shot from 26 ft (assist by T. Jones),
10:33.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),+3,3-7, , ,
10:15.0, , ,3-9,+2,D. Brooks makes 2-pt jump shot from 5 ft,
10:07.0,T. Herro makes 2-pt layup from 1 ft (assist by J. Butler),+2,5-9, , ,
9:48.0, , ,5-9, ,D. Brooks misses 2-pt jump shot from 18 ft,
9:46.0,Defensive rebound by T. Herro, ,5-9, , ,
9:36.0,J. Butler misses 2-pt layup from 2 ft, ,5-9, , ,
9:34.0,Offensive rebound by J. Butler, ,5-9, , ,
9:24.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),+3,8-9, , ,
9:07.0, , ,8-9, ,Turnover by D. Brooks (bad pass),
8:59.0,B. Adebayo misses 2-pt jump shot from 8 ft, ,8-9, , ,
8:59.0, , ,8-9, ,Defensive rebound by S. Aldama,
8:43.0, , ,8-11,+2,S. Adams makes 2-pt layup from 1 ft,
8:35.0,Shooting foul by S. Aldama (drawn by T. Herro), ,8-11, , ,
8:35.0,T. Herro makes free throw 1 of 2,+1,9-11, , ,
8:35.0,T. Herro makes free throw 2 of 2,+1,10-11, , ,
8:23.0, , ,10-11, ,T. Jones misses 2-pt jump shot from 8 ft,
8:20.0,Defensive rebound by T. Herro, ,10-11, , ,
8:15.0,C. Martin makes 3-pt jump shot from 24 ft (assist by J. Butler),+3,13-11, , ,Lead change
8:15.0, , ,13-11, ,Memphis full timeout,
8:02.0, , ,13-11, ,D. Brooks misses 3-pt jump shot from 24 ft,
7:58.0,Defensive rebound by T. Herro, ,13-11, , ,
7:46.0,T. Herro makes 3-pt jump shot from 26 ft (assist by J. Butler),+3,16-11, , ,
7:30.0, , ,16-11, ,Personal foul by K. Lowry (drawn by S. Aldama),
7:22.0, , ,16-11, ,S. Adams misses 2-pt hook shot from 4 ft,
7:19.0,Defensive rebound by K. Lowry, ,16-11, , ,
7:15.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by K. Lowry),+2,18-11, , ,
7:03.0, , ,18-13,+2,T. Jones makes 2-pt jump shot from 12 ft,
6:45.0,T. Herro makes 2-pt jump shot from 8 ft (assist by B. Adebayo),+2,20-13, , ,
6:23.0, , ,20-15,+2,S. Aldama makes 2-pt jump shot from 5 ft (assist by T. Jones),
6:06.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),+3,23-15, , ,
5:52.0, , ,23-17,+2,T. Jones makes 2-pt layup from 2 ft,
5:40.0,B. Adebayo misses 2-pt jump shot from 9 ft, ,23-17, , ,
5:40.0, , ,23-17, ,Defensive rebound by S. Adams,
5:26.0, , ,23-17, ,D. Roddy misses 3-pt jump shot from 22 ft,
5:22.0,Defensive rebound by J. Butler, ,23-17, , ,
5:04.0,C. Martin makes 3-pt jump shot from 26 ft,+3,26-17, , ,
4:47.0, , ,26-17, ,D. Brooks misses 3-pt jump shot from 25 ft,
4:45.0,Defensive rebound by T. Herro, ,26-17, , ,
4:38.0,B. Adebayo makes 2-pt layup from 1 ft (assist by T. Herro),+2,28-17, , ,
4:38.0, , ,28-17, ,Memphis full timeout,
4:38.0,D. Dedmon enters the game for B. Adebayo, ,28-17, , ,
4:38.0,M. Strus enters the game for T. Herro, ,28-17, , ,
4:38.0, , ,28-17, ,K. Chandler enters the game for S. Adams,
