A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Houston,
12:00.0,Jump ball: U. Haslem vs. A. Sengun (E. Gordon gains possession),
11:44.0, , ,0-2,+2,K. Porter makes 2-pt jump shot from 17 ft,
11:29.0,U. Haslem misses 2-pt jump shot from 17 ft, ,0-2, , ,
11:28.0, , ,0-2, ,Defensive rebound by J. Smith,
11:16.0, , ,0-4,+2,J. Smith makes 2-pt jump shot from 9 ft,
10:53.0,C. Martin makes 2-pt jump shot from 15 ft (assist by J. Butler),+2,2-4, , ,
10:40.0, , ,2-4, ,Offensive foul by A. Sengun (drawn by J. Butler),
10:40.0, , ,2-4, ,Turnover by A. Sengun (offensive foul),
10:23.0,M. Strus misses 3-pt jump shot from 23 ft, ,2-4, , ,
10:22.0, , ,2-4, ,Defensive rebound by J. Green,
10:10.0, , ,2-4, ,J. Green misses 2-pt layup from 2 ft,
10:08.0,Defensive rebound by U. Haslem, ,2-4, , ,
9:51.0,C. Martin makes 2-pt jump shot from 20 ft,+2,4-4, , ,Tie
9:40.0, , ,4-4, ,J. Smith misses 2-pt jump shot from 12 ft,
9:39.0,Defensive rebound by C. Martin, ,4-4, , ,
9:35.0,Turnover by C. Martin (bad pass; steal by K. Porter), ,4-4, , ,
9:31.0, , ,4-6,+2,K. Porter makes 2-pt layup from 2 ft,
9:13.0,Turnover by T. Herro (bad pass; steal by J. Green), ,4-6, , ,
9:08.0, , ,4-8,+2,J. Green makes 2-pt layup from 2 ft,
8:57.0,J. Butler misses 2-pt jump shot from 9 ft, ,4-8, , ,
8:56.0,Offensive rebound by J. Butler, ,4-8, , ,
8:46.0,J. Butler makes 2-pt jump shot from 5 ft,+2,6-8, , ,
8:29.0, , ,6-8, ,E. Gordon misses 3-pt jump shot from 28 ft (block by J. Butler),
8:27.0,Defensive rebound by T. Herro, ,6-8, , ,
8:26.0,Turnover by T. Herro (bad pass), ,6-8, , ,
8:18.0, , ,6-8, ,J. Green misses 2-pt jump shot from 20 ft (block by T. Herro),
8:15.0, , ,6-8, ,Offensive rebound by J. Green,
8:15.0, , ,6-8, ,J. Green misses 2-pt jump shot from 12 ft,
8:12.0, , ,6-8, ,Offensive rebound by J. Smith,
7:57.0, , ,6-8, ,J. Green misses 3-pt jump shot from 27 ft,
7:56.0,Defensive rebound by T. Herro, ,6-8, , ,
7:48.0,T. Herro makes 3-pt jump shot from 26 ft,+3,9-8, , ,Lead change
7:33.0, , ,9-10,+2,A. Sengun makes 2-pt layup from 3 ft,Lead change
7:20.0,T. Herro misses 3-pt jump shot from 24 ft, ,9-10, , ,
7:19.0, , ,9-10, ,Defensive rebound by J. Green,
7:10.0, , ,9-10, ,J. Smith misses 3-pt jump shot from 24 ft,
7:08.0, , ,9-10, ,Offensive rebound by K. Porter,
7:00.0, , ,9-12,+2,K. Porter makes 2-pt layup from 2 ft,
6:50.0,M. Strus misses 3-pt jump shot from 25 ft, ,9-12, , ,
6:49.0, , ,9-12, ,Defensive rebound by A. Sengun,
6:43.0, , ,9-12, ,Personal foul by M. Strus (drawn by A. Sengun),
6:43.0, , ,9-12, ,Houston full timeout,
6:35.0, , ,9-14,+2,A. Sengun makes 2-pt hook shot from 9 ft (assist by J. Smith),
6:10.0,M. Strus makes 2-pt jump shot from 10 ft,+2,11-14, , ,
5:57.0, , ,11-14, ,Turnover by K. Porter (bad pass; steal by T. Herro),
5:49.0,Turnover by T. Herro (bad pass; steal by K. Porter), ,11-14, , ,
5:45.0, , ,11-16,+2,K. Porter makes 2-pt dunk from 3 ft,
5:24.0,M. Strus misses 3-pt jump shot from 23 ft, ,11-16, , ,
5:24.0,Offensive rebound by U. Haslem, ,11-16, , ,
5:19.0,U. Haslem misses 2-pt jump shot from 13 ft, ,11-16, , ,
5:18.0,Offensive rebound by J. Butler, ,11-16, , ,
5:18.0,J. Butler makes 2-pt layup from 2 ft,+2,13-16, , ,
5:18.0,Shooting foul by J. Smith (drawn by J. Butler), ,13-16, , ,
5:18.0,H. Highsmith enters the game for U. Haslem, ,13-16, , ,
5:18.0,D. Robinson enters the game for C. Martin, ,13-16, , ,
5:18.0, , ,13-16, ,U. Garuba enters the game for E. Gordon,
5:18.0, , ,13-16, ,K. Martin enters the game for A. Sengun,
5:18.0,J. Butler makes free throw 1 of 1,+1,14-16, , ,
5:08.0, , ,14-16, ,J. Green misses 3-pt jump shot from 26 ft,
5:06.0,Defensive rebound by J. Butler, ,14-16, , ,
4:59.0,D. Robinson misses 3-pt jump shot from 27 ft (block by J. Green), ,14-16, , ,
4:58.0, , ,14-16, ,Defensive rebound by K. Martin,
4:42.0, , ,14-19,+3,J. Green makes 3-pt jump shot from 26 ft (assist by K. Porter),
4:23.0,J. Butler misses 2-pt jump shot from 9 ft (block by K. Porter), ,14-19, , ,
4:22.0,Offensive rebound by J. Butler, ,14-19, , ,
4:19.0,D. Robinson misses 3-pt jump shot from 26 ft, ,14-19, , ,
4:18.0, , ,14-19, ,Defensive rebound by U. Garuba,
4:00.0, , ,14-19, ,Personal foul by J. Butler (drawn by J. Green),
4:00.0,O. Robinson enters the game for T. Herro, ,14-19, , ,
4:00.0, , ,14-19, ,T. Eason enters the game for J. Smith,
3:51.0, , ,14-21,+2,J. Green makes 2-pt layup from 6 ft,
3:43.0,Miami full timeout, ,14-21, , ,
3:27.0,M. Strus misses 3-pt jump shot from 25 ft, ,14-21, , ,
3:26.0,Offensive rebound by H. Highsmith, ,14-21, , ,
3:24.0,H. Highsmith misses 2-pt layup at rim, ,14-21, , ,
3:24.0,Offensive rebound by J. Butler, ,14-21, , ,
3:24.0,Shooting foul by J. Green (drawn by J. Butler), ,14-21, , ,
3:24.0,J. Butler misses free throw 1 of 2, ,14-21, , ,
3:24.0,Offensive rebound by Team, ,14-21, , ,
3:24.0,J. Butler makes free throw 2 of 2,+1,15-21, , ,
