A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Utah,
12:00.0,Jump ball: B. Adebayo vs. K. Olynyk (M. Strus gains possession),
11:39.0,H. Highsmith makes 2-pt layup from 3 ft (assist by M. Strus),+2,2-0, , ,
11:16.0, , ,2-0, ,Turnover by J. Clarkson (bad pass; steal by T. Herro),
11:07.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by M. Strus),+2,4-0, , ,
10:50.0, , ,4-0, ,Personal foul by H. Highsmith (drawn by L. Markkanen),
10:40.0, , ,4-2,+2,M. Conley makes 2-pt jump shot from 11 ft (assist by J. Clarkson),
10:28.0,Turnover by B. Adebayo (lost ball; steal by K. Olynyk), ,4-2, , ,
10:22.0, , ,4-2, ,K. Olynyk misses 2-pt layup from 4 ft,
10:20.0, , ,4-2, ,Offensive rebound by J. Vanderbilt,
10:20.0, , ,4-4,+2,J. Vanderbilt makes 2-pt dunk at rim,Tie
10:06.0,K. Lowry misses 3-pt jump shot from 25 ft, ,4-4, , ,
10:03.0, , ,4-4, ,Defensive rebound by J. Vanderbilt,
9:58.0, , ,4-7,+3,J. Clarkson makes 3-pt jump shot from 30 ft (assist by J. Vanderbilt),Lead change
9:42.0,Flagrant foul type 1 by M. Conley (drawn by T. Herro), ,4-7, , ,
9:42.0,Instant Replay (Request: Ruling Stands), ,4-7, , ,
9:42.0,T. Herro misses flagrant free throw 1 of 3, ,4-7, , ,
9:42.0,Offensive rebound by Team, ,4-7, , ,
9:42.0,T. Herro makes flagrant free throw 2 of 3,+1,5-7, , ,
9:42.0,T. Herro makes flagrant free throw 3 of 3,+1,6-7, , ,
9:27.0,M. Strus misses 3-pt jump shot from 25 ft, ,6-7, , ,
9:22.0, , ,6-7, ,Defensive rebound by Team,
9:16.0, , ,6-7, ,L. Markkanen misses 3-pt jump shot from 26 ft,
9:12.0,Defensive rebound by T. Herro, ,6-7, , ,
9:07.0,Shooting foul by K. Olynyk (drawn by T. Herro), ,6-7, , ,
9:07.0,T. Herro makes free throw 1 of 2,+1,7-7, , ,Tie
9:07.0,T. Herro makes free throw 2 of 2,+1,8-7, , ,Lead change
8:53.0, , ,8-7, ,M. Conley misses 3-pt jump shot from 25 ft,
8:48.0,Defensive rebound by T. Herro, ,8-7, , ,
8:45.0,Personal foul by M. Conley (drawn by M. Strus), ,8-7, , ,
8:41.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by B. Adebayo),+3,11-7, , ,
8:34.0, , ,11-7, ,Personal foul by M. Strus (drawn by M. Conley),
8:27.0, , ,11-10,+3,J. Clarkson makes 3-pt jump shot from 27 ft (assist by M. Conley),
8:12.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by T. Herro),+2,13-10, , ,
7:57.0, , ,13-10, ,Turnover by M. Conley (step out of bounds),
7:40.0,T. Herro misses 3-pt jump shot from 26 ft, ,13-10, , ,
7:38.0, , ,13-10, ,Defensive rebound by J. Vanderbilt,
7:32.0, , ,13-10, ,J. Clarkson misses 3-pt jump shot from 27 ft,
7:29.0,Defensive rebound by T. Herro, ,13-10, , ,
7:25.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),+2,15-10, , ,
7:01.0, , ,15-12,+2,J. Clarkson makes 2-pt jump shot from 15 ft (assist by M. Conley),
6:50.0,Turnover by T. Herro (lost ball; steal by L. Markkanen), ,15-12, , ,
6:37.0, , ,15-12, ,L. Markkanen misses 3-pt jump shot from 28 ft,
6:34.0, , ,15-12, ,Offensive rebound by J. Vanderbilt,
6:31.0, , ,15-12, ,Offensive foul by L. Markkanen (drawn by K. Lowry),
6:31.0, , ,15-12, ,Turnover by L. Markkanen (offensive foul),
6:31.0, , ,15-12, ,Utah full timeout,
6:31.0, , ,15-12, ,W. Kessler enters the game for M. Conley,
6:31.0, , ,15-12, ,C. Sexton enters the game for J. Vanderbilt,
6:19.0,K. Lowry makes 2-pt layup from 3 ft (assist by B. Adebayo),+2,17-12, , ,
5:56.0, , ,17-12, ,Personal foul by T. Herro (drawn by J. Clarkson),
5:56.0,V. Oladipo enters the game for B. Adebayo, ,17-12, , ,
5:56.0,O. Robinson enters the game for M. Strus, ,17-12, , ,
5:47.0, , ,17-14,+2,K. Olynyk makes 2-pt layup from 4 ft (assist by C. Sexton),
5:34.0,O. Robinson makes 2-pt jump shot from 6 ft (assist by K. Lowry),+2,19-14, , ,
5:15.0, , ,19-14, ,Personal foul by H. Highsmith (drawn by L. Markkanen),
5:08.0, , ,19-14, ,K. Olynyk misses 2-pt jump shot from 12 ft,
5:06.0,Defensive rebound by O. Robinson, ,19-14, , ,
5:02.0,Turnover by K. Lowry (traveling), ,19-14, , ,
5:02.0,J. Cain enters the game for H. Highsmith, ,19-14, , ,
4:43.0, , ,19-14, ,J. Clarkson misses 3-pt jump shot from 26 ft,
4:42.0, , ,19-14, ,Offensive rebound by Team,
4:42.0,Loose ball foul by K. Lowry (drawn by K. Olynyk), ,19-14, , ,
4:42.0, , ,19-14, ,K. Olynyk misses free throw 1 of 2,
4:42.0, , ,19-14, ,Offensive rebound by Team,
4:42.0, , ,19-15,+1,K. Olynyk makes free throw 2 of 2,
4:42.0, , ,19-15, ,R. Gay enters the game for K. Olynyk,
4:22.0,V. Oladipo misses 3-pt jump shot from 26 ft, ,19-15, , ,
4:20.0,Offensive rebound by J. Cain, ,19-15, , ,
4:20.0,J. Cain makes 2-pt layup at rim,+2,21-15, , ,
4:20.0,Shooting foul by R. Gay (drawn by J. Cain), ,21-15, , ,
4:20.0,J. Cain misses free throw 1 of 1, ,21-15, , ,
4:16.0, , ,21-15, ,Defensive rebound by L. Markkanen,
4:10.0, , ,21-15, ,R. Gay misses 3-pt jump shot from 23 ft,
4:07.0,Defensive rebound by O. Robinson, ,21-15, , ,
4:01.0,Turnover by V. Oladipo (bad pass), ,21-15, , ,
3:48.0, , ,21-18,+3,R. Gay makes 3-pt jump shot from 23 ft (assist by J. Clarkson),
3:29.0,K. Lowry misses 3-pt jump shot from 26 ft, ,21-18, , ,
3:28.0, , ,21-18, ,Defensive rebound by L. Markkanen,
3:23.0, , ,21-18, ,L. Markkanen misses 2-pt layup from 3 ft,
3:19.0, , ,21-18, ,Offensive rebound by W. Kessler,
3:19.0, , ,21-20,+2,W. Kessler makes 2-pt layup at rim,
3:19.0,Miami full timeout, ,21-20, , ,
3:19.0,G. Vincent enters the game for K. Lowry, ,21-20, , ,
3:19.0, , ,21-20, ,M. Beasley enters the game for J. Clarkson,
3:03.0,G. Vincent misses 3-pt jump shot from 25 ft, ,21-20, , ,
2:58.0, , ,21-20, ,Defensive rebound by L. Markkanen,
2:53.0, , ,21-20, ,Shooting foul by O. Robinson (drawn by L. Markkanen),
2:53.0, , ,21-21,+1,L. Markkanen makes free throw 1 of 3,Tie
2:53.0, , ,21-22,+1,L. Markkanen makes free throw 2 of 3,Lead change
2:53.0,B. Adebayo enters the game for T. Herro, ,21-22, , ,
2:53.0,D. Robinson enters the game for O. Robinson, ,21-22, , ,
2:53.0, , ,21-23,+1,L. Markkanen makes free throw 3 of 3,
2:45.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by B. Adebayo),+3,24-23, , ,Lead change
2:29.0, , ,24-23, ,C. Sexton misses 2-pt jump shot from 7 ft,
2:25.0,Defensive rebound by B. Adebayo, ,24-23, , ,
2:19.0,B. Adebayo misses 2-pt layup from 5 ft, ,24-23, , ,
2:17.0, , ,24-23, ,Defensive rebound by C. Sexton,
2:08.0, , ,24-23, ,W. Kessler misses 2-pt layup from 4 ft,
2:06.0, , ,24-23, ,Offensive rebound by W. Kessler,
2:06.0, , ,24-25,+2,W. Kessler makes 2-pt layup at rim,Lead change
1:53.0,B. Adebayo misses 2-pt jump shot from 3 ft (block by W. Kessler), ,24-25, , ,
1:50.0,Offensive rebound by B. Adebayo, ,24-25, , ,
1:48.0,B. Adebayo misses 2-pt jump shot from 7 ft (block by W. Kessler), ,24-25, , ,
1:46.0,Offensive rebound by B. Adebayo, ,24-25, , ,
1:44.0,D. Robinson misses 3-pt jump shot from 22 ft, ,24-25, , ,
1:41.0, , ,24-25, ,Defensive rebound by W. Kessler,
