A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,LA Lakers,
12:00.0,Jump ball: B. Adebayo vs. T. Bryant (D. Schröder gains possession),
11:46.0, , ,0-0, ,A. Reaves misses 3-pt jump shot from 23 ft,
11:42.0,Defensive rebound by T. Herro, ,0-0, , ,
11:33.0,B. Adebayo misses 2-pt jump shot from 17 ft, ,0-0, , ,
11:29.0, , ,0-0, ,Defensive rebound by A. Reaves,
11:25.0, , ,0-2,+2,P. Beverley makes 2-pt layup from 5 ft,
11:10.0,K. Lowry makes 2-pt jump shot from 9 ft (assist by B. Adebayo),+2,2-2, , ,Tie
10:54.0, , ,2-2, ,T. Bryant misses 2-pt jump shot from 14 ft,
10:48.0,Defensive rebound by B. Adebayo, ,2-2, , ,
10:41.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by K. Lowry),+2,4-2, , ,Lead change
10:26.0, , ,4-2, ,D. Schröder misses 2-pt layup from 5 ft (block by B. Adebayo),
10:26.0, , ,4-2, ,Offensive rebound by Team,
10:19.0, , ,4-4,+2,T. Bryant makes 2-pt dunk from 1 ft,Tie
10:06.0,T. Herro makes 2-pt layup from 3 ft (assist by B. Adebayo),+2,6-4, , ,
9:49.0, , ,6-4, ,Offensive foul by J. Toscano-Anderson (drawn by K. Lowry),
9:49.0, , ,6-4, ,Turnover by J. Toscano-Anderson (offensive foul),
9:30.0,B. Adebayo misses 2-pt jump shot from 9 ft, ,6-4, , ,
9:27.0, , ,6-4, ,Defensive rebound by P. Beverley,
9:13.0, , ,6-4, ,A. Reaves misses 3-pt jump shot from 27 ft,
9:11.0,Defensive rebound by B. Adebayo, ,6-4, , ,
8:58.0,T. Herro misses 3-pt jump shot from 26 ft, ,6-4, , ,
8:55.0, , ,6-4, ,Defensive rebound by D. Schröder,
8:33.0, , ,6-4, ,Turnover by P. Beverley (bad pass; steal by J. Butler),
8:27.0,J. Butler makes 2-pt layup from 2 ft (assist by C. Martin),+2,8-4, , ,
