A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Atlanta,
12:00.0,Jump ball: B. Adebayo vs. O. Okongwu (G. Vincent gains possession),
11:38.0,T. Herro misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:35.0,Offensive rebound by C. Martin, ,0-0, , ,
11:34.0,C. Martin misses 2-pt layup from 1 ft, ,0-0, , ,
11:32.0, , ,0-0, ,Defensive rebound by O. Okongwu,
11:19.0, , ,0-2,+2,O. Okongwu makes 2-pt layup from 2 ft (assist by D. Hunter),
10:59.0,T. Herro misses 3-pt jump shot from 25 ft, ,0-2, , ,
10:56.0, , ,0-2, ,Defensive rebound by D. Hunter,
10:47.0, , ,0-2, ,Shooting foul by C. Martin (drawn by J. Collins),
10:47.0, , ,0-3,+1,J. Collins makes free throw 1 of 2,
10:47.0, , ,0-4,+1,J. Collins makes free throw 2 of 2,
10:35.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),+2,2-4, , ,
10:21.0, , ,2-4, ,D. Hunter misses 3-pt jump shot from 23 ft,
10:18.0,Defensive rebound by T. Herro, ,2-4, , ,
10:13.0,G. Vincent misses 3-pt jump shot from 23 ft, ,2-4, , ,
10:07.0,Offensive rebound by C. Martin, ,2-4, , ,
10:06.0,Shooting foul by T. Young (drawn by J. Butler), ,2-4, , ,
10:06.0,J. Butler makes free throw 1 of 2,+1,3-4, , ,
10:06.0,J. Butler makes free throw 2 of 2,+1,4-4, , ,Tie
9:49.0, , ,4-4, ,D. Murray misses 2-pt jump shot from 12 ft (block by B. Adebayo),
9:46.0,Defensive rebound by J. Butler, ,4-4, , ,
9:40.0,G. Vincent misses 2-pt layup from 2 ft, ,4-4, , ,
9:37.0, , ,4-4, ,Defensive rebound by D. Murray,
9:31.0, , ,4-6,+2,D. Murray makes 2-pt layup from 1 ft (assist by T. Young),
9:15.0,B. Adebayo misses 2-pt jump shot from 11 ft, ,4-6, , ,
9:12.0, , ,4-6, ,Defensive rebound by T. Young,
9:06.0, , ,4-6, ,Shooting foul by B. Adebayo (drawn by T. Young),
9:06.0, , ,4-7,+1,T. Young makes free throw 1 of 3,
9:06.0, , ,4-8,+1,T. Young makes free throw 2 of 3,
9:06.0, , ,4-9,+1,T. Young makes free throw 3 of 3,
8:57.0,J. Butler makes 2-pt dunk from 1 ft,+2,6-9, , ,
8:39.0, , ,6-11,+2,J. Collins makes 2-pt jump shot from 9 ft (assist by T. Young),
8:27.0,T. Herro makes 2-pt jump shot from 12 ft (assist by B. Adebayo),+2,8-11, , ,
8:13.0, , ,8-11, ,Turnover by T. Young (lost ball; steal by G. Vincent),
8:09.0,J. Butler makes 2-pt dunk at rim (assist by G. Vincent),+2,10-11, , ,
7:57.0, , ,10-13,+2,D. Murray makes 2-pt layup from 2 ft,
7:34.0,C. Martin makes 2-pt layup from 1 ft (assist by J. Butler),+2,12-13, , ,
7:25.0, , ,12-13, ,Personal foul by G. Vincent (drawn by J. Collins),
7:18.0, , ,12-13, ,Shooting foul by C. Martin (drawn by O. Okongwu),
7:18.0, , ,12-14,+1,O. Okongwu makes free throw 1 of 2,
7:18.0,V. Oladipo enters the game for C. Martin, ,12-14, , ,
7:18.0, , ,12-15,+1,O. Okongwu makes free throw 2 of 2,
7:03.0,Turnover by T. Herro (bad pass; steal by T. Young), ,12-15, , ,
6:59.0, , ,12-15, ,D. Murray misses 2-pt layup from 2 ft,
6:57.0,Defensive rebound by G. Vincent, ,12-15, , ,
6:45.0,J. Butler makes 2-pt layup from 1 ft (assist by V. Oladipo),+2,14-15, , ,
6:33.0, , ,14-18,+3,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),
6:19.0,T. Herro makes 2-pt jump shot from 11 ft (assist by V. Oladipo),+2,16-18, , ,
6:11.0, , ,16-21,+3,T. Young makes 3-pt jump shot from 26 ft,
6:11.0,Miami full timeout, ,16-21, , ,
6:11.0,O. Robinson enters the game for B. Adebayo, ,16-21, , ,
6:11.0,M. Strus enters the game for G. Vincent, ,16-21, , ,
6:11.0, , ,16-21, ,B. Bogdanović enters the game for T. Young,
5:57.0,Turnover by M. Strus (bad pass; steal by D. Murray), ,16-21, , ,
5:54.0, , ,16-23,+2,D. Murray makes 2-pt layup from 2 ft,
5:38.0,V. Oladipo makes 2-pt layup from 1 ft (assist by M. Strus),+2,18-23, , ,
5:23.0, , ,18-25,+2,J. Collins makes 2-pt jump shot from 16 ft,
5:07.0,Turnover by J. Butler (bad pass; steal by O. Okongwu), ,18-25, , ,
5:01.0, , ,18-25, ,Shooting foul by M. Strus (drawn by D. Hunter),
5:01.0, , ,18-26,+1,D. Hunter makes free throw 1 of 2,
5:01.0, , ,18-26, ,C. Capela enters the game for O. Okongwu,
5:01.0, , ,18-27,+1,D. Hunter makes free throw 2 of 2,
4:48.0,V. Oladipo makes 2-pt jump shot from 17 ft,+2,20-27, , ,
4:30.0, , ,20-29,+2,C. Capela makes 2-pt layup from 4 ft (assist by D. Hunter),
4:30.0, , ,20-29, ,Shooting foul by V. Oladipo (drawn by C. Capela),
4:30.0, , ,20-29, ,A. Holiday enters the game for J. Collins,
4:30.0, , ,20-29, ,T. Young enters the game for D. Murray,
4:30.0, , ,20-29, ,C. Capela misses free throw 1 of 1,
4:28.0,Defensive rebound by T. Herro, ,20-29, , ,
4:12.0,Shooting foul by A. Holiday (drawn by J. Butler), ,20-29, , ,
4:12.0,J. Butler makes free throw 1 of 2,+1,21-29, , ,
4:12.0,G. Vincent enters the game for T. Herro, ,21-29, , ,
4:12.0,J. Butler makes free throw 2 of 2,+1,22-29, , ,
3:54.0, , ,22-32,+3,T. Young makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),
3:35.0,J. Butler makes 2-pt layup at rim,+2,24-32, , ,
3:29.0, , ,24-32, ,B. Bogdanović misses 3-pt jump shot from 25 ft,
3:26.0,Defensive rebound by G. Vincent, ,24-32, , ,
3:14.0,Turnover by J. Butler (bad pass; steal by T. Young), ,24-32, , ,
3:05.0, , ,24-32, ,Shooting foul by G. Vincent (drawn by T. Young),
3:05.0, , ,24-33,+1,T. Young makes free throw 1 of 2,
3:05.0,B. Adebayo enters the game for J. Butler, ,24-33, , ,
3:05.0,T. Herro enters the game for O. Robinson, ,24-33, , ,
3:05.0,H. Highsmith enters the game for G. Vincent, ,24-33, , ,
3:05.0, , ,24-33, ,A. Griffin enters the game for D. Hunter,
3:05.0, , ,24-33, ,T. Young misses free throw 2 of 2,
3:03.0,Defensive rebound by H. Highsmith, ,24-33, , ,
2:52.0,H. Highsmith makes 2-pt hook shot from 2 ft (assist by M. Strus),+2,26-33, , ,
2:26.0, , ,26-33, ,B. Bogdanović misses 3-pt jump shot from 24 ft,
2:24.0,Defensive rebound by M. Strus, ,26-33, , ,
2:14.0,Turnover by M. Strus (bad pass; steal by B. Bogdanović), ,26-33, , ,
2:09.0, , ,26-33, ,B. Bogdanović misses 2-pt layup from 2 ft,
2:06.0,Defensive rebound by B. Adebayo, ,26-33, , ,
1:56.0,Turnover by B. Adebayo (lost ball; steal by B. Bogdanović), ,26-33, , ,
1:36.0, , ,26-33, ,C. Capela misses 2-pt hook shot from 5 ft,
1:34.0,Defensive rebound by T. Herro, ,26-33, , ,
1:22.0,T. Herro misses 2-pt jump shot from 11 ft, ,26-33, , ,
1:20.0, , ,26-33, ,Defensive rebound by C. Capela,
