A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Boston,
12:00.0,Jump ball: B. Adebayo vs. K. Porziņģis (D. White gains possession),
11:44.0, , ,0-3,+3,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Tatum),
11:26.0,B. Adebayo makes 2-pt jump shot from 10 ft,+2,2-3, , ,
11:13.0, , ,2-3, ,J. Brown misses 2-pt jump shot from 7 ft,
11:11.0,Defensive rebound by K. Love, ,2-3, , ,
11:06.0,K. Love misses 3-pt jump shot from 28 ft, ,2-3, , ,
11:00.0, , ,2-3, ,Defensive rebound by D. White,
10:53.0, , ,2-3, ,J. Tatum misses 2-pt layup from 3 ft,
10:51.0,Defensive rebound by T. Herro, ,2-3, , ,
10:44.0,T. Herro misses 3-pt jump shot from 28 ft, ,2-3, , ,
10:40.0, , ,2-3, ,Defensive rebound by J. Brown,
10:31.0, , ,2-3, ,K. Porziņģis misses 2-pt layup from 2 ft,
10:29.0, , ,2-3, ,Offensive rebound by K. Porziņģis,
10:28.0, , ,2-5,+2,K. Porziņģis makes 2-pt layup from 3 ft,
10:08.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by T. Herro),+3,5-5, , ,Tie
9:47.0, , ,5-5, ,J. Brown misses 3-pt jump shot from 27 ft,
9:45.0,Defensive rebound by K. Love, ,5-5, , ,
9:37.0,B. Adebayo misses 2-pt hook shot from 7 ft, ,5-5, , ,
9:35.0, , ,5-5, ,Defensive rebound by K. Porziņģis,
9:30.0, , ,5-5, ,D. White misses 2-pt layup from 3 ft,
9:28.0, , ,5-5, ,Offensive rebound by D. White,
9:27.0, , ,5-5, ,D. White misses 2-pt layup from 4 ft,
9:25.0,Defensive rebound by K. Love, ,5-5, , ,
9:19.0,T. Herro makes 2-pt jump shot from 19 ft (assist by K. Lowry),+2,7-5, , ,Lead change
9:03.0, , ,7-8,+3,D. White makes 3-pt jump shot from 23 ft (assist by J. Brown),Lead change
8:43.0,T. Herro makes 2-pt jump shot from 14 ft,+2,9-8, , ,Lead change
8:33.0, , ,9-8, ,J. Holiday misses 3-pt jump shot from 26 ft,
8:31.0,Defensive rebound by K. Love, ,9-8, , ,
8:27.0,J. Butler misses 2-pt dunk from 6 ft (block by D. White), ,9-8, , ,
8:23.0, , ,9-8, ,Defensive rebound by J. Holiday,
8:19.0, , ,9-8, ,J. Tatum misses 2-pt layup from 1 ft,
8:17.0,Defensive rebound by B. Adebayo, ,9-8, , ,
8:13.0, , ,9-8, ,Violation by Team (kicked ball),
8:01.0,B. Adebayo makes 2-pt dunk from 5 ft (assist by K. Lowry),+2,11-8, , ,
8:01.0,Shooting foul by K. Porziņģis (drawn by B. Adebayo), ,11-8, , ,
8:01.0,B. Adebayo misses free throw 1 of 1, ,11-8, , ,
7:59.0, , ,11-8, ,Defensive rebound by J. Tatum,
7:49.0, , ,11-8, ,J. Brown misses 2-pt layup from 2 ft,
7:47.0,Defensive rebound by K. Love, ,11-8, , ,
7:39.0,B. Adebayo makes 2-pt layup from 3 ft (assist by K. Love),+2,13-8, , ,
7:29.0, , ,13-11,+3,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Holiday),
7:03.0,T. Herro makes 2-pt jump shot from 8 ft,+2,15-11, , ,
6:52.0, , ,15-11, ,K. Porziņģis misses 3-pt jump shot from 32 ft,
6:48.0,Defensive rebound by K. Lowry, ,15-11, , ,
