A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Minnesota,
12:00.0,Jump ball: B. Adebayo vs. R. Gobert (K. Lowry gains possession),
12:00.0, , ,0-0, ,Violation by Team (delay of game),
11:40.0,N. Jović makes 3-pt jump shot from 26 ft (assist by T. Herro),+3,3-0, , ,
11:17.0, , ,3-0, ,K. Towns misses 2-pt jump shot from 18 ft,
11:15.0,Defensive rebound by B. Adebayo, ,3-0, , ,
11:13.0,Turnover by B. Adebayo (bad pass; steal by K. Towns), ,3-0, , ,
11:08.0, , ,3-2,+2,A. Edwards makes 2-pt jump shot from 20 ft,
10:56.0,T. Herro misses 3-pt jump shot from 28 ft, ,3-2, , ,
10:53.0, , ,3-2, ,Defensive rebound by R. Gobert,
10:48.0, , ,3-2, ,Personal foul by B. Adebayo (drawn by R. Gobert),
10:39.0, , ,3-2, ,A. Edwards misses 2-pt jump shot from 21 ft,
10:33.0,Defensive rebound by T. Herro, ,3-2, , ,
10:28.0,J. Jaquez makes 2-pt layup from 3 ft (assist by K. Lowry),+2,5-2, , ,
10:18.0, , ,5-2, ,Personal foul by N. Jović (drawn by R. Gobert),
10:10.0, , ,5-2, ,N. Alexander-Walker misses 2-pt layup from 6 ft,
10:07.0,Defensive rebound by N. Jović, ,5-2, , ,
10:04.0,T. Herro makes 3-pt jump shot from 26 ft (assist by N. Jović),+3,8-2, , ,
9:43.0, , ,8-4,+2,M. Conley makes 2-pt jump shot from 6 ft (assist by N. Alexander-Walker),
9:35.0,N. Jović misses 3-pt jump shot from 25 ft, ,8-4, , ,
9:33.0, , ,8-4, ,Defensive rebound by A. Edwards,
9:28.0, , ,8-4, ,K. Towns misses 3-pt jump shot from 26 ft,
9:25.0,Defensive rebound by N. Jović, ,8-4, , ,
9:12.0,B. Adebayo makes 2-pt jump shot from 8 ft,+2,10-4, , ,
8:56.0, , ,10-6,+2,R. Gobert makes 2-pt dunk from 2 ft (assist by M. Conley),
8:30.0,J. Jaquez makes 2-pt layup from 3 ft (assist by K. Lowry),+2,12-6, , ,
8:19.0, , ,12-6, ,N. Alexander-Walker misses 3-pt jump shot from 25 ft,
