A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Milwaukee,
12:00.0,Jump ball: T. Bryant vs. B. Lopez (K. Love gains possession),
11:40.0,K. Love misses 2-pt jump shot from 18 ft, ,0-0, , ,
11:37.0, , ,0-0, ,Defensive rebound by K. Middleton,
11:31.0, , ,0-0, ,B. Lopez misses 3-pt jump shot from 25 ft,
11:27.0,Defensive rebound by K. Love, ,0-0, , ,
11:14.0,Personal foul by G. Antetokounmpo (drawn by J. Butler), ,0-0, , ,
11:08.0,T. Bryant makes 2-pt dunk from 4 ft (assist by T. Herro),+2,2-0, , ,
10:54.0, , ,2-2,+2,G. Antetokounmpo makes 2-pt layup from 6 ft,Tie
10:54.0, , ,2-2, ,Shooting foul by K. Love (drawn by G. Antetokounmpo),
10:54.0, , ,2-3,+1,G. Antetokounmpo makes free throw 1 of 1,Lead change
10:38.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by J. Butler),+3,5-3, , ,Lead change
10:25.0, , ,5-5,+2,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),Tie
10:25.0, , ,5-5, ,Violation by Team (delay of game),
10:09.0,K. Love misses 3-pt jump shot from 27 ft, ,5-5, , ,
10:04.0, , ,5-5, ,Defensive rebound by B. Lopez,
9:57.0, , ,5-5, ,G. Antetokounmpo misses 2-pt jump shot from 18 ft,
9:54.0,Defensive rebound by K. Lowry, ,5-5, , ,
9:46.0,T. Bryant makes 2-pt layup from 4 ft (assist by K. Love),+2,7-5, , ,
9:40.0, , ,7-5, ,Offensive foul by K. Middleton (drawn by K. Lowry),
9:40.0, , ,7-5, ,Turnover by K. Middleton (offensive foul),
9:17.0,T. Bryant misses 3-pt jump shot from 28 ft, ,7-5, , ,
9:16.0, , ,7-5, ,Defensive rebound by G. Antetokounmpo,
9:01.0, , ,7-7,+2,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by D. Lillard),Tie
8:46.0,T. Bryant misses 2-pt jump shot from 10 ft, ,7-7, , ,
8:44.0, , ,7-7, ,Defensive rebound by K. Middleton,
8:39.0, , ,7-7, ,G. Antetokounmpo misses 2-pt layup from 2 ft,
8:36.0,Defensive rebound by K. Love, ,7-7, , ,
8:28.0,T. Bryant makes 2-pt layup from 3 ft (assist by K. Love),+2,9-7, , ,
8:16.0, , ,9-10,+3,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by B. Lopez),Lead change
7:53.0,T. Herro makes 2-pt jump shot from 16 ft,+2,11-10, , ,Lead change
7:32.0, , ,11-10, ,M. Beasley misses 3-pt jump shot from 26 ft,
7:28.0,Defensive rebound by K. Lowry, ,11-10, , ,
7:26.0,K. Lowry misses 3-pt jump shot from 28 ft, ,11-10, , ,
7:23.0, , ,11-10, ,Defensive rebound by G. Antetokounmpo,
7:14.0, , ,11-10, ,G. Antetokounmpo misses 2-pt jump shot from 17 ft,
7:11.0, , ,11-10, ,Offensive rebound by B. Lopez,
7:08.0, , ,11-10, ,M. Beasley misses 3-pt jump shot from 27 ft,
7:08.0,Defensive rebound by K. Lowry, ,11-10, , ,
7:04.0,J. Butler makes 2-pt dunk from 3 ft (assist by K. Lowry),+2,13-10, , ,
7:04.0, , ,13-10, ,Milwaukee full timeout,
6:47.0, , ,13-13,+3,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Beasley),Tie
6:31.0,Offensive foul by K. Lowry (drawn by G. Antetokounmpo), ,13-13, , ,
6:31.0,Turnover by K. Lowry (offensive foul), ,13-13, , ,
6:31.0, , ,13-13, ,J. Crowder enters the game for G. Antetokounmpo,
6:20.0, , ,13-15,+2,B. Lopez makes 2-pt dunk from 2 ft (assist by K. Middleton),Lead change
6:02.0,Shooting foul by B. Lopez (drawn by T. Bryant), ,13-15, , ,
6:02.0,T. Bryant makes free throw 1 of 2,+1,14-15, , ,
6:02.0,J. Richardson enters the game for T. Herro, ,14-15, , ,
6:02.0, , ,14-15, ,P. Connaughton enters the game for K. Middleton,
6:02.0,T. Bryant makes free throw 2 of 2,+1,15-15, , ,Tie
5:49.0, , ,15-15, ,D. Lillard misses 3-pt jump shot from 26 ft,
5:45.0,Defensive rebound by J. Richardson, ,15-15, , ,
5:40.0,Shooting foul by D. Lillard (drawn by J. Butler), ,15-15, , ,
5:40.0,J. Butler makes free throw 1 of 2,+1,16-15, , ,Lead change
5:40.0,J. Butler makes free throw 2 of 2,+1,17-15, , ,
5:20.0, , ,17-15, ,Offensive foul by J. Crowder (drawn by K. Lowry),
5:20.0, , ,17-15, ,Turnover by J. Crowder (offensive foul),
