A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Atlanta,
12:00.0,Jump ball: B. Adebayo vs. C. Capela (K. Lowry gains possession),
11:40.0,J. Jaquez misses 3-pt jump shot from 22 ft, ,0-0, , ,
11:36.0, , ,0-0, ,Defensive rebound by C. Capela,
11:22.0, , ,0-0, ,D. Hunter misses 2-pt jump shot from 16 ft,
11:17.0,Defensive rebound by B. Adebayo, ,0-0, , ,
11:11.0,K. Lowry misses 2-pt layup from 5 ft, ,0-0, , ,
11:08.0, , ,0-0, ,Defensive rebound by D. Hunter,
11:03.0, , ,0-0, ,T. Young misses 2-pt layup from 1 ft,
10:58.0, , ,0-0, ,Offensive rebound by C. Capela,
10:58.0, , ,0-2,+2,C. Capela makes 2-pt layup at rim,
10:50.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Jaquez),+2,2-2, , ,Tie
10:31.0, , ,2-5,+3,D. Murray makes 3-pt jump shot from 24 ft (assist by T. Young),
10:16.0,J. Jaquez makes 2-pt layup at rim (assist by H. Highsmith),+2,4-5, , ,
9:57.0, , ,4-5, ,D. Hunter misses 3-pt jump shot from 25 ft,
9:54.0,Defensive rebound by H. Highsmith, ,4-5, , ,
9:44.0,J. Jaquez misses 3-pt jump shot from 22 ft, ,4-5, , ,
9:42.0, , ,4-5, ,Defensive rebound by C. Capela,
9:38.0, , ,4-5, ,D. Murray misses 3-pt jump shot from 25 ft,
9:35.0,Defensive rebound by B. Adebayo, ,4-5, , ,
9:28.0,B. Adebayo makes 2-pt jump shot from 11 ft,+2,6-5, , ,Lead change
9:17.0, , ,6-5, ,T. Young misses 2-pt jump shot from 19 ft,
9:14.0, , ,6-5, ,Offensive rebound by C. Capela,
9:11.0, , ,6-5, ,J. Johnson misses 2-pt jump shot from 7 ft,
9:07.0,Defensive rebound by J. Jaquez, ,6-5, , ,
9:02.0,D. Robinson makes 2-pt layup from 1 ft (assist by J. Jaquez),+2,8-5, , ,
8:37.0, , ,8-5, ,D. Hunter misses 3-pt jump shot from 26 ft,
8:35.0,Defensive rebound by H. Highsmith, ,8-5, , ,
8:30.0,D. Robinson makes 2-pt layup at rim (assist by K. Lowry),+2,10-5, , ,
8:30.0, , ,10-5, ,Atlanta full timeout,
8:09.0, , ,10-7,+2,J. Johnson makes 2-pt jump shot from 7 ft,
7:45.0,B. Adebayo makes 2-pt jump shot from 12 ft,+2,12-7, , ,
7:34.0, , ,12-9,+2,D. Hunter makes 2-pt jump shot from 11 ft (assist by T. Young),
7:17.0,B. Adebayo makes 2-pt jump shot from 10 ft,+2,14-9, , ,
7:00.0, , ,14-9, ,C. Capela misses 2-pt hook shot from 6 ft,
6:58.0,Defensive rebound by H. Highsmith, ,14-9, , ,
6:44.0,H. Highsmith misses 3-pt jump shot from 25 ft, ,14-9, , ,
6:40.0,Offensive rebound by J. Jaquez, ,14-9, , ,
6:39.0,Shooting foul by J. Johnson (drawn by H. Highsmith), ,14-9, , ,
6:39.0,H. Highsmith makes free throw 1 of 3,+1,15-9, , ,
6:39.0,H. Highsmith misses free throw 2 of 3, ,15-9, , ,
6:39.0,Offensive rebound by Team, ,15-9, , ,
6:39.0, , ,15-9, ,B. Bogdanović enters the game for T. Young,
6:39.0,H. Highsmith makes free throw 3 of 3,+1,16-9, , ,
6:26.0, , ,16-9, ,D. Murray misses 2-pt layup from 4 ft (block by B. Adebayo),
6:23.0, , ,16-9, ,Offensive rebound by C. Capela,
6:18.0, , ,16-9, ,B. Bogdanović misses 3-pt jump shot from 23 ft,
6:16.0,Defensive rebound by B. Adebayo, ,16-9, , ,
6:07.0,J. Jaquez makes 2-pt layup from 2 ft (assist by B. Adebayo),+2,18-9, , ,
5:54.0, , ,18-9, ,Atlanta full timeout,
5:54.0,K. Love enters the game for B. Adebayo, ,18-9, , ,
5:54.0,J. Richardson enters the game for D. Robinson, ,18-9, , ,
5:54.0, , ,18-9, ,S. Bey enters the game for J. Johnson,
5:51.0, , ,18-9, ,Turnover by B. Bogdanović (bad pass; steal by H. Highsmith),
5:48.0,H. Highsmith makes 2-pt dunk from 1 ft,+2,20-9, , ,
5:25.0, , ,20-9, ,B. Bogdanović misses 3-pt jump shot from 25 ft,
5:22.0, , ,20-9, ,Offensive rebound by C. Capela,
5:18.0, , ,20-9, ,Turnover by D. Hunter (traveling),
5:18.0, , ,20-9, ,O. Okongwu enters the game for C. Capela,
5:06.0,K. Love makes 2-pt jump shot from 7 ft (assist by J. Jaquez),+2,22-9, , ,
4:49.0, , ,22-9, ,Shooting foul by H. Highsmith (drawn by D. Hunter),
4:49.0, , ,22-10,+1,D. Hunter makes free throw 1 of 2,
4:49.0, , ,22-11,+1,D. Hunter makes free throw 2 of 2,
4:31.0,J. Jaquez misses 3-pt jump shot from 25 ft, ,22-11, , ,
4:28.0,Offensive rebound by H. Highsmith, ,22-11, , ,
4:25.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by H. Highsmith),+3,25-11, , ,
4:08.0, , ,25-11, ,S. Bey misses 2-pt layup from 4 ft,
4:06.0,Defensive rebound by K. Love, ,25-11, , ,
3:54.0,K. Lowry makes 3-pt jump shot from 26 ft,+3,28-11, , ,
3:42.0, , ,28-13,+2,D. Murray makes 2-pt jump shot from 9 ft,
3:37.0,J. Richardson makes 2-pt layup from 2 ft (assist by K. Love),+2,30-13, , ,
3:16.0, , ,30-15,+2,D. Hunter makes 2-pt layup from 2 ft (assist by D. Murray),
3:09.0,K. Love makes 3-pt jump shot from 25 ft (assist by K. Lowry),+3,33-15, , ,
2:48.0, , ,33-18,+3,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by O. Okongwu),
2:47.0,Miami full timeout, ,33-18, , ,
2:47.0,B. Adebayo enters the game for H. Highsmith, ,33-18, , ,
2:47.0,D. Smith enters the game for J. Jaquez, ,33-18, , ,
2:47.0, , ,33-18, ,W. Matthews enters the game for D. Hunter,
2:47.0, , ,33-18, ,T. Young enters the game for D. Murray,
2:27.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by K. Lowry),+3,36-18, , ,
2:10.0, , ,36-21,+3,T. Young makes 3-pt jump shot from 28 ft,
2:02.0,Shooting foul by W. Matthews (drawn by K. Lowry), ,36-21, , ,
2:02.0,K. Lowry makes free throw 1 of 2,+1,37-21, , ,
2:02.0,K. Lowry makes free throw 2 of 2,+1,38-21, , ,
1:47.0, , ,38-21, ,Offensive foul by W. Matthews (drawn by K. Love),
1:47.0, , ,38-21, ,Turnover by W. Matthews (offensive foul),
1:47.0, , ,38-21, ,Technical foul by Q. Snyder,
1:47.0, , ,38-21, ,Atlanta full timeout,
1:47.0, , ,38-21, ,Instant Replay (Challenge: Ruling Stands),
1:47.0,J. Richardson makes technical free throw,+1,39-21, , ,
1:47.0,D. Robinson enters the game for K. Lowry, ,39-21, , ,
1:35.0,B. Adebayo misses 2-pt layup at rim, ,39-21, , ,
1:33.0, , ,39-21, ,Defensive rebound by W. Matthews,
1:29.0, , ,39-21, ,S. Bey misses 3-pt jump shot from 27 ft,
1:27.0,Defensive rebound by D. Robinson, ,39-21, , ,
1:07.0,D. Robinson misses 3-pt jump shot from 24 ft, ,39-21, , ,
1:04.0, , ,39-21, ,Defensive rebound by S. Bey,
0:54.0, , ,39-24,+3,S. Bey makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),
0:45.0,Turnover by D. Smith (bad pass; steal by T. Young), ,39-24, , ,
