A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,San Antonio,
12:00.0,Jump ball: B. Adebayo vs. V. Wembanyama (J. Richardson gains possession),
11:43.0,B. Adebayo misses 2-pt jump shot from 14 ft, ,0-0, , ,
11:39.0, , ,0-0, ,Defensive rebound by V. Wembanyama,
11:32.0, , ,0-0, ,Z. Collins misses 2-pt jump shot from 14 ft,
11:29.0,Defensive rebound by D. Robinson, ,0-0, , ,
11:15.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by D. Robinson),+2,2-0, , ,
10:51.0, , ,2-3,+3,Z. Collins makes 3-pt jump shot from 24 ft (assist by J. Sochan),Lead change
10:35.0,J. Richardson misses 3-pt jump shot from 25 ft (block by K. Johnson), ,2-3, , ,
10:31.0, , ,2-3, ,Defensive rebound by J. Sochan,
10:25.0, , ,2-5,+2,D. Vassell makes 2-pt jump shot from 18 ft (assist by J. Sochan),
9:59.0,B. Adebayo misses 2-pt jump shot from 13 ft, ,2-5, , ,
9:57.0, , ,2-5, ,Defensive rebound by V. Wembanyama,
9:43.0, , ,2-5, ,J. Sochan misses 2-pt jump shot from 7 ft,
9:40.0, , ,2-5, ,Offensive rebound by J. Sochan,
9:38.0, , ,2-5, ,V. Wembanyama misses 3-pt jump shot from 27 ft,
9:36.0,Defensive rebound by J. Richardson, ,2-5, , ,
9:24.0,D. Robinson misses 3-pt jump shot from 26 ft, ,2-5, , ,
9:20.0, , ,2-5, ,Defensive rebound by V. Wembanyama,
9:15.0, , ,2-5, ,V. Wembanyama misses 2-pt jump shot from 5 ft,
9:12.0,Defensive rebound by B. Adebayo, ,2-5, , ,
9:10.0,J. Richardson makes 2-pt dunk from 1 ft (assist by B. Adebayo),+2,4-5, , ,
8:55.0, , ,4-5, ,D. Vassell misses 3-pt jump shot from 25 ft,
8:50.0,Defensive rebound by D. Robinson, ,4-5, , ,
8:38.0,J. Richardson misses 2-pt jump shot from 16 ft, ,4-5, , ,
8:34.0, , ,4-5, ,Defensive rebound by J. Sochan,
8:25.0, , ,4-7,+2,K. Johnson makes 2-pt layup from 4 ft (assist by V. Wembanyama),
8:11.0,J. Butler misses 2-pt jump shot from 14 ft, ,4-7, , ,
8:07.0,Offensive rebound by D. Robinson, ,4-7, , ,
8:07.0,D. Robinson misses 2-pt layup from 1 ft, ,4-7, , ,
8:07.0, , ,4-7, ,Defensive rebound by Z. Collins,
7:58.0, , ,4-9,+2,V. Wembanyama makes 2-pt jump shot from 13 ft (assist by D. Vassell),
7:46.0,Shooting foul by Z. Collins (drawn by B. Adebayo), ,4-9, , ,
7:46.0,B. Adebayo makes free throw 1 of 2,+1,5-9, , ,
7:46.0,B. Adebayo misses free throw 2 of 2, ,5-9, , ,
7:43.0, , ,5-9, ,Defensive rebound by D. Vassell,
7:38.0, , ,5-9, ,Personal foul by J. Richardson (drawn by J. Sochan),
7:32.0, , ,5-9, ,V. Wembanyama misses 3-pt jump shot from 26 ft,
