A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Chicago,
12:00.0,Jump ball: B. Adebayo vs. N. Vučević (J. Butler gains possession),
11:35.0,J. Butler makes 3-pt jump shot from 25 ft (assist by D. Robinson),+3,3-0, , ,
11:06.0, , ,3-0, ,C. White misses 3-pt jump shot from 26 ft,
11:04.0,Defensive rebound by H. Highsmith, ,3-0, , ,
10:57.0,Turnover by H. Highsmith (bad pass; steal by D. DeRozan), ,3-0, , ,
10:47.0, , ,3-0, ,Turnover by Z. LaVine (lost ball; steal by H. Highsmith),
10:34.0,D. Robinson misses 3-pt jump shot from 26 ft, ,3-0, , ,
10:32.0, , ,3-0, ,Defensive rebound by Z. LaVine,
10:22.0, , ,3-0, ,Turnover by N. Vučević (lost ball; steal by K. Lowry),
10:14.0,B. Adebayo makes 2-pt jump shot from 6 ft,+2,5-0, , ,
10:02.0, , ,5-0, ,Shooting foul by K. Lowry (drawn by A. Caruso),
10:02.0, , ,5-0, ,A. Caruso misses free throw 1 of 2,
10:02.0, , ,5-0, ,Offensive rebound by Team,
10:02.0, , ,5-1,+1,A. Caruso makes free throw 2 of 2,
9:51.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Lowry),+2,7-1, , ,
9:31.0, , ,7-1, ,C. White misses 2-pt jump shot from 11 ft,
9:30.0,Defensive rebound by Team, ,7-1, , ,
9:21.0,D. Robinson makes 2-pt jump shot from 8 ft (assist by K. Lowry),+2,9-1, , ,
9:15.0, , ,9-1, ,Chicago full timeout,
9:04.0, , ,9-1, ,N. Vučević misses 2-pt jump shot from 17 ft,
8:59.0,Defensive rebound by J. Butler, ,9-1, , ,
8:41.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),+3,12-1, , ,
8:29.0, , ,12-1, ,C. White misses 3-pt jump shot from 25 ft,
8:26.0,Defensive rebound by J. Butler, ,12-1, , ,
8:26.0,Turnover by J. Butler (bad pass; steal by C. White), ,12-1, , ,
8:14.0, , ,12-1, ,A. Caruso misses 2-pt jump shot from 22 ft,
8:11.0,Defensive rebound by B. Adebayo, ,12-1, , ,
