A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Cleveland,
12:00.0,Jump ball: T. Bryant vs. J. Allen (D. Garland gains possession),
11:41.0, , ,0-0, ,M. Strus misses 2-pt jump shot from 3 ft,
11:39.0,Defensive rebound by T. Bryant, ,0-0, , ,
11:33.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),+3,3-0, , ,
11:12.0, , ,3-0, ,C. Porter misses 3-pt jump shot from 23 ft,
11:10.0,Defensive rebound by H. Highsmith, ,3-0, , ,
10:53.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by T. Bryant),+3,6-0, , ,
10:35.0, , ,6-0, ,D. Garland misses 2-pt jump shot from 10 ft,
10:32.0,Defensive rebound by T. Bryant, ,6-0, , ,
10:24.0,J. Butler misses 3-pt jump shot from 25 ft, ,6-0, , ,
10:22.0, , ,6-0, ,Defensive rebound by J. Allen,
10:14.0, , ,6-2,+2,J. Allen makes 2-pt dunk from 2 ft (assist by M. Strus),
9:53.0,J. Butler makes 3-pt jump shot from 23 ft (assist by K. Lowry),+3,9-2, , ,
9:37.0, , ,9-2, ,Turnover by J. Allen (bad pass; steal by J. Butler),
9:31.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Butler),+2,11-2, , ,
9:31.0, , ,11-2, ,Cleveland full timeout,
9:09.0, , ,11-2, ,Turnover by E. Mobley (step out of bounds),
8:49.0,Shooting foul by J. Allen (drawn by T. Bryant), ,11-2, , ,
8:49.0,T. Bryant makes free throw 1 of 2,+1,12-2, , ,
8:49.0,T. Bryant makes free throw 2 of 2,+1,13-2, , ,
8:34.0, , ,13-2, ,Personal foul by H. Highsmith (drawn by E. Mobley),
8:30.0, , ,13-2, ,Personal foul by D. Robinson (drawn by J. Allen),
8:24.0, , ,13-2, ,M. Strus misses 3-pt jump shot from 25 ft,
8:22.0,Defensive rebound by T. Bryant, ,13-2, , ,
8:12.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by H. Highsmith),+3,16-2, , ,
7:59.0, , ,16-4,+2,D. Garland makes 2-pt jump shot from 19 ft,
7:43.0,H. Highsmith misses 2-pt hook shot from 3 ft, ,16-4, , ,
7:40.0, , ,16-4, ,Defensive rebound by E. Mobley,
7:33.0, , ,16-7,+3,C. Porter makes 3-pt jump shot from 24 ft (assist by E. Mobley),
7:26.0,J. Butler misses 3-pt jump shot from 25 ft, ,16-7, , ,
7:26.0, , ,16-7, ,Defensive rebound by E. Mobley,
7:16.0, , ,16-7, ,Turnover by C. Porter (bad pass; steal by T. Bryant),
7:11.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by H. Highsmith),+3,19-7, , ,
6:53.0, , ,19-9,+2,D. Garland makes 2-pt jump shot from 8 ft,
6:29.0,J. Butler misses 2-pt jump shot from 11 ft, ,19-9, , ,
6:27.0, , ,19-9, ,Defensive rebound by M. Strus,
6:26.0, , ,19-9, ,M. Strus misses 2-pt layup from 2 ft (block by T. Bryant),
6:24.0, , ,19-9, ,Offensive rebound by E. Mobley,
6:23.0, , ,19-11,+2,E. Mobley makes 2-pt layup at rim,
6:03.0,D. Robinson misses 3-pt jump shot from 23 ft, ,19-11, , ,
6:01.0, , ,19-11, ,Defensive rebound by E. Mobley,
6:00.0, , ,19-11, ,Personal foul by D. Robinson (drawn by M. Strus),
6:00.0,J. Jaquez enters the game for D. Robinson, ,19-11, , ,
6:00.0, , ,19-11, ,C. LeVert enters the game for J. Allen,
6:00.0, , ,19-11, ,T. Thompson enters the game for C. Porter,
5:53.0, , ,19-11, ,D. Garland misses 2-pt jump shot from 5 ft (block by H. Highsmith),
5:51.0, , ,19-11, ,Offensive rebound by T. Thompson,
5:47.0, , ,19-13,+2,E. Mobley makes 2-pt layup from 1 ft (assist by C. LeVert),
5:47.0, , ,19-13, ,Shooting foul by T. Bryant (drawn by E. Mobley),
5:47.0, , ,19-14,+1,E. Mobley makes free throw 1 of 1,
5:26.0,J. Butler misses 2-pt jump shot from 11 ft, ,19-14, , ,
5:26.0, , ,19-14, ,Defensive rebound by C. LeVert,
5:17.0, , ,19-16,+2,E. Mobley makes 2-pt layup from 1 ft (assist by C. LeVert),
5:17.0,Miami full timeout, ,19-16, , ,
5:17.0,O. Robinson enters the game for T. Bryant, ,19-16, , ,
5:04.0,Personal foul by D. Garland (drawn by J. Butler), ,19-16, , ,
4:50.0,O. Robinson makes 2-pt layup from 1 ft (assist by H. Highsmith),+2,21-16, , ,
4:32.0, , ,21-16, ,D. Garland misses 2-pt jump shot from 8 ft,
4:30.0,Defensive rebound by O. Robinson, ,21-16, , ,
4:20.0,Shooting foul by T. Thompson (drawn by J. Butler), ,21-16, , ,
4:20.0,J. Butler makes free throw 1 of 2,+1,22-16, , ,
4:20.0, , ,22-16, ,G. Niang enters the game for M. Strus,
4:20.0,J. Butler misses free throw 2 of 2, ,22-16, , ,
4:18.0, , ,22-16, ,Defensive rebound by G. Niang,
4:09.0, , ,22-16, ,Shooting foul by H. Highsmith (drawn by D. Garland),
4:09.0, , ,22-17,+1,D. Garland makes free throw 1 of 2,
4:09.0,C. Martin enters the game for H. Highsmith, ,22-17, , ,
4:09.0, , ,22-17, ,D. Garland misses free throw 2 of 2,
4:07.0,Defensive rebound by C. Martin, ,22-17, , ,
3:57.0,Shooting foul by G. Niang (drawn by J. Butler), ,22-17, , ,
3:57.0,J. Butler makes free throw 1 of 2,+1,23-17, , ,
3:57.0,J. Butler makes free throw 2 of 2,+1,24-17, , ,
3:57.0, , ,24-17, ,J. Allen enters the game for D. Garland,
3:57.0, , ,24-17, ,S. Merrill enters the game for E. Mobley,
3:57.0, , ,24-17, ,C. Porter enters the game for T. Thompson,
3:45.0, , ,24-20,+3,C. LeVert makes 3-pt jump shot from 24 ft (assist by C. Porter),
3:30.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Butler),+3,27-20, , ,
3:16.0, , ,27-20, ,Turnover by C. Porter (bad pass; steal by O. Robinson),
3:13.0,O. Robinson makes 2-pt dunk from 1 ft,+2,29-20, , ,
3:00.0, , ,29-20, ,Offensive foul by S. Merrill (drawn by K. Lowry),
3:00.0, , ,29-20, ,Turnover by S. Merrill (offensive foul),
2:39.0,Offensive foul by J. Jaquez (drawn by S. Merrill), ,29-20, , ,
2:39.0,Turnover by J. Jaquez (offensive foul), ,29-20, , ,
2:24.0, , ,29-20, ,C. LeVert misses 2-pt jump shot from 11 ft,
2:21.0,Defensive rebound by J. Butler, ,29-20, , ,
2:16.0,K. Lowry misses 3-pt jump shot from 32 ft, ,29-20, , ,
2:12.0, , ,29-20, ,Defensive rebound by J. Allen,
2:02.0, , ,29-20, ,Shooting foul by O. Robinson (drawn by C. LeVert),
2:02.0, , ,29-21,+1,C. LeVert makes free throw 1 of 2,
2:02.0,J. Richardson enters the game for K. Lowry, ,29-21, , ,
2:02.0, , ,29-22,+1,C. LeVert makes free throw 2 of 2,
1:40.0,J. Richardson misses 3-pt jump shot from 25 ft, ,29-22, , ,
1:37.0, , ,29-22, ,Defensive rebound by J. Allen,
1:37.0,D. Robinson enters the game for J. Butler, ,29-22, , ,
1:23.0, , ,29-24,+2,C. LeVert makes 2-pt jump shot from 9 ft,
1:12.0,D. Robinson misses 2-pt jump shot from 6 ft, ,29-24, , ,
1:11.0,Offensive rebound by O. Robinson, ,29-24, , ,
1:09.0,O. Robinson makes 2-pt layup at rim,+2,31-24, , ,
0:52.0, , ,31-26,+2,C. LeVert makes 2-pt jump shot from 10 ft (assist by J. Allen),
0:46.0,Personal foul by C. Porter (drawn by J. Richardson), ,31-26, , ,
0:46.0,J. Richardson makes free throw 1 of 2,+1,32-26, , ,
0:46.0, , ,32-26, ,D. Garland enters the game for C. Porter,
0:46.0,J. Richardson makes free throw 2 of 2,+1,33-26, , ,
0:30.0, , ,33-26, ,C. LeVert misses 3-pt jump shot from 25 ft,
0:30.0,Defensive rebound by Team, ,33-26, , ,
0:14.0,C. Martin makes 2-pt jump shot from 20 ft,+2,35-26, , ,
0:03.0, , ,35-26, ,Turnover by D. Garland (lost ball; steal by J. Richardson),
0:00.0,Shooting foul by S. Merrill (drawn by C. Martin), ,35-26, , ,
0:00.0,Instant Replay (Request: Ruling Stands), ,35-26, , ,
0:00.0,C. Martin makes free throw 1 of 2,+1,36-26, , ,
0:00.0,C. Martin makes free throw 2 of 2,+1,37-26, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Cleveland,
12:00.0,Start of 2nd quarter,
11:46.0,Turnover by J. Jaquez (bad pass), ,37-26, , ,
11:30.0, , ,37-26, ,Turnover by M. Strus (bad pass; steal by C. Martin),
11:23.0,C. Martin misses 2-pt layup from 5 ft (block by C. LeVert), ,37-26, , ,
11:23.0,Offensive rebound by Team, ,37-26, , ,
11:14.0,J. Jaquez makes 2-pt jump shot from 8 ft,+2,39-26, , ,
10:55.0, , ,39-26, ,Shooting foul by O. Robinson (drawn by J. Allen),
10:55.0, , ,39-27,+1,J. Allen makes free throw 1 of 2,
10:55.0, , ,39-28,+1,J. Allen makes free throw 2 of 2,
10:42.0,J. Jaquez makes 2-pt hook shot from 7 ft,+2,41-28, , ,
10:19.0, , ,41-28, ,C. LeVert misses 2-pt jump shot from 12 ft,
10:17.0,Defensive rebound by J. Jaquez, ,41-28, , ,
10:12.0,J. Jaquez misses 2-pt dunk from 3 ft, ,41-28, , ,
10:10.0, , ,41-28, ,Defensive rebound by C. LeVert,
10:08.0, , ,41-28, ,Turnover by C. LeVert (step out of bounds),
9:54.0,J. Jaquez misses 2-pt jump shot from 19 ft, ,41-28, , ,
9:51.0,Offensive rebound by O. Robinson, ,41-28, , ,
9:49.0,O. Robinson makes 2-pt layup from 2 ft,+2,43-28, , ,
9:49.0, , ,43-28, ,T. Thompson enters the game for J. Allen,
9:41.0,Jump ball: C. LeVert vs. J. Richardson (C. Porter gains possession),
9:34.0, , ,43-28, ,Turnover by C. Porter (bad pass; steal by C. Martin),
9:32.0,C. Martin makes 2-pt dunk from 1 ft,+2,45-28, , ,
9:23.0, , ,45-31,+3,G. Niang makes 3-pt jump shot from 26 ft (assist by C. Porter),
9:18.0,Shooting foul by G. Niang (drawn by J. Jaquez), ,45-31, , ,
9:18.0,J. Jaquez makes free throw 1 of 2,+1,46-31, , ,
9:18.0, , ,46-31, ,D. Garland enters the game for C. LeVert,
9:18.0,J. Jaquez makes free throw 2 of 2,+1,47-31, , ,
9:06.0, , ,47-31, ,Personal foul by D. Robinson (drawn by C. Porter),
9:06.0,D. Smith enters the game for D. Robinson, ,47-31, , ,
8:53.0, , ,47-31, ,Turnover by M. Strus (traveling),
8:39.0,J. Jaquez misses 2-pt jump shot from 9 ft, ,47-31, , ,
8:39.0,Offensive rebound by Team, ,47-31, , ,
8:39.0, , ,47-31, ,E. Mobley enters the game for C. Porter,
8:33.0,J. Richardson misses 2-pt layup from 2 ft, ,47-31, , ,
8:32.0, , ,47-31, ,Defensive rebound by T. Thompson,
8:19.0, , ,47-34,+3,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Niang),
8:03.0,C. Martin misses 3-pt jump shot from 26 ft, ,47-34, , ,
8:00.0, , ,47-34, ,Defensive rebound by D. Garland,
7:59.0, , ,47-34, ,Personal foul by D. Smith (drawn by D. Garland),
7:54.0, , ,47-34, ,M. Strus misses 3-pt jump shot from 23 ft,
7:51.0,Defensive rebound by J. Jaquez, ,47-34, , ,
7:46.0,Turnover by J. Jaquez (bad pass; steal by D. Garland), ,47-34, , ,
7:45.0, , ,47-36,+2,D. Garland makes 2-pt layup at rim,
7:45.0,Miami full timeout, ,47-36, , ,
7:45.0,K. Lowry enters the game for D. Smith, ,47-36, , ,
7:20.0,K. Lowry makes 2-pt jump shot from 6 ft (assist by J. Richardson),+2,49-36, , ,
7:11.0, , ,49-38,+2,E. Mobley makes 2-pt hook shot from 8 ft (assist by D. Garland),
7:03.0,C. Martin makes 3-pt jump shot from 24 ft (assist by J. Richardson),+3,52-38, , ,
6:46.0, , ,52-41,+3,G. Niang makes 3-pt jump shot from 30 ft (assist by M. Strus),
6:26.0,Personal foul by G. Niang (drawn by J. Richardson), ,52-41, , ,
6:26.0,J. Butler enters the game for C. Martin, ,52-41, , ,
6:26.0, , ,52-41, ,C. LeVert enters the game for M. Strus,
6:12.0,J. Butler makes 2-pt jump shot from 21 ft,+2,54-41, , ,
5:49.0, , ,54-41, ,G. Niang misses 2-pt jump shot from 4 ft,
5:44.0, , ,54-41, ,Offensive rebound by G. Niang,
5:43.0, , ,54-41, ,G. Niang misses 2-pt hook shot from 4 ft,
5:40.0,Defensive rebound by O. Robinson, ,54-41, , ,
5:23.0,Turnover by O. Robinson (traveling), ,54-41, , ,
5:23.0,T. Bryant enters the game for O. Robinson, ,54-41, , ,
5:23.0, , ,54-41, ,J. Allen enters the game for T. Thompson,
5:04.0, , ,54-41, ,G. Niang misses 2-pt jump shot from 21 ft,
