A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,New York,
12:00.0,Jump ball: B. Adebayo vs. M. Robinson (K. Lowry gains possession),
11:39.0,J. Butler misses 2-pt jump shot from 12 ft, ,0-0, , ,
11:37.0, , ,0-0, ,Defensive rebound by M. Robinson,
11:19.0, , ,0-3,+3,J. Randle makes 3-pt jump shot from 25 ft (assist by R. Barrett),
11:01.0,Shooting foul by M. Robinson (drawn by B. Adebayo), ,0-3, , ,
11:01.0,B. Adebayo misses free throw 1 of 2, ,0-3, , ,
11:01.0,Offensive rebound by Team, ,0-3, , ,
11:01.0,B. Adebayo makes free throw 2 of 2,+1,1-3, , ,
10:38.0, , ,1-3, ,J. Randle misses 3-pt jump shot from 25 ft,
10:37.0, , ,1-3, ,Offensive rebound by Team,
10:37.0, , ,1-3, ,Turnover by Team (shot clock),
10:27.0,K. Lowry misses 3-pt jump shot from 26 ft, ,1-3, , ,
10:25.0, , ,1-3, ,Defensive rebound by M. Robinson,
10:16.0, , ,1-5,+2,M. Robinson makes 2-pt layup from 1 ft (assist by J. Randle),
10:08.0,H. Highsmith misses 3-pt jump shot from 26 ft, ,1-5, , ,
10:06.0, , ,1-5, ,Defensive rebound by R. Barrett,
9:53.0, , ,1-5, ,Shooting foul by H. Highsmith (drawn by J. Randle),
9:53.0, , ,1-6,+1,J. Randle makes free throw 1 of 2,
9:53.0, , ,1-7,+1,J. Randle makes free throw 2 of 2,
9:29.0,B. Adebayo misses 2-pt jump shot from 18 ft, ,1-7, , ,
9:27.0, , ,1-7, ,Defensive rebound by J. Randle,
9:13.0, , ,1-10,+3,J. Brunson makes 3-pt jump shot from 28 ft (assist by Q. Grimes),
8:56.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),+2,3-10, , ,
8:52.0, , ,3-10, ,Personal foul by J. Richardson (drawn by J. Brunson),
8:38.0, , ,3-10, ,Turnover by J. Randle (bad pass),
8:24.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by H. Highsmith),+3,6-10, , ,
8:07.0, , ,6-12,+2,R. Barrett makes 2-pt layup from 1 ft (assist by J. Randle),
7:56.0,Turnover by K. Lowry (bad pass; steal by M. Robinson), ,6-12, , ,
7:44.0, , ,6-12, ,Q. Grimes misses 3-pt jump shot from 27 ft,
7:42.0,Defensive rebound by H. Highsmith, ,6-12, , ,
7:28.0,Shooting foul by M. Robinson (drawn by B. Adebayo), ,6-12, , ,
7:28.0,B. Adebayo makes free throw 1 of 2,+1,7-12, , ,
7:28.0, , ,7-12, ,I. Hartenstein enters the game for M. Robinson,
7:28.0,B. Adebayo makes free throw 2 of 2,+1,8-12, , ,
7:13.0, , ,8-12, ,J. Randle misses 2-pt jump shot from 10 ft,
7:11.0,Defensive rebound by B. Adebayo, ,8-12, , ,
7:00.0,B. Adebayo makes 2-pt jump shot from 14 ft,+2,10-12, , ,
6:40.0, , ,10-12, ,J. Brunson misses 3-pt jump shot from 25 ft,
6:38.0,Defensive rebound by J. Butler, ,10-12, , ,
6:32.0,J. Richardson makes 2-pt layup from 1 ft (assist by J. Butler),+2,12-12, , ,Tie
6:15.0, , ,12-12, ,R. Barrett misses 3-pt jump shot from 23 ft,
6:13.0,Defensive rebound by B. Adebayo, ,12-12, , ,
6:03.0,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Richardson),+2,14-12, , ,Lead change
5:51.0, , ,14-12, ,New York full timeout,
5:51.0,J. Jaquez enters the game for B. Adebayo, ,14-12, , ,
5:51.0,K. Love enters the game for J. Richardson, ,14-12, , ,
5:51.0, , ,14-12, ,J. Hart enters the game for R. Barrett,
5:39.0, , ,14-12, ,Turnover by J. Randle (bad pass; steal by K. Lowry),
5:33.0,Shooting foul by I. Hartenstein (drawn by K. Love), ,14-12, , ,
5:33.0,K. Love makes free throw 1 of 2,+1,15-12, , ,
5:33.0,K. Love makes free throw 2 of 2,+1,16-12, , ,
5:09.0, , ,16-14,+2,J. Randle makes 2-pt layup from 1 ft (assist by J. Hart),
5:04.0,Offensive foul by J. Butler (drawn by J. Brunson), ,16-14, , ,
5:04.0,Turnover by J. Butler (offensive foul), ,16-14, , ,
5:04.0, , ,16-14, ,I. Quickley enters the game for Q. Grimes,
4:47.0, , ,16-16,+2,J. Brunson makes 2-pt layup from 1 ft (assist by I. Quickley),Tie
4:35.0,J. Butler makes 2-pt layup from 2 ft,+2,18-16, , ,
4:13.0, , ,18-16, ,Turnover by J. Hart (bad pass; steal by H. Highsmith),
3:58.0,K. Love makes 3-pt jump shot from 25 ft (assist by J. Jaquez),+3,21-16, , ,
3:39.0, , ,21-18,+2,J. Randle makes 2-pt layup from 1 ft,
3:26.0,Turnover by K. Love (bad pass; steal by I. Hartenstein), ,21-18, , ,
3:21.0, , ,21-20,+2,I. Quickley makes 2-pt jump shot from 6 ft (assist by J. Randle),
3:05.0,K. Love misses 3-pt jump shot from 25 ft, ,21-20, , ,
3:03.0, , ,21-20, ,Defensive rebound by I. Hartenstein,
2:54.0, , ,21-23,+3,J. Hart makes 3-pt jump shot from 23 ft (assist by J. Randle),Lead change
2:52.0,Miami full timeout, ,21-23, , ,
2:52.0,C. Martin enters the game for K. Lowry, ,21-23, , ,
2:52.0, , ,21-23, ,D. DiVincenzo enters the game for J. Brunson,
2:34.0,H. Highsmith misses 3-pt jump shot from 25 ft, ,21-23, , ,
2:32.0, , ,21-23, ,Defensive rebound by J. Hart,
2:22.0, , ,21-23, ,D. DiVincenzo misses 3-pt jump shot from 25 ft,
2:21.0, , ,21-23, ,Offensive rebound by Team,
2:21.0,B. Adebayo enters the game for H. Highsmith, ,21-23, , ,
2:09.0, , ,21-23, ,Turnover by J. Randle (bad pass),
1:56.0,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Adebayo),+3,24-23, , ,Lead change
1:42.0, , ,24-23, ,I. Hartenstein misses 2-pt layup from 1 ft,
1:40.0,Defensive rebound by C. Martin, ,24-23, , ,
1:27.0,K. Love makes 2-pt layup at rim,+2,26-23, , ,
1:09.0, , ,26-23, ,Personal foul by C. Martin (drawn by I. Quickley),
1:09.0,J. Richardson enters the game for J. Butler, ,26-23, , ,
0:58.0, , ,26-23, ,D. DiVincenzo misses 2-pt jump shot from 4 ft,
0:56.0,Defensive rebound by K. Love, ,26-23, , ,
0:47.0,Miami full timeout, ,26-23, , ,
0:37.0,J. Jaquez misses 2-pt hook shot from 12 ft, ,26-23, , ,
0:35.0, , ,26-23, ,Defensive rebound by I. Hartenstein,
0:22.0, , ,26-23, ,Turnover by J. Randle (bad pass; steal by J. Richardson),
0:21.0,J. Richardson makes 2-pt dunk from 2 ft,+2,28-23, , ,
0:06.0, , ,28-25,+2,I. Quickley makes 2-pt jump shot from 14 ft,
0:00.0,B. Adebayo misses 3-pt jump shot from 26 ft, ,28-25, , ,
0:00.0,Offensive rebound by Team, ,28-25, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,New York,
12:00.0,Start of 2nd quarter,
11:38.0, , ,28-27,+2,I. Quickley makes 2-pt jump shot from 12 ft,
11:20.0,C. Swider misses 3-pt jump shot from 25 ft, ,28-27, , ,
11:18.0, , ,28-27, ,Defensive rebound by R. Barrett,
11:08.0, , ,28-29,+2,R. Barrett makes 2-pt layup at rim,Lead change
10:56.0,C. Martin misses 3-pt jump shot from 22 ft, ,28-29, , ,
10:54.0, , ,28-29, ,Defensive rebound by D. DiVincenzo,
10:41.0, , ,28-29, ,I. Quickley misses 2-pt jump shot from 9 ft,
10:40.0,Defensive rebound by C. Martin, ,28-29, , ,
10:34.0,C. Martin makes 2-pt layup from 2 ft,+2,30-29, , ,Lead change
10:16.0, , ,30-29, ,I. Quickley misses 3-pt jump shot from 25 ft,
10:14.0,Defensive rebound by B. Adebayo, ,30-29, , ,
10:07.0,J. Jaquez misses 2-pt layup from 1 ft, ,30-29, , ,
10:05.0, , ,30-29, ,Defensive rebound by I. Quickley,
9:58.0, , ,30-29, ,R. Barrett misses 2-pt jump shot from 7 ft,
9:56.0, , ,30-29, ,Offensive rebound by I. Hartenstein,
9:54.0, , ,30-31,+2,I. Hartenstein makes 2-pt layup from 1 ft,Lead change
9:45.0,J. Jaquez misses 2-pt layup from 1 ft, ,30-31, , ,
9:43.0, , ,30-31, ,Defensive rebound by J. Hart,
9:29.0, , ,30-33,+2,J. Hart makes 2-pt layup from 1 ft (assist by I. Hartenstein),
9:15.0,Personal foul by D. DiVincenzo (drawn by J. Jaquez), ,30-33, , ,
9:06.0,C. Martin misses 3-pt jump shot from 25 ft, ,30-33, , ,
9:04.0, , ,30-33, ,Defensive rebound by I. Hartenstein,
8:59.0, , ,30-33, ,J. Hart misses 2-pt layup from 2 ft,
8:57.0,Defensive rebound by B. Adebayo, ,30-33, , ,
8:49.0,C. Swider misses 2-pt jump shot from 19 ft, ,30-33, , ,
8:47.0,Offensive rebound by B. Adebayo, ,30-33, , ,
8:47.0,B. Adebayo makes 2-pt layup at rim,+2,32-33, , ,
8:33.0, , ,32-33, ,I. Hartenstein misses 2-pt hook shot from 5 ft,
8:31.0,Defensive rebound by B. Adebayo, ,32-33, , ,
8:24.0,C. Swider misses 3-pt jump shot from 26 ft, ,32-33, , ,
8:22.0, , ,32-33, ,Defensive rebound by J. Hart,
8:10.0, , ,32-33, ,Shooting foul by J. Jaquez (drawn by D. DiVincenzo),
8:10.0, , ,32-33, ,D. DiVincenzo misses free throw 1 of 3,
8:10.0, , ,32-33, ,Offensive rebound by Team,
8:10.0, , ,32-34,+1,D. DiVincenzo makes free throw 2 of 3,
8:10.0, , ,32-35,+1,D. DiVincenzo makes free throw 3 of 3,
7:56.0,Def 3 sec tech foul by Team, ,32-35, , ,
7:56.0,J. Richardson makes technical free throw,+1,33-35, , ,
7:56.0, , ,33-35, ,J. Brunson enters the game for R. Barrett,
7:52.0,J. Jaquez misses 3-pt jump shot from 25 ft, ,33-35, , ,
7:50.0,Offensive rebound by J. Richardson, ,33-35, , ,
7:45.0,J. Richardson misses 2-pt jump shot from 7 ft, ,33-35, , ,
7:44.0, , ,33-35, ,Defensive rebound by I. Quickley,
7:33.0, , ,33-35, ,I. Quickley misses 2-pt hook shot from 6 ft,
7:31.0,Defensive rebound by B. Adebayo, ,33-35, , ,
7:19.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by C. Swider),+2,35-35, , ,Tie
7:13.0, , ,35-35, ,New York full timeout,
7:13.0, , ,35-35, ,J. Randle enters the game for I. Hartenstein,
7:13.0, , ,35-35, ,M. Robinson enters the game for I. Quickley,
6:58.0, , ,35-35, ,Turnover by D. DiVincenzo (bad pass; steal by C. Martin),
6:36.0,J. Jaquez makes 2-pt layup from 2 ft (assist by C. Swider),+2,37-35, , ,Lead change
6:11.0, , ,37-35, ,Turnover by D. DiVincenzo (bad pass; steal by B. Adebayo),
6:07.0,J. Richardson misses 3-pt jump shot from 23 ft, ,37-35, , ,
6:05.0, , ,37-35, ,Defensive rebound by D. DiVincenzo,
5:52.0, , ,37-37,+2,J. Randle makes 2-pt hook shot from 2 ft,Tie
5:39.0,Offensive foul by B. Adebayo (drawn by M. Robinson), ,37-37, , ,
5:39.0,Turnover by B. Adebayo (offensive foul), ,37-37, , ,
