A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Toronto,
12:00.0,Jump ball: O. Robinson vs. J. Poeltl (S. Barnes gains possession),
11:43.0, , ,0-2,+2,S. Barnes makes 2-pt jump shot from 7 ft (assist by J. Poeltl),
11:20.0,C. Martin makes 3-pt jump shot from 26 ft (assist by D. Robinson),+3,3-2, , ,Lead change
11:08.0, , ,3-2, ,D. Schröder misses 3-pt jump shot from 26 ft,
11:05.0,Defensive rebound by C. Martin, ,3-2, , ,
10:48.0,K. Lowry misses 3-pt jump shot from 23 ft, ,3-2, , ,
10:45.0, , ,3-2, ,Defensive rebound by O. Anunoby,
10:42.0, , ,3-2, ,Offensive foul by S. Barnes (drawn by C. Martin),
10:42.0, , ,3-2, ,Turnover by S. Barnes (offensive foul),
10:24.0,C. Martin misses 2-pt jump shot from 7 ft (block by S. Barnes), ,3-2, , ,
10:21.0,Offensive rebound by C. Martin, ,3-2, , ,
10:18.0,J. Butler misses 2-pt layup from 2 ft, ,3-2, , ,
10:15.0, , ,3-2, ,Defensive rebound by S. Barnes,
10:12.0, , ,3-2, ,Shooting foul by K. Lowry (drawn by J. Poeltl),
10:12.0, , ,3-2, ,J. Poeltl misses free throw 1 of 2,
10:12.0, , ,3-2, ,Offensive rebound by Team,
10:12.0, , ,3-2, ,J. Poeltl misses free throw 2 of 2,
10:08.0,Defensive rebound by O. Robinson, ,3-2, , ,
10:03.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),+3,6-2, , ,
9:57.0, , ,6-2, ,Turnover by S. Barnes (bad pass),
9:51.0,C. Martin misses 3-pt jump shot from 23 ft, ,6-2, , ,
9:48.0, , ,6-2, ,Defensive rebound by S. Barnes,
9:28.0, , ,6-2, ,J. Poeltl misses 2-pt layup from 5 ft (block by C. Martin),
9:28.0, , ,6-2, ,Offensive rebound by Team,
9:25.0, , ,6-2, ,D. Schröder misses 2-pt jump shot from 16 ft,
9:22.0,Defensive rebound by O. Robinson, ,6-2, , ,
9:16.0,D. Robinson misses 2-pt layup from 1 ft (block by J. Poeltl), ,6-2, , ,
9:13.0,Offensive rebound by O. Robinson, ,6-2, , ,
9:10.0,C. Martin makes 3-pt jump shot from 25 ft (assist by O. Robinson),+3,9-2, , ,
8:51.0, , ,9-4,+2,D. Schröder makes 2-pt layup from 2 ft (assist by P. Siakam),
