A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Orlando,
12:00.0,Jump ball: B. Adebayo vs. W. Carter (K. Lowry gains possession),
11:45.0,B. Adebayo misses 2-pt jump shot from 13 ft, ,0-0, , ,
11:45.0,Offensive rebound by Team, ,0-0, , ,
11:45.0,Personal foul by A. Black (drawn by K. Lowry), ,0-0, , ,
11:45.0, , ,0-0, ,Personal foul by K. Lowry (drawn by A. Black),
11:34.0,T. Herro makes 2-pt jump shot from 14 ft,+2,2-0, , ,
11:21.0, , ,2-0, ,Turnover by J. Suggs (lost ball; steal by C. Martin),
11:08.0,C. Martin misses 2-pt layup from 13 ft (block by F. Wagner), ,2-0, , ,
11:08.0, , ,2-0, ,Defensive rebound by F. Wagner,
11:03.0, , ,2-0, ,F. Wagner misses 2-pt layup from 2 ft,
11:00.0,Defensive rebound by T. Herro, ,2-0, , ,
10:57.0,B. Adebayo misses 2-pt layup from 1 ft, ,2-0, , ,
10:54.0, , ,2-0, ,Defensive rebound by P. Banchero,
10:46.0, , ,2-2,+2,J. Suggs makes 2-pt layup from 2 ft (assist by F. Wagner),Tie
10:22.0,B. Adebayo misses 2-pt jump shot from 12 ft, ,2-2, , ,
10:17.0, , ,2-2, ,Defensive rebound by F. Wagner,
10:12.0, , ,2-2, ,F. Wagner misses 2-pt layup from 2 ft (block by J. Jaquez),
10:12.0,Defensive rebound by C. Martin, ,2-2, , ,
9:56.0,T. Herro makes 3-pt jump shot from 26 ft,+3,5-2, , ,
9:35.0, , ,5-2, ,Shooting foul by B. Adebayo (drawn by F. Wagner),
9:35.0, , ,5-3,+1,F. Wagner makes free throw 1 of 2,
9:35.0, , ,5-4,+1,F. Wagner makes free throw 2 of 2,
9:22.0,Shooting foul by A. Black (drawn by T. Herro), ,5-4, , ,
9:22.0,T. Herro makes free throw 1 of 2,+1,6-4, , ,
9:22.0,T. Herro makes free throw 2 of 2,+1,7-4, , ,
9:04.0, , ,7-4, ,A. Black misses 2-pt jump shot from 10 ft,
9:01.0,Defensive rebound by C. Martin, ,7-4, , ,
8:58.0,T. Herro misses 3-pt jump shot from 25 ft, ,7-4, , ,
8:53.0, , ,7-4, ,Defensive rebound by W. Carter,
8:38.0, , ,7-6,+2,P. Banchero makes 2-pt jump shot from 17 ft,
8:22.0,B. Adebayo misses 2-pt jump shot from 15 ft, ,7-6, , ,
8:22.0, , ,7-6, ,Defensive rebound by P. Banchero,
8:04.0, , ,7-6, ,J. Suggs misses 3-pt jump shot from 23 ft,
8:04.0,Defensive rebound by B. Adebayo, ,7-6, , ,
7:50.0,B. Adebayo makes 2-pt jump shot from 12 ft,+2,9-6, , ,
7:38.0, , ,9-8,+2,F. Wagner makes 2-pt layup from 3 ft (assist by P. Banchero),
7:30.0,J. Jaquez makes 2-pt layup from 3 ft (assist by K. Lowry),+2,11-8, , ,
7:16.0, , ,11-8, ,P. Banchero misses 2-pt jump shot from 13 ft,
7:16.0,Defensive rebound by Team, ,11-8, , ,
7:04.0, , ,11-8, ,Violation by Team (kicked ball),
6:49.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Herro),+2,13-8, , ,
6:27.0, , ,13-10,+2,J. Suggs makes 2-pt jump shot from 11 ft,
6:20.0,K. Lowry misses 3-pt jump shot from 26 ft, ,13-10, , ,
6:16.0, , ,13-10, ,Defensive rebound by J. Suggs,
6:07.0, , ,13-12,+2,F. Wagner makes 2-pt layup from 1 ft (assist by J. Suggs),
5:51.0,T. Herro misses 2-pt jump shot from 2 ft, ,13-12, , ,
5:49.0,Offensive rebound by T. Herro, ,13-12, , ,
5:49.0,T. Herro misses 2-pt layup from 2 ft, ,13-12, , ,
5:49.0, , ,13-12, ,Defensive rebound by W. Carter,
5:45.0, , ,13-12, ,J. Suggs misses 3-pt jump shot from 23 ft,
5:41.0,Defensive rebound by C. Martin, ,13-12, , ,
5:38.0,Personal foul by F. Wagner (drawn by K. Lowry), ,13-12, , ,
5:38.0, , ,13-12, ,Orlando full timeout,
5:38.0,T. Bryant enters the game for B. Adebayo, ,13-12, , ,
5:38.0,J. Richardson enters the game for J. Jaquez, ,13-12, , ,
5:38.0, , ,13-12, ,C. Anthony enters the game for A. Black,
5:38.0, , ,13-12, ,G. Bitadze enters the game for W. Carter,
5:38.0, , ,13-12, ,G. Harris enters the game for F. Wagner,
5:27.0,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Herro),+2,15-12, , ,
5:00.0, , ,15-14,+2,C. Anthony makes 2-pt jump shot from 12 ft (assist by J. Suggs),
4:42.0,T. Herro misses 2-pt jump shot from 5 ft, ,15-14, , ,
4:42.0,Offensive rebound by T. Bryant, ,15-14, , ,
4:41.0,T. Bryant makes 2-pt dunk from 2 ft,+2,17-14, , ,
4:31.0, , ,17-17,+3,C. Anthony makes 3-pt jump shot from 26 ft (assist by P. Banchero),Tie
4:12.0,Personal foul by G. Harris (drawn by C. Martin), ,17-17, , ,
4:00.0,T. Bryant misses 2-pt jump shot from 16 ft, ,17-17, , ,
3:56.0, , ,17-17, ,Defensive rebound by P. Banchero,
3:52.0, , ,17-17, ,C. Anthony misses 3-pt jump shot from 26 ft,
3:48.0,Defensive rebound by J. Richardson, ,17-17, , ,
3:41.0,T. Herro makes 3-pt jump shot from 24 ft (assist by J. Richardson),+3,20-17, , ,
3:26.0, , ,20-17, ,Personal foul by C. Martin (drawn by P. Banchero),
3:26.0,D. Robinson enters the game for K. Lowry, ,20-17, , ,
