A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Utah,
12:00.0,Jump ball: B. Adebayo vs. J. Collins (J. Butler gains possession),
11:37.0,B. Adebayo makes 2-pt jump shot from 5 ft,+2,2-0, , ,
11:09.0, , ,2-0, ,C. Sexton misses 2-pt jump shot from 11 ft,
11:06.0, , ,2-0, ,Offensive rebound by S. Fontecchio,
11:04.0, , ,2-0, ,K. Dunn misses 3-pt jump shot from 26 ft,
11:03.0, , ,2-0, ,Offensive rebound by C. Sexton,
10:57.0, , ,2-2,+2,C. Sexton makes 2-pt hook shot from 6 ft,Tie
10:46.0,T. Herro misses 2-pt layup from 7 ft (block by K. Dunn), ,2-2, , ,
10:46.0,Offensive rebound by Team, ,2-2, , ,
10:39.0,R. Hampton misses 3-pt jump shot from 23 ft, ,2-2, , ,
10:36.0, , ,2-2, ,Defensive rebound by L. Markkanen,
10:21.0, , ,2-2, ,Personal foul by J. Butler (drawn by L. Markkanen),
10:15.0, , ,2-2, ,L. Markkanen misses 3-pt jump shot from 27 ft,
10:10.0,Defensive rebound by B. Adebayo, ,2-2, , ,
9:57.0,Shooting foul by J. Collins (drawn by B. Adebayo), ,2-2, , ,
9:57.0,B. Adebayo misses free throw 1 of 2, ,2-2, , ,
9:57.0,Offensive rebound by Team, ,2-2, , ,
9:57.0,B. Adebayo makes free throw 2 of 2,+1,3-2, , ,
9:44.0, , ,3-4,+2,J. Collins makes 2-pt jump shot from 12 ft (assist by L. Markkanen),Lead change
9:28.0,T. Herro makes 2-pt jump shot from 11 ft,+2,5-4, , ,Lead change
9:12.0, , ,5-4, ,Shooting foul by N. Jović (drawn by L. Markkanen),
9:12.0, , ,5-4, ,L. Markkanen misses free throw 1 of 2,
9:12.0, , ,5-4, ,Offensive rebound by Team,
9:12.0, , ,5-5,+1,L. Markkanen makes free throw 2 of 2,Tie
9:02.0,N. Jović makes 3-pt jump shot from 24 ft,+3,8-5, , ,
8:50.0, , ,8-5, ,J. Collins misses 3-pt jump shot from 26 ft,
8:46.0,Defensive rebound by N. Jović, ,8-5, , ,
8:44.0,Turnover by T. Herro (bad pass), ,8-5, , ,
8:27.0, , ,8-7,+2,K. Dunn makes 2-pt dunk from 4 ft,
8:15.0,T. Herro makes 2-pt jump shot from 18 ft,+2,10-7, , ,
7:57.0, , ,10-7, ,K. Dunn misses 2-pt layup from 3 ft,
7:54.0, , ,10-7, ,Offensive rebound by L. Markkanen,
7:54.0, , ,10-7, ,L. Markkanen misses 2-pt layup from 5 ft,
7:54.0,Defensive rebound by B. Adebayo, ,10-7, , ,
7:46.0,Personal foul by S. Fontecchio (drawn by J. Butler), ,10-7, , ,
7:46.0, , ,10-7, ,W. Kessler enters the game for J. Collins,
7:40.0,Turnover by B. Adebayo (bad pass; steal by K. Dunn), ,10-7, , ,
7:36.0, , ,10-7, ,C. Sexton misses 3-pt jump shot from 25 ft,
7:32.0,Defensive rebound by R. Hampton, ,10-7, , ,
7:18.0,Shooting foul by K. Dunn (drawn by B. Adebayo), ,10-7, , ,
7:18.0,B. Adebayo makes free throw 1 of 2,+1,11-7, , ,
7:18.0,B. Adebayo misses free throw 2 of 2, ,11-7, , ,
7:15.0,Offensive rebound by N. Jović, ,11-7, , ,
7:13.0,B. Adebayo misses 2-pt jump shot from 14 ft, ,11-7, , ,
7:08.0, , ,11-7, ,Defensive rebound by W. Kessler,
7:01.0, , ,11-9,+2,C. Sexton makes 2-pt layup from 3 ft (assist by K. Dunn),
7:01.0, , ,11-9, ,Shooting foul by R. Hampton (drawn by C. Sexton),
7:01.0, , ,11-10,+1,C. Sexton makes free throw 1 of 1,
6:50.0,Turnover by R. Hampton (bad pass; steal by K. Dunn), ,11-10, , ,
6:45.0, , ,11-12,+2,W. Kessler makes 2-pt dunk from 4 ft (assist by K. Dunn),Lead change
6:37.0, , ,11-12, ,Utah full timeout,
6:37.0, , ,11-12, ,K. George enters the game for C. Sexton,
6:34.0,Turnover by N. Jović (bad pass; steal by L. Markkanen), ,11-12, , ,
6:27.0, , ,11-12, ,Personal foul by N. Jović (drawn by L. Markkanen),
6:27.0,J. Jaquez enters the game for B. Adebayo, ,11-12, , ,
6:27.0,K. Love enters the game for N. Jović, ,11-12, , ,
6:21.0, , ,11-15,+3,K. George makes 3-pt jump shot from 26 ft,
6:08.0,T. Herro makes 2-pt jump shot from 10 ft,+2,13-15, , ,
5:56.0, , ,13-15, ,L. Markkanen misses 3-pt jump shot from 26 ft,
5:54.0,Defensive rebound by T. Herro, ,13-15, , ,
5:49.0,K. Love misses 3-pt jump shot from 24 ft, ,13-15, , ,
5:45.0, , ,13-15, ,Defensive rebound by K. George,
5:37.0, , ,13-15, ,K. George misses 3-pt jump shot from 26 ft,
5:35.0,Defensive rebound by R. Hampton, ,13-15, , ,
5:19.0,K. Love misses 3-pt jump shot from 25 ft, ,13-15, , ,
5:18.0,Offensive rebound by T. Herro, ,13-15, , ,
5:16.0,T. Herro makes 2-pt jump shot from 12 ft,+2,15-15, , ,Tie
4:57.0, , ,15-15, ,Turnover by K. George (bad pass; steal by T. Herro),
4:54.0,Turnover by J. Butler (lost ball; steal by S. Fontecchio), ,15-15, , ,
4:51.0, , ,15-17,+2,W. Kessler makes 2-pt dunk from 3 ft (assist by K. Dunn),
4:38.0,K. Love makes 3-pt jump shot from 25 ft (assist by J. Butler),+3,18-17, , ,Lead change
4:21.0, , ,18-20,+3,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by K. Dunn),Lead change
4:15.0,Turnover by J. Butler (bad pass), ,18-20, , ,
4:15.0,D. Robinson enters the game for T. Herro, ,18-20, , ,
4:15.0, , ,18-20, ,J. Clarkson enters the game for K. Dunn,
4:15.0, , ,18-20, ,K. Olynyk enters the game for S. Fontecchio,
3:54.0, , ,18-22,+2,K. Olynyk makes 2-pt layup from 3 ft,
3:54.0, , ,18-22, ,Shooting foul by J. Jaquez (drawn by K. Olynyk),
3:54.0,H. Highsmith enters the game for R. Hampton, ,18-22, , ,
3:54.0, , ,18-23,+1,K. Olynyk makes free throw 1 of 1,
3:42.0,J. Jaquez makes 2-pt jump shot from 5 ft (assist by K. Love),+2,20-23, , ,
3:42.0,Shooting foul by K. George (drawn by J. Jaquez), ,20-23, , ,
3:42.0,J. Jaquez makes free throw 1 of 1,+1,21-23, , ,
3:31.0, , ,21-23, ,J. Clarkson misses 3-pt jump shot from 26 ft,
3:26.0,Defensive rebound by J. Butler, ,21-23, , ,
3:18.0,K. Love misses 3-pt jump shot from 25 ft, ,21-23, , ,
3:14.0, , ,21-23, ,Defensive rebound by J. Clarkson,
2:59.0, , ,21-23, ,K. George misses 2-pt layup from 9 ft (block by H. Highsmith),
2:54.0,Defensive rebound by H. Highsmith, ,21-23, , ,
2:52.0,J. Jaquez misses 3-pt jump shot from 23 ft, ,21-23, , ,
2:45.0,Offensive rebound by K. Love, ,21-23, , ,
2:45.0,K. Love makes 2-pt layup at rim,+2,23-23, , ,Tie
2:31.0, , ,23-25,+2,K. Olynyk makes 2-pt jump shot from 8 ft,
2:31.0,Miami full timeout, ,23-25, , ,
2:31.0,B. Adebayo enters the game for J. Butler, ,23-25, , ,
2:31.0, , ,23-25, ,O. Agbaji enters the game for W. Kessler,
2:31.0, , ,23-25, ,J. Collins enters the game for L. Markkanen,
2:19.0,H. Highsmith misses 3-pt jump shot from 25 ft, ,23-25, , ,
2:16.0, , ,23-25, ,Defensive rebound by K. George,
2:07.0, , ,23-25, ,J. Collins misses 3-pt jump shot from 26 ft,
2:03.0,Defensive rebound by J. Jaquez, ,23-25, , ,
1:55.0,Shooting foul by J. Collins (drawn by K. Love), ,23-25, , ,
1:55.0,K. Love misses free throw 1 of 2, ,23-25, , ,
1:55.0,Offensive rebound by Team, ,23-25, , ,
1:55.0,K. Love misses free throw 2 of 2, ,23-25, , ,
1:54.0, , ,23-25, ,Defensive rebound by J. Collins,
1:41.0, , ,23-25, ,Shooting foul by H. Highsmith (drawn by J. Clarkson),
1:41.0, , ,23-26,+1,J. Clarkson makes free throw 1 of 2,
1:41.0, , ,23-27,+1,J. Clarkson makes free throw 2 of 2,
1:19.0,B. Adebayo misses 2-pt jump shot from 19 ft, ,23-27, , ,
