A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,New Orleans,
12:00.0,Jump ball: C. Capela vs. J. Valančiūnas (Z. Williamson gains possession),
11:45.0, , ,0-0, ,Turnover by H. Jones (step out of bounds),
11:32.0,J. Johnson makes 2-pt layup from 5 ft (assist by T. Young),+2,2-0, , ,
11:12.0, , ,2-0, ,C. McCollum misses 3-pt jump shot from 25 ft,
11:10.0, , ,2-0, ,Offensive rebound by Z. Williamson,
11:09.0, , ,2-0, ,Shooting foul by D. Hunter (drawn by B. Ingram),
11:09.0, , ,2-1,+1,B. Ingram makes free throw 1 of 3,
11:09.0, , ,2-2,+1,B. Ingram makes free throw 2 of 3,Tie
11:09.0, , ,2-3,+1,B. Ingram makes free throw 3 of 3,Lead change
10:57.0,T. Young misses technical free throw, ,2-3, , ,
10:57.0,Offensive rebound by Team, ,2-3, , ,
10:57.0,Def 3 sec tech foul by Team, ,2-3, , ,
10:52.0,T. Young misses 2-pt layup from 7 ft, ,2-3, , ,
10:50.0, , ,2-3, ,Defensive rebound by J. Valančiūnas,
10:46.0, , ,2-3, ,B. Ingram misses 3-pt jump shot from 25 ft,
10:43.0,Defensive rebound by C. Capela, ,2-3, , ,
10:39.0,D. Murray makes 2-pt layup from 4 ft,+2,4-3, , ,Lead change
10:32.0, , ,4-3, ,H. Jones misses 2-pt jump shot from 21 ft,
10:32.0,Defensive rebound by D. Murray, ,4-3, , ,
10:23.0,D. Hunter misses 2-pt jump shot from 18 ft, ,4-3, , ,
10:20.0, , ,4-3, ,Defensive rebound by J. Valančiūnas,
10:07.0, , ,4-5,+2,B. Ingram makes 2-pt layup from 3 ft,Lead change
9:48.0,Shooting foul by H. Jones (drawn by D. Hunter), ,4-5, , ,
9:48.0,D. Hunter makes free throw 1 of 2,+1,5-5, , ,Tie
9:48.0,D. Hunter misses free throw 2 of 2, ,5-5, , ,
9:46.0, , ,5-5, ,Defensive rebound by J. Valančiūnas,
9:33.0, , ,5-7,+2,H. Jones makes 2-pt layup from 2 ft,
9:15.0,D. Murray misses 3-pt jump shot from 23 ft, ,5-7, , ,
9:13.0, , ,5-7, ,Defensive rebound by B. Ingram,
9:07.0, , ,5-7, ,C. McCollum misses 2-pt layup from 2 ft,
9:05.0,Defensive rebound by D. Murray, ,5-7, , ,
9:02.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Murray),+3,8-7, , ,Lead change
8:47.0, , ,8-7, ,H. Jones misses 3-pt jump shot from 24 ft,
8:45.0,Defensive rebound by D. Hunter, ,8-7, , ,
8:33.0,Turnover by T. Young (lost ball; steal by H. Jones), ,8-7, , ,
8:29.0, , ,8-9,+2,H. Jones makes 2-pt layup from 3 ft,Lead change
8:15.0,Turnover by D. Hunter (bad pass; steal by H. Jones), ,8-9, , ,
8:10.0, , ,8-11,+2,H. Jones makes 2-pt dunk from 1 ft,
7:49.0,D. Murray misses 2-pt jump shot from 14 ft, ,8-11, , ,
7:46.0,Offensive rebound by T. Young, ,8-11, , ,
7:42.0,T. Young makes 2-pt jump shot from 18 ft,+2,10-11, , ,
