A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Oklahoma City,
12:00.0,Jump ball: C. Capela vs. C. Holmgren (J. Giddey gains possession),
11:40.0, , ,0-2,+2,C. Holmgren makes 2-pt hook shot from 4 ft (assist by L. Dort),
11:20.0,Turnover by T. Young (lost ball; steal by C. Holmgren), ,0-2, , ,
11:04.0, , ,0-2, ,L. Dort misses 2-pt jump shot from 8 ft,
11:02.0,Defensive rebound by T. Young, ,0-2, , ,
10:55.0,D. Hunter misses 3-pt jump shot from 24 ft, ,0-2, , ,
10:53.0, , ,0-2, ,Defensive rebound by L. Dort,
10:46.0, , ,0-2, ,J. Giddey misses 2-pt layup from 4 ft (block by C. Capela),
10:42.0,Defensive rebound by J. Johnson, ,0-2, , ,
10:35.0,D. Murray misses 3-pt jump shot from 23 ft, ,0-2, , ,
10:31.0, , ,0-2, ,Defensive rebound by C. Holmgren,
10:27.0, , ,0-5,+3,L. Dort makes 3-pt jump shot from 24 ft (assist by J. Giddey),
10:09.0,T. Young makes 2-pt layup from 5 ft (assist by J. Johnson),+2,2-5, , ,
9:57.0, , ,2-5, ,C. Holmgren misses 2-pt layup from 4 ft,
9:56.0,Defensive rebound by C. Capela, ,2-5, , ,
9:51.0,T. Young misses 3-pt jump shot from 30 ft, ,2-5, , ,
9:47.0,Offensive rebound by T. Young, ,2-5, , ,
9:37.0,C. Capela misses 2-pt layup from 1 ft, ,2-5, , ,
9:36.0,Offensive rebound by J. Johnson, ,2-5, , ,
9:36.0,J. Johnson misses 2-pt layup at rim, ,2-5, , ,
9:36.0,Offensive rebound by C. Capela, ,2-5, , ,
9:36.0,Shooting foul by S. Gilgeous-Alexander (drawn by C. Capela), ,2-5, , ,
9:36.0,C. Capela makes free throw 1 of 2,+1,3-5, , ,
9:36.0,C. Capela misses free throw 2 of 2, ,3-5, , ,
9:36.0, , ,3-5, ,Defensive rebound by C. Holmgren,
9:31.0,Violation by Team (kicked ball), ,3-5, , ,
9:24.0, , ,3-8,+3,J. Williams makes 3-pt jump shot from 23 ft,
9:09.0,D. Hunter misses 2-pt jump shot from 17 ft, ,3-8, , ,
9:07.0, , ,3-8, ,Defensive rebound by S. Gilgeous-Alexander,
8:56.0, , ,3-11,+3,L. Dort makes 3-pt jump shot from 25 ft (assist by C. Holmgren),
8:36.0,Shooting foul by J. Williams (drawn by D. Murray), ,3-11, , ,
8:36.0,D. Murray makes free throw 1 of 2,+1,4-11, , ,
8:36.0, , ,4-11, ,A. Wiggins enters the game for J. Williams,
8:36.0,D. Murray makes free throw 2 of 2,+1,5-11, , ,
8:13.0, , ,5-11, ,J. Giddey misses 2-pt layup from 3 ft (block by J. Johnson),
8:13.0, , ,5-11, ,Offensive rebound by Team,
8:13.0, , ,5-11, ,J. Williams enters the game for A. Wiggins,
8:11.0, , ,5-11, ,Turnover by J. Giddey (bad pass; steal by C. Capela),
8:06.0,D. Murray misses 2-pt jump shot from 17 ft, ,5-11, , ,
8:04.0, , ,5-11, ,Defensive rebound by S. Gilgeous-Alexander,
7:57.0, , ,5-11, ,Turnover by S. Gilgeous-Alexander (lost ball; steal by D. Murray),
7:51.0,D. Murray misses 2-pt layup from 6 ft, ,5-11, , ,
7:45.0,Offensive rebound by J. Johnson, ,5-11, , ,
7:43.0,J. Johnson misses 2-pt layup from 5 ft (block by C. Holmgren), ,5-11, , ,
7:40.0, , ,5-11, ,Defensive rebound by S. Gilgeous-Alexander,
7:38.0, , ,5-13,+2,J. Giddey makes 2-pt layup from 2 ft (assist by J. Williams),
