A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,San Antonio,
12:00.0,Jump ball: C. Capela vs. V. Wembanyama (J. Sochan gains possession),
11:40.0, , ,0-3,+3,K. Johnson makes 3-pt jump shot from 27 ft (assist by Z. Collins),
11:21.0,D. Murray makes 2-pt jump shot from 14 ft (assist by T. Young),+2,2-3, , ,
11:12.0, , ,2-3, ,Turnover by M. Branham (bad pass; steal by D. Murray),
11:05.0,D. Murray misses 2-pt jump shot from 14 ft, ,2-3, , ,
11:02.0,Offensive rebound by C. Capela, ,2-3, , ,
10:59.0,C. Capela misses 2-pt hook shot from 4 ft, ,2-3, , ,
10:59.0, , ,2-3, ,Defensive rebound by V. Wembanyama,
10:51.0, , ,2-5,+2,V. Wembanyama makes 2-pt layup from 3 ft,
10:51.0, , ,2-5, ,Shooting foul by C. Capela (drawn by V. Wembanyama),
10:51.0, , ,2-6,+1,V. Wembanyama makes free throw 1 of 1,
10:40.0,D. Hunter misses 2-pt jump shot from 17 ft, ,2-6, , ,
10:38.0, , ,2-6, ,Defensive rebound by K. Johnson,
10:32.0, , ,2-6, ,Turnover by K. Johnson (bad pass; steal by D. Murray),
10:26.0,T. Young misses 3-pt jump shot from 27 ft, ,2-6, , ,
10:22.0,Offensive rebound by S. Bey, ,2-6, , ,
10:21.0,S. Bey makes 2-pt jump shot from 15 ft,+2,4-6, , ,
10:07.0, , ,4-9,+3,V. Wembanyama makes 3-pt jump shot from 28 ft (assist by Z. Collins),
9:45.0,Shooting foul by J. Sochan (drawn by T. Young), ,4-9, , ,
9:45.0,T. Young misses free throw 1 of 2, ,4-9, , ,
9:45.0,Offensive rebound by Team, ,4-9, , ,
9:45.0,T. Young makes free throw 2 of 2,+1,5-9, , ,
9:34.0, , ,5-11,+2,K. Johnson makes 2-pt layup from 2 ft (assist by Z. Collins),
9:20.0,D. Hunter makes 2-pt layup from 3 ft (assist by T. Young),+2,7-11, , ,
9:09.0, , ,7-13,+2,Z. Collins makes 2-pt layup from 4 ft (assist by V. Wembanyama),
8:57.0,T. Young misses 2-pt layup from 4 ft, ,7-13, , ,
8:54.0, , ,7-13, ,Defensive rebound by V. Wembanyama,
8:48.0, , ,7-16,+3,Z. Collins makes 3-pt jump shot from 27 ft (assist by J. Sochan),
8:36.0,D. Murray misses 2-pt layup from 2 ft, ,7-16, , ,
8:33.0,Offensive rebound by Team, ,7-16, , ,
8:32.0,Turnover by T. Young (bad pass; steal by V. Wembanyama), ,7-16, , ,
8:26.0, , ,7-16, ,V. Wembanyama misses 2-pt layup from 5 ft (block by C. Capela),
8:25.0, , ,7-16, ,Offensive rebound by V. Wembanyama,
8:24.0, , ,7-18,+2,V. Wembanyama makes 2-pt layup at rim,
8:23.0,Atlanta full timeout, ,7-18, , ,
8:07.0,T. Young makes 2-pt jump shot from 12 ft,+2,9-18, , ,
8:04.0, , ,9-18, ,Turnover by J. Sochan (bad pass; steal by T. Young),
8:03.0,T. Young misses 2-pt jump shot from 11 ft, ,9-18, , ,
8:01.0, , ,9-18, ,Defensive rebound by J. Sochan,
7:56.0, , ,9-18, ,Offensive foul by V. Wembanyama (drawn by D. Hunter),
7:56.0, , ,9-18, ,Turnover by V. Wembanyama (offensive foul),
7:40.0,T. Young misses 3-pt jump shot from 26 ft, ,9-18, , ,
7:38.0, , ,9-18, ,Defensive rebound by M. Branham,
7:37.0, , ,9-20,+2,J. Sochan makes 2-pt dunk from 1 ft (assist by M. Branham),
7:18.0,D. Hunter misses 3-pt jump shot from 27 ft, ,9-20, , ,
7:18.0, , ,9-20, ,Defensive rebound by K. Johnson,
7:04.0, , ,9-20, ,K. Johnson misses 3-pt jump shot from 27 ft,
7:00.0,Defensive rebound by T. Young, ,9-20, , ,
6:57.0,Shooting foul by Z. Collins (drawn by D. Hunter), ,9-20, , ,
6:57.0,D. Hunter makes free throw 1 of 2,+1,10-20, , ,
6:57.0,B. Bogdanović enters the game for S. Bey, ,10-20, , ,
6:57.0,G. Mathews enters the game for T. Young, ,10-20, , ,
6:57.0,D. Hunter makes free throw 2 of 2,+1,11-20, , ,
6:40.0, , ,11-22,+2,K. Johnson makes 2-pt layup from 4 ft,
6:29.0,D. Murray makes 2-pt layup from 3 ft,+2,13-22, , ,
6:21.0, , ,13-22, ,Personal foul by D. Hunter (drawn by Z. Collins),
6:21.0, , ,13-22, ,T. Jones enters the game for M. Branham,
6:21.0, , ,13-22, ,D. Vassell enters the game for J. Sochan,
6:10.0, , ,13-24,+2,V. Wembanyama makes 2-pt jump shot from 19 ft,
5:59.0,C. Capela misses 2-pt layup from 2 ft (block by V. Wembanyama), ,13-24, , ,
5:56.0, , ,13-24, ,Defensive rebound by K. Johnson,
5:48.0, , ,13-24, ,Z. Collins misses 2-pt hook shot from 4 ft,
5:45.0,Defensive rebound by D. Hunter, ,13-24, , ,
5:41.0,G. Mathews makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),+3,16-24, , ,
5:24.0, , ,16-24, ,D. Vassell misses 3-pt jump shot from 26 ft,
5:24.0,Defensive rebound by G. Mathews, ,16-24, , ,
5:14.0,D. Murray misses 2-pt jump shot from 11 ft, ,16-24, , ,
5:14.0, , ,16-24, ,Defensive rebound by V. Wembanyama,
5:00.0, , ,16-24, ,Turnover by T. Jones (bad pass; steal by G. Mathews),
4:53.0,D. Hunter misses 2-pt layup from 2 ft, ,16-24, , ,
4:51.0,Offensive rebound by C. Capela, ,16-24, , ,
4:51.0,C. Capela makes 2-pt layup at rim,+2,18-24, , ,
4:51.0, , ,18-24, ,San Antonio full timeout,
4:51.0,O. Okongwu enters the game for C. Capela, ,18-24, , ,
4:51.0, , ,18-24, ,C. Osman enters the game for V. Wembanyama,
4:36.0, , ,18-24, ,Turnover by Z. Collins (bad pass),
4:24.0,Offensive foul by O. Okongwu (drawn by C. Osman), ,18-24, , ,
4:24.0,Turnover by O. Okongwu (offensive foul), ,18-24, , ,
4:24.0, , ,18-24, ,C. Bassey enters the game for Z. Collins,
4:24.0, , ,18-24, ,J. Champagnie enters the game for K. Johnson,
4:10.0, , ,18-26,+2,D. Vassell makes 2-pt jump shot from 16 ft,
3:47.0,D. Hunter misses 2-pt layup from 3 ft (block by C. Bassey), ,18-26, , ,
3:45.0, , ,18-26, ,Defensive rebound by T. Jones,
3:39.0, , ,18-26, ,Personal foul by D. Murray (drawn by D. Vassell),
3:39.0,W. Matthews enters the game for D. Hunter, ,18-26, , ,
3:32.0, , ,18-29,+3,J. Champagnie makes 3-pt jump shot from 23 ft (assist by T. Jones),
3:06.0,G. Mathews misses 3-pt jump shot from 24 ft, ,18-29, , ,
3:02.0,Offensive rebound by O. Okongwu, ,18-29, , ,
3:02.0,Shooting foul by C. Bassey (drawn by O. Okongwu), ,18-29, , ,
3:02.0,O. Okongwu makes free throw 1 of 2,+1,19-29, , ,
3:02.0,S. Bey enters the game for G. Mathews, ,19-29, , ,
3:02.0,T. Young enters the game for D. Murray, ,19-29, , ,
3:02.0,O. Okongwu makes free throw 2 of 2,+1,20-29, , ,
2:46.0, , ,20-29, ,Turnover by D. Vassell (bad pass; steal by S. Bey),
2:34.0,Personal foul by C. Bassey (drawn by T. Young), ,20-29, , ,
2:25.0,B. Bogdanović misses 2-pt jump shot from 20 ft, ,20-29, , ,
2:21.0, , ,20-29, ,Defensive rebound by C. Osman,
2:14.0, , ,20-32,+3,J. Champagnie makes 3-pt jump shot from 26 ft (assist by D. Vassell),
2:01.0,B. Bogdanović misses 2-pt layup from 3 ft (block by C. Bassey), ,20-32, , ,
1:59.0, , ,20-32, ,Defensive rebound by J. Champagnie,
1:48.0, , ,20-32, ,C. Osman misses 2-pt jump shot from 14 ft,
1:43.0, , ,20-32, ,Offensive rebound by C. Bassey,
1:41.0, , ,20-35,+3,J. Champagnie makes 3-pt jump shot from 26 ft (assist by T. Jones),
1:40.0,Atlanta full timeout, ,20-35, , ,
1:26.0,O. Okongwu makes 3-pt jump shot from 24 ft (assist by T. Young),+3,23-35, , ,
1:12.0, , ,23-35, ,T. Jones misses 2-pt layup from 3 ft,
1:12.0,Defensive rebound by Team, ,23-35, , ,
1:00.0,T. Young makes 2-pt layup from 2 ft,+2,25-35, , ,
0:45.0, , ,25-35, ,D. Vassell misses 3-pt jump shot from 26 ft,
0:43.0,Defensive rebound by B. Bogdanović, ,25-35, , ,
0:38.0,B. Bogdanović misses 2-pt layup from 2 ft, ,25-35, , ,
0:38.0, , ,25-35, ,Defensive rebound by Team,
0:29.0, , ,25-35, ,T. Jones misses 3-pt jump shot from 26 ft,
0:25.0,Defensive rebound by S. Bey, ,25-35, , ,
0:07.0,T. Young misses 3-pt jump shot from 26 ft, ,25-35, , ,
0:05.0,Offensive rebound by Team, ,25-35, , ,
0:01.0,Personal foul by C. Bassey (drawn by T. Young), ,25-35, , ,
0:01.0,T. Young makes free throw 1 of 2,+1,26-35, , ,
0:01.0,T. Young misses free throw 2 of 2, ,26-35, , ,
0:01.0,Offensive rebound by Team, ,26-35, , ,
0:00.0,End of 1st quarter,
2nd Q,
