A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Milwaukee,
12:00.0,Jump ball: C. Capela vs. B. Lopez (G. Antetokounmpo gains possession),
11:42.0, , ,0-0, ,B. Lopez misses 3-pt jump shot from 26 ft,
11:39.0, , ,0-0, ,Offensive rebound by G. Antetokounmpo,
11:33.0, , ,0-0, ,Turnover by M. Beasley (bad pass; steal by D. Murray),
11:29.0,Turnover by D. Murray (bad pass; steal by M. Beasley), ,0-0, , ,
11:26.0, , ,0-0, ,G. Antetokounmpo misses 2-pt layup from 2 ft (block by C. Capela),
11:24.0,Defensive rebound by D. Murray, ,0-0, , ,
11:05.0,D. Murray makes 2-pt jump shot from 18 ft (assist by T. Young),+2,2-0, , ,
10:46.0, , ,2-0, ,B. Lopez misses 2-pt jump shot from 7 ft,
10:43.0,Defensive rebound by D. Murray, ,2-0, , ,
10:36.0,Turnover by T. Young (bad pass; steal by K. Middleton), ,2-0, , ,
10:29.0, , ,2-3,+3,D. Lillard makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),Lead change
10:13.0,D. Murray makes 3-pt jump shot from 24 ft (assist by C. Capela),+3,5-3, , ,Lead change
9:59.0, , ,5-6,+3,K. Middleton makes 3-pt jump shot from 28 ft (assist by D. Lillard),Lead change
9:48.0,C. Capela misses 2-pt layup from 6 ft (block by B. Lopez), ,5-6, , ,
9:47.0,Offensive rebound by C. Capela, ,5-6, , ,
9:47.0,Shooting foul by B. Lopez (drawn by C. Capela), ,5-6, , ,
9:47.0,C. Capela makes free throw 1 of 2,+1,6-6, , ,Tie
9:47.0,C. Capela makes free throw 2 of 2,+1,7-6, , ,Lead change
9:29.0, , ,7-6, ,M. Beasley misses 2-pt jump shot from 14 ft,
9:25.0,Defensive rebound by S. Bey, ,7-6, , ,
9:22.0,D. Hunter makes 2-pt jump shot from 16 ft (assist by T. Young),+2,9-6, , ,
9:22.0,Shooting foul by D. Lillard (drawn by D. Hunter), ,9-6, , ,
9:22.0,D. Hunter makes free throw 1 of 1,+1,10-6, , ,
9:08.0, , ,10-8,+2,B. Lopez makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),
8:53.0,T. Young makes 2-pt jump shot from 13 ft (assist by C. Capela),+2,12-8, , ,
8:45.0, , ,12-10,+2,K. Middleton makes 2-pt jump shot from 13 ft,
8:30.0,T. Young makes 3-pt jump shot from 27 ft,+3,15-10, , ,
8:19.0, , ,15-13,+3,K. Middleton makes 3-pt jump shot from 25 ft (assist by D. Lillard),
8:06.0,T. Young misses 3-pt jump shot from 31 ft, ,15-13, , ,
8:04.0,Offensive rebound by S. Bey, ,15-13, , ,
7:51.0,D. Hunter misses 2-pt layup from 4 ft, ,15-13, , ,
7:49.0, , ,15-13, ,Defensive rebound by K. Middleton,
