A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Toronto,
12:00.0,Jump ball: C. Capela vs. J. Poeltl (D. Schröder gains possession),
11:44.0, , ,0-2,+2,S. Barnes makes 2-pt layup from 2 ft,
11:44.0,Violation by Team (def goaltending), ,0-2, , ,
11:29.0,T. Young misses 2-pt jump shot from 12 ft, ,0-2, , ,
11:27.0, , ,0-2, ,Defensive rebound by S. Barnes,
11:23.0, , ,0-2, ,P. Siakam misses 2-pt layup from 3 ft,
11:22.0, , ,0-2, ,Offensive rebound by S. Barnes,
11:21.0, , ,0-4,+2,S. Barnes makes 2-pt dunk at rim,
11:05.0,S. Bey misses 3-pt jump shot from 26 ft, ,0-4, , ,
11:02.0, , ,0-4, ,Defensive rebound by J. Poeltl,
10:43.0, , ,0-4, ,Turnover by J. Poeltl (bad pass; steal by W. Matthews),
10:39.0,W. Matthews misses 2-pt layup from 1 ft (block by D. Schröder), ,0-4, , ,
10:36.0, , ,0-4, ,Defensive rebound by S. Barnes,
10:32.0, , ,0-6,+2,J. Poeltl makes 2-pt layup from 2 ft (assist by S. Barnes),
10:15.0,D. Murray makes 2-pt jump shot from 14 ft (assist by T. Young),+2,2-6, , ,
10:01.0, , ,2-6, ,P. Siakam misses 2-pt layup from 5 ft,
9:58.0, , ,2-6, ,Offensive rebound by P. Siakam,
9:57.0, , ,2-8,+2,P. Siakam makes 2-pt layup from 4 ft,
9:48.0,Shooting foul by J. Poeltl (drawn by C. Capela), ,2-8, , ,
9:48.0,C. Capela makes free throw 1 of 2,+1,3-8, , ,
9:48.0,C. Capela misses free throw 2 of 2, ,3-8, , ,
9:46.0, , ,3-8, ,Defensive rebound by J. Poeltl,
9:34.0, , ,3-8, ,S. Barnes misses 2-pt jump shot from 7 ft,
9:32.0,Defensive rebound by D. Murray, ,3-8, , ,
9:26.0,D. Murray makes 3-pt jump shot from 25 ft,+3,6-8, , ,
9:10.0, , ,6-10,+2,P. Siakam makes 2-pt jump shot from 6 ft (assist by J. Poeltl),
8:56.0,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),+2,8-10, , ,
8:41.0, , ,8-10, ,Turnover by P. Siakam (lost ball; steal by W. Matthews),
8:37.0,T. Young misses 3-pt jump shot from 27 ft, ,8-10, , ,
8:34.0,Offensive rebound by C. Capela, ,8-10, , ,
8:20.0,S. Bey misses 2-pt jump shot from 14 ft, ,8-10, , ,
8:17.0, , ,8-10, ,Defensive rebound by J. Poeltl,
8:12.0, , ,8-10, ,O. Anunoby misses 3-pt jump shot from 23 ft,
8:10.0,Defensive rebound by D. Murray, ,8-10, , ,
8:05.0,D. Murray misses 3-pt jump shot from 27 ft, ,8-10, , ,
8:01.0, , ,8-10, ,Defensive rebound by S. Barnes,
7:55.0, , ,8-12,+2,O. Anunoby makes 2-pt layup from 2 ft (assist by S. Barnes),
7:35.0,T. Young misses 2-pt layup from 8 ft (block by J. Poeltl), ,8-12, , ,
7:33.0, , ,8-12, ,Defensive rebound by P. Siakam,
7:24.0, , ,8-15,+3,D. Schröder makes 3-pt jump shot from 24 ft (assist by O. Anunoby),
7:05.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by T. Young),+3,11-15, , ,
6:52.0, , ,11-17,+2,P. Siakam makes 2-pt jump shot from 7 ft (assist by D. Schröder),
6:52.0, , ,11-17, ,Shooting foul by W. Matthews (drawn by P. Siakam),
6:52.0, , ,11-17, ,Toronto full timeout,
6:52.0,B. Bogdanović enters the game for S. Bey, ,11-17, , ,
6:52.0,O. Okongwu enters the game for W. Matthews, ,11-17, , ,
6:52.0, , ,11-17, ,P. Siakam misses free throw 1 of 1,
6:50.0,Defensive rebound by C. Capela, ,11-17, , ,
6:39.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by T. Young),+3,14-17, , ,
6:20.0, , ,14-17, ,D. Schröder misses 2-pt jump shot from 14 ft,
6:18.0, , ,14-17, ,Offensive rebound by J. Poeltl,
6:13.0, , ,14-19,+2,P. Siakam makes 2-pt jump shot from 8 ft (assist by O. Anunoby),
5:57.0,B. Bogdanović makes 2-pt jump shot from 2 ft (assist by T. Young),+2,16-19, , ,
5:57.0,Shooting foul by S. Barnes (drawn by B. Bogdanović), ,16-19, , ,
5:57.0,G. Mathews enters the game for T. Young, ,16-19, , ,
5:57.0, , ,16-19, ,G. Trent enters the game for S. Barnes,
5:57.0,B. Bogdanović misses free throw 1 of 1, ,16-19, , ,
5:57.0, , ,16-19, ,Defensive rebound by P. Siakam,
5:43.0, , ,16-22,+3,P. Siakam makes 3-pt jump shot from 26 ft (assist by O. Anunoby),
5:27.0,O. Okongwu makes 3-pt jump shot from 23 ft (assist by D. Murray),+3,19-22, , ,
5:15.0, , ,19-24,+2,O. Anunoby makes 2-pt jump shot from 17 ft (assist by J. Poeltl),
4:57.0,D. Murray makes 2-pt layup from 3 ft (assist by C. Capela),+2,21-24, , ,
4:47.0, , ,21-24, ,Offensive foul by O. Anunoby (drawn by C. Capela),
4:47.0, , ,21-24, ,Turnover by O. Anunoby (offensive foul),
4:34.0,C. Capela makes 2-pt dunk from 1 ft (assist by B. Bogdanović),+2,23-24, , ,
4:34.0, , ,23-24, ,Toronto full timeout,
4:34.0, , ,23-24, ,P. Achiuwa enters the game for J. Poeltl,
4:14.0, , ,23-26,+2,P. Achiuwa makes 2-pt jump shot from 18 ft (assist by G. Trent),
4:02.0,D. Murray misses 2-pt jump shot from 14 ft, ,23-26, , ,
4:00.0, , ,23-26, ,Defensive rebound by D. Schröder,
3:51.0, , ,23-26, ,O. Anunoby misses 3-pt jump shot from 27 ft,
3:48.0,Defensive rebound by C. Capela, ,23-26, , ,
3:43.0,Personal foul by O. Anunoby (drawn by O. Okongwu), ,23-26, , ,
3:43.0,S. Bey enters the game for C. Capela, ,23-26, , ,
3:43.0,T. Young enters the game for D. Murray, ,23-26, , ,
3:43.0, , ,23-26, ,C. Boucher enters the game for O. Anunoby,
3:43.0, , ,23-26, ,M. Flynn enters the game for D. Schröder,
3:35.0,B. Bogdanović makes 2-pt jump shot from 8 ft (assist by T. Young),+2,25-26, , ,
3:10.0, , ,25-29,+3,P. Siakam makes 3-pt jump shot from 23 ft (assist by M. Flynn),
3:02.0,G. Mathews makes 3-pt jump shot from 29 ft (assist by T. Young),+3,28-29, , ,
3:02.0, , ,28-29, ,S. Barnes enters the game for P. Siakam,
2:45.0, , ,28-29, ,G. Trent misses 2-pt jump shot from 18 ft,
2:41.0,Defensive rebound by O. Okongwu, ,28-29, , ,
2:30.0,O. Okongwu misses 2-pt layup from 2 ft (block by P. Achiuwa), ,28-29, , ,
2:28.0, , ,28-29, ,Defensive rebound by S. Barnes,
2:20.0, , ,28-29, ,G. Trent misses 3-pt jump shot from 23 ft,
2:18.0,Defensive rebound by Team, ,28-29, , ,
2:06.0,T. Young makes 2-pt layup from 1 ft,+2,30-29, , ,Lead change
1:54.0, , ,30-29, ,Turnover by M. Flynn (bad pass; steal by G. Mathews),
1:49.0,S. Bey makes 2-pt layup from 3 ft,+2,32-29, , ,
1:48.0, , ,32-29, ,Toronto full timeout,
1:32.0, , ,32-29, ,M. Flynn misses 3-pt jump shot from 27 ft,
1:27.0,Defensive rebound by B. Bogdanović, ,32-29, , ,
