A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Orlando,
12:00.0,Jump ball: C. Capela vs. G. Bitadze (T. Young gains possession),
11:37.0,T. Young misses 2-pt jump shot from 7 ft, ,0-0, , ,
11:36.0, , ,0-0, ,Defensive rebound by P. Banchero,
11:28.0, , ,0-3,+3,C. Okeke makes 3-pt jump shot from 23 ft (assist by J. Suggs),
11:11.0,D. Murray misses 3-pt jump shot from 27 ft, ,0-3, , ,
11:09.0, , ,0-3, ,Defensive rebound by P. Banchero,
10:48.0, , ,0-3, ,C. Houstan misses 3-pt jump shot from 23 ft,
10:45.0,Defensive rebound by J. Johnson, ,0-3, , ,
10:36.0,Turnover by J. Johnson (lost ball; steal by P. Banchero), ,0-3, , ,
10:32.0, , ,0-5,+2,P. Banchero makes 2-pt layup from 1 ft,
10:20.0,J. Johnson misses 3-pt jump shot from 25 ft, ,0-5, , ,
10:17.0, , ,0-5, ,Defensive rebound by G. Bitadze,
9:59.0, , ,0-5, ,P. Banchero misses 2-pt jump shot from 18 ft,
9:55.0,Defensive rebound by S. Bey, ,0-5, , ,
9:49.0,D. Murray misses 2-pt layup from 3 ft, ,0-5, , ,
9:47.0, , ,0-5, ,Defensive rebound by P. Banchero,
9:43.0, , ,0-5, ,C. Houstan misses 3-pt jump shot from 26 ft,
9:39.0, , ,0-5, ,Offensive rebound by P. Banchero,
9:38.0, , ,0-5, ,P. Banchero misses 2-pt hook shot from 8 ft (block by C. Capela),
9:34.0,Defensive rebound by J. Johnson, ,0-5, , ,
9:26.0,T. Young misses 3-pt jump shot from 25 ft, ,0-5, , ,
9:23.0, , ,0-5, ,Defensive rebound by C. Okeke,
9:08.0, , ,0-5, ,Shooting foul by J. Johnson (drawn by P. Banchero),
9:08.0, , ,0-6,+1,P. Banchero makes free throw 1 of 2,
9:08.0, , ,0-7,+1,P. Banchero makes free throw 2 of 2,
9:02.0,Personal foul by J. Suggs (drawn by T. Young), ,0-7, , ,
8:57.0,S. Bey makes 3-pt jump shot from 23 ft (assist by T. Young),+3,3-7, , ,
8:42.0, , ,3-10,+3,J. Suggs makes 3-pt jump shot from 25 ft,
8:31.0,Personal foul by C. Houstan (drawn by T. Young), ,3-10, , ,
8:23.0,D. Murray misses 2-pt jump shot from 10 ft, ,3-10, , ,
8:19.0, , ,3-10, ,Defensive rebound by C. Okeke,
7:59.0, , ,3-13,+3,C. Houstan makes 3-pt jump shot from 23 ft (assist by P. Banchero),
7:42.0,S. Bey misses 3-pt jump shot from 25 ft, ,3-13, , ,
7:40.0, , ,3-13, ,Defensive rebound by G. Bitadze,
7:29.0, , ,3-16,+3,C. Houstan makes 3-pt jump shot from 25 ft (assist by C. Okeke),
7:28.0,Atlanta full timeout, ,3-16, , ,
7:04.0,T. Young makes 2-pt layup from 3 ft,+2,5-16, , ,
6:43.0, , ,5-19,+3,J. Suggs makes 3-pt jump shot from 27 ft (assist by G. Bitadze),
6:30.0, , ,5-19, ,Violation by Team (kicked ball),
6:30.0,B. Bogdanović enters the game for J. Johnson, ,5-19, , ,
6:30.0,O. Okongwu enters the game for T. Young, ,5-19, , ,
6:23.0,D. Murray makes 2-pt layup from 2 ft,+2,7-19, , ,
6:11.0, , ,7-19, ,P. Banchero misses 3-pt jump shot from 26 ft,
6:06.0,Defensive rebound by C. Capela, ,7-19, , ,
5:51.0,S. Bey makes 2-pt layup from 2 ft (assist by B. Bogdanović),+2,9-19, , ,
5:34.0, , ,9-19, ,J. Suggs misses 2-pt jump shot from 15 ft,
5:30.0,Defensive rebound by D. Murray, ,9-19, , ,
5:22.0,D. Murray makes 2-pt layup from 3 ft,+2,11-19, , ,
5:22.0, , ,11-19, ,Orlando full timeout,
5:22.0, , ,11-19, ,A. Black enters the game for C. Houstan,
5:22.0, , ,11-19, ,M. Fultz enters the game for C. Okeke,
5:09.0, , ,11-19, ,P. Banchero misses 2-pt jump shot from 12 ft,
5:05.0,Defensive rebound by O. Okongwu, ,11-19, , ,
4:58.0,D. Murray makes 2-pt layup from 2 ft,+2,13-19, , ,
4:58.0,Shooting foul by G. Bitadze (drawn by D. Murray), ,13-19, , ,
4:58.0,D. Murray makes free throw 1 of 1,+1,14-19, , ,
4:44.0, , ,14-21,+2,P. Banchero makes 2-pt jump shot from 15 ft,
4:29.0,C. Capela makes 2-pt hook shot from 5 ft (assist by D. Murray),+2,16-21, , ,
4:18.0, , ,16-23,+2,G. Bitadze makes 2-pt dunk from 1 ft (assist by M. Fultz),
4:06.0,S. Bey makes 2-pt layup from 2 ft,+2,18-23, , ,
4:06.0,Shooting foul by A. Black (drawn by S. Bey), ,18-23, , ,
4:06.0,S. Bey makes free throw 1 of 1,+1,19-23, , ,
3:51.0, , ,19-23, ,M. Fultz misses 2-pt jump shot from 9 ft (block by C. Capela),
3:48.0, , ,19-23, ,Offensive rebound by G. Bitadze,
3:47.0, , ,19-25,+2,G. Bitadze makes 2-pt layup from 1 ft,
3:32.0,Shooting foul by P. Banchero (drawn by D. Murray), ,19-25, , ,
3:32.0,D. Murray misses free throw 1 of 2, ,19-25, , ,
3:32.0,Offensive rebound by Team, ,19-25, , ,
3:32.0,J. Johnson enters the game for S. Bey, ,19-25, , ,
3:32.0,T. Young enters the game for C. Capela, ,19-25, , ,
3:32.0, , ,19-25, ,C. Anthony enters the game for G. Bitadze,
3:32.0, , ,19-25, ,M. Wagner enters the game for J. Suggs,
3:32.0,D. Murray misses free throw 2 of 2, ,19-25, , ,
3:26.0, , ,19-25, ,Defensive rebound by M. Wagner,
3:07.0, , ,19-25, ,Turnover by Team (shot clock),
2:52.0,D. Murray makes 2-pt jump shot from 13 ft (assist by O. Okongwu),+2,21-25, , ,
2:41.0, , ,21-25, ,Turnover by A. Black (bad pass; steal by B. Bogdanović),
2:35.0,Turnover by J. Johnson (lost ball; steal by P. Banchero), ,21-25, , ,
2:30.0, , ,21-27,+2,P. Banchero makes 2-pt layup from 2 ft (assist by M. Fultz),
2:23.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by T. Young),+3,24-27, , ,
2:13.0, , ,24-27, ,Personal foul by J. Johnson (drawn by M. Wagner),
2:13.0,G. Mathews enters the game for D. Murray, ,24-27, , ,
2:07.0, , ,24-30,+3,P. Banchero makes 3-pt jump shot from 26 ft (assist by M. Fultz),
1:43.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by T. Young),+2,26-30, , ,
1:25.0, , ,26-30, ,A. Black misses 2-pt jump shot from 8 ft (block by O. Okongwu),
1:25.0, , ,26-30, ,Offensive rebound by Team,
1:21.0, , ,26-30, ,Offensive foul by C. Anthony (drawn by T. Young),
1:21.0, , ,26-30, ,Turnover by C. Anthony (offensive foul),
1:09.0,T. Young misses 2-pt jump shot from 15 ft, ,26-30, , ,
1:05.0, , ,26-30, ,Defensive rebound by M. Wagner,
1:03.0, , ,26-30, ,Shooting foul by B. Bogdanović (drawn by M. Fultz),
1:03.0, , ,26-30, ,M. Fultz misses free throw 1 of 2,
1:03.0, , ,26-30, ,Offensive rebound by Team,
1:03.0, , ,26-30, ,C. Okeke enters the game for P. Banchero,
1:03.0, , ,26-30, ,M. Fultz misses free throw 2 of 2,
0:59.0,Defensive rebound by O. Okongwu, ,26-30, , ,
0:46.0,Turnover by T. Young (lost ball; steal by A. Black), ,26-30, , ,
0:35.0, , ,26-30, ,M. Fultz misses 2-pt layup from 2 ft (block by O. Okongwu),
0:35.0, , ,26-30, ,Offensive rebound by Team,
0:35.0,D. Murray enters the game for G. Mathews, ,26-30, , ,
0:33.0, , ,26-30, ,Turnover by M. Fultz (bad pass; steal by T. Young),
0:31.0,D. Murray makes 2-pt layup from 2 ft,+2,28-30, , ,
0:31.0,Shooting foul by M. Wagner (drawn by D. Murray), ,28-30, , ,
0:31.0,D. Murray misses free throw 1 of 1, ,28-30, , ,
0:28.0, , ,28-30, ,Defensive rebound by C. Anthony,
0:09.0, , ,28-32,+2,M. Wagner makes 2-pt layup from 2 ft (assist by C. Anthony),
0:00.0,T. Young misses 2-pt jump shot from 14 ft, ,28-32, , ,
0:00.0, , ,28-32, ,Defensive rebound by C. Anthony,
0:00.0,End of 1st quarter,
2nd Q,
Time,Atlanta,,Score,,Orlando,
12:00.0,Start of 2nd quarter,
11:44.0, , ,28-32, ,A. Black misses 3-pt jump shot from 26 ft,
11:40.0,Defensive rebound by O. Okongwu, ,28-32, , ,
11:30.0,Personal foul by C. Anthony (drawn by T. Young), ,28-32, , ,
11:23.0,B. Bogdanović misses 3-pt jump shot from 24 ft, ,28-32, , ,
11:20.0, , ,28-32, ,Defensive rebound by C. Anthony,
11:14.0, , ,28-32, ,C. Anthony misses 3-pt jump shot from 25 ft,
11:11.0,Defensive rebound by B. Bogdanović, ,28-32, , ,
11:02.0,T. Young makes 2-pt jump shot from 10 ft (assist by O. Okongwu),+2,30-32, , ,
10:37.0, , ,30-32, ,M. Wagner misses 2-pt layup from 3 ft,
10:35.0,Defensive rebound by J. Johnson, ,30-32, , ,
10:28.0,J. Johnson misses 3-pt jump shot from 25 ft, ,30-32, , ,
10:24.0, , ,30-32, ,Defensive rebound by C. Anthony,
