A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Miami,
12:00.0,Jump ball: C. Capela vs. B. Adebayo (D. Murray gains possession),
11:43.0,Turnover by B. Bogdanović (bad pass), ,0-0, , ,
11:27.0, , ,0-0, ,N. Jović misses 3-pt jump shot from 25 ft,
11:23.0,Defensive rebound by D. Murray, ,0-0, , ,
11:18.0,D. Murray makes 3-pt jump shot from 26 ft,+3,3-0, , ,
11:08.0, , ,3-0, ,C. Martin misses 2-pt layup from 3 ft,
11:08.0, , ,3-0, ,Offensive rebound by C. Martin,
11:07.0, , ,3-0, ,C. Martin misses 2-pt layup from 1 ft,
11:07.0, , ,3-0, ,Offensive rebound by C. Martin,
11:02.0, , ,3-3,+3,C. Martin makes 3-pt jump shot from 24 ft (assist by T. Herro),Tie
10:43.0,J. Johnson misses 2-pt jump shot from 7 ft, ,3-3, , ,
10:43.0,Offensive rebound by J. Johnson, ,3-3, , ,
10:39.0,J. Johnson makes 2-pt layup from 1 ft,+2,5-3, , ,
10:24.0, , ,5-5,+2,C. Martin makes 2-pt jump shot from 6 ft (assist by B. Adebayo),Tie
10:09.0,S. Bey makes 2-pt jump shot from 6 ft,+2,7-5, , ,
9:51.0, , ,7-5, ,B. Adebayo misses 2-pt jump shot from 11 ft,
9:49.0,Defensive rebound by C. Capela, ,7-5, , ,
9:42.0,D. Murray makes 2-pt layup from 2 ft,+2,9-5, , ,
9:28.0, , ,9-5, ,N. Jović misses 2-pt layup from 1 ft,
9:26.0, , ,9-5, ,Offensive rebound by N. Jović,
9:25.0, , ,9-5, ,N. Jović misses 2-pt layup from 2 ft,
9:22.0,Defensive rebound by J. Johnson, ,9-5, , ,
9:17.0,J. Johnson misses 2-pt jump shot from 7 ft, ,9-5, , ,
9:14.0, , ,9-5, ,Defensive rebound by B. Adebayo,
9:14.0,Loose ball foul by D. Murray (drawn by J. Butler), ,9-5, , ,
9:03.0, , ,9-5, ,J. Butler misses 2-pt layup from 2 ft,
9:01.0, , ,9-5, ,Offensive rebound by J. Butler,
9:00.0, , ,9-7,+2,J. Butler makes 2-pt layup from 1 ft,
8:48.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by D. Murray),+2,11-7, , ,
8:31.0, , ,11-7, ,C. Martin misses 3-pt jump shot from 22 ft,
8:28.0,Defensive rebound by C. Capela, ,11-7, , ,
8:14.0,S. Bey misses 2-pt layup from 1 ft, ,11-7, , ,
8:11.0,Offensive rebound by C. Capela, ,11-7, , ,
8:08.0,B. Bogdanović misses 2-pt jump shot from 2 ft, ,11-7, , ,
8:03.0,Offensive rebound by C. Capela, ,11-7, , ,
8:00.0,C. Capela makes 2-pt layup at rim,+2,13-7, , ,
7:52.0, , ,13-9,+2,T. Herro makes 2-pt layup from 1 ft,
7:37.0,J. Johnson misses 2-pt jump shot from 13 ft, ,13-9, , ,
7:34.0, , ,13-9, ,Defensive rebound by N. Jović,
7:26.0, , ,13-9, ,Turnover by J. Butler (lost ball; steal by J. Johnson),
7:22.0,J. Johnson makes 2-pt dunk from 2 ft (assist by D. Murray),+2,15-9, , ,
6:59.0, , ,15-9, ,B. Adebayo misses 2-pt jump shot from 17 ft,
6:56.0,Defensive rebound by C. Capela, ,15-9, , ,
6:47.0,S. Bey misses 3-pt jump shot from 25 ft, ,15-9, , ,
6:44.0,Offensive rebound by C. Capela, ,15-9, , ,
6:42.0,C. Capela misses 2-pt hook shot from 7 ft, ,15-9, , ,
6:42.0,Offensive rebound by Team, ,15-9, , ,
6:42.0, , ,15-9, ,Loose ball foul by N. Jović (drawn by S. Bey),
6:42.0, , ,15-9, ,Miami full timeout,
6:42.0,G. Mathews enters the game for B. Bogdanović, ,15-9, , ,
6:42.0,P. Mills enters the game for J. Johnson, ,15-9, , ,
6:31.0,D. Murray misses 2-pt jump shot from 16 ft, ,15-9, , ,
6:27.0, , ,15-9, ,Defensive rebound by C. Martin,
6:06.0, , ,15-11,+2,B. Adebayo makes 2-pt jump shot from 8 ft,
5:48.0,S. Bey misses 3-pt jump shot from 26 ft, ,15-11, , ,
5:46.0, , ,15-11, ,Defensive rebound by C. Martin,
5:39.0, , ,15-13,+2,T. Herro makes 2-pt jump shot from 10 ft (assist by J. Butler),
5:39.0, , ,15-13, ,Shooting foul by P. Mills (drawn by T. Herro),
5:39.0, , ,15-13, ,K. Love enters the game for B. Adebayo,
5:39.0, , ,15-14,+1,T. Herro makes free throw 1 of 1,
5:25.0,P. Mills makes 3-pt jump shot from 25 ft (assist by D. Murray),+3,18-14, , ,
5:10.0, , ,18-14, ,T. Herro misses 3-pt jump shot from 27 ft,
5:07.0,Defensive rebound by C. Capela, ,18-14, , ,
4:56.0,D. Murray misses 2-pt layup from 3 ft, ,18-14, , ,
4:56.0,Offensive rebound by C. Capela, ,18-14, , ,
4:56.0,Shooting foul by C. Martin (drawn by C. Capela), ,18-14, , ,
4:56.0,C. Capela misses free throw 1 of 2, ,18-14, , ,
4:56.0,Offensive rebound by Team, ,18-14, , ,
4:56.0,C. Capela makes free throw 2 of 2,+1,19-14, , ,
4:46.0, , ,19-14, ,Offensive foul by J. Butler (drawn by G. Mathews),
4:46.0, , ,19-14, ,Turnover by J. Butler (offensive foul),
4:46.0,O. Okongwu enters the game for C. Capela, ,19-14, , ,
