A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Charlotte,
12:00.0,Jump ball: B. Fernando vs. N. Richards (M. Bridges gains possession),
11:38.0, , ,0-0, ,B. Miller misses 3-pt jump shot from 28 ft,
11:33.0, , ,0-0, ,Offensive rebound by C. Martin,
11:29.0, , ,0-0, ,M. Bridges misses 3-pt jump shot from 28 ft,
11:25.0,Defensive rebound by B. Fernando, ,0-0, , ,
11:07.0,J. Johnson misses 3-pt jump shot from 26 ft, ,0-0, , ,
11:04.0, , ,0-0, ,Defensive rebound by T. Mann,
10:54.0, , ,0-0, ,M. Bridges misses 2-pt layup from 3 ft,
10:53.0, , ,0-0, ,Offensive rebound by M. Bridges,
10:51.0, , ,0-2,+2,M. Bridges makes 2-pt layup at rim,
10:35.0,B. Fernando misses 2-pt layup from 3 ft (block by M. Bridges), ,0-2, , ,
10:35.0,Offensive rebound by Team, ,0-2, , ,
10:30.0,D. Murray makes 2-pt jump shot from 14 ft (assist by T. Young),+2,2-2, , ,Tie
10:15.0, , ,2-4,+2,M. Bridges makes 2-pt jump shot from 6 ft (assist by T. Mann),
10:03.0,J. Johnson makes 2-pt layup from 1 ft (assist by T. Young),+2,4-4, , ,Tie
9:57.0, , ,4-4, ,C. Martin misses 2-pt dunk from 4 ft (block by B. Fernando),
9:54.0,Defensive rebound by D. Murray, ,4-4, , ,
9:45.0,D. Murray misses 3-pt jump shot from 25 ft, ,4-4, , ,
9:43.0, , ,4-4, ,Defensive rebound by T. Mann,
9:34.0, , ,4-4, ,T. Mann misses 2-pt jump shot from 7 ft,
9:32.0,Defensive rebound by J. Johnson, ,4-4, , ,
9:11.0,D. Murray misses 3-pt jump shot from 24 ft, ,4-4, , ,
9:10.0,Offensive rebound by S. Bey, ,4-4, , ,
9:06.0,S. Bey misses 2-pt layup from 1 ft, ,4-4, , ,
9:05.0,Offensive rebound by S. Bey, ,4-4, , ,
9:05.0,Shooting foul by N. Richards (drawn by S. Bey), ,4-4, , ,
9:05.0,S. Bey makes free throw 1 of 2,+1,5-4, , ,Lead change
9:05.0,S. Bey makes free throw 2 of 2,+1,6-4, , ,
8:50.0, , ,6-4, ,B. Miller misses 2-pt jump shot from 13 ft,
8:49.0, , ,6-4, ,Offensive rebound by N. Richards,
8:49.0, , ,6-6,+2,N. Richards makes 2-pt layup from 2 ft,Tie
8:49.0, , ,6-6, ,Shooting foul by B. Fernando (drawn by N. Richards),
8:49.0, , ,6-7,+1,N. Richards makes free throw 1 of 1,Lead change
8:34.0,J. Johnson makes 2-pt dunk at rim (assist by T. Young),+2,8-7, , ,Lead change
8:27.0, , ,8-10,+3,T. Mann makes 3-pt jump shot from 24 ft (assist by B. Miller),Lead change
8:10.0,S. Bey misses 2-pt layup from 2 ft, ,8-10, , ,
8:09.0, , ,8-10, ,Defensive rebound by Team,
7:50.0, , ,8-10, ,C. Martin misses 2-pt jump shot from 19 ft (block by D. Murray),
7:49.0,Defensive rebound by D. Murray, ,8-10, , ,
7:38.0,J. Johnson makes 2-pt layup from 1 ft (assist by D. Murray),+2,10-10, , ,Tie
7:16.0, , ,10-13,+3,B. Miller makes 3-pt jump shot from 24 ft (assist by C. Martin),
7:08.0,S. Bey misses 3-pt jump shot from 26 ft, ,10-13, , ,
7:05.0, , ,10-13, ,Defensive rebound by N. Richards,
6:55.0, , ,10-16,+3,T. Mann makes 3-pt jump shot from 30 ft (assist by M. Bridges),
6:40.0,T. Young misses 3-pt jump shot from 26 ft, ,10-16, , ,
6:37.0,Offensive rebound by J. Johnson, ,10-16, , ,
6:28.0,B. Fernando makes 2-pt layup from 1 ft (assist by S. Bey),+2,12-16, , ,
6:19.0, , ,12-18,+2,N. Richards makes 2-pt dunk from 2 ft (assist by T. Mann),
6:19.0,Atlanta full timeout, ,12-18, , ,
6:19.0,B. Bogdanović enters the game for J. Johnson, ,12-18, , ,
6:19.0,D. Hunter enters the game for T. Young, ,12-18, , ,
6:11.0,Turnover by D. Murray (bad pass; steal by T. Mann), ,12-18, , ,
6:06.0, , ,12-20,+2,T. Mann makes 2-pt dunk from 2 ft,
