A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Brooklyn,
12:00.0,Jump ball: C. Capela vs. N. Claxton (D. Schröder gains possession),
11:39.0, , ,0-0, ,D. Schröder misses 3-pt jump shot from 23 ft,
11:36.0, , ,0-0, ,Offensive rebound by M. Bridges,
11:32.0, , ,0-0, ,Turnover by D. Schröder (bad pass; steal by D. Murray),
11:18.0,S. Bey misses 3-pt jump shot from 26 ft, ,0-0, , ,
11:16.0, , ,0-0, ,Defensive rebound by C. Johnson,
11:03.0, , ,0-2,+2,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by C. Johnson),
10:46.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by D. Murray),+3,3-2, , ,Lead change
10:37.0, , ,3-2, ,M. Bridges misses 3-pt jump shot from 27 ft,
10:35.0,Defensive rebound by J. Johnson, ,3-2, , ,
10:28.0,D. Murray makes 2-pt jump shot from 13 ft,+2,5-2, , ,
10:10.0, , ,5-2, ,Turnover by D. Schröder (bad pass; steal by D. Murray),
9:59.0,D. Murray makes 2-pt jump shot from 5 ft,+2,7-2, , ,
9:59.0, , ,7-2, ,Brooklyn full timeout,
9:49.0, , ,7-2, ,C. Johnson misses 3-pt jump shot from 28 ft,
9:45.0,Defensive rebound by C. Capela, ,7-2, , ,
9:41.0,D. Murray misses 3-pt jump shot from 26 ft, ,7-2, , ,
9:37.0, , ,7-2, ,Defensive rebound by N. Claxton,
9:30.0, , ,7-5,+3,C. Johnson makes 3-pt jump shot from 29 ft (assist by D. Schröder),
9:13.0,C. Capela misses 2-pt hook shot from 5 ft, ,7-5, , ,
9:12.0,Offensive rebound by C. Capela, ,7-5, , ,
9:11.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Capela),+3,10-5, , ,
8:54.0, , ,10-7,+2,M. Bridges makes 2-pt jump shot from 8 ft,
8:37.0,Shooting foul by D. Schröder (drawn by C. Capela), ,10-7, , ,
8:37.0,C. Capela misses free throw 1 of 2, ,10-7, , ,
8:37.0,Offensive rebound by Team, ,10-7, , ,
8:37.0,C. Capela makes free throw 2 of 2,+1,11-7, , ,
8:15.0, , ,11-7, ,D. Schröder misses 2-pt jump shot from 18 ft,
8:13.0, , ,11-7, ,Offensive rebound by D. Finney-Smith,
8:11.0, , ,11-7, ,D. Finney-Smith misses 3-pt jump shot from 27 ft,
8:09.0,Defensive rebound by C. Capela, ,11-7, , ,
8:06.0,B. Bogdanović misses 2-pt layup from 4 ft (block by D. Schröder), ,11-7, , ,
8:06.0, , ,11-7, ,Defensive rebound by Team,
7:51.0, , ,11-7, ,Offensive foul by D. Finney-Smith (drawn by C. Capela),
7:51.0, , ,11-7, ,Turnover by D. Finney-Smith (offensive foul),
7:51.0, , ,11-7, ,Brooklyn full timeout,
7:51.0, , ,11-7, ,Instant Replay (Challenge: Stands),
7:38.0,J. Johnson misses 2-pt layup from 2 ft, ,11-7, , ,
7:36.0, , ,11-7, ,Defensive rebound by N. Claxton,
7:31.0, , ,11-7, ,C. Johnson misses 2-pt jump shot from 15 ft,
7:27.0,Defensive rebound by J. Johnson, ,11-7, , ,
7:18.0,S. Bey makes 2-pt layup from 3 ft (assist by J. Johnson),+2,13-7, , ,
7:06.0, , ,13-7, ,D. Schröder misses 2-pt layup from 2 ft,
7:04.0, , ,13-7, ,Offensive rebound by D. Finney-Smith,
6:56.0, , ,13-7, ,M. Bridges misses 2-pt jump shot from 16 ft,
6:52.0,Defensive rebound by D. Murray, ,13-7, , ,
6:48.0,C. Capela makes 2-pt layup from 2 ft (assist by D. Murray),+2,15-7, , ,
6:48.0,Shooting foul by M. Bridges (drawn by C. Capela), ,15-7, , ,
6:48.0,D. Hunter enters the game for B. Bogdanović, ,15-7, , ,
6:48.0,G. Mathews enters the game for J. Johnson, ,15-7, , ,
6:48.0, , ,15-7, ,D. Sharpe enters the game for M. Bridges,
6:48.0, , ,15-7, ,L. Walker enters the game for N. Claxton,
6:48.0,C. Capela makes free throw 1 of 1,+1,16-7, , ,
6:35.0, , ,16-7, ,L. Walker misses 3-pt jump shot from 24 ft,
6:33.0,Defensive rebound by C. Capela, ,16-7, , ,
6:24.0,D. Murray misses 2-pt jump shot from 10 ft, ,16-7, , ,
6:22.0, , ,16-7, ,Defensive rebound by D. Sharpe,
6:17.0, , ,16-9,+2,C. Johnson makes 2-pt jump shot from 5 ft,
6:17.0, , ,16-9, ,Shooting foul by G. Mathews (drawn by C. Johnson),
6:17.0,B. Fernando enters the game for C. Capela, ,16-9, , ,
6:17.0, , ,16-10,+1,C. Johnson makes free throw 1 of 1,
5:57.0,D. Murray misses 3-pt jump shot from 27 ft, ,16-10, , ,
5:52.0, , ,16-10, ,Defensive rebound by D. Finney-Smith,
5:46.0, , ,16-10, ,L. Walker misses 2-pt layup from 4 ft,
5:44.0, , ,16-10, ,Offensive rebound by D. Sharpe,
5:44.0, , ,16-12,+2,D. Sharpe makes 2-pt layup at rim,
5:23.0,S. Bey makes 2-pt hook shot from 2 ft (assist by D. Murray),+2,18-12, , ,
5:08.0,Violation by Team (kicked ball), ,18-12, , ,
5:08.0, , ,18-12, ,M. Bridges enters the game for D. Finney-Smith,
5:08.0, , ,18-12, ,J. Wilson enters the game for C. Johnson,
4:56.0, , ,18-12, ,L. Walker misses 2-pt jump shot from 17 ft,
4:55.0, , ,18-12, ,Offensive rebound by Team,
4:55.0,Loose ball foul by D. Hunter (drawn by D. Sharpe), ,18-12, , ,
4:55.0, , ,18-12, ,D. Smith enters the game for D. Schröder,
4:43.0, , ,18-12, ,L. Walker misses 2-pt hook shot from 4 ft,
4:41.0,Defensive rebound by Team, ,18-12, , ,
4:30.0,D. Hunter makes 3-pt jump shot from 27 ft (assist by B. Fernando),+3,21-12, , ,
4:13.0, , ,21-12, ,Turnover by M. Bridges (out of bounds lost ball),
4:03.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by D. Murray),+3,24-12, , ,
3:44.0, , ,24-15,+3,M. Bridges makes 3-pt jump shot from 28 ft (assist by D. Smith),
3:27.0,Shooting foul by J. Wilson (drawn by D. Murray), ,24-15, , ,
3:27.0,D. Murray misses free throw 1 of 2, ,24-15, , ,
3:27.0,Offensive rebound by Team, ,24-15, , ,
3:27.0,J. Johnson enters the game for S. Bey, ,24-15, , ,
3:27.0,D. Murray misses free throw 2 of 2, ,24-15, , ,
3:24.0, , ,24-15, ,Defensive rebound by L. Walker,
3:05.0, , ,24-15, ,L. Walker misses 3-pt jump shot from 26 ft,
3:00.0, , ,24-15, ,Offensive rebound by M. Bridges,
3:00.0, , ,24-15, ,M. Bridges misses 2-pt layup at rim,
2:59.0,Defensive rebound by J. Johnson, ,24-15, , ,
2:53.0,J. Johnson misses 3-pt jump shot from 27 ft, ,24-15, , ,
2:49.0, , ,24-15, ,Defensive rebound by D. Smith,
2:42.0, , ,24-15, ,M. Bridges misses 2-pt jump shot from 4 ft,
2:41.0, , ,24-15, ,Offensive rebound by D. Sharpe,
2:41.0, , ,24-15, ,D. Sharpe misses 2-pt layup at rim,
2:40.0, , ,24-15, ,Offensive rebound by D. Sharpe,
2:33.0, , ,24-15, ,M. Bridges misses 3-pt jump shot from 23 ft,
2:31.0,Defensive rebound by D. Murray, ,24-15, , ,
2:20.0,B. Fernando makes 2-pt hook shot from 2 ft (assist by D. Murray),+2,26-15, , ,
2:00.0, , ,26-15, ,L. Walker misses 3-pt jump shot from 23 ft,
1:58.0,Defensive rebound by J. Johnson, ,26-15, , ,
1:47.0,B. Fernando makes 2-pt dunk from 1 ft (assist by D. Murray),+2,28-15, , ,
1:29.0, , ,28-18,+3,J. Wilson makes 3-pt jump shot from 23 ft (assist by D. Smith),
1:14.0,J. Johnson misses 2-pt layup from 2 ft (block by D. Sharpe), ,28-18, , ,
1:12.0, , ,28-18, ,Defensive rebound by M. Bridges,
1:09.0, , ,28-18, ,M. Bridges misses 2-pt layup from 3 ft,
1:07.0, , ,28-18, ,Offensive rebound by J. Wilson,
1:06.0, , ,28-18, ,Shooting foul by B. Fernando (drawn by D. Sharpe),
1:06.0, , ,28-18, ,D. Sharpe misses free throw 1 of 2,
1:06.0, , ,28-18, ,Offensive rebound by Team,
1:06.0,B. Bogdanović enters the game for G. Mathews, ,28-18, , ,
1:06.0,K. Bufkin enters the game for D. Murray, ,28-18, , ,
1:06.0, , ,28-18, ,C. Johnson enters the game for L. Walker,
1:06.0, , ,28-19,+1,D. Sharpe makes free throw 2 of 2,
0:52.0,D. Hunter misses 3-pt jump shot from 28 ft, ,28-19, , ,
0:50.0, , ,28-19, ,Defensive rebound by C. Johnson,
0:43.0, , ,28-19, ,D. Smith misses 3-pt jump shot from 23 ft,
0:40.0,Defensive rebound by Team, ,28-19, , ,
0:40.0, , ,28-19, ,Loose ball foul by D. Sharpe (drawn by J. Johnson),
0:40.0, , ,28-19, ,N. Claxton enters the game for D. Sharpe,
0:27.0,Turnover by B. Bogdanović (out of bounds lost ball), ,28-19, , ,
0:08.0, , ,28-19, ,Shooting foul by B. Fernando (drawn by C. Johnson),
0:08.0, , ,28-20,+1,C. Johnson makes free throw 1 of 2,
0:08.0,D. Murray enters the game for K. Bufkin, ,28-20, , ,
0:08.0, , ,28-21,+1,C. Johnson makes free throw 2 of 2,
0:01.0,D. Murray misses 3-pt jump shot from 25 ft, ,28-21, , ,
0:01.0, , ,28-21, ,Defensive rebound by J. Wilson,
0:00.0,End of 1st quarter,
2nd Q,
Time,Atlanta,,Score,,Brooklyn,
12:00.0,Start of 2nd quarter,
11:47.0,Personal foul by C. Johnson (drawn by D. Hunter), ,28-21, , ,
11:40.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by K. Bufkin),+3,31-21, , ,
11:30.0, , ,31-21, ,Personal foul by K. Bufkin (drawn by C. Johnson),
11:24.0, , ,31-24,+3,M. Bridges makes 3-pt jump shot from 26 ft,
10:58.0,J. Johnson makes 2-pt jump shot from 4 ft,+2,33-24, , ,
10:58.0, , ,33-24, ,D. Finney-Smith enters the game for J. Wilson,
10:32.0, , ,33-26,+2,N. Claxton makes 2-pt layup from 1 ft (assist by D. Smith),
10:07.0,D. Hunter misses 2-pt jump shot from 17 ft, ,33-26, , ,
10:02.0, , ,33-26, ,Defensive rebound by N. Claxton,
9:50.0, , ,33-28,+2,D. Finney-Smith makes 2-pt layup from 2 ft (assist by N. Claxton),
9:36.0,Shooting foul by N. Claxton (drawn by K. Bufkin), ,33-28, , ,
9:36.0,K. Bufkin misses free throw 1 of 2, ,33-28, , ,
9:36.0,Offensive rebound by Team, ,33-28, , ,
9:36.0,C. Capela enters the game for B. Fernando, ,33-28, , ,
9:36.0,G. Mathews enters the game for D. Hunter, ,33-28, , ,
9:36.0,K. Bufkin makes free throw 2 of 2,+1,34-28, , ,
9:16.0, , ,34-28, ,D. Smith misses 2-pt jump shot from 10 ft,
9:13.0,Defensive rebound by B. Bogdanović, ,34-28, , ,
9:08.0,G. Mathews misses 3-pt jump shot from 27 ft, ,34-28, , ,
9:04.0, , ,34-28, ,Defensive rebound by D. Smith,
9:00.0, , ,34-28, ,Personal foul by K. Bufkin (drawn by N. Claxton),
9:00.0,S. Bey enters the game for J. Johnson, ,34-28, , ,
9:00.0, , ,34-28, ,D. Schröder enters the game for M. Bridges,
9:00.0, , ,34-28, ,L. Walker enters the game for D. Smith,
8:53.0, , ,34-28, ,C. Johnson misses 2-pt jump shot from 16 ft,
8:49.0,Defensive rebound by B. Bogdanović, ,34-28, , ,
8:32.0,S. Bey makes 3-pt jump shot from 24 ft (assist by K. Bufkin),+3,37-28, , ,
8:14.0, , ,37-31,+3,C. Johnson makes 3-pt jump shot from 28 ft (assist by N. Claxton),
8:01.0,S. Bey makes 2-pt dunk from 1 ft (assist by K. Bufkin),+2,39-31, , ,
7:50.0, , ,39-31, ,N. Claxton misses 2-pt layup from 3 ft,
7:48.0,Defensive rebound by B. Bogdanović, ,39-31, , ,
7:43.0,S. Bey misses 3-pt jump shot from 25 ft, ,39-31, , ,
7:40.0,Offensive rebound by C. Capela, ,39-31, , ,
7:40.0,Turnover by C. Capela (lost ball; steal by C. Johnson), ,39-31, , ,
7:40.0, , ,39-31, ,Turnover by L. Walker (traveling),
7:40.0,Atlanta full timeout, ,39-31, , ,
7:40.0,D. Hunter enters the game for B. Bogdanović, ,39-31, , ,
7:40.0,D. Murray enters the game for G. Mathews, ,39-31, , ,
7:40.0, , ,39-31, ,M. Bridges enters the game for L. Walker,
7:32.0,D. Hunter misses 3-pt jump shot from 24 ft, ,39-31, , ,
7:28.0, , ,39-31, ,Defensive rebound by N. Claxton,
7:23.0, , ,39-34,+3,M. Bridges makes 3-pt jump shot from 26 ft (assist by N. Claxton),
7:08.0,S. Bey makes 2-pt layup from 2 ft,+2,41-34, , ,
6:57.0, , ,41-34, ,Shooting foul by C. Capela (drawn by M. Bridges),
6:57.0, , ,41-35,+1,M. Bridges makes free throw 1 of 2,
6:57.0,B. Bogdanović enters the game for K. Bufkin, ,41-35, , ,
6:57.0, , ,41-36,+1,M. Bridges makes free throw 2 of 2,
6:36.0,S. Bey makes 3-pt jump shot from 25 ft (assist by D. Murray),+3,44-36, , ,
6:23.0, , ,44-39,+3,C. Johnson makes 3-pt jump shot from 24 ft (assist by D. Schröder),
6:09.0,D. Murray misses 2-pt layup from 4 ft, ,44-39, , ,
6:06.0, , ,44-39, ,Defensive rebound by N. Claxton,
5:55.0, , ,44-39, ,M. Bridges misses 2-pt layup from 2 ft (block by D. Murray),
