A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Utah,
12:00.0,Jump ball: C. Capela vs. J. Collins (J. Johnson gains possession),
11:43.0,V. Krejci misses 2-pt layup from 5 ft, ,0-0, , ,
11:41.0, , ,0-0, ,Defensive rebound by J. Collins,
11:25.0, , ,0-0, ,J. Collins misses 2-pt jump shot from 8 ft (block by W. Matthews),
11:24.0, , ,0-0, ,Offensive rebound by Team,
11:20.0, , ,0-0, ,J. Collins misses 2-pt jump shot from 18 ft,
11:17.0,Defensive rebound by D. Murray, ,0-0, , ,
11:13.0,V. Krejci misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:10.0, , ,0-0, ,Defensive rebound by T. Hendricks,
11:02.0, , ,0-0, ,T. Hendricks misses 3-pt jump shot from 26 ft,
10:58.0, , ,0-0, ,Offensive rebound by J. Collins,
10:58.0, , ,0-2,+2,J. Collins makes 2-pt layup at rim,
10:44.0,J. Johnson misses 3-pt jump shot from 25 ft, ,0-2, , ,
10:43.0, , ,0-2, ,Defensive rebound by K. George,
10:35.0, , ,0-2, ,K. George misses 3-pt jump shot from 25 ft,
10:31.0,Defensive rebound by C. Capela, ,0-2, , ,
10:28.0,V. Krejci makes 2-pt dunk from 2 ft (assist by J. Johnson),+2,2-2, , ,Tie
10:16.0, , ,2-5,+3,J. Collins makes 3-pt jump shot from 26 ft (assist by C. Sexton),
10:01.0,W. Matthews misses 2-pt layup from 4 ft (block by T. Hendricks), ,2-5, , ,
9:59.0, , ,2-5, ,Defensive rebound by T. Hendricks,
9:48.0, , ,2-8,+3,C. Sexton makes 3-pt jump shot from 23 ft,
9:35.0,D. Murray makes 3-pt jump shot from 25 ft,+3,5-8, , ,
9:24.0, , ,5-8, ,T. Hendricks misses 3-pt jump shot from 26 ft,
9:21.0,Defensive rebound by W. Matthews, ,5-8, , ,
9:13.0,W. Matthews makes 3-pt jump shot from 22 ft (assist by D. Murray),+3,8-8, , ,Tie
9:11.0, , ,8-8, ,Utah full timeout,
8:51.0, , ,8-8, ,Turnover by J. Collins (out of bounds lost ball),
8:37.0,J. Johnson misses 2-pt layup from 6 ft, ,8-8, , ,
8:35.0, , ,8-8, ,Defensive rebound by J. Collins,
8:30.0, , ,8-10,+2,C. Sexton makes 2-pt layup from 3 ft (assist by K. George),
8:18.0,Shooting foul by T. Hendricks (drawn by J. Johnson), ,8-10, , ,
8:18.0,J. Johnson misses free throw 1 of 2, ,8-10, , ,
8:18.0,Offensive rebound by Team, ,8-10, , ,
