A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Phoenix,
12:00.0,Jump ball: C. Capela vs. J. Nurkić (B. Beal gains possession),
11:39.0, , ,0-3,+3,B. Beal makes 3-pt jump shot from 24 ft (assist by G. Allen),
11:19.0,D. Hunter makes 3-pt jump shot from 23 ft (assist by V. Krejci),+3,3-3, , ,Tie
11:01.0, , ,3-3, ,G. Allen misses 3-pt jump shot from 27 ft,
10:54.0, , ,3-3, ,Offensive rebound by B. Beal,
10:54.0, , ,3-5,+2,B. Beal makes 2-pt layup at rim,
10:41.0,C. Capela misses 2-pt hook shot from 6 ft, ,3-5, , ,
10:39.0,Offensive rebound by C. Capela, ,3-5, , ,
10:34.0,V. Krejci makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),+3,6-5, , ,Lead change
10:18.0, , ,6-5, ,B. Beal misses 3-pt jump shot from 26 ft,
10:14.0, , ,6-5, ,Offensive rebound by K. Durant,
10:02.0, , ,6-5, ,Turnover by J. Nurkić (bad pass; steal by D. Murray),
9:57.0,V. Krejci makes 2-pt layup from 23 ft (assist by D. Murray),+2,8-5, , ,
9:54.0, , ,8-5, ,Turnover by K. Durant (bad pass; steal by D. Hunter),
9:39.0,B. Bogdanović misses 2-pt jump shot from 10 ft, ,8-5, , ,
9:36.0, , ,8-5, ,Defensive rebound by G. Allen,
9:30.0, , ,8-8,+3,D. Booker makes 3-pt jump shot from 26 ft,Tie
9:10.0,C. Capela makes 2-pt jump shot from 8 ft (assist by D. Murray),+2,10-8, , ,
8:54.0, , ,10-8, ,Turnover by K. Durant (bad pass; steal by D. Murray),
8:47.0,D. Murray misses 3-pt jump shot from 27 ft, ,10-8, , ,
8:42.0,Offensive rebound by D. Murray, ,10-8, , ,
8:41.0,C. Capela makes 2-pt layup from 3 ft (assist by D. Murray),+2,12-8, , ,
8:22.0, , ,12-8, ,D. Booker misses 2-pt jump shot from 7 ft,
8:22.0,Defensive rebound by D. Murray, ,12-8, , ,
8:15.0,C. Capela misses 2-pt layup from 4 ft (block by K. Durant), ,12-8, , ,
8:13.0, , ,12-8, ,Defensive rebound by K. Durant,
8:01.0, , ,12-11,+3,G. Allen makes 3-pt jump shot from 24 ft (assist by K. Durant),
7:49.0,B. Bogdanović misses 3-pt jump shot from 27 ft, ,12-11, , ,
7:47.0,Offensive rebound by C. Capela, ,12-11, , ,
7:46.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by C. Capela),+3,15-11, , ,
7:27.0, , ,15-11, ,J. Nurkić misses 2-pt layup from 7 ft (block by C. Capela),
7:25.0,Defensive rebound by C. Capela, ,15-11, , ,
7:17.0,D. Murray makes 3-pt jump shot from 26 ft (assist by C. Capela),+3,18-11, , ,
7:15.0, , ,18-11, ,Phoenix full timeout,
7:15.0,G. Mathews enters the game for B. Bogdanović, ,18-11, , ,
6:53.0, , ,18-11, ,Turnover by B. Beal (lost ball; steal by V. Krejci),
6:47.0,D. Murray makes 2-pt layup from 1 ft (assist by V. Krejci),+2,20-11, , ,
6:30.0, , ,20-11, ,K. Durant misses 2-pt jump shot from 10 ft,
6:26.0,Defensive rebound by C. Capela, ,20-11, , ,
6:21.0,D. Murray makes 2-pt layup from 2 ft (assist by D. Hunter),+2,22-11, , ,
6:05.0, , ,22-11, ,K. Durant misses 2-pt jump shot from 17 ft,
6:01.0,Defensive rebound by G. Mathews, ,22-11, , ,
5:55.0,D. Murray makes 3-pt jump shot from 26 ft (assist by V. Krejci),+3,25-11, , ,
5:53.0, , ,25-11, ,Phoenix full timeout,
5:53.0,O. Okongwu enters the game for C. Capela, ,25-11, , ,
5:53.0, , ,25-11, ,E. Gordon enters the game for B. Beal,
5:38.0, , ,25-11, ,E. Gordon misses 3-pt jump shot from 27 ft,
5:34.0,Defensive rebound by O. Okongwu, ,25-11, , ,
5:22.0,D. Murray misses 2-pt layup from 5 ft, ,25-11, , ,
5:20.0, , ,25-11, ,Defensive rebound by J. Nurkić,
5:08.0, , ,25-11, ,Personal foul by O. Okongwu (drawn by J. Nurkić),
5:03.0, , ,25-14,+3,D. Booker makes 3-pt jump shot from 25 ft (assist by J. Nurkić),
4:42.0,D. Hunter makes 2-pt jump shot from 13 ft (assist by O. Okongwu),+2,27-14, , ,
4:32.0, , ,27-17,+3,D. Booker makes 3-pt jump shot from 27 ft,
4:20.0,D. Murray makes 2-pt jump shot from 15 ft,+2,29-17, , ,
4:09.0, , ,29-17, ,Personal foul by D. Hunter (drawn by K. Durant),
4:09.0,T. Forrest enters the game for D. Hunter, ,29-17, , ,
4:09.0,W. Matthews enters the game for V. Krejci, ,29-17, , ,
3:58.0, , ,29-17, ,G. Allen misses 3-pt jump shot from 25 ft,
3:54.0,Defensive rebound by D. Murray, ,29-17, , ,
3:50.0,Shooting foul by D. Booker (drawn by D. Murray), ,29-17, , ,
3:50.0,D. Murray makes free throw 1 of 2,+1,30-17, , ,
3:50.0, , ,30-17, ,D. Eubanks enters the game for K. Durant,
3:50.0, , ,30-17, ,R. O'Neale enters the game for J. Nurkić,
3:50.0,D. Murray makes free throw 2 of 2,+1,31-17, , ,
3:27.0, , ,31-19,+2,E. Gordon makes 2-pt layup from 1 ft (assist by D. Booker),
3:05.0,D. Murray makes 2-pt layup from 2 ft (assist by T. Forrest),+2,33-19, , ,
2:54.0, , ,33-21,+2,D. Eubanks makes 2-pt layup from 3 ft (assist by E. Gordon),
2:54.0, , ,33-21, ,Shooting foul by G. Mathews (drawn by D. Eubanks),
2:54.0,B. Bogdanović enters the game for D. Murray, ,33-21, , ,
2:54.0, , ,33-21, ,B. Beal enters the game for G. Allen,
2:54.0, , ,33-22,+1,D. Eubanks makes free throw 1 of 1,
2:33.0,W. Matthews misses 2-pt layup from 3 ft, ,33-22, , ,
2:31.0, , ,33-22, ,Defensive rebound by D. Booker,
2:25.0, , ,33-22, ,D. Booker misses 2-pt jump shot from 6 ft,
2:19.0, , ,33-22, ,Offensive rebound by D. Eubanks,
2:19.0, , ,33-24,+2,D. Eubanks makes 2-pt layup at rim,
2:08.0,Offensive foul by T. Forrest (drawn by B. Beal), ,33-24, , ,
2:08.0,Turnover by T. Forrest (offensive foul), ,33-24, , ,
1:55.0, , ,33-26,+2,D. Booker makes 2-pt layup from 2 ft (assist by B. Beal),
1:42.0,B. Bogdanović misses 2-pt jump shot from 10 ft, ,33-26, , ,
1:39.0, , ,33-26, ,Defensive rebound by D. Eubanks,
1:28.0, , ,33-28,+2,E. Gordon makes 2-pt layup from 2 ft,
1:13.0,T. Forrest makes 2-pt layup from 3 ft (assist by G. Mathews),+2,35-28, , ,
1:13.0, , ,35-28, ,Violation by Team (def goaltending),
1:03.0, , ,35-28, ,Offensive foul by D. Eubanks (drawn by W. Matthews),
1:03.0, , ,35-28, ,Turnover by D. Eubanks (offensive foul),
0:45.0,W. Matthews misses 3-pt jump shot from 23 ft, ,35-28, , ,
0:43.0, , ,35-28, ,Defensive rebound by R. O'Neale,
0:39.0, , ,35-30,+2,D. Booker makes 2-pt layup from 2 ft,
0:32.0,G. Mathews misses 3-pt jump shot from 26 ft, ,35-30, , ,
0:32.0, , ,35-30, ,Defensive rebound by B. Beal,
0:23.0, , ,35-30, ,Turnover by B. Beal (lost ball; steal by T. Forrest),
0:17.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by T. Forrest),+2,37-30, , ,
0:02.0, , ,37-30, ,Personal foul by B. Bogdanović (drawn by D. Booker),
0:01.0, , ,37-30, ,D. Eubanks misses 2-pt jump shot from 10 ft,
0:00.0, , ,37-30, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Atlanta,,Score,,Phoenix,
12:00.0,Start of 2nd quarter,
11:46.0,B. Bogdanović misses 2-pt jump shot from 11 ft, ,37-30, , ,
11:43.0, , ,37-30, ,Defensive rebound by K. Durant,
11:22.0, , ,37-30, ,K. Durant misses 3-pt jump shot from 24 ft (block by O. Okongwu),
11:20.0,Defensive rebound by D. Hunter, ,37-30, , ,
11:15.0,O. Okongwu misses 2-pt dunk from 2 ft (block by D. Eubanks), ,37-30, , ,
11:13.0, , ,37-30, ,Defensive rebound by B. Bol,
11:10.0, , ,37-32,+2,E. Gordon makes 2-pt layup from 2 ft (assist by B. Bol),
10:58.0,D. Hunter misses 3-pt jump shot from 26 ft, ,37-32, , ,
10:58.0, , ,37-32, ,Defensive rebound by Team,
10:32.0, , ,37-35,+3,K. Durant makes 3-pt jump shot from 25 ft (assist by B. Bol),
10:11.0,Turnover by V. Krejci (bad pass), ,37-35, , ,
9:56.0, , ,37-37,+2,B. Beal makes 2-pt dunk from 2 ft,Tie
9:44.0,Personal foul by B. Beal (drawn by B. Bogdanović), ,37-37, , ,
9:44.0,B. Fernando enters the game for T. Forrest, ,37-37, , ,
9:44.0,D. Murray enters the game for O. Okongwu, ,37-37, , ,
9:34.0,B. Fernando misses 2-pt layup from 5 ft (block by B. Bol), ,37-37, , ,
9:31.0, , ,37-37, ,Defensive rebound by D. Eubanks,
9:23.0, , ,37-37, ,Personal foul by D. Murray (drawn by K. Durant),
9:14.0, , ,37-37, ,B. Bol misses 3-pt jump shot from 25 ft,
9:10.0,Defensive rebound by D. Murray, ,37-37, , ,
9:03.0,Turnover by D. Murray (bad pass; steal by E. Gordon), ,37-37, , ,
8:51.0, , ,37-37, ,K. Durant misses 2-pt jump shot from 11 ft,
8:49.0,Defensive rebound by B. Fernando, ,37-37, , ,
8:43.0,D. Hunter misses 3-pt jump shot from 22 ft, ,37-37, , ,
8:40.0,Offensive rebound by B. Fernando, ,37-37, , ,
8:39.0,B. Fernando makes 2-pt dunk at rim,+2,39-37, , ,
8:21.0, , ,39-37, ,Turnover by B. Bol (step out of bounds),
8:07.0,Turnover by D. Murray (lost ball; steal by E. Gordon), ,39-37, , ,
8:02.0, , ,39-39,+2,E. Gordon makes 2-pt layup from 2 ft (assist by B. Beal),Tie
8:02.0, , ,39-39, ,Shooting foul by B. Bogdanović (drawn by E. Gordon),
