A,B,C,D,E,F,Event
1st Q
Time,Milwaukee,,Score,,Atlanta,
12:00.0,Jump ball: B. Lopez vs. C. Capela (G. Antetokounmpo gains possession),
11:39.0,Shooting foul by V. Krejci (drawn by B. Lopez), ,0-0, , ,
11:39.0,B. Lopez makes free throw 1 of 2,+1,1-0, , ,
11:39.0,B. Lopez makes free throw 2 of 2,+1,2-0, , ,
11:25.0, , ,2-0, ,Def 3 sec tech foul by Team,
11:25.0, , ,2-1,+1,B. Bogdanović makes technical free throw,
11:15.0, , ,2-4,+3,D. Murray makes 3-pt jump shot from 25 ft (assist by D. Hunter),Lead change
11:05.0,G. Antetokounmpo misses 2-pt jump shot from 14 ft, ,2-4, , ,
11:02.0, , ,2-4, ,Defensive rebound by D. Murray,
10:59.0, , ,2-4, ,V. Krejci misses 3-pt jump shot from 26 ft,
10:56.0,Defensive rebound by G. Antetokounmpo, ,2-4, , ,
10:51.0,K. Middleton makes 2-pt layup from 1 ft (assist by M. Beasley),+2,4-4, , ,Tie
10:37.0, , ,4-6,+2,C. Capela makes 2-pt jump shot from 10 ft (assist by D. Murray),
10:23.0,K. Middleton misses 2-pt jump shot from 4 ft, ,4-6, , ,
10:20.0, , ,4-6, ,Defensive rebound by D. Murray,
10:10.0, , ,4-6, ,Turnover by D. Murray (bad pass; steal by K. Middleton),
10:06.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),+2,6-6, , ,Tie
9:48.0, , ,6-9,+3,D. Hunter makes 3-pt jump shot from 26 ft (assist by D. Murray),
9:37.0,M. Beasley misses 3-pt jump shot from 26 ft, ,6-9, , ,
9:34.0, , ,6-9, ,Defensive rebound by B. Bogdanović,
9:29.0, , ,6-12,+3,B. Bogdanović makes 3-pt jump shot from 25 ft,
9:29.0,Milwaukee full timeout, ,6-12, , ,
9:19.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Hunter), ,6-12, , ,
9:12.0, , ,6-14,+2,D. Murray makes 2-pt jump shot from 10 ft,
9:02.0,M. Beasley misses 2-pt layup from 2 ft (block by C. Capela), ,6-14, , ,
9:00.0, , ,6-14, ,Defensive rebound by B. Bogdanović,
8:54.0, , ,6-14, ,D. Murray misses 3-pt jump shot from 25 ft,
8:52.0, , ,6-14, ,Offensive rebound by B. Bogdanović,
8:50.0, , ,6-14, ,B. Bogdanović misses 2-pt jump shot from 19 ft,
8:47.0,Defensive rebound by P. Beverley, ,6-14, , ,
8:37.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by P. Beverley),+3,9-14, , ,
8:11.0, , ,9-14, ,D. Murray misses 2-pt jump shot from 18 ft,
8:08.0,Defensive rebound by G. Antetokounmpo, ,9-14, , ,
7:57.0,B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),+2,11-14, , ,
7:45.0, , ,11-14, ,D. Hunter misses 2-pt jump shot from 8 ft (block by B. Lopez),
7:44.0,Defensive rebound by G. Antetokounmpo, ,11-14, , ,
7:36.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),+3,14-14, , ,Tie
7:11.0, , ,14-16,+2,D. Hunter makes 2-pt layup from 2 ft,
7:11.0, , ,14-16, ,Shooting foul by B. Lopez (drawn by D. Hunter),
7:11.0, , ,14-17,+1,D. Hunter makes free throw 1 of 1,
6:59.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by P. Beverley),+2,16-17, , ,
6:59.0,B. Portis enters the game for G. Antetokounmpo, ,16-17, , ,
6:59.0, , ,16-17, ,G. Mathews enters the game for B. Bogdanović,
6:28.0, , ,16-17, ,V. Krejci misses 3-pt jump shot from 25 ft,
6:26.0,Defensive rebound by K. Middleton, ,16-17, , ,
6:10.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by B. Portis),+2,18-17, , ,Lead change
5:57.0, , ,18-19,+2,D. Murray makes 2-pt jump shot from 13 ft,Lead change
5:39.0,B. Portis misses 3-pt jump shot from 24 ft, ,18-19, , ,
5:37.0, , ,18-19, ,Defensive rebound by G. Mathews,
5:26.0, , ,18-19, ,D. Hunter misses 3-pt jump shot from 26 ft,
5:23.0,Defensive rebound by Team, ,18-19, , ,
5:23.0, , ,18-19, ,B. Fernando enters the game for C. Capela,
5:13.0,P. Beverley makes 2-pt layup from 2 ft,+2,20-19, , ,Lead change
4:57.0, , ,20-21,+2,D. Murray makes 2-pt jump shot from 16 ft,Lead change
4:38.0,B. Portis makes 2-pt jump shot from 8 ft (assist by K. Middleton),+2,22-21, , ,Lead change
4:25.0, , ,22-21, ,D. Hunter misses 2-pt jump shot from 14 ft,
4:21.0,Defensive rebound by K. Middleton, ,22-21, , ,
4:15.0,K. Middleton makes 3-pt jump shot from 25 ft,+3,25-21, , ,
4:15.0, , ,25-21, ,Atlanta full timeout,
4:03.0, , ,25-21, ,Offensive foul by B. Fernando (drawn by P. Beverley),
4:03.0, , ,25-21, ,Turnover by B. Fernando (offensive foul),
3:53.0,B. Portis makes 2-pt dunk from 1 ft (assist by K. Middleton),+2,27-21, , ,
3:32.0, , ,27-21, ,D. Hunter misses 2-pt jump shot from 21 ft,
3:29.0,Defensive rebound by P. Beverley, ,27-21, , ,
3:08.0,K. Middleton makes 2-pt jump shot from 20 ft,+2,29-21, , ,
2:52.0, , ,29-24,+3,V. Krejci makes 3-pt jump shot from 24 ft (assist by G. Mathews),
2:34.0,B. Portis makes 2-pt hook shot from 12 ft (assist by M. Beasley),+2,31-24, , ,
2:19.0, , ,31-24, ,B. Fernando misses 2-pt layup from 1 ft,
2:16.0,Defensive rebound by M. Beasley, ,31-24, , ,
2:03.0,B. Portis misses 2-pt jump shot from 17 ft, ,31-24, , ,
1:57.0, , ,31-24, ,Defensive rebound by D. Murray,
1:49.0, , ,31-26,+2,D. Murray makes 2-pt jump shot from 19 ft,
1:34.0,B. Portis misses 2-pt hook shot from 5 ft, ,31-26, , ,
1:31.0, , ,31-26, ,Defensive rebound by V. Krejci,
1:14.0, , ,31-28,+2,V. Krejci makes 2-pt layup from 4 ft,
1:14.0,G. Antetokounmpo enters the game for P. Beverley, ,31-28, , ,
1:14.0,P. Connaughton enters the game for B. Lopez, ,31-28, , ,
1:14.0,J. Crowder enters the game for K. Middleton, ,31-28, , ,
1:14.0, , ,31-28, ,B. Bogdanović enters the game for D. Hunter,
0:57.0,M. Beasley misses 3-pt jump shot from 26 ft, ,31-28, , ,
0:55.0, , ,31-28, ,Defensive rebound by D. Murray,
0:43.0, , ,31-28, ,B. Fernando misses 2-pt hook shot from 7 ft,
0:39.0,Defensive rebound by B. Portis, ,31-28, , ,
0:36.0,Shooting foul by V. Krejci (drawn by G. Antetokounmpo), ,31-28, , ,
0:36.0,G. Antetokounmpo makes free throw 1 of 2,+1,32-28, , ,
0:36.0,A. Green enters the game for M. Beasley, ,32-28, , ,
0:36.0,G. Antetokounmpo makes free throw 2 of 2,+1,33-28, , ,
0:30.0, , ,33-28, ,D. Murray misses 3-pt jump shot from 26 ft,
0:27.0,Defensive rebound by G. Antetokounmpo, ,33-28, , ,
0:11.0,P. Connaughton misses 3-pt jump shot from 26 ft, ,33-28, , ,
0:08.0, , ,33-28, ,Defensive rebound by B. Bogdanović,
0:02.0, , ,33-28, ,G. Mathews misses 3-pt jump shot from 24 ft,
0:00.0, , ,33-28, ,Offensive rebound by B. Fernando,
0:00.0,End of 1st quarter,
2nd Q,
Time,Milwaukee,,Score,,Atlanta,
12:00.0,Start of 2nd quarter,
11:39.0, , ,33-28, ,D. Windler misses 3-pt jump shot from 25 ft,
11:34.0,Defensive rebound by J. Crowder, ,33-28, , ,
11:30.0,Shooting foul by B. Fernando (drawn by G. Antetokounmpo), ,33-28, , ,
11:30.0,G. Antetokounmpo makes free throw 1 of 2,+1,34-28, , ,
11:30.0,G. Antetokounmpo makes free throw 2 of 2,+1,35-28, , ,
11:14.0,Violation by Team (kicked ball), ,35-28, , ,
11:06.0, , ,35-28, ,Shooting foul by P. Connaughton (drawn by B. Bogdanović),
11:06.0, , ,35-29,+1,B. Bogdanović makes free throw 1 of 2,
11:06.0, , ,35-30,+1,B. Bogdanović makes free throw 2 of 2,
10:49.0,Personal foul by W. Matthews (drawn by B. Portis), ,35-30, , ,
10:37.0,J. Crowder makes 2-pt jump shot from 18 ft (assist by P. Connaughton),+2,37-30, , ,
10:23.0, , ,37-30, ,T. Forrest misses 2-pt jump shot from 9 ft,
10:21.0,Defensive rebound by G. Antetokounmpo, ,37-30, , ,
10:14.0,B. Portis makes 2-pt layup at rim (assist by P. Connaughton),+2,39-30, , ,
10:02.0, , ,39-30, ,B. Bogdanović misses 2-pt jump shot from 7 ft,
10:02.0,Defensive rebound by G. Antetokounmpo, ,39-30, , ,
9:53.0,J. Crowder misses 3-pt jump shot from 25 ft, ,39-30, , ,
9:50.0, , ,39-30, ,Defensive rebound by D. Windler,
9:42.0, , ,39-30, ,Turnover by T. Forrest (bad pass; steal by G. Antetokounmpo),
9:37.0,G. Antetokounmpo misses 2-pt layup from 3 ft, ,39-30, , ,
9:34.0, , ,39-30, ,Defensive rebound by D. Windler,
9:32.0, , ,39-30, ,W. Matthews misses 3-pt jump shot from 26 ft,
9:30.0, , ,39-30, ,Offensive rebound by T. Forrest,
9:28.0, , ,39-32,+2,T. Forrest makes 2-pt layup at rim,
9:15.0,P. Connaughton misses 3-pt jump shot from 27 ft, ,39-32, , ,
9:12.0, , ,39-32, ,Defensive rebound by B. Fernando,
9:01.0, , ,39-32, ,Turnover by B. Bogdanović (bad pass; steal by G. Antetokounmpo),
9:01.0, , ,39-32, ,D. Murray enters the game for T. Forrest,
8:56.0,A. Green makes 2-pt layup from 1 ft (assist by P. Connaughton),+2,41-32, , ,
8:30.0, , ,41-34,+2,B. Bogdanović makes 2-pt jump shot from 11 ft,
8:15.0,J. Crowder misses 2-pt jump shot from 13 ft, ,41-34, , ,
8:12.0, , ,41-34, ,Defensive rebound by B. Bogdanović,
8:06.0, , ,41-34, ,D. Murray misses 2-pt jump shot from 13 ft,
8:04.0,Defensive rebound by Team, ,41-34, , ,
8:04.0, , ,41-34, ,G. Mathews enters the game for D. Windler,
7:52.0,G. Antetokounmpo misses 2-pt layup from 1 ft, ,41-34, , ,
7:50.0, , ,41-34, ,Defensive rebound by B. Bogdanović,
7:46.0, , ,41-34, ,Turnover by B. Bogdanović (lost ball; steal by B. Portis),
7:43.0,Offensive foul by G. Antetokounmpo (drawn by W. Matthews), ,41-34, , ,
7:43.0,Turnover by G. Antetokounmpo (offensive foul), ,41-34, , ,
7:43.0, , ,41-34, ,D. Hunter enters the game for B. Bogdanović,
7:24.0, , ,41-36,+2,W. Matthews makes 2-pt layup from 2 ft (assist by D. Murray),
7:01.0,B. Portis makes 2-pt jump shot from 11 ft,+2,43-36, , ,
6:48.0, , ,43-36, ,D. Hunter misses 3-pt jump shot from 25 ft,
6:45.0,Defensive rebound by G. Antetokounmpo, ,43-36, , ,
6:37.0,J. Crowder misses 3-pt jump shot from 25 ft, ,43-36, , ,
6:36.0, , ,43-36, ,Defensive rebound by Team,
6:36.0, , ,43-36, ,Atlanta full timeout,
