A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Chicago,
12:00.0,Jump ball: C. Capela vs. N. Vučević (V. Krejci gains possession),
11:46.0, , ,0-0, ,Violation by Team (kicked ball),
11:38.0,D. Hunter misses 3-pt jump shot from 27 ft, ,0-0, , ,
11:33.0, , ,0-0, ,Defensive rebound by N. Vučević,
11:20.0, , ,0-2,+2,A. Dosunmu makes 2-pt jump shot from 8 ft,
11:05.0,D. Hunter misses 3-pt jump shot from 26 ft, ,0-2, , ,
11:02.0, , ,0-2, ,Defensive rebound by A. Caruso,
10:47.0, , ,0-2, ,D. DeRozan misses 2-pt jump shot from 15 ft,
10:46.0,Defensive rebound by D. Murray, ,0-2, , ,
10:40.0,D. Murray misses 3-pt jump shot from 25 ft, ,0-2, , ,
10:36.0, , ,0-2, ,Defensive rebound by A. Dosunmu,
10:31.0, , ,0-4,+2,A. Dosunmu makes 2-pt layup from 2 ft,
10:22.0,Turnover by D. Murray (bad pass; steal by D. DeRozan), ,0-4, , ,
10:18.0, , ,0-6,+2,D. DeRozan makes 2-pt layup from 1 ft,
10:05.0,Turnover by C. Capela (bad pass; steal by A. Caruso), ,0-6, , ,
10:02.0, , ,0-8,+2,A. Caruso makes 2-pt dunk at rim,
10:02.0,Atlanta full timeout, ,0-8, , ,
9:45.0,Turnover by D. Murray (bad pass; steal by A. Caruso), ,0-8, , ,
9:28.0, , ,0-11,+3,C. White makes 3-pt jump shot from 26 ft (assist by N. Vučević),
9:16.0,Personal foul by D. DeRozan (drawn by B. Bogdanović), ,0-11, , ,
9:11.0,C. Capela makes 2-pt layup from 1 ft (assist by B. Bogdanović),+2,2-11, , ,
8:57.0, , ,2-11, ,D. DeRozan misses 2-pt jump shot from 16 ft,
8:55.0,Defensive rebound by C. Capela, ,2-11, , ,
8:50.0,Shooting foul by C. White (drawn by B. Bogdanović), ,2-11, , ,
8:50.0,B. Bogdanović makes free throw 1 of 2,+1,3-11, , ,
8:50.0,B. Bogdanović makes free throw 2 of 2,+1,4-11, , ,
8:32.0, , ,4-11, ,Turnover by D. DeRozan (step out of bounds),
8:14.0,C. Capela makes 2-pt dunk from 1 ft (assist by D. Hunter),+2,6-11, , ,
7:54.0, , ,6-11, ,A. Dosunmu misses 2-pt jump shot from 16 ft,
7:52.0,Defensive rebound by D. Hunter, ,6-11, , ,
7:44.0,D. Murray misses 2-pt jump shot from 13 ft, ,6-11, , ,
7:40.0,Offensive rebound by C. Capela, ,6-11, , ,
7:39.0,C. Capela misses 2-pt layup from 6 ft, ,6-11, , ,
7:37.0, , ,6-11, ,Defensive rebound by N. Vučević,
7:30.0, , ,6-11, ,C. White misses 2-pt jump shot from 6 ft,
7:29.0, , ,6-11, ,Offensive rebound by N. Vučević,
7:21.0, , ,6-11, ,D. DeRozan misses 2-pt jump shot from 11 ft,
7:19.0, , ,6-11, ,Offensive rebound by A. Caruso,
7:18.0, , ,6-13,+2,N. Vučević makes 2-pt dunk from 1 ft (assist by D. DeRozan),
7:04.0,D. Hunter makes 3-pt jump shot from 23 ft (assist by D. Murray),+3,9-13, , ,
6:54.0, , ,9-13, ,A. Dosunmu misses 3-pt jump shot from 26 ft,
6:49.0,Defensive rebound by V. Krejci, ,9-13, , ,
6:41.0,C. Capela makes 2-pt dunk at rim (assist by B. Bogdanović),+2,11-13, , ,
6:40.0, , ,11-13, ,Chicago full timeout,
6:40.0,G. Mathews enters the game for B. Bogdanović, ,11-13, , ,
6:40.0, , ,11-13, ,D. Terry enters the game for A. Caruso,
6:28.0, , ,11-16,+3,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. DeRozan),
6:14.0,G. Mathews misses 3-pt jump shot from 25 ft, ,11-16, , ,
6:12.0,Offensive rebound by C. Capela, ,11-16, , ,
6:08.0,D. Hunter misses 2-pt jump shot from 14 ft, ,11-16, , ,
6:03.0, , ,11-16, ,Defensive rebound by C. White,
5:52.0, , ,11-18,+2,D. DeRozan makes 2-pt jump shot from 7 ft,
5:41.0,G. Mathews makes 3-pt jump shot from 24 ft (assist by C. Capela),+3,14-18, , ,
5:18.0, , ,14-20,+2,D. DeRozan makes 2-pt jump shot from 13 ft (assist by C. White),
5:03.0,V. Krejci makes 3-pt jump shot from 23 ft (assist by G. Mathews),+3,17-20, , ,
4:46.0, , ,17-20, ,Shooting foul by C. Capela (drawn by D. DeRozan),
4:46.0, , ,17-21,+1,D. DeRozan makes free throw 1 of 2,
4:46.0,B. Fernando enters the game for C. Capela, ,17-21, , ,
4:46.0,J. Johnson enters the game for V. Krejci, ,17-21, , ,
4:46.0, , ,17-21, ,T. Craig enters the game for C. White,
4:46.0, , ,17-22,+1,D. DeRozan makes free throw 2 of 2,
4:36.0,G. Mathews makes 3-pt jump shot from 23 ft (assist by D. Murray),+3,20-22, , ,
4:19.0, , ,20-22, ,N. Vučević misses 2-pt hook shot from 2 ft,
4:17.0,Defensive rebound by B. Fernando, ,20-22, , ,
4:10.0,D. Murray misses 2-pt jump shot from 18 ft, ,20-22, , ,
4:07.0, , ,20-22, ,Defensive rebound by N. Vučević,
3:48.0, , ,20-24,+2,A. Dosunmu makes 2-pt layup from 2 ft (assist by D. Terry),
3:31.0,G. Mathews misses 3-pt jump shot from 25 ft, ,20-24, , ,
3:28.0, , ,20-24, ,Defensive rebound by D. DeRozan,
3:19.0, , ,20-24, ,Personal foul by B. Fernando (drawn by N. Vučević),
3:19.0, , ,20-24, ,A. Caruso enters the game for D. DeRozan,
3:19.0, , ,20-24, ,A. Drummond enters the game for A. Dosunmu,
3:19.0, , ,20-24, ,C. White enters the game for N. Vučević,
3:06.0, , ,20-24, ,A. Caruso misses 3-pt jump shot from 26 ft,
3:06.0,Defensive rebound by Team, ,20-24, , ,
2:50.0,Offensive foul by D. Murray (drawn by C. White), ,20-24, , ,
2:50.0,Turnover by D. Murray (offensive foul), ,20-24, , ,
2:50.0,B. Bogdanović enters the game for D. Hunter, ,20-24, , ,
2:50.0,K. Bufkin enters the game for D. Murray, ,20-24, , ,
2:37.0, , ,20-26,+2,C. White makes 2-pt layup at rim,
2:22.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by B. Fernando),+3,23-26, , ,
2:09.0, , ,23-26, ,C. White misses 3-pt jump shot from 26 ft,
2:06.0,Defensive rebound by B. Bogdanović, ,23-26, , ,
1:57.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by B. Fernando),+3,26-26, , ,Tie
1:45.0, , ,26-28,+2,A. Drummond makes 2-pt layup from 2 ft (assist by A. Caruso),
1:33.0,J. Johnson makes 2-pt jump shot from 4 ft,+2,28-28, , ,Tie
1:23.0, , ,28-28, ,Offensive foul by C. White (drawn by G. Mathews),
1:23.0, , ,28-28, ,Turnover by C. White (offensive foul),
1:23.0, , ,28-28, ,D. DeRozan enters the game for D. Terry,
1:11.0,B. Fernando makes 2-pt dunk from 1 ft (assist by K. Bufkin),+2,30-28, , ,Lead change
0:59.0, , ,30-28, ,A. Caruso misses 2-pt layup from 1 ft,
0:59.0, , ,30-28, ,Offensive rebound by A. Drummond,
0:59.0, , ,30-28, ,Shooting foul by K. Bufkin (drawn by A. Drummond),
0:59.0, , ,30-29,+1,A. Drummond makes free throw 1 of 2,
0:59.0, , ,30-29, ,A. Drummond misses free throw 2 of 2,
0:54.0,Defensive rebound by K. Bufkin, ,30-29, , ,
0:41.0,B. Fernando makes 2-pt layup from 2 ft (assist by B. Bogdanović),+2,32-29, , ,
0:32.0, , ,32-29, ,Shooting foul by B. Fernando (drawn by D. DeRozan),
0:32.0, , ,32-29, ,D. DeRozan misses free throw 1 of 2,
0:32.0, , ,32-29, ,Offensive rebound by Team,
0:32.0, , ,32-30,+1,D. DeRozan makes free throw 2 of 2,
0:15.0,G. Mathews misses 3-pt jump shot from 25 ft, ,32-30, , ,
0:12.0, , ,32-30, ,Defensive rebound by A. Drummond,
0:00.0, , ,32-30, ,C. White misses 3-pt jump shot from 27 ft,
0:00.0, , ,32-30, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Atlanta,,Score,,Chicago,
12:00.0,Start of 2nd quarter,
11:39.0, , ,32-30, ,A. Caruso misses 2-pt jump shot from 17 ft,
11:35.0, , ,32-30, ,Offensive rebound by T. Taylor,
11:35.0, , ,32-30, ,T. Taylor misses 2-pt layup from 3 ft,
11:33.0,Defensive rebound by K. Bufkin, ,32-30, , ,
11:31.0,Turnover by K. Bufkin (bad pass), ,32-30, , ,
11:16.0, , ,32-30, ,A. Caruso misses 3-pt jump shot from 24 ft,
11:12.0, , ,32-30, ,Offensive rebound by T. Taylor,
11:07.0, , ,32-32,+2,A. Drummond makes 2-pt dunk at rim (assist by D. DeRozan),Tie
10:51.0,J. Johnson misses 2-pt jump shot from 4 ft, ,32-32, , ,
10:48.0, , ,32-32, ,Defensive rebound by A. Drummond,
10:42.0, , ,32-34,+2,D. DeRozan makes 2-pt jump shot from 13 ft,Lead change
10:26.0,B. Bogdanović makes 3-pt jump shot from 25 ft,+3,35-34, , ,Lead change
10:12.0, , ,35-34, ,A. Caruso misses 3-pt jump shot from 22 ft,
10:10.0,Defensive rebound by B. Fernando, ,35-34, , ,
10:07.0,G. Mathews misses 3-pt jump shot from 24 ft, ,35-34, , ,
10:03.0, , ,35-34, ,Defensive rebound by A. Drummond,
9:55.0, , ,35-34, ,Turnover by D. DeRozan (bad pass; steal by J. Johnson),
9:50.0,J. Johnson misses 2-pt jump shot from 1 ft (block by A. Caruso), ,35-34, , ,
9:45.0,Offensive rebound by J. Johnson, ,35-34, , ,
9:44.0,J. Johnson misses 2-pt jump shot from 6 ft, ,35-34, , ,
9:42.0, , ,35-34, ,Defensive rebound by A. Drummond,
9:27.0, , ,35-34, ,C. White misses 2-pt jump shot from 4 ft (block by K. Bufkin),
9:27.0,Defensive rebound by Team, ,35-34, , ,
9:27.0,V. Krejci enters the game for G. Mathews, ,35-34, , ,
9:27.0, , ,35-34, ,A. Dosunmu enters the game for A. Caruso,
9:08.0,B. Fernando misses 2-pt hook shot from 4 ft, ,35-34, , ,
9:05.0, , ,35-34, ,Defensive rebound by A. Drummond,
8:50.0, , ,35-36,+2,T. Taylor makes 2-pt layup from 1 ft (assist by D. DeRozan),Lead change
8:36.0,V. Krejci makes 3-pt jump shot from 25 ft (assist by B. Fernando),+3,38-36, , ,Lead change
8:19.0, , ,38-36, ,A. Dosunmu misses 2-pt jump shot from 6 ft (block by B. Bogdanović),
8:19.0, , ,38-36, ,Offensive rebound by Team,
8:19.0,Loose ball foul by J. Johnson (drawn by A. Dosunmu), ,38-36, , ,
8:19.0, , ,38-36, ,Chicago full timeout,
8:19.0,D. Hunter enters the game for B. Bogdanović, ,38-36, , ,
8:19.0,D. Murray enters the game for J. Johnson, ,38-36, , ,
8:05.0, , ,38-36, ,D. DeRozan misses 2-pt layup from 2 ft,
8:02.0, , ,38-36, ,Offensive rebound by A. Drummond,
8:02.0, , ,38-38,+2,A. Drummond makes 2-pt layup at rim,Tie
7:51.0,D. Hunter misses 3-pt jump shot from 23 ft, ,38-38, , ,
7:48.0, , ,38-38, ,Defensive rebound by A. Drummond,
7:31.0, , ,38-40,+2,A. Drummond makes 2-pt hook shot from 4 ft,Lead change
7:07.0,D. Murray makes 3-pt jump shot from 27 ft,+3,41-40, , ,Lead change
6:53.0, , ,41-40, ,D. DeRozan misses 2-pt jump shot from 8 ft,
6:53.0, , ,41-40, ,Offensive rebound by A. Drummond,
6:53.0, , ,41-40, ,A. Drummond misses 2-pt layup at rim,
6:53.0, , ,41-40, ,Offensive rebound by Team,
6:53.0,Loose ball foul by B. Fernando (drawn by A. Drummond), ,41-40, , ,
6:53.0,C. Capela enters the game for B. Fernando, ,41-40, , ,
6:53.0, , ,41-40, ,A. Caruso enters the game for D. DeRozan,
6:47.0, , ,41-40, ,C. White misses 3-pt jump shot from 27 ft,
6:43.0, , ,41-40, ,Offensive rebound by A. Dosunmu,
6:36.0, , ,41-42,+2,C. White makes 2-pt layup from 1 ft,Lead change
6:23.0,D. Murray makes 3-pt jump shot from 26 ft (assist by K. Bufkin),+3,44-42, , ,Lead change
6:11.0, , ,44-42, ,A. Caruso misses 2-pt jump shot from 6 ft,
6:09.0,Defensive rebound by D. Murray, ,44-42, , ,
5:57.0,K. Bufkin misses 3-pt jump shot from 29 ft, ,44-42, , ,
5:52.0, , ,44-42, ,Defensive rebound by A. Drummond,
5:42.0, , ,44-42, ,Shooting foul by C. Capela (drawn by A. Drummond),
5:42.0, , ,44-43,+1,A. Drummond makes free throw 1 of 2,
5:42.0,B. Bogdanović enters the game for K. Bufkin, ,44-43, , ,
5:42.0, , ,44-43, ,A. Drummond misses free throw 2 of 2,
5:39.0,Defensive rebound by D. Hunter, ,44-43, , ,
5:25.0,D. Hunter misses 3-pt jump shot from 25 ft, ,44-43, , ,
5:23.0, , ,44-43, ,Defensive rebound by A. Caruso,
5:16.0, , ,44-45,+2,A. Dosunmu makes 2-pt layup from 2 ft (assist by C. White),Lead change
4:59.0,Personal foul by A. Drummond (drawn by B. Bogdanović), ,44-45, , ,
4:59.0, , ,44-45, ,D. Terry enters the game for A. Drummond,
4:59.0, , ,44-45, ,N. Vučević enters the game for C. White,
4:52.0,V. Krejci makes 3-pt jump shot from 24 ft (assist by D. Hunter),+3,47-45, , ,Lead change
4:25.0, , ,47-45, ,Turnover by A. Caruso (bad pass; steal by C. Capela),
4:20.0,D. Murray makes 3-pt jump shot from 23 ft (assist by V. Krejci),+3,50-45, , ,
4:19.0, , ,50-45, ,Chicago full timeout,
4:19.0,J. Johnson enters the game for V. Krejci, ,50-45, , ,
4:19.0, , ,50-45, ,D. DeRozan enters the game for T. Taylor,
4:19.0, , ,50-45, ,C. White enters the game for D. Terry,
3:53.0, , ,50-45, ,D. DeRozan misses 2-pt dunk at rim,
3:51.0,Defensive rebound by D. Murray, ,50-45, , ,
3:36.0,J. Johnson misses 3-pt jump shot from 23 ft, ,50-45, , ,
3:33.0,Offensive rebound by C. Capela, ,50-45, , ,
3:23.0,B. Bogdanović makes 2-pt layup from 1 ft,+2,52-45, , ,
3:15.0, , ,52-45, ,A. Dosunmu misses 3-pt jump shot from 25 ft,
3:11.0,Defensive rebound by C. Capela, ,52-45, , ,
3:03.0,C. Capela misses 2-pt hook shot from 4 ft, ,52-45, , ,
3:00.0, , ,52-45, ,Defensive rebound by N. Vučević,
2:48.0, , ,52-45, ,D. DeRozan misses 2-pt jump shot from 12 ft,
2:46.0,Defensive rebound by C. Capela, ,52-45, , ,
2:40.0,D. Murray misses 2-pt jump shot from 17 ft, ,52-45, , ,
2:38.0, , ,52-45, ,Defensive rebound by A. Caruso,
2:34.0, , ,52-47,+2,A. Dosunmu makes 2-pt layup from 1 ft (assist by A. Caruso),
2:15.0,Turnover by D. Hunter (lost ball; steal by A. Dosunmu), ,52-47, , ,
2:09.0, , ,52-47, ,C. White misses 2-pt layup from 1 ft,
2:08.0,Defensive rebound by B. Bogdanović, ,52-47, , ,
2:06.0,Personal foul by A. Caruso (drawn by B. Bogdanović), ,52-47, , ,
2:04.0,D. Hunter misses 3-pt jump shot from 24 ft, ,52-47, , ,
2:03.0, , ,52-47, ,Defensive rebound by Team,
1:54.0, , ,52-47, ,Personal foul by D. Hunter (drawn by D. DeRozan),
1:54.0,V. Krejci enters the game for B. Bogdanović, ,52-47, , ,
1:49.0, , ,52-47, ,Turnover by D. DeRozan (traveling),
1:42.0,Shooting foul by D. DeRozan (drawn by J. Johnson), ,52-47, , ,
1:42.0,J. Johnson misses free throw 1 of 2, ,52-47, , ,
1:42.0,Offensive rebound by Team, ,52-47, , ,
1:42.0,J. Johnson makes free throw 2 of 2,+1,53-47, , ,
1:31.0, , ,53-49,+2,C. White makes 2-pt layup from 1 ft,
1:12.0,D. Murray makes 2-pt layup from 2 ft (assist by D. Hunter),+2,55-49, , ,
1:00.0, , ,55-51,+2,C. White makes 2-pt jump shot from 23 ft,
0:51.0,V. Krejci makes 3-pt jump shot from 27 ft,+3,58-51, , ,
0:40.0, , ,58-51, ,Shooting foul by V. Krejci (drawn by D. DeRozan),
0:40.0, , ,58-52,+1,D. DeRozan makes free throw 1 of 2,
0:40.0, , ,58-53,+1,D. DeRozan makes free throw 2 of 2,
0:22.0,Turnover by V. Krejci (bad pass; steal by C. White), ,58-53, , ,
0:18.0, , ,58-53, ,Turnover by A. Dosunmu (out of bounds lost ball),
0:00.0,V. Krejci makes 3-pt jump shot from 26 ft (assist by D. Hunter),+3,61-53, , ,
0:00.0,Instant Replay, ,61-53, , ,
0:00.0,Instant Replay (Request: Ruling Stands), ,61-53, , ,
0:00.0,End of 2nd quarter,
3rd Q,
Time,Atlanta,,Score,,Chicago,
12:00.0,Start of 3rd quarter,
11:48.0, , ,61-55,+2,D. DeRozan makes 2-pt layup from 2 ft (assist by A. Caruso),
