A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Dallas,
12:00.0,Jump ball: C. Capela vs. D. Gafford (P. Washington gains possession),
11:45.0, , ,0-0, ,Turnover by L. Dončić (bad pass; steal by B. Bogdanović),
11:40.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Johnson),+2,2-0, , ,
11:21.0, , ,2-0, ,D. Jones misses 2-pt jump shot from 6 ft,
11:19.0,Defensive rebound by C. Capela, ,2-0, , ,
11:06.0,Turnover by C. Capela (out of bounds lost ball), ,2-0, , ,
10:51.0, , ,2-0, ,L. Dončić misses 2-pt jump shot from 18 ft,
10:48.0,Defensive rebound by J. Johnson, ,2-0, , ,
10:38.0,D. Murray makes 2-pt jump shot from 13 ft,+2,4-0, , ,
10:25.0, , ,4-0, ,K. Irving misses 2-pt jump shot from 6 ft,
10:21.0,Defensive rebound by B. Bogdanović, ,4-0, , ,
10:16.0,J. Johnson misses 2-pt jump shot from 21 ft, ,4-0, , ,
10:15.0,Offensive rebound by C. Capela, ,4-0, , ,
10:12.0,Turnover by C. Capela (lost ball; steal by D. Jones), ,4-0, , ,
10:09.0, , ,4-2,+2,K. Irving makes 2-pt layup from 4 ft,
9:48.0,Shooting foul by D. Gafford (drawn by D. Hunter), ,4-2, , ,
9:48.0,D. Hunter makes free throw 1 of 2,+1,5-2, , ,
9:48.0,D. Hunter makes free throw 2 of 2,+1,6-2, , ,
9:35.0, , ,6-5,+3,P. Washington makes 3-pt jump shot from 23 ft (assist by L. Dončić),
9:17.0,Turnover by J. Johnson (bad pass), ,6-5, , ,
9:01.0, , ,6-5, ,L. Dončić misses 3-pt jump shot from 26 ft,
8:59.0,Defensive rebound by J. Johnson, ,6-5, , ,
8:50.0,C. Capela makes 2-pt dunk at rim (assist by B. Bogdanović),+2,8-5, , ,
8:37.0, , ,8-8,+3,P. Washington makes 3-pt jump shot from 24 ft (assist by D. Gafford),Tie
8:23.0,Shooting foul by L. Dončić (drawn by D. Hunter), ,8-8, , ,
8:23.0,D. Hunter makes free throw 1 of 3,+1,9-8, , ,
8:23.0,D. Hunter misses free throw 2 of 3, ,9-8, , ,
8:23.0,Offensive rebound by Team, ,9-8, , ,
8:23.0,D. Hunter misses free throw 3 of 3, ,9-8, , ,
8:19.0, , ,9-8, ,Defensive rebound by D. Jones,
8:07.0, , ,9-8, ,L. Dončić misses 2-pt jump shot from 12 ft,
8:04.0,Defensive rebound by C. Capela, ,9-8, , ,
7:56.0,B. Bogdanović misses 3-pt jump shot from 24 ft, ,9-8, , ,
7:54.0, , ,9-8, ,Defensive rebound by L. Dončić,
7:49.0, , ,9-8, ,Shooting foul by D. Hunter (drawn by P. Washington),
7:49.0, , ,9-9,+1,P. Washington makes free throw 1 of 2,Tie
7:49.0, , ,9-10,+1,P. Washington makes free throw 2 of 2,Lead change
7:36.0,D. Murray misses 3-pt jump shot from 25 ft, ,9-10, , ,
7:33.0, , ,9-10, ,Defensive rebound by P. Washington,
7:27.0, , ,9-10, ,L. Dončić misses 3-pt jump shot from 25 ft,
7:26.0,Defensive rebound by C. Capela, ,9-10, , ,
7:25.0,Turnover by C. Capela (step out of bounds), ,9-10, , ,
7:25.0, , ,9-10, ,D. Exum enters the game for K. Irving,
7:17.0, , ,9-10, ,L. Dončić misses 2-pt jump shot from 12 ft,
7:14.0,Defensive rebound by B. Bogdanović, ,9-10, , ,
7:00.0,D. Murray makes 2-pt jump shot from 16 ft,+2,11-10, , ,Lead change
6:45.0, , ,11-10, ,D. Jones misses 3-pt jump shot from 25 ft,
6:43.0, , ,11-10, ,Offensive rebound by D. Gafford,
6:38.0, , ,11-10, ,Violation by Team (kicked ball),
6:38.0, , ,11-10, ,Dallas full timeout,
6:38.0,B. Fernando enters the game for B. Bogdanović, ,11-10, , ,
6:38.0,V. Krejci enters the game for C. Capela, ,11-10, , ,
6:38.0,G. Mathews enters the game for J. Johnson, ,11-10, , ,
6:38.0, , ,11-10, ,T. Hardaway enters the game for D. Jones,
6:23.0,Shooting foul by D. Gafford (drawn by B. Fernando), ,11-10, , ,
6:23.0,B. Fernando misses free throw 1 of 2, ,11-10, , ,
6:23.0,Offensive rebound by Team, ,11-10, , ,
6:23.0, , ,11-10, ,M. Kleber enters the game for D. Gafford,
6:23.0,B. Fernando makes free throw 2 of 2,+1,12-10, , ,
6:20.0, , ,12-10, ,Offensive foul by L. Dončić (drawn by D. Hunter),
6:20.0, , ,12-10, ,Turnover by L. Dončić (offensive foul),
6:20.0, , ,12-10, ,K. Irving enters the game for L. Dončić,
6:08.0,D. Murray misses 3-pt jump shot from 25 ft, ,12-10, , ,
6:06.0, , ,12-10, ,Defensive rebound by K. Irving,
6:00.0, , ,12-10, ,K. Irving misses 2-pt jump shot from 8 ft,
5:58.0, , ,12-10, ,Offensive rebound by M. Kleber,
5:48.0, , ,12-10, ,M. Kleber misses 3-pt jump shot from 25 ft,
5:45.0,Defensive rebound by B. Fernando, ,12-10, , ,
5:34.0,G. Mathews makes 2-pt jump shot from 14 ft (assist by B. Fernando),+2,14-10, , ,
5:25.0, , ,14-10, ,Personal foul by G. Mathews (drawn by T. Hardaway),
5:18.0, , ,14-13,+3,M. Kleber makes 3-pt jump shot from 26 ft (assist by K. Irving),
4:59.0,D. Hunter makes 3-pt jump shot from 25 ft,+3,17-13, , ,
4:52.0, , ,17-13, ,K. Irving misses 3-pt jump shot from 27 ft,
4:50.0, , ,17-13, ,Offensive rebound by K. Irving,
4:48.0, , ,17-16,+3,K. Irving makes 3-pt jump shot from 23 ft,
4:27.0,D. Murray makes 3-pt jump shot from 23 ft (assist by V. Krejci),+3,20-16, , ,
4:06.0, , ,20-16, ,Shooting foul by G. Mathews (drawn by M. Kleber),
4:06.0, , ,20-17,+1,M. Kleber makes free throw 1 of 2,
4:06.0, , ,20-18,+1,M. Kleber makes free throw 2 of 2,
3:47.0,Offensive foul by B. Fernando (drawn by M. Kleber), ,20-18, , ,
3:47.0,Turnover by B. Fernando (offensive foul), ,20-18, , ,
