A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Denver,
12:00.0, , ,0-0, ,Violation by Team (jump ball),
11:44.0,D. Murray makes 3-pt jump shot from 22 ft (assist by J. Johnson),+3,3-0, , ,
11:17.0, , ,3-3,+3,N. Jokić makes 3-pt jump shot from 26 ft (assist by M. Porter),Tie
11:02.0,Turnover by J. Johnson (bad pass; steal by K. Caldwell-Pope), ,3-3, , ,
10:58.0, , ,3-3, ,J. Murray misses 3-pt jump shot from 24 ft,
10:55.0,Defensive rebound by C. Capela, ,3-3, , ,
10:47.0,D. Murray misses 3-pt jump shot from 26 ft, ,3-3, , ,
10:46.0, , ,3-3, ,Defensive rebound by N. Jokić,
10:36.0, , ,3-5,+2,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,Lead change
10:18.0,J. Johnson misses 3-pt jump shot from 26 ft, ,3-5, , ,
10:15.0,Offensive rebound by C. Capela, ,3-5, , ,
10:10.0,C. Capela misses 2-pt layup from 1 ft, ,3-5, , ,
10:10.0, , ,3-5, ,Defensive rebound by N. Jokić,
10:02.0, , ,3-5, ,N. Jokić misses 2-pt layup from 1 ft (block by B. Bogdanović),
9:58.0, , ,3-5, ,Offensive rebound by C. Braun,
9:57.0, , ,3-5, ,C. Braun misses 2-pt layup from 2 ft,
9:57.0,Defensive rebound by D. Murray, ,3-5, , ,
9:49.0,J. Johnson makes 2-pt layup from 3 ft (assist by D. Murray),+2,5-5, , ,Tie
9:34.0, , ,5-5, ,Personal foul by D. Murray (drawn by J. Murray),
9:24.0, , ,5-8,+3,M. Porter makes 3-pt jump shot from 25 ft (assist by J. Murray),
9:11.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by D. Murray),+3,8-8, , ,Tie
8:57.0, , ,8-8, ,Turnover by M. Porter (bad pass; steal by J. Johnson),
8:56.0,Turnover by J. Johnson (bad pass; steal by M. Porter), ,8-8, , ,
8:56.0, , ,8-8, ,Shooting foul by B. Bogdanović (drawn by M. Porter),
8:56.0, , ,8-9,+1,M. Porter makes free throw 1 of 2,
8:56.0, , ,8-10,+1,M. Porter makes free throw 2 of 2,
8:42.0,C. Capela makes 2-pt layup from 2 ft (assist by D. Murray),+2,10-10, , ,Tie
8:30.0, , ,10-10, ,M. Porter misses 3-pt jump shot from 25 ft,
8:26.0,Defensive rebound by D. Murray, ,10-10, , ,
8:15.0,D. Murray misses 2-pt jump shot from 9 ft, ,10-10, , ,
8:15.0, , ,10-10, ,Defensive rebound by C. Braun,
8:08.0, , ,10-12,+2,C. Braun makes 2-pt layup from 1 ft,
7:47.0,J. Johnson makes 2-pt jump shot from 12 ft,+2,12-12, , ,Tie
7:34.0, , ,12-15,+3,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),
7:20.0,Shooting foul by J. Murray (drawn by C. Capela), ,12-15, , ,
7:20.0,C. Capela makes free throw 1 of 2,+1,13-15, , ,
7:20.0,C. Capela makes free throw 2 of 2,+1,14-15, , ,
7:00.0, , ,14-15, ,J. Murray misses 2-pt layup from 3 ft,
6:57.0,Defensive rebound by C. Capela, ,14-15, , ,
6:51.0,D. Murray misses 2-pt layup from 3 ft, ,14-15, , ,
6:49.0, , ,14-15, ,Defensive rebound by K. Caldwell-Pope,
6:45.0, , ,14-17,+2,N. Jokić makes 2-pt layup from 6 ft (assist by K. Caldwell-Pope),
6:28.0,D. Hunter makes 2-pt jump shot from 7 ft (assist by C. Capela),+2,16-17, , ,
6:28.0,Shooting foul by M. Porter (drawn by D. Hunter), ,16-17, , ,
