A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Minnesota,
12:00.0,Jump ball: C. Capela vs. R. Gobert (B. Bogdanović gains possession),
11:45.0,Shooting foul by K. Towns (drawn by D. Hunter), ,0-0, , ,
11:45.0,D. Hunter makes free throw 1 of 3,+1,1-0, , ,
11:45.0,D. Hunter makes free throw 2 of 3,+1,2-0, , ,
11:45.0,D. Hunter makes free throw 3 of 3,+1,3-0, , ,
11:23.0, , ,3-0, ,M. Conley misses 3-pt jump shot from 25 ft,
11:19.0,Defensive rebound by C. Capela, ,3-0, , ,
11:12.0,D. Murray misses 2-pt jump shot from 12 ft, ,3-0, , ,
11:09.0, , ,3-0, ,Defensive rebound by R. Gobert,
11:05.0, , ,3-0, ,Personal foul by D. Murray (drawn by J. McDaniels),
11:00.0, , ,3-0, ,K. Towns misses 3-pt jump shot from 24 ft,
10:59.0,Defensive rebound by Team, ,3-0, , ,
10:49.0,T. Young makes 2-pt jump shot from 12 ft (assist by C. Capela),+2,5-0, , ,
10:31.0, , ,5-0, ,A. Edwards misses 2-pt layup from 2 ft,
10:28.0, , ,5-0, ,Offensive rebound by K. Towns,
10:28.0, , ,5-2,+2,K. Towns makes 2-pt layup at rim,
10:19.0,C. Capela makes 2-pt layup from 3 ft (assist by D. Murray),+2,7-2, , ,
10:07.0, , ,7-2, ,Turnover by A. Edwards (bad pass),
9:57.0,D. Hunter misses 3-pt jump shot from 25 ft, ,7-2, , ,
9:54.0, , ,7-2, ,Defensive rebound by M. Conley,
9:51.0, , ,7-2, ,Personal foul by D. Hunter (drawn by K. Towns),
9:41.0, , ,7-4,+2,R. Gobert makes 2-pt dunk from 1 ft (assist by K. Towns),
9:30.0,B. Bogdanović makes 2-pt jump shot from 19 ft,+2,9-4, , ,
9:12.0, , ,9-6,+2,R. Gobert makes 2-pt dunk at rim (assist by M. Conley),
8:59.0,T. Young misses 3-pt jump shot from 27 ft, ,9-6, , ,
8:56.0, , ,9-6, ,Defensive rebound by K. Towns,
8:46.0, , ,9-6, ,Personal foul by D. Hunter (drawn by K. Towns),
8:40.0, , ,9-8,+2,R. Gobert makes 2-pt dunk from 1 ft (assist by K. Towns),
8:25.0,D. Hunter misses 2-pt layup from 3 ft, ,9-8, , ,
8:23.0, , ,9-8, ,Defensive rebound by K. Towns,
8:22.0, , ,9-8, ,Turnover by K. Towns (bad pass; steal by T. Young),
8:17.0,T. Young misses 3-pt jump shot from 25 ft, ,9-8, , ,
8:17.0,Offensive rebound by C. Capela, ,9-8, , ,
8:15.0,C. Capela makes 2-pt layup at rim,+2,11-8, , ,
7:59.0, , ,11-11,+3,J. McDaniels makes 3-pt jump shot from 25 ft (assist by M. Conley),Tie
7:53.0,Personal foul by A. Edwards (drawn by D. Murray), ,11-11, , ,
7:40.0,T. Young makes 2-pt jump shot from 9 ft,+2,13-11, , ,
7:40.0,Shooting foul by J. McDaniels (drawn by T. Young), ,13-11, , ,
7:40.0,T. Young makes free throw 1 of 1,+1,14-11, , ,
7:23.0, , ,14-11, ,M. Conley misses 2-pt layup from 2 ft,
7:22.0,Defensive rebound by C. Capela, ,14-11, , ,
7:21.0,Turnover by C. Capela (step out of bounds), ,14-11, , ,
7:17.0, , ,14-11, ,K. Towns misses 2-pt jump shot from 10 ft,
7:17.0,Defensive rebound by C. Capela, ,14-11, , ,
7:07.0,D. Murray makes 2-pt jump shot from 17 ft,+2,16-11, , ,
6:49.0, , ,16-11, ,A. Edwards misses 3-pt jump shot from 25 ft,
6:47.0, , ,16-11, ,Offensive rebound by R. Gobert,
6:41.0, , ,16-11, ,Turnover by M. Conley (bad pass),
6:41.0, , ,16-11, ,Minnesota full timeout,
6:41.0,M. Gueye enters the game for D. Hunter, ,16-11, , ,
6:41.0,G. Mathews enters the game for T. Young, ,16-11, , ,
6:41.0, , ,16-11, ,N. Alexander-Walker enters the game for M. Conley,
6:41.0, , ,16-11, ,N. Reid enters the game for K. Towns,
6:22.0,C. Capela misses 2-pt hook shot from 6 ft, ,16-11, , ,
6:19.0, , ,16-11, ,Defensive rebound by R. Gobert,
6:08.0, , ,16-14,+3,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by A. Edwards),
5:53.0,B. Bogdanović misses 2-pt layup from 2 ft (block by R. Gobert), ,16-14, , ,
5:53.0,Offensive rebound by Team, ,16-14, , ,
5:53.0,B. Fernando enters the game for C. Capela, ,16-14, , ,
5:53.0, , ,16-14, ,M. Morris enters the game for A. Edwards,
5:48.0,D. Murray makes 2-pt jump shot from 17 ft (assist by B. Fernando),+2,18-14, , ,
5:33.0, , ,18-14, ,Shooting foul by M. Gueye (drawn by N. Reid),
5:33.0, , ,18-15,+1,N. Reid makes free throw 1 of 2,
5:33.0, , ,18-16,+1,N. Reid makes free throw 2 of 2,
5:23.0,D. Murray misses 3-pt jump shot from 25 ft, ,18-16, , ,
5:19.0, , ,18-16, ,Defensive rebound by M. Morris,
5:14.0, , ,18-16, ,N. Reid misses 3-pt jump shot from 24 ft,
5:11.0,Defensive rebound by D. Murray, ,18-16, , ,
4:59.0,M. Gueye misses 3-pt jump shot from 24 ft, ,18-16, , ,
4:56.0, , ,18-16, ,Defensive rebound by M. Morris,
4:41.0, , ,18-16, ,Shooting foul by M. Gueye (drawn by N. Reid),
4:41.0, , ,18-17,+1,N. Reid makes free throw 1 of 2,
4:41.0,A. Griffin enters the game for B. Bogdanović, ,18-17, , ,
4:41.0, , ,18-17, ,K. Anderson enters the game for J. McDaniels,
4:41.0, , ,18-17, ,N. Reid misses free throw 2 of 2,
4:40.0,Defensive rebound by B. Fernando, ,18-17, , ,
4:28.0,B. Fernando misses 2-pt hook shot from 7 ft (block by R. Gobert), ,18-17, , ,
4:23.0, , ,18-17, ,Defensive rebound by R. Gobert,
