A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Washington,
12:00.0,Jump ball: K. Porziņģis vs. D. Avdija (D. White gains possession),
11:45.0,K. Porziņģis misses 2-pt layup from 9 ft, ,0-0, , ,
11:41.0, , ,0-0, ,Defensive rebound by D. Avdija,
11:24.0, , ,0-0, ,K. Kuzma misses 2-pt jump shot from 14 ft,
11:21.0,Defensive rebound by J. Tatum, ,0-0, , ,
11:11.0,J. Brown makes 2-pt layup from 7 ft (assist by D. White),+2,2-0, , ,
10:57.0, , ,2-0, ,B. Coulibaly misses 3-pt jump shot from 26 ft,
10:53.0,Defensive rebound by J. Brown, ,2-0, , ,
10:51.0,Personal foul by D. Avdija (drawn by K. Porziņģis), ,2-0, , ,
10:37.0,J. Tatum makes 2-pt layup from 4 ft,+2,4-0, , ,
10:26.0, , ,4-3,+3,J. Poole makes 3-pt jump shot from 26 ft (assist by T. Jones),
10:08.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by D. White),+2,6-3, , ,
9:59.0, , ,6-3, ,D. Avdija misses 3-pt jump shot from 26 ft,
9:55.0,Defensive rebound by J. Tatum, ,6-3, , ,
9:46.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Tatum),+2,8-3, , ,
9:32.0, , ,8-5,+2,T. Jones makes 2-pt layup from 3 ft (assist by J. Poole),
9:18.0,J. Holiday makes 2-pt jump shot from 20 ft,+2,10-5, , ,
9:02.0, , ,10-5, ,B. Coulibaly misses 3-pt jump shot from 26 ft,
8:59.0,Defensive rebound by J. Brown, ,10-5, , ,
8:54.0,J. Brown makes 3-pt jump shot from 26 ft,+3,13-5, , ,
8:53.0, , ,13-5, ,Washington full timeout,
8:44.0, , ,13-5, ,Turnover by T. Jones (out of bounds lost ball),
8:35.0,J. Tatum misses 3-pt jump shot from 26 ft, ,13-5, , ,
8:32.0, , ,13-5, ,Defensive rebound by T. Jones,
8:23.0, , ,13-5, ,Turnover by K. Kuzma (traveling),
8:05.0,Turnover by J. Tatum (lost ball; steal by J. Poole), ,13-5, , ,
8:00.0, , ,13-5, ,Turnover by B. Coulibaly (lost ball; steal by J. Holiday),
7:57.0,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Holiday),+2,15-5, , ,
7:42.0,Violation by Team (kicked ball), ,15-5, , ,
7:31.0, , ,15-5, ,K. Kuzma misses 3-pt jump shot from 31 ft,
7:29.0,Defensive rebound by Team, ,15-5, , ,
7:19.0,Shooting foul by J. Poole (drawn by J. Holiday), ,15-5, , ,
7:19.0,J. Holiday makes free throw 1 of 2,+1,16-5, , ,
7:19.0,J. Holiday makes free throw 2 of 2,+1,17-5, , ,
7:04.0, , ,17-5, ,B. Coulibaly misses 2-pt jump shot from 9 ft,
7:00.0,Defensive rebound by J. Tatum, ,17-5, , ,
6:57.0,Offensive foul by K. Porziņģis (drawn by J. Poole), ,17-5, , ,
6:57.0,Turnover by K. Porziņģis (offensive foul), ,17-5, , ,
6:57.0,P. Pritchard enters the game for J. Tatum, ,17-5, , ,
6:38.0, , ,17-7,+2,J. Poole makes 2-pt jump shot from 18 ft,
6:30.0,J. Brown makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),+3,20-7, , ,
6:14.0, , ,20-9,+2,B. Coulibaly makes 2-pt layup from 3 ft (assist by T. Jones),
5:59.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),+2,22-9, , ,
5:40.0, , ,22-9, ,Turnover by T. Jones (bad pass; steal by D. White),
5:37.0,D. White makes 2-pt layup from 3 ft,+2,24-9, , ,
