A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Brooklyn,
12:00.0,Jump ball: K. Porziņģis vs. D. Finney-Smith (A. Horford gains possession),
11:42.0,K. Porziņģis makes 2-pt jump shot from 11 ft,+2,2-0, , ,
11:31.0, , ,2-0, ,M. Bridges misses 3-pt jump shot from 25 ft,
11:30.0,Defensive rebound by Team, ,2-0, , ,
11:11.0,K. Porziņģis misses 2-pt jump shot from 11 ft, ,2-0, , ,
11:09.0,Offensive rebound by A. Horford, ,2-0, , ,
11:09.0,A. Horford makes 2-pt layup from 1 ft,+2,4-0, , ,
10:56.0, , ,4-3,+3,R. O'Neale makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),
10:45.0,Turnover by J. Holiday (lost ball; steal by R. O'Neale), ,4-3, , ,
10:40.0, , ,4-3, ,R. O'Neale misses 3-pt jump shot from 25 ft (block by K. Porziņģis),
10:36.0, , ,4-3, ,Offensive rebound by D. Finney-Smith,
10:34.0, , ,4-3, ,R. O'Neale misses 3-pt jump shot from 26 ft,
10:30.0,Defensive rebound by K. Porziņģis, ,4-3, , ,
10:18.0,J. Tatum makes 3-pt jump shot from 25 ft,+3,7-3, , ,
10:04.0, , ,7-5,+2,M. Bridges makes 2-pt layup from 4 ft,
9:55.0,Turnover by J. Tatum (lost ball; steal by C. Thomas), ,7-5, , ,
9:51.0, , ,7-5, ,R. O'Neale misses 3-pt jump shot from 25 ft,
9:48.0,Defensive rebound by J. Brown, ,7-5, , ,
9:37.0,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Brown),+2,9-5, , ,
9:24.0, , ,9-5, ,M. Bridges misses 2-pt layup from 2 ft (block by K. Porziņģis),
9:22.0,Defensive rebound by J. Brown, ,9-5, , ,
9:15.0,J. Tatum makes 3-pt jump shot from 25 ft,+3,12-5, , ,
8:58.0, , ,12-5, ,C. Thomas misses 3-pt jump shot from 26 ft,
8:58.0,Defensive rebound by K. Porziņģis, ,12-5, , ,
8:44.0,J. Tatum misses 3-pt jump shot from 24 ft, ,12-5, , ,
8:40.0, , ,12-5, ,Defensive rebound by S. Dinwiddie,
8:36.0, , ,12-8,+3,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),
8:23.0,K. Porziņģis makes 2-pt jump shot from 3 ft (assist by J. Brown),+2,14-8, , ,
8:14.0, , ,14-10,+2,S. Dinwiddie makes 2-pt layup from 2 ft,
8:04.0,J. Brown makes 2-pt jump shot from 12 ft (assist by J. Holiday),+2,16-10, , ,
7:51.0, , ,16-13,+3,C. Thomas makes 3-pt jump shot from 26 ft,
7:33.0,J. Brown misses 2-pt jump shot from 13 ft, ,16-13, , ,
7:30.0, , ,16-13, ,Defensive rebound by R. O'Neale,
7:19.0, , ,16-13, ,C. Thomas misses 2-pt layup from 2 ft (block by A. Horford),
7:17.0,Defensive rebound by J. Holiday, ,16-13, , ,
7:16.0,Shooting foul by D. Finney-Smith (drawn by J. Brown), ,16-13, , ,
7:16.0,J. Brown misses free throw 1 of 2, ,16-13, , ,
7:16.0,Offensive rebound by Team, ,16-13, , ,
7:16.0,J. Brown makes free throw 2 of 2,+1,17-13, , ,
6:55.0, , ,17-13, ,M. Bridges misses 2-pt jump shot from 10 ft,
6:51.0,Defensive rebound by K. Porziņģis, ,17-13, , ,
6:48.0,J. Brown misses 3-pt jump shot from 26 ft, ,17-13, , ,
6:44.0, , ,17-13, ,Defensive rebound by S. Dinwiddie,
6:40.0, , ,17-13, ,S. Dinwiddie misses 3-pt jump shot from 26 ft,
6:35.0, , ,17-13, ,Offensive rebound by R. O'Neale,
6:35.0, , ,17-13, ,R. O'Neale misses 2-pt dunk at rim,
6:33.0, , ,17-13, ,Offensive rebound by M. Bridges,
6:24.0, , ,17-13, ,C. Thomas misses 2-pt layup from 3 ft,
6:24.0,Defensive rebound by A. Horford, ,17-13, , ,
6:20.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),+3,20-13, , ,
6:02.0, , ,20-13, ,M. Bridges misses 3-pt jump shot from 26 ft,
6:00.0,Defensive rebound by K. Porziņģis, ,20-13, , ,
5:51.0,J. Holiday misses 3-pt jump shot from 24 ft, ,20-13, , ,
5:47.0,Offensive rebound by J. Tatum, ,20-13, , ,
5:46.0,J. Tatum misses 2-pt layup from 2 ft, ,20-13, , ,
5:46.0,Offensive rebound by A. Horford, ,20-13, , ,
5:44.0,A. Horford makes 2-pt layup from 2 ft,+2,22-13, , ,
5:44.0, , ,22-13, ,Brooklyn full timeout,
5:44.0,S. Hauser enters the game for A. Horford, ,22-13, , ,
5:44.0,P. Pritchard enters the game for J. Tatum, ,22-13, , ,
5:27.0, , ,22-13, ,Personal foul by S. Hauser (drawn by R. O'Neale),
5:14.0, , ,22-13, ,D. Finney-Smith misses 3-pt jump shot from 26 ft,
5:10.0,Defensive rebound by K. Porziņģis, ,22-13, , ,
4:56.0,Personal foul by R. O'Neale (drawn by K. Porziņģis), ,22-13, , ,
4:56.0, , ,22-13, ,D. Smith enters the game for S. Dinwiddie,
4:56.0, , ,22-13, ,L. Walker enters the game for C. Thomas,
4:43.0,J. Holiday misses 2-pt jump shot from 13 ft, ,22-13, , ,
4:41.0, , ,22-13, ,Defensive rebound by R. O'Neale,
4:31.0, , ,22-15,+2,D. Finney-Smith makes 2-pt layup from 3 ft (assist by L. Walker),
4:17.0,J. Brown makes 2-pt jump shot from 21 ft (assist by J. Holiday),+2,24-15, , ,
4:07.0, , ,24-18,+3,L. Walker makes 3-pt jump shot from 26 ft,
