A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Philadelphia,
12:00.0,Jump ball: A. Horford vs. J. Embiid (R. Covington gains possession),
11:41.0, , ,0-3,+3,D. Melton makes 3-pt jump shot from 24 ft (assist by T. Maxey),
11:23.0,S. Hauser misses 3-pt jump shot from 27 ft, ,0-3, , ,
11:19.0, , ,0-3, ,Defensive rebound by T. Maxey,
11:08.0, , ,0-3, ,T. Maxey misses 2-pt jump shot from 7 ft,
11:06.0,Defensive rebound by D. White, ,0-3, , ,
10:53.0,J. Holiday misses 3-pt jump shot from 28 ft, ,0-3, , ,
10:48.0, , ,0-3, ,Defensive rebound by T. Maxey,
10:41.0, , ,0-3, ,T. Harris misses 2-pt layup from 3 ft,
10:39.0,Defensive rebound by A. Horford, ,0-3, , ,
10:35.0,Shooting foul by R. Covington (drawn by J. Tatum), ,0-3, , ,
10:35.0,J. Tatum makes free throw 1 of 2,+1,1-3, , ,
10:35.0,J. Tatum makes free throw 2 of 2,+1,2-3, , ,
10:13.0, , ,2-3, ,J. Embiid misses 2-pt jump shot from 13 ft (block by A. Horford),
10:10.0,Defensive rebound by A. Horford, ,2-3, , ,
9:53.0,J. Holiday makes 2-pt layup from 3 ft,+2,4-3, , ,Lead change
9:42.0, , ,4-6,+3,T. Harris makes 3-pt jump shot from 23 ft (assist by T. Maxey),Lead change
9:30.0,J. Tatum makes 2-pt layup from 2 ft,+2,6-6, , ,Tie
9:30.0, , ,6-6, ,Violation by Team (def goaltending),
9:17.0, , ,6-8,+2,T. Harris makes 2-pt dunk at rim (assist by J. Embiid),
8:53.0,A. Horford makes 2-pt jump shot from 16 ft,+2,8-8, , ,Tie
8:39.0, , ,8-8, ,T. Maxey misses 2-pt layup from 3 ft,
8:35.0, , ,8-8, ,Offensive rebound by R. Covington,
8:35.0, , ,8-10,+2,R. Covington makes 2-pt dunk at rim,
8:31.0,J. Holiday makes 2-pt layup from 3 ft,+2,10-10, , ,Tie
8:31.0,Shooting foul by J. Embiid (drawn by J. Holiday), ,10-10, , ,
8:31.0,J. Holiday misses free throw 1 of 1, ,10-10, , ,
8:28.0,Offensive rebound by J. Holiday, ,10-10, , ,
8:21.0,J. Holiday misses 2-pt layup from 1 ft, ,10-10, , ,
8:19.0, , ,10-10, ,Defensive rebound by J. Embiid,
8:10.0, , ,10-10, ,D. Melton misses 2-pt layup from 2 ft,
8:07.0, , ,10-10, ,Offensive rebound by R. Covington,
8:07.0, , ,10-12,+2,R. Covington makes 2-pt dunk at rim,
7:54.0,J. Tatum misses 3-pt jump shot from 28 ft, ,10-12, , ,
7:52.0, , ,10-12, ,Defensive rebound by T. Harris,
7:39.0, , ,10-12, ,R. Covington misses 3-pt jump shot from 26 ft,
7:36.0,Defensive rebound by J. Tatum, ,10-12, , ,
7:20.0,A. Horford misses 3-pt jump shot from 26 ft, ,10-12, , ,
7:17.0, , ,10-12, ,Defensive rebound by D. Melton,
7:08.0, , ,10-14,+2,J. Embiid makes 2-pt layup from 1 ft (assist by D. Melton),
6:55.0,J. Tatum makes 3-pt jump shot from 27 ft,+3,13-14, , ,
6:40.0, , ,13-14, ,T. Maxey misses 3-pt jump shot from 26 ft,
6:37.0,Defensive rebound by J. Holiday, ,13-14, , ,
6:23.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by A. Horford),+3,16-14, , ,Lead change
