A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Memphis,
12:00.0,Jump ball: K. Porziņģis vs. J. Jackson (D. White gains possession),
11:53.0,J. Brown makes 2-pt dunk at rim (assist by D. White),+2,2-0, , ,
11:35.0, , ,2-0, ,J. Jackson misses 2-pt layup from 6 ft (block by K. Porziņģis),
11:31.0,Defensive rebound by K. Porziņģis, ,2-0, , ,
11:26.0,Turnover by J. Holiday (bad pass; steal by J. Jackson), ,2-0, , ,
11:20.0, , ,2-0, ,D. Bane misses 3-pt jump shot from 25 ft,
11:16.0,Defensive rebound by K. Porziņģis, ,2-0, , ,
11:02.0,J. Holiday makes 2-pt layup from 5 ft,+2,4-0, , ,
10:41.0, , ,4-0, ,S. Aldama misses 3-pt jump shot from 26 ft,
10:39.0,Defensive rebound by J. Tatum, ,4-0, , ,
10:34.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by J. Tatum),+2,6-0, , ,
10:31.0, , ,6-0, ,Memphis full timeout,
10:06.0, , ,6-2,+2,J. Jackson makes 2-pt jump shot from 9 ft,
9:48.0,Turnover by J. Tatum (bad pass), ,6-2, , ,
9:30.0, , ,6-2, ,D. Bane misses 2-pt jump shot from 6 ft (block by K. Porziņģis),
9:27.0, , ,6-2, ,Offensive rebound by D. Bane,
9:25.0, , ,6-2, ,S. Aldama misses 3-pt jump shot from 26 ft,
9:23.0,Defensive rebound by Team, ,6-2, , ,
9:14.0,K. Porziņģis misses 3-pt jump shot from 26 ft, ,6-2, , ,
9:12.0, , ,6-2, ,Defensive rebound by J. Jackson,
9:02.0, , ,6-2, ,D. Bane misses 2-pt jump shot from 5 ft,
9:02.0,Defensive rebound by Team, ,6-2, , ,
9:02.0, , ,6-2, ,Loose ball foul by B. Biyombo (drawn by K. Porziņģis),
8:41.0,K. Porziņģis makes 2-pt jump shot from 13 ft,+2,8-2, , ,
8:20.0, , ,8-5,+3,S. Aldama makes 3-pt jump shot from 25 ft (assist by D. Bane),
8:10.0,Shooting foul by J. Jackson (drawn by J. Brown), ,8-5, , ,
8:10.0,J. Brown makes free throw 1 of 2,+1,9-5, , ,
8:10.0,J. Brown misses free throw 2 of 2, ,9-5, , ,
8:08.0, , ,9-5, ,Defensive rebound by Team,
8:08.0,Boston full timeout, ,9-5, , ,
8:08.0,Instant Replay (Challenge: Stands), ,9-5, , ,
7:51.0, , ,9-5, ,Personal foul by J. Brown (drawn by J. Jackson),
7:40.0, , ,9-7,+2,D. Bane makes 2-pt jump shot from 18 ft,
7:21.0,Shooting foul by S. Aldama (drawn by J. Tatum), ,9-7, , ,
7:21.0,J. Tatum makes free throw 1 of 2,+1,10-7, , ,
7:21.0,J. Tatum makes free throw 2 of 2,+1,11-7, , ,
7:06.0, , ,11-7, ,J. Jackson misses 2-pt hook shot from 8 ft,
7:03.0,Defensive rebound by J. Tatum, ,11-7, , ,
6:58.0,J. Tatum misses 2-pt layup from 2 ft (block by B. Biyombo), ,11-7, , ,
6:55.0, , ,11-7, ,Defensive rebound by J. Konchar,
6:50.0, , ,11-7, ,J. Jackson misses 3-pt jump shot from 25 ft,
6:47.0, , ,11-7, ,Offensive rebound by J. Jackson,
6:40.0, , ,11-10,+3,D. Bane makes 3-pt jump shot from 23 ft (assist by S. Aldama),
6:27.0,J. Brown misses 3-pt jump shot from 26 ft, ,11-10, , ,
6:24.0, , ,11-10, ,Defensive rebound by S. Aldama,
6:20.0, , ,11-13,+3,D. Bane makes 3-pt jump shot from 26 ft (assist by S. Aldama),Lead change
6:00.0,Turnover by J. Holiday (bad pass; steal by D. Bane), ,11-13, , ,
5:57.0, , ,11-13, ,D. Bane misses 3-pt jump shot from 24 ft,
5:54.0,Defensive rebound by J. Brown, ,11-13, , ,
5:44.0,J. Brown makes 2-pt jump shot from 6 ft,+2,13-13, , ,Tie
5:27.0, , ,13-15,+2,D. Bane makes 2-pt layup from 2 ft,
5:14.0,Personal foul by B. Biyombo (drawn by J. Brown), ,13-15, , ,
5:14.0,S. Hauser enters the game for J. Holiday, ,13-15, , ,
5:14.0,A. Horford enters the game for J. Tatum, ,13-15, , ,
5:14.0, , ,13-15, ,D. Roddy enters the game for S. Aldama,
5:14.0, , ,13-15, ,Z. Williams enters the game for B. Biyombo,
