A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Charlotte,
12:00.0,Jump ball: K. Porziņģis vs. M. Williams (J. Brown gains possession),
11:43.0,J. Tatum makes 2-pt jump shot from 17 ft,+2,2-0, , ,
11:28.0, , ,2-0, ,G. Hayward misses 2-pt jump shot from 7 ft,
11:26.0,Defensive rebound by J. Tatum, ,2-0, , ,
11:15.0,Def 3 sec tech foul by Team, ,2-0, , ,
11:15.0,J. Tatum makes technical free throw,+1,3-0, , ,
11:05.0,Turnover by J. Tatum (bad pass; steal by B. Miller), ,3-0, , ,
10:57.0, , ,3-0, ,M. Bridges misses 3-pt jump shot from 26 ft,
10:54.0,Defensive rebound by J. Tatum, ,3-0, , ,
10:45.0,Turnover by J. Tatum (bad pass; steal by G. Hayward), ,3-0, , ,
10:37.0, , ,3-0, ,B. Miller misses 2-pt layup from 4 ft,
10:36.0, , ,3-0, ,Offensive rebound by L. Ball,
10:36.0, , ,3-0, ,L. Ball misses 2-pt layup from 1 ft,
10:35.0,Defensive rebound by J. Tatum, ,3-0, , ,
10:23.0,J. Brown makes 2-pt jump shot from 8 ft,+2,5-0, , ,
10:11.0, , ,5-2,+2,L. Ball makes 2-pt layup from 2 ft,
10:03.0,J. Holiday misses 2-pt layup from 3 ft, ,5-2, , ,
10:01.0, , ,5-2, ,Defensive rebound by M. Williams,
9:58.0, , ,5-5,+3,L. Ball makes 3-pt jump shot from 28 ft,Tie
9:44.0,K. Porziņģis misses 3-pt jump shot from 25 ft, ,5-5, , ,
9:44.0, , ,5-5, ,Defensive rebound by L. Ball,
9:36.0, , ,5-5, ,L. Ball misses 3-pt jump shot from 29 ft,
9:35.0,Defensive rebound by S. Hauser, ,5-5, , ,
9:21.0,J. Brown makes 2-pt layup from 2 ft (assist by J. Holiday),+2,7-5, , ,
9:05.0, , ,7-5, ,Shooting foul by S. Hauser (drawn by M. Bridges),
9:05.0, , ,7-6,+1,M. Bridges makes free throw 1 of 2,
9:05.0, , ,7-7,+1,M. Bridges makes free throw 2 of 2,Tie
8:54.0,J. Tatum misses 3-pt jump shot from 27 ft, ,7-7, , ,
8:51.0, , ,7-7, ,Defensive rebound by M. Bridges,
8:47.0, , ,7-7, ,B. Miller misses 3-pt jump shot from 24 ft,
8:45.0, , ,7-7, ,Offensive rebound by M. Williams,
8:40.0, , ,7-9,+2,G. Hayward makes 2-pt layup from 2 ft (assist by M. Bridges),Lead change
8:28.0,Turnover by J. Brown (bad pass; steal by B. Miller), ,7-9, , ,
8:25.0, , ,7-9, ,B. Miller misses 2-pt layup from 1 ft (block by J. Holiday),
8:20.0, , ,7-9, ,Offensive rebound by B. Miller,
8:12.0, , ,7-11,+2,L. Ball makes 2-pt layup at rim,
7:49.0,J. Tatum makes 2-pt dunk from 2 ft,+2,9-11, , ,
7:42.0, , ,9-11, ,Turnover by M. Bridges (out of bounds lost ball),
7:25.0,Turnover by J. Holiday (lost ball; steal by M. Williams), ,9-11, , ,
7:09.0, , ,9-11, ,Shooting foul by K. Porziņģis (drawn by G. Hayward),
7:09.0, , ,9-11, ,G. Hayward misses free throw 1 of 2,
7:09.0, , ,9-11, ,Offensive rebound by Team,
7:09.0, , ,9-12,+1,G. Hayward makes free throw 2 of 2,
6:51.0,J. Brown misses 2-pt jump shot from 13 ft, ,9-12, , ,
6:49.0, , ,9-12, ,Defensive rebound by M. Williams,
6:41.0, , ,9-12, ,M. Williams misses 2-pt dunk from 2 ft,
6:38.0,Defensive rebound by K. Porziņģis, ,9-12, , ,
6:34.0,Shooting foul by L. Ball (drawn by J. Brown), ,9-12, , ,
6:34.0, , ,9-12, ,Charlotte full timeout,
6:34.0,O. Brissett enters the game for J. Holiday, ,9-12, , ,
6:34.0,P. Pritchard enters the game for J. Tatum, ,9-12, , ,
6:34.0, , ,9-12, ,P. Washington enters the game for M. Bridges,
6:34.0,J. Brown makes free throw 1 of 2,+1,10-12, , ,
6:34.0,J. Brown makes free throw 2 of 2,+1,11-12, , ,
6:18.0, , ,11-12, ,M. Williams misses 2-pt jump shot from 2 ft,
6:16.0,Defensive rebound by K. Porziņģis, ,11-12, , ,
6:09.0,K. Porziņģis misses 3-pt jump shot from 25 ft, ,11-12, , ,
6:07.0, , ,11-12, ,Defensive rebound by L. Ball,
6:04.0, , ,11-14,+2,M. Williams makes 2-pt layup from 1 ft (assist by L. Ball),
5:50.0,K. Porziņģis makes 2-pt jump shot from 6 ft,+2,13-14, , ,
5:37.0, , ,13-14, ,Shooting foul by J. Brown (drawn by G. Hayward),
5:37.0, , ,13-15,+1,G. Hayward makes free throw 1 of 2,
5:37.0, , ,13-15, ,I. Smith enters the game for L. Ball,
5:37.0, , ,13-16,+1,G. Hayward makes free throw 2 of 2,
5:22.0,Shooting foul by M. Williams (drawn by K. Porziņģis), ,13-16, , ,
5:22.0,K. Porziņģis misses free throw 1 of 2, ,13-16, , ,
5:22.0,Offensive rebound by Team, ,13-16, , ,
5:22.0,K. Porziņģis misses free throw 2 of 2, ,13-16, , ,
5:19.0, , ,13-16, ,Defensive rebound by M. Williams,
5:11.0, , ,13-16, ,B. Miller misses 3-pt jump shot from 26 ft,
5:08.0, , ,13-16, ,Offensive rebound by M. Williams,
5:07.0, , ,13-16, ,Turnover by M. Williams (bad pass; steal by P. Pritchard),
4:56.0,J. Brown makes 2-pt jump shot from 13 ft,+2,15-16, , ,
4:33.0, , ,15-16, ,P. Washington misses 3-pt jump shot from 22 ft,
4:30.0, , ,15-16, ,Offensive rebound by B. Miller,
4:26.0, , ,15-18,+2,B. Miller makes 2-pt jump shot from 3 ft,
4:10.0,J. Brown misses 3-pt jump shot from 25 ft, ,15-18, , ,
4:06.0,Offensive rebound by P. Pritchard, ,15-18, , ,
3:57.0,Shooting foul by G. Hayward (drawn by O. Brissett), ,15-18, , ,
3:57.0,O. Brissett misses free throw 1 of 2, ,15-18, , ,
3:57.0,Offensive rebound by Team, ,15-18, , ,
3:57.0,O. Brissett makes free throw 2 of 2,+1,16-18, , ,
3:57.0,L. Kornet enters the game for K. Porziņģis, ,16-18, , ,
3:57.0, , ,16-18, ,M. Bridges enters the game for G. Hayward,
3:57.0, , ,16-18, ,B. McGowens enters the game for M. Williams,
3:41.0, , ,16-20,+2,I. Smith makes 2-pt layup from 3 ft,
3:27.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Brown),+3,19-20, , ,
3:03.0, , ,19-20, ,M. Bridges misses 2-pt hook shot from 2 ft,
3:02.0,Defensive rebound by O. Brissett, ,19-20, , ,
2:52.0,S. Hauser misses 3-pt jump shot from 23 ft, ,19-20, , ,
2:50.0, , ,19-20, ,Defensive rebound by B. McGowens,
2:50.0, , ,19-20, ,Personal foul by O. Brissett (drawn by B. McGowens),
2:50.0,Boston full timeout, ,19-20, , ,
2:50.0,J. Holiday enters the game for J. Brown, ,19-20, , ,
2:50.0,J. Tatum enters the game for S. Hauser, ,19-20, , ,
2:50.0, , ,19-20, ,L. Ball enters the game for B. Miller,
2:36.0, , ,19-20, ,B. McGowens misses 3-pt jump shot from 28 ft,
2:34.0,Defensive rebound by O. Brissett, ,19-20, , ,
2:21.0,Turnover by J. Holiday (out of bounds lost ball), ,19-20, , ,
2:05.0, , ,19-20, ,B. McGowens misses 3-pt jump shot from 25 ft,
2:03.0,Defensive rebound by J. Holiday, ,19-20, , ,
1:52.0,J. Tatum makes 3-pt jump shot from 25 ft,+3,22-20, , ,Lead change
1:39.0, , ,22-20, ,Turnover by L. Ball (bad pass),
1:23.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Tatum),+3,25-20, , ,
1:01.0, , ,25-23,+3,B. McGowens makes 3-pt jump shot from 24 ft (assist by M. Bridges),
0:49.0,Turnover by J. Holiday (bad pass), ,25-23, , ,
0:34.0, , ,25-25,+2,L. Ball makes 2-pt jump shot from 10 ft,Tie
0:31.0,P. Pritchard makes 3-pt jump shot from 26 ft,+3,28-25, , ,
0:14.0, , ,28-25, ,Offensive foul by B. McGowens (drawn by L. Kornet),
0:14.0, , ,28-25, ,Turnover by B. McGowens (offensive foul),
0:00.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Tatum),+3,31-25, , ,
0:00.0, , ,31-25, ,M. Bridges misses 3-pt jump shot from 77 ft,
0:00.0, , ,31-25, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Boston,,Score,,Charlotte,
12:00.0,Start of 2nd quarter,
11:46.0, , ,31-25, ,M. Bridges misses 2-pt layup from 2 ft,
11:44.0,Defensive rebound by J. Tatum, ,31-25, , ,
11:40.0,J. Tatum makes 3-pt jump shot from 25 ft,+3,34-25, , ,
11:18.0, , ,34-25, ,B. McGowens misses 3-pt jump shot from 26 ft,
11:15.0,Defensive rebound by O. Brissett, ,34-25, , ,
11:10.0,J. Tatum misses 3-pt jump shot from 22 ft, ,34-25, , ,
11:06.0, , ,34-25, ,Defensive rebound by L. Ball,
11:02.0, , ,34-27,+2,P. Washington makes 2-pt layup from 2 ft (assist by L. Ball),
10:45.0,J. Tatum misses 3-pt jump shot from 24 ft, ,34-27, , ,
10:42.0,Offensive rebound by O. Brissett, ,34-27, , ,
10:41.0, , ,34-27, ,Violation by Team (kicked ball),
10:35.0,J. Tatum makes 2-pt dunk from 2 ft,+2,36-27, , ,
10:35.0,Shooting foul by J. Thor (drawn by J. Tatum), ,36-27, , ,
10:35.0,J. Tatum makes free throw 1 of 1,+1,37-27, , ,
10:17.0, , ,37-27, ,Shooting foul by O. Brissett (drawn by M. Bridges),
10:17.0, , ,37-28,+1,M. Bridges makes free throw 1 of 2,
10:17.0, , ,37-29,+1,M. Bridges makes free throw 2 of 2,
10:07.0,J. Tatum makes 2-pt jump shot at rim,+2,39-29, , ,
9:39.0, , ,39-29, ,P. Washington misses 3-pt jump shot from 26 ft,
9:36.0,Defensive rebound by L. Kornet, ,39-29, , ,
9:23.0,Personal foul by L. Ball (drawn by J. Tatum), ,39-29, , ,
9:19.0,J. Holiday makes 2-pt layup from 1 ft (assist by J. Tatum),+2,41-29, , ,
8:57.0, , ,41-32,+3,P. Washington makes 3-pt jump shot from 26 ft (assist by B. McGowens),
