A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,LA Clippers,
12:00.0,Jump ball: A. Horford vs. I. Zubac (J. Brown gains possession),
11:45.0,J. Brown makes 3-pt jump shot from 26 ft,+3,3-0, , ,
11:23.0, , ,3-3,+3,P. George makes 3-pt jump shot from 25 ft (assist by A. Coffey),Tie
11:09.0,J. Tatum misses 3-pt jump shot from 26 ft, ,3-3, , ,
11:07.0, , ,3-3, ,Defensive rebound by P. George,
10:57.0, , ,3-3, ,J. Harden misses 3-pt jump shot from 26 ft,
10:54.0, , ,3-3, ,Offensive rebound by I. Zubac,
10:44.0, , ,3-3, ,Personal foul by J. Brown (drawn by J. Harden),
10:31.0, , ,3-3, ,P. George misses 3-pt jump shot from 26 ft,
10:28.0,Defensive rebound by J. Holiday, ,3-3, , ,
10:22.0,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Holiday),+3,6-3, , ,
10:09.0, , ,6-3, ,Personal foul by J. Brown (drawn by P. George),
9:59.0, , ,6-3, ,Turnover by J. Harden (bad pass; steal by J. Brown),
9:51.0,J. Brown misses 3-pt jump shot from 29 ft, ,6-3, , ,
9:49.0, , ,6-3, ,Defensive rebound by I. Zubac,
9:44.0, , ,6-5,+2,J. Harden makes 2-pt layup from 2 ft,
9:31.0,A. Horford misses 2-pt hook shot from 5 ft, ,6-5, , ,
9:28.0,Offensive rebound by J. Brown, ,6-5, , ,
9:26.0,D. White misses 3-pt jump shot from 25 ft, ,6-5, , ,
9:25.0, , ,6-5, ,Defensive rebound by A. Coffey,
9:25.0, , ,6-5, ,Turnover by A. Coffey (out of bounds lost ball),
9:17.0,D. White misses 3-pt jump shot from 28 ft, ,6-5, , ,
9:12.0,Offensive rebound by J. Holiday, ,6-5, , ,
9:12.0,J. Holiday misses 2-pt layup from 5 ft (block by P. George), ,6-5, , ,
9:12.0, , ,6-5, ,Defensive rebound by A. Coffey,
9:04.0,Violation by Team (kicked ball), ,6-5, , ,
8:49.0, , ,6-5, ,Turnover by Team (shot clock),
8:38.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),+3,9-5, , ,
8:24.0, , ,9-8,+3,P. George makes 3-pt jump shot from 27 ft (assist by J. Harden),
8:10.0,J. Holiday misses 3-pt jump shot from 26 ft, ,9-8, , ,
8:08.0, , ,9-8, ,Defensive rebound by T. Mann,
7:54.0, , ,9-8, ,Shooting foul by A. Horford (drawn by I. Zubac),
7:54.0, , ,9-8, ,Instant Replay,
7:54.0, , ,9-9,+1,I. Zubac makes free throw 1 of 2,Tie
7:54.0, , ,9-10,+1,I. Zubac makes free throw 2 of 2,Lead change
7:37.0,J. Holiday makes 2-pt layup from 3 ft (assist by D. White),+2,11-10, , ,Lead change
7:20.0, , ,11-12,+2,P. George makes 2-pt jump shot from 15 ft,Lead change
7:05.0,J. Brown misses 2-pt layup from 5 ft, ,11-12, , ,
7:03.0, , ,11-12, ,Defensive rebound by T. Mann,
6:57.0, , ,11-12, ,I. Zubac misses 2-pt dunk from 3 ft,
6:54.0,Defensive rebound by D. White, ,11-12, , ,
6:46.0,J. Brown misses 3-pt jump shot from 27 ft, ,11-12, , ,
6:45.0, , ,11-12, ,Defensive rebound by I. Zubac,
6:40.0, , ,11-12, ,T. Mann misses 3-pt jump shot from 23 ft,
6:36.0,Defensive rebound by J. Tatum, ,11-12, , ,
6:32.0,D. White makes 3-pt jump shot from 24 ft (assist by J. Brown),+3,14-12, , ,Lead change
6:31.0, , ,14-12, ,LA Clippers full timeout,
6:31.0,O. Brissett enters the game for J. Brown, ,14-12, , ,
6:31.0,S. Hauser enters the game for J. Holiday, ,14-12, , ,
6:31.0,N. Queta enters the game for A. Horford, ,14-12, , ,
6:20.0, , ,14-14,+2,P. George makes 2-pt layup from 5 ft (assist by J. Harden),Tie
5:56.0,D. White misses 3-pt jump shot from 30 ft, ,14-14, , ,
5:54.0,Offensive rebound by Team, ,14-14, , ,
5:54.0, , ,14-14, ,N. Powell enters the game for A. Coffey,
5:54.0, , ,14-14, ,R. Westbrook enters the game for T. Mann,
5:47.0,D. White makes 2-pt jump shot from 10 ft,+2,16-14, , ,
5:32.0, , ,16-14, ,Turnover by R. Westbrook (step out of bounds),
5:18.0,J. Tatum misses 3-pt jump shot from 29 ft, ,16-14, , ,
5:17.0, , ,16-14, ,Defensive rebound by Team,
5:06.0, , ,16-14, ,J. Harden misses 2-pt jump shot from 9 ft,
5:04.0,Defensive rebound by O. Brissett, ,16-14, , ,
5:01.0,Offensive foul by N. Queta (drawn by J. Harden), ,16-14, , ,
5:01.0,Turnover by N. Queta (offensive foul), ,16-14, , ,
4:51.0, , ,16-14, ,Turnover by P. George (traveling),
4:40.0,Turnover by D. White (bad pass; steal by J. Harden), ,16-14, , ,
4:32.0, , ,16-14, ,I. Zubac misses 2-pt layup from 4 ft (block by D. White),
4:31.0,Defensive rebound by D. White, ,16-14, , ,
4:31.0,Turnover by D. White (bad pass), ,16-14, , ,
4:15.0, , ,16-14, ,N. Powell misses 2-pt layup from 5 ft,
4:13.0,Defensive rebound by N. Queta, ,16-14, , ,
4:00.0,S. Hauser misses 3-pt jump shot from 25 ft, ,16-14, , ,
3:58.0,Offensive rebound by Team, ,16-14, , ,
3:58.0, , ,16-14, ,Loose ball foul by N. Powell (drawn by O. Brissett),
3:52.0,D. White misses 3-pt jump shot from 29 ft, ,16-14, , ,
3:49.0,Offensive rebound by N. Queta, ,16-14, , ,
3:41.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by S. Hauser),+3,19-14, , ,
3:20.0, , ,19-14, ,P. George misses 3-pt jump shot from 28 ft (block by D. White),
3:19.0,Defensive rebound by D. White, ,19-14, , ,
3:19.0,Personal foul by P. George (drawn by D. White), ,19-14, , ,
