A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,San Antonio,
12:00.0,Jump ball: K. Porziņģis vs. V. Wembanyama (J. Champagnie gains possession),
11:44.0, , ,0-0, ,V. Wembanyama misses 2-pt layup from 8 ft,
11:41.0,Defensive rebound by A. Horford, ,0-0, , ,
11:32.0,Turnover by K. Porziņģis (bad pass; steal by D. Vassell), ,0-0, , ,
11:19.0, , ,0-0, ,V. Wembanyama misses 3-pt jump shot from 26 ft,
11:16.0,Defensive rebound by J. Brown, ,0-0, , ,
11:09.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),+3,3-0, , ,
10:55.0, , ,3-2,+2,D. Vassell makes 2-pt jump shot from 15 ft,
10:37.0,K. Porziņģis misses 3-pt jump shot from 24 ft, ,3-2, , ,
10:36.0, , ,3-2, ,Defensive rebound by D. Vassell,
10:21.0, , ,3-2, ,J. Sochan misses 2-pt layup from 2 ft,
10:19.0,Defensive rebound by A. Horford, ,3-2, , ,
10:11.0,J. Brown makes 2-pt dunk from 1 ft,+2,5-2, , ,
9:55.0, , ,5-2, ,V. Wembanyama misses 2-pt hook shot from 9 ft,
9:53.0,Defensive rebound by A. Horford, ,5-2, , ,
9:49.0, , ,5-2, ,Violation by Team (kicked ball),
9:37.0,J. Tatum misses 2-pt jump shot from 6 ft, ,5-2, , ,
9:35.0, , ,5-2, ,Defensive rebound by J. Sochan,
9:29.0, , ,5-5,+3,V. Wembanyama makes 3-pt jump shot from 26 ft (assist by J. Sochan),Tie
9:10.0,Personal foul by J. Champagnie (drawn by J. Brown), ,5-5, , ,
9:06.0,D. White makes 3-pt jump shot from 26 ft (assist by A. Horford),+3,8-5, , ,
8:53.0, , ,8-7,+2,V. Wembanyama makes 2-pt layup from 1 ft (assist by J. Champagnie),
8:47.0,D. White makes 3-pt jump shot from 24 ft (assist by J. Brown),+3,11-7, , ,
8:31.0, , ,11-9,+2,D. Vassell makes 2-pt layup from 1 ft,
8:13.0,D. White misses 3-pt jump shot from 26 ft, ,11-9, , ,
8:10.0, , ,11-9, ,Defensive rebound by D. Vassell,
8:03.0, , ,11-9, ,J. Champagnie misses 3-pt jump shot from 25 ft,
8:01.0,Defensive rebound by K. Porziņģis, ,11-9, , ,
7:50.0,D. White makes 2-pt layup from 1 ft (assist by A. Horford),+2,13-9, , ,
7:49.0, , ,13-9, ,San Antonio full timeout,
7:38.0, , ,13-9, ,J. Sochan misses 3-pt jump shot from 25 ft,
7:35.0,Defensive rebound by D. White, ,13-9, , ,
7:30.0,K. Porziņģis misses 3-pt jump shot from 27 ft, ,13-9, , ,
7:27.0, , ,13-9, ,Defensive rebound by J. Sochan,
7:22.0, , ,13-12,+3,V. Wembanyama makes 3-pt jump shot from 26 ft (assist by J. Sochan),
7:00.0,J. Brown makes 2-pt layup from 1 ft,+2,15-12, , ,
