A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Indiana,
12:00.0,Jump ball: K. Porziņģis vs. M. Turner (B. Brown gains possession),
11:37.0, , ,0-2,+2,M. Turner makes 2-pt dunk from 2 ft (assist by A. Nesmith),
11:21.0,K. Porziņģis misses 3-pt jump shot from 26 ft, ,0-2, , ,
11:18.0, , ,0-2, ,Defensive rebound by M. Turner,
10:59.0, , ,0-2, ,A. Nesmith misses 2-pt layup from 4 ft,
10:57.0,Defensive rebound by J. Holiday, ,0-2, , ,
10:54.0,J. Holiday misses 3-pt jump shot from 27 ft, ,0-2, , ,
10:51.0, , ,0-2, ,Defensive rebound by B. Brown,
10:46.0, , ,0-2, ,B. Brown misses 2-pt layup from 5 ft (block by A. Horford),
10:45.0, , ,0-2, ,Offensive rebound by Team,
10:45.0, , ,0-2, ,M. Turner misses 2-pt jump shot from 21 ft,
10:40.0, , ,0-2, ,Offensive rebound by A. Nesmith,
10:36.0, , ,0-5,+3,A. Nesmith makes 3-pt jump shot from 23 ft (assist by T. Haliburton),
10:17.0,K. Porziņģis makes 2-pt layup from 4 ft (assist by D. White),+2,2-5, , ,
10:04.0, , ,2-5, ,J. Smith misses 3-pt jump shot from 24 ft,
10:01.0,Defensive rebound by K. Porziņģis, ,2-5, , ,
9:50.0,J. Brown makes 2-pt layup from 4 ft,+2,4-5, , ,
9:43.0, , ,4-7,+2,A. Nesmith makes 2-pt layup from 5 ft (assist by T. Haliburton),
9:30.0,J. Holiday misses 2-pt layup from 4 ft (block by J. Smith), ,4-7, , ,
9:28.0, , ,4-7, ,Defensive rebound by Team,
9:28.0,Loose ball foul by J. Holiday (drawn by J. Smith), ,4-7, , ,
9:12.0, , ,4-7, ,B. Brown misses 2-pt jump shot from 17 ft,
9:09.0,Defensive rebound by J. Holiday, ,4-7, , ,
9:05.0,Personal foul by A. Nesmith (drawn by J. Brown), ,4-7, , ,
8:48.0,A. Horford makes 3-pt jump shot from 23 ft (assist by D. White),+3,7-7, , ,Tie
8:36.0, , ,7-9,+2,J. Smith makes 2-pt jump shot from 6 ft (assist by T. Haliburton),
8:19.0,J. Holiday makes 3-pt jump shot from 28 ft (assist by D. White),+3,10-9, , ,Lead change
7:57.0, , ,10-9, ,B. Brown misses 2-pt jump shot from 11 ft,
7:53.0,Defensive rebound by A. Horford, ,10-9, , ,
7:45.0,D. White misses 3-pt jump shot from 23 ft, ,10-9, , ,
7:42.0, , ,10-9, ,Defensive rebound by T. Haliburton,
7:31.0, , ,10-12,+3,T. Haliburton makes 3-pt jump shot from 25 ft,Lead change
7:13.0,J. Brown makes 2-pt dunk from 2 ft (assist by K. Porziņģis),+2,12-12, , ,Tie
7:12.0, , ,12-12, ,Indiana full timeout,
6:52.0, , ,12-12, ,J. Smith misses 3-pt jump shot from 23 ft,
6:50.0,Defensive rebound by A. Horford, ,12-12, , ,
6:37.0,D. White misses 3-pt jump shot from 24 ft, ,12-12, , ,
6:34.0, , ,12-12, ,Defensive rebound by J. Smith,
6:25.0, , ,12-15,+3,J. Smith makes 3-pt jump shot from 24 ft (assist by B. Brown),
6:16.0,D. White misses 2-pt layup from 3 ft (block by J. Smith), ,12-15, , ,
6:13.0, , ,12-15, ,Defensive rebound by B. Brown,
6:09.0, , ,12-15, ,Turnover by J. Smith (out of bounds lost ball),
6:09.0,D. Banton enters the game for J. Holiday, ,12-15, , ,
6:09.0,O. Brissett enters the game for A. Horford, ,12-15, , ,
6:09.0,P. Pritchard enters the game for D. White, ,12-15, , ,
5:54.0,O. Brissett misses 3-pt jump shot from 26 ft, ,12-15, , ,
