A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Milwaukee,
12:00.0,Jump ball: K. Porziņģis vs. B. Lopez (D. White gains possession),
11:49.0,J. Holiday misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:46.0, , ,0-0, ,Defensive rebound by D. Lillard,
11:39.0, , ,0-0, ,Turnover by G. Antetokounmpo (lost ball; steal by K. Porziņģis),
11:25.0,J. Brown misses 2-pt hook shot from 9 ft, ,0-0, , ,
11:22.0, , ,0-0, ,Defensive rebound by K. Middleton,
11:19.0, , ,0-3,+3,D. Lillard makes 3-pt jump shot from 27 ft (assist by K. Middleton),
11:08.0,K. Porziņģis misses 2-pt hook shot from 7 ft, ,0-3, , ,
11:04.0, , ,0-3, ,Defensive rebound by G. Antetokounmpo,
11:00.0, , ,0-5,+2,G. Antetokounmpo makes 2-pt dunk from 3 ft,
10:42.0,J. Brown makes 2-pt jump shot from 10 ft,+2,2-5, , ,
10:29.0, , ,2-8,+3,D. Lillard makes 3-pt jump shot from 27 ft (assist by K. Middleton),
10:06.0,K. Porziņģis misses 3-pt jump shot from 27 ft, ,2-8, , ,
10:02.0, , ,2-8, ,Defensive rebound by G. Antetokounmpo,
9:59.0, , ,2-10,+2,G. Antetokounmpo makes 2-pt layup from 3 ft,
9:59.0, , ,2-10, ,Shooting foul by K. Porziņģis (drawn by G. Antetokounmpo),
9:59.0, , ,2-11,+1,G. Antetokounmpo makes free throw 1 of 1,
9:45.0,Shooting foul by D. Lillard (drawn by J. Tatum), ,2-11, , ,
9:45.0,J. Tatum makes free throw 1 of 2,+1,3-11, , ,
9:45.0,J. Tatum makes free throw 2 of 2,+1,4-11, , ,
9:26.0, , ,4-11, ,G. Antetokounmpo misses 2-pt layup from 5 ft,
9:23.0,Defensive rebound by J. Brown, ,4-11, , ,
9:21.0,K. Porziņģis makes 2-pt dunk from 2 ft (assist by J. Brown),+2,6-11, , ,
9:08.0, , ,6-13,+2,D. Lillard makes 2-pt layup from 1 ft,
8:55.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Tatum),+2,8-13, , ,
8:46.0, , ,8-13, ,D. Lillard misses 3-pt jump shot from 31 ft,
8:43.0,Defensive rebound by J. Holiday, ,8-13, , ,
8:32.0,Shooting foul by G. Antetokounmpo (drawn by J. Holiday), ,8-13, , ,
8:32.0,J. Holiday makes free throw 1 of 2,+1,9-13, , ,
8:32.0,J. Holiday makes free throw 2 of 2,+1,10-13, , ,
8:20.0, , ,10-15,+2,M. Beasley makes 2-pt jump shot from 10 ft (assist by D. Lillard),
8:08.0,J. Tatum makes 2-pt jump shot from 14 ft,+2,12-15, , ,
8:00.0, , ,12-15, ,Shooting foul by J. Holiday (drawn by B. Lopez),
8:00.0, , ,12-15, ,B. Lopez misses free throw 1 of 2,
8:00.0, , ,12-15, ,Offensive rebound by Team,
8:00.0, , ,12-16,+1,B. Lopez makes free throw 2 of 2,
