A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Toronto,
12:00.0,Jump ball: K. Porziņģis vs. S. Barnes (D. White gains possession),
11:42.0,J. Holiday misses 2-pt jump shot from 17 ft, ,0-0, , ,
11:40.0, , ,0-0, ,Defensive rebound by J. Porter,
11:35.0, , ,0-0, ,R. Barrett misses 3-pt jump shot from 26 ft,
11:32.0, , ,0-0, ,Offensive rebound by S. Barnes,
11:23.0, , ,0-0, ,I. Quickley misses 2-pt jump shot from 6 ft (block by J. Holiday),
11:23.0, , ,0-0, ,Offensive rebound by Team,
11:18.0, , ,0-0, ,Turnover by S. Barnes (lost ball; steal by J. Holiday),
11:10.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Holiday),+3,3-0, , ,
10:47.0, , ,3-0, ,S. Barnes misses 2-pt hook shot from 6 ft,
10:44.0,Defensive rebound by J. Tatum, ,3-0, , ,
10:36.0,J. Tatum misses 2-pt jump shot from 16 ft, ,3-0, , ,
10:33.0, , ,3-0, ,Defensive rebound by I. Quickley,
10:25.0, , ,3-0, ,P. Siakam misses 2-pt hook shot from 6 ft,
10:22.0, , ,3-0, ,Offensive rebound by J. Porter,
10:12.0, , ,3-0, ,J. Porter misses 2-pt layup from 2 ft (block by K. Porziņģis),
10:12.0, , ,3-0, ,Offensive rebound by Team,
10:08.0, , ,3-0, ,J. Porter misses 2-pt layup from 4 ft (block by J. Holiday),
10:05.0,Defensive rebound by J. Tatum, ,3-0, , ,
10:03.0,Turnover by A. Horford (out of bounds lost ball), ,3-0, , ,
9:51.0, , ,3-0, ,I. Quickley misses 2-pt layup at rim,
9:49.0,Defensive rebound by J. Tatum, ,3-0, , ,
9:44.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Tatum),+3,6-0, , ,
9:31.0, , ,6-2,+2,R. Barrett makes 2-pt jump shot from 16 ft,
9:14.0,Turnover by K. Porziņģis (bad pass), ,6-2, , ,
