A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Dallas,
12:00.0,Jump ball: A. Horford vs. D. Lively (J. Tatum gains possession),
11:49.0,J. Brown misses 2-pt jump shot from 15 ft, ,0-0, , ,
11:47.0, , ,0-0, ,Defensive rebound by L. Dončić,
11:31.0, , ,0-2,+2,L. Dončić makes 2-pt layup from 2 ft,
11:10.0,A. Horford misses 3-pt jump shot from 25 ft, ,0-2, , ,
11:09.0, , ,0-2, ,Defensive rebound by J. Green,
11:02.0, , ,0-2, ,J. Green misses 2-pt layup from 1 ft (block by D. White),
11:01.0, , ,0-2, ,Offensive rebound by Team,
10:50.0, , ,0-2, ,D. Jones misses 2-pt hook shot from 5 ft,
10:48.0,Defensive rebound by J. Holiday, ,0-2, , ,
10:42.0,Turnover by J. Holiday (lost ball; steal by K. Irving), ,0-2, , ,
10:31.0, , ,0-2, ,D. Jones misses 3-pt jump shot from 26 ft,
10:28.0,Defensive rebound by A. Horford, ,0-2, , ,
10:20.0,Shooting foul by K. Irving (drawn by J. Tatum), ,0-2, , ,
10:20.0,J. Tatum makes free throw 1 of 2,+1,1-2, , ,
10:20.0,J. Tatum makes free throw 2 of 2,+1,2-2, , ,Tie
10:04.0, , ,2-2, ,L. Dončić misses 2-pt jump shot from 10 ft,
10:02.0,Defensive rebound by Team, ,2-2, , ,
9:47.0,J. Holiday misses 3-pt jump shot from 23 ft, ,2-2, , ,
9:42.0, , ,2-2, ,Defensive rebound by D. Jones,
9:38.0, , ,2-2, ,L. Dončić misses 2-pt jump shot from 6 ft,
9:35.0,Defensive rebound by J. Holiday, ,2-2, , ,
9:28.0,J. Holiday misses 3-pt jump shot from 26 ft, ,2-2, , ,
9:26.0,Offensive rebound by J. Brown, ,2-2, , ,
9:24.0,J. Brown misses 2-pt layup from 6 ft, ,2-2, , ,
9:21.0, , ,2-2, ,Defensive rebound by L. Dončić,
9:13.0, , ,2-2, ,Turnover by L. Dončić (bad pass; steal by J. Tatum),
9:08.0,J. Brown makes 2-pt layup from 4 ft (assist by J. Holiday),+2,4-2, , ,Lead change
8:50.0, , ,4-2, ,K. Irving misses 3-pt jump shot from 28 ft,
8:48.0, , ,4-2, ,Offensive rebound by D. Lively,
8:46.0, , ,4-2, ,L. Dončić misses 3-pt jump shot from 24 ft,
8:44.0, , ,4-2, ,Offensive rebound by J. Green,
8:38.0, , ,4-4,+2,L. Dončić makes 2-pt layup from 4 ft (assist by D. Jones),Tie
8:38.0, , ,4-4, ,Shooting foul by J. Holiday (drawn by L. Dončić),
8:38.0, , ,4-5,+1,L. Dončić makes free throw 1 of 1,Lead change
