A,B,C,D,E,F,Event
1st Q
Time,Indiana,,Score,,Boston,
12:00.0,Jump ball: M. Turner vs. K. Porziņģis (J. Brown gains possession),
11:44.0, , ,0-0, ,D. White misses 2-pt jump shot from 11 ft,
11:40.0,Defensive rebound by M. Turner, ,0-0, , ,
11:34.0,Turnover by T. Haliburton (bad pass; steal by J. Brown), ,0-0, , ,
11:22.0, , ,0-2,+2,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Tatum),
11:00.0,A. Nesmith makes 3-pt jump shot from 27 ft (assist by T. Haliburton),+3,3-2, , ,Lead change
10:50.0,Violation by Team (kicked ball), ,3-2, , ,
10:43.0, , ,3-4,+2,J. Tatum makes 2-pt dunk from 1 ft (assist by D. White),Lead change
10:28.0,A. Nesmith makes 2-pt jump shot from 13 ft (assist by M. Turner),+2,5-4, , ,Lead change
10:16.0, , ,5-7,+3,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by D. White),Lead change
10:01.0,M. Turner makes 3-pt jump shot from 27 ft (assist by T. Haliburton),+3,8-7, , ,Lead change
9:49.0, , ,8-9,+2,J. Brown makes 2-pt layup from 3 ft (assist by J. Tatum),Lead change
9:49.0, , ,8-9, ,Shooting foul by P. Siakam (drawn by J. Brown),
9:49.0, , ,8-10,+1,J. Brown makes free throw 1 of 1,
9:38.0,M. Turner makes 2-pt layup from 6 ft (assist by T. Haliburton),+2,10-10, , ,Tie
9:29.0, , ,10-13,+3,D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday),
9:09.0,P. Siakam misses 2-pt hook shot from 14 ft, ,10-13, , ,
9:06.0, , ,10-13, ,Defensive rebound by J. Holiday,
9:02.0, , ,10-13, ,J. Tatum misses 3-pt jump shot from 26 ft,
9:01.0,Defensive rebound by Team, ,10-13, , ,
9:01.0, , ,10-13, ,Loose ball foul by K. Porziņģis (drawn by M. Turner),
8:50.0,A. Nesmith misses 2-pt jump shot from 14 ft, ,10-13, , ,
8:48.0, , ,10-13, ,Defensive rebound by K. Porziņģis,
8:29.0, , ,10-16,+3,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Tatum),
8:15.0,T. Haliburton misses 3-pt jump shot from 28 ft, ,10-16, , ,
8:12.0,Offensive rebound by A. Nesmith, ,10-16, , ,
8:08.0,M. Turner misses 2-pt layup from 4 ft, ,10-16, , ,
8:03.0,Offensive rebound by P. Siakam, ,10-16, , ,
8:03.0,P. Siakam makes 2-pt layup at rim,+2,12-16, , ,
7:54.0, , ,12-16, ,J. Brown misses 2-pt layup from 3 ft (block by M. Turner),
7:51.0, , ,12-16, ,Offensive rebound by K. Porziņģis,
7:47.0, , ,12-16, ,J. Brown misses 3-pt jump shot from 24 ft,
7:44.0,Defensive rebound by B. Hield, ,12-16, , ,
