A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Miami,
12:00.0,Jump ball: K. Porziņģis vs. B. Adebayo (D. White gains possession),
11:37.0,J. Tatum makes 2-pt layup from 7 ft (assist by K. Porziņģis),+2,2-0, , ,
11:20.0, , ,2-2,+2,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),Tie
11:04.0,J. Brown misses 2-pt jump shot from 17 ft, ,2-2, , ,
10:58.0, , ,2-2, ,Defensive rebound by T. Herro,
10:49.0, , ,2-2, ,Turnover by J. Jaquez (step out of bounds),
10:37.0,J. Brown misses 3-pt jump shot from 24 ft, ,2-2, , ,
10:36.0, , ,2-2, ,Defensive rebound by T. Herro,
10:29.0, , ,2-2, ,T. Herro misses 3-pt jump shot from 27 ft,
10:26.0,Defensive rebound by K. Porziņģis, ,2-2, , ,
10:19.0,D. White misses 3-pt jump shot from 24 ft, ,2-2, , ,
10:17.0, , ,2-2, ,Defensive rebound by T. Rozier,
10:04.0, , ,2-5,+3,J. Jaquez makes 3-pt jump shot from 22 ft (assist by T. Herro),Lead change
9:47.0,J. Holiday misses 2-pt jump shot from 12 ft, ,2-5, , ,
9:45.0, , ,2-5, ,Defensive rebound by C. Martin,
9:40.0, , ,2-5, ,T. Rozier misses 2-pt layup from 3 ft,
9:37.0,Defensive rebound by K. Porziņģis, ,2-5, , ,
9:31.0,J. Brown makes 2-pt jump shot from 10 ft,+2,4-5, , ,
9:18.0, , ,4-5, ,Shooting foul by J. Holiday (drawn by B. Adebayo),
9:18.0, , ,4-6,+1,B. Adebayo makes free throw 1 of 2,
9:18.0, , ,4-7,+1,B. Adebayo makes free throw 2 of 2,
8:59.0,J. Tatum misses 2-pt jump shot from 6 ft, ,4-7, , ,
8:57.0,Offensive rebound by J. Tatum, ,4-7, , ,
8:54.0,J. Tatum makes 2-pt layup from 4 ft,+2,6-7, , ,
8:42.0, , ,6-7, ,J. Jaquez misses 3-pt jump shot from 25 ft,
8:42.0,Defensive rebound by J. Tatum, ,6-7, , ,
8:33.0,D. White makes 2-pt layup from 7 ft (assist by J. Holiday),+2,8-7, , ,Lead change
8:26.0, , ,8-9,+2,J. Jaquez makes 2-pt dunk from 2 ft (assist by T. Rozier),Lead change
8:09.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Holiday),+3,11-9, , ,Lead change
