A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,New York,
12:00.0,Jump ball: K. Porziņģis vs. I. Hartenstein (D. White gains possession),
11:41.0,J. Brown makes 3-pt jump shot from 26 ft,+3,3-0, , ,
11:25.0, , ,3-2,+2,J. Brunson makes 2-pt jump shot from 12 ft,
11:11.0,K. Porziņģis misses 2-pt layup from 1 ft, ,3-2, , ,
11:08.0, , ,3-2, ,Defensive rebound by J. Hart,
11:06.0, , ,3-5,+3,J. Brunson makes 3-pt jump shot from 25 ft (assist by J. Hart),Lead change
10:45.0,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by D. White),+2,5-5, , ,Tie
10:22.0, , ,5-5, ,J. Brunson misses 2-pt jump shot from 17 ft,
10:20.0,Defensive rebound by D. White, ,5-5, , ,
10:16.0,J. Holiday misses 3-pt jump shot from 25 ft, ,5-5, , ,
10:12.0, , ,5-5, ,Defensive rebound by P. Achiuwa,
9:54.0, , ,5-5, ,D. DiVincenzo misses 3-pt jump shot from 25 ft,
9:52.0,Defensive rebound by J. Tatum, ,5-5, , ,
9:49.0,Turnover by J. Tatum (bad pass), ,5-5, , ,
9:36.0, , ,5-8,+3,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by I. Hartenstein),
9:26.0,J. Brown makes 3-pt jump shot from 26 ft,+3,8-8, , ,Tie
9:03.0, , ,8-11,+3,J. Brunson makes 3-pt jump shot from 25 ft,
8:52.0,J. Holiday makes 2-pt layup from 2 ft (assist by J. Brown),+2,10-11, , ,
8:39.0, , ,10-11, ,Def 3 sec tech foul by Team,
8:39.0, , ,10-12,+1,J. Brunson makes technical free throw,
8:33.0, , ,10-14,+2,I. Hartenstein makes 2-pt jump shot from 3 ft (assist by J. Brunson),
8:15.0,K. Porziņģis misses 3-pt jump shot from 27 ft, ,10-14, , ,
8:11.0, , ,10-14, ,Defensive rebound by J. Hart,
8:06.0, , ,10-14, ,Turnover by J. Hart (lost ball; steal by D. White),
7:59.0,J. Brown misses 3-pt jump shot from 24 ft, ,10-14, , ,
7:56.0, , ,10-14, ,Defensive rebound by P. Achiuwa,
7:34.0, , ,10-14, ,Offensive foul by I. Hartenstein (drawn by K. Porziņģis),
7:34.0, , ,10-14, ,Turnover by I. Hartenstein (offensive foul),
7:13.0,Shooting foul by P. Achiuwa (drawn by J. Tatum), ,10-14, , ,
7:13.0,J. Tatum makes free throw 1 of 2,+1,11-14, , ,
7:13.0,J. Tatum misses free throw 2 of 2, ,11-14, , ,
7:08.0,Offensive rebound by J. Tatum, ,11-14, , ,
6:56.0,J. Tatum makes 2-pt layup from 1 ft,+2,13-14, , ,
6:45.0, , ,13-17,+3,J. Hart makes 3-pt jump shot from 26 ft (assist by J. Brunson),
