A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Portland,
12:00.0,Jump ball: A. Horford vs. D. Ayton (D. White gains possession),
11:39.0,P. Pritchard makes 2-pt jump shot from 14 ft,+2,2-0, , ,
11:21.0, , ,2-3,+3,A. Simons makes 3-pt jump shot from 27 ft (assist by K. Murray),Lead change
11:06.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Tatum),+3,5-3, , ,Lead change
10:54.0, , ,5-3, ,J. Grant misses 3-pt jump shot from 25 ft,
10:51.0,Defensive rebound by P. Pritchard, ,5-3, , ,
10:40.0,Turnover by J. Tatum (lost ball; steal by J. Grant), ,5-3, , ,
10:32.0, , ,5-5,+2,D. Ayton makes 2-pt jump shot from 16 ft,Tie
10:16.0,J. Brown misses 2-pt jump shot from 16 ft, ,5-5, , ,
10:14.0, , ,5-5, ,Defensive rebound by A. Simons,
10:08.0, , ,5-5, ,D. Ayton misses 2-pt hook shot from 6 ft (block by A. Horford),
10:02.0, , ,5-5, ,Offensive rebound by D. Ayton,
10:01.0, , ,5-7,+2,D. Ayton makes 2-pt dunk from 2 ft,Lead change
9:46.0,D. White makes 3-pt jump shot from 25 ft (assist by P. Pritchard),+3,8-7, , ,Lead change
9:31.0, , ,8-7, ,J. Grant misses 2-pt jump shot from 12 ft,
9:28.0,Defensive rebound by P. Pritchard, ,8-7, , ,
9:22.0,J. Tatum misses 3-pt jump shot from 23 ft, ,8-7, , ,
9:19.0, , ,8-7, ,Defensive rebound by K. Murray,
9:04.0, , ,8-7, ,J. Grant misses 2-pt jump shot from 7 ft,
9:02.0,Defensive rebound by A. Horford, ,8-7, , ,
8:48.0,J. Tatum misses 2-pt jump shot from 17 ft, ,8-7, , ,
8:46.0,Offensive rebound by Team, ,8-7, , ,
8:44.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum),+3,11-7, , ,
8:30.0, , ,11-7, ,D. Ayton misses 2-pt layup from 5 ft,
8:28.0,Defensive rebound by A. Horford, ,11-7, , ,
8:16.0,P. Pritchard misses 3-pt jump shot from 26 ft, ,11-7, , ,
8:12.0,Offensive rebound by D. White, ,11-7, , ,
8:11.0,J. Tatum misses 3-pt jump shot from 27 ft, ,11-7, , ,
8:09.0, , ,11-7, ,Defensive rebound by S. Henderson,
8:04.0, , ,11-7, ,Turnover by S. Henderson (lost ball; steal by D. White),
8:00.0,J. Brown makes 2-pt layup from 1 ft (assist by P. Pritchard),+2,13-7, , ,
8:00.0, , ,13-7, ,Portland full timeout,
7:44.0, , ,13-9,+2,S. Henderson makes 2-pt jump shot from 8 ft,
7:32.0,D. White misses 3-pt jump shot from 25 ft, ,13-9, , ,
7:29.0,Offensive rebound by P. Pritchard, ,13-9, , ,
7:17.0,P. Pritchard misses 2-pt layup from 7 ft (block by K. Murray), ,13-9, , ,
7:14.0, , ,13-9, ,Defensive rebound by A. Simons,
7:06.0, , ,13-9, ,D. Ayton misses 2-pt jump shot from 14 ft,
7:03.0,Defensive rebound by J. Tatum, ,13-9, , ,
6:58.0,Shooting foul by S. Henderson (drawn by J. Tatum), ,13-9, , ,
6:58.0,J. Tatum misses free throw 1 of 2, ,13-9, , ,
