A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Detroit,
12:00.0,Jump ball: K. Porziņģis vs. J. Wiseman (J. Ivey gains possession),
11:40.0, , ,0-0, ,C. Cunningham misses 2-pt jump shot from 10 ft,
11:36.0,Defensive rebound by J. Brown, ,0-0, , ,
11:26.0,K. Porziņģis misses 2-pt jump shot from 6 ft, ,0-0, , ,
11:23.0, , ,0-0, ,Defensive rebound by J. Wiseman,
11:13.0, , ,0-0, ,Turnover by T. Evbuomwan (bad pass; steal by J. Brown),
11:06.0,J. Brown misses 3-pt jump shot from 27 ft, ,0-0, , ,
11:03.0, , ,0-0, ,Defensive rebound by C. Cunningham,
11:00.0, , ,0-2,+2,J. Wiseman makes 2-pt dunk from 3 ft (assist by C. Cunningham),
10:32.0,D. White misses 3-pt jump shot from 23 ft, ,0-2, , ,
10:31.0,Offensive rebound by X. Tillman, ,0-2, , ,
10:29.0,Shooting foul by C. Cunningham (drawn by D. White), ,0-2, , ,
10:29.0,D. White makes free throw 1 of 2,+1,1-2, , ,
10:29.0,D. White misses free throw 2 of 2, ,1-2, , ,
10:25.0,Offensive rebound by K. Porziņģis, ,1-2, , ,
10:16.0,P. Pritchard makes 3-pt jump shot from 27 ft,+3,4-2, , ,Lead change
9:57.0, , ,4-2, ,Shooting foul by P. Pritchard (drawn by J. Wiseman),
9:57.0, , ,4-3,+1,J. Wiseman makes free throw 1 of 2,
9:57.0, , ,4-4,+1,J. Wiseman makes free throw 2 of 2,Tie
9:40.0,J. Brown makes 2-pt jump shot from 5 ft,+2,6-4, , ,
9:27.0, , ,6-6,+2,C. Cunningham makes 2-pt layup from 3 ft,Tie
9:18.0,P. Pritchard misses 2-pt layup from 4 ft, ,6-6, , ,
9:15.0, , ,6-6, ,Defensive rebound by T. Evbuomwan,
9:12.0, , ,6-6, ,C. Cunningham misses 3-pt jump shot from 30 ft,
9:11.0, , ,6-6, ,Offensive rebound by J. Wiseman,
9:09.0, , ,6-8,+2,J. Wiseman makes 2-pt layup from 1 ft,Lead change
8:48.0,Shooting foul by J. Ivey (drawn by K. Porziņģis), ,6-8, , ,
8:48.0,K. Porziņģis makes free throw 1 of 2,+1,7-8, , ,
8:48.0,K. Porziņģis makes free throw 2 of 2,+1,8-8, , ,Tie
8:26.0, , ,8-10,+2,J. Wiseman makes 2-pt dunk from 4 ft (assist by C. Cunningham),
8:10.0,D. White makes 2-pt layup from 3 ft,+2,10-10, , ,Tie
7:54.0, , ,10-10, ,Shooting foul by K. Porziņģis (drawn by T. Evbuomwan),
