A,B,C,D,E,F,Event
1st Q
Time,Boston,,Score,,Chicago,
12:00.0,Jump ball: L. Kornet vs. N. Vučević (S. Hauser gains possession),
11:45.0,A. Horford misses 3-pt jump shot from 23 ft, ,0-0, , ,
11:42.0,Offensive rebound by L. Kornet, ,0-0, , ,
11:37.0,L. Kornet makes 2-pt dunk from 1 ft (assist by D. White),+2,2-0, , ,
11:25.0, , ,2-0, ,D. DeRozan misses 2-pt jump shot from 9 ft,
11:23.0,Defensive rebound by A. Horford, ,2-0, , ,
11:09.0,J. Tatum misses 2-pt jump shot from 18 ft, ,2-0, , ,
11:07.0,Offensive rebound by Team, ,2-0, , ,
11:07.0, , ,2-0, ,Loose ball foul by N. Vučević (drawn by L. Kornet),
10:57.0,J. Tatum makes 2-pt jump shot from 17 ft,+2,4-0, , ,
10:39.0, , ,4-0, ,D. DeRozan misses 2-pt layup from 3 ft,
10:37.0,Defensive rebound by D. White, ,4-0, , ,
10:30.0,S. Hauser misses 3-pt jump shot from 23 ft, ,4-0, , ,
10:26.0, , ,4-0, ,Defensive rebound by D. DeRozan,
10:21.0, , ,4-0, ,A. Dosunmu misses 2-pt layup from 1 ft,
10:18.0,Defensive rebound by D. White, ,4-0, , ,
10:10.0,J. Tatum misses 2-pt jump shot from 15 ft, ,4-0, , ,
10:08.0, , ,4-0, ,Defensive rebound by C. White,
10:00.0, , ,4-0, ,Turnover by D. DeRozan (bad pass),
9:50.0,Personal foul by A. Caruso (drawn by J. Tatum), ,4-0, , ,
9:38.0,A. Horford misses 2-pt layup from 4 ft (block by D. DeRozan), ,4-0, , ,
9:38.0,Offensive rebound by Team, ,4-0, , ,
9:32.0,J. Tatum misses 2-pt jump shot from 20 ft, ,4-0, , ,
9:32.0, , ,4-0, ,Defensive rebound by D. DeRozan,
9:23.0, , ,4-2,+2,D. DeRozan makes 2-pt jump shot from 7 ft,
9:23.0, , ,4-2, ,Shooting foul by D. White (drawn by D. DeRozan),
9:23.0, , ,4-3,+1,D. DeRozan makes free throw 1 of 1,
9:09.0,D. White misses 3-pt jump shot from 26 ft, ,4-3, , ,
9:07.0, , ,4-3, ,Defensive rebound by A. Dosunmu,
9:05.0, , ,4-3, ,Personal foul by J. Tatum (drawn by C. White),
9:00.0, , ,4-6,+3,A. Caruso makes 3-pt jump shot from 25 ft (assist by D. DeRozan),Lead change
8:40.0,J. Tatum makes 2-pt layup from 1 ft,+2,6-6, , ,Tie
8:40.0,Shooting foul by A. Dosunmu (drawn by J. Tatum), ,6-6, , ,
8:40.0,J. Tatum misses free throw 1 of 1, ,6-6, , ,
8:35.0,Offensive rebound by J. Tatum, ,6-6, , ,
8:32.0,D. White misses 3-pt jump shot from 25 ft, ,6-6, , ,
8:29.0, , ,6-6, ,Defensive rebound by A. Caruso,
8:26.0, , ,6-8,+2,A. Dosunmu makes 2-pt layup from 3 ft (assist by A. Caruso),
8:06.0,Turnover by S. Hauser (bad pass; steal by A. Caruso), ,6-8, , ,
7:59.0, , ,6-8, ,C. White misses 3-pt jump shot from 25 ft,
7:57.0,Defensive rebound by S. Hauser, ,6-8, , ,
7:51.0,Turnover by L. Kornet (out of bounds lost ball), ,6-8, , ,
7:36.0, , ,6-10,+2,D. DeRozan makes 2-pt layup at rim (assist by N. Vučević),
7:23.0,Turnover by J. Tatum (bad pass; steal by A. Dosunmu), ,6-10, , ,
7:19.0, , ,6-13,+3,A. Caruso makes 3-pt jump shot from 23 ft (assist by A. Dosunmu),
7:16.0,Boston full timeout, ,6-13, , ,
7:00.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by A. Horford),+3,9-13, , ,
6:47.0, , ,9-13, ,A. Caruso misses 3-pt jump shot from 23 ft,
6:44.0,Defensive rebound by L. Kornet, ,9-13, , ,
6:37.0,A. Horford misses 3-pt jump shot from 23 ft, ,9-13, , ,
6:35.0, , ,9-13, ,Defensive rebound by A. Dosunmu,
6:25.0, , ,9-15,+2,D. DeRozan makes 2-pt layup from 1 ft (assist by C. White),
6:10.0,D. White makes 3-pt jump shot from 27 ft (assist by L. Kornet),+3,12-15, , ,
5:49.0, , ,12-15, ,A. Caruso misses 2-pt layup from 1 ft (block by L. Kornet),
5:47.0,Defensive rebound by A. Horford, ,12-15, , ,
5:43.0,D. White makes 2-pt jump shot from 3 ft,+2,14-15, , ,
5:30.0, , ,14-17,+2,N. Vučević makes 2-pt jump shot from 12 ft (assist by A. Dosunmu),
5:13.0,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum),+3,17-17, , ,Tie
4:59.0, , ,17-17, ,A. Dosunmu misses 3-pt jump shot from 24 ft,
4:56.0,Defensive rebound by S. Hauser, ,17-17, , ,
4:39.0,J. Tatum misses 2-pt jump shot from 13 ft, ,17-17, , ,
4:34.0, , ,17-17, ,Defensive rebound by N. Vučević,
4:13.0, , ,17-17, ,C. White misses 2-pt jump shot from 10 ft,
4:13.0,Defensive rebound by Team, ,17-17, , ,
4:13.0,O. Brissett enters the game for S. Hauser, ,17-17, , ,
4:13.0,S. Mykhailiuk enters the game for L. Kornet, ,17-17, , ,
4:13.0,P. Pritchard enters the game for D. White, ,17-17, , ,
4:13.0, , ,17-17, ,T. Craig enters the game for A. Caruso,
4:13.0, , ,17-17, ,D. Terry enters the game for C. White,
3:57.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by P. Pritchard),+3,20-17, , ,Lead change
3:44.0, , ,20-19,+2,N. Vučević makes 2-pt layup from 1 ft (assist by T. Craig),
3:29.0,S. Mykhailiuk misses 3-pt jump shot from 24 ft, ,20-19, , ,
3:26.0, , ,20-19, ,Defensive rebound by T. Craig,
3:18.0, , ,20-19, ,N. Vučević misses 3-pt jump shot from 26 ft,
3:14.0, , ,20-19, ,Offensive rebound by D. Terry,
3:12.0, , ,20-19, ,A. Dosunmu misses 3-pt jump shot from 26 ft,
3:11.0, , ,20-19, ,Offensive rebound by Team,
3:11.0,Loose ball foul by O. Brissett (drawn by D. Terry), ,20-19, , ,
3:11.0, , ,20-19, ,Chicago full timeout,
3:11.0,X. Tillman enters the game for A. Horford, ,20-19, , ,
3:11.0, , ,20-19, ,O. Bitim enters the game for D. DeRozan,
2:56.0, , ,20-19, ,O. Bitim misses 2-pt jump shot from 8 ft,
2:54.0,Defensive rebound by X. Tillman, ,20-19, , ,
2:47.0,Turnover by J. Tatum (traveling), ,20-19, , ,
2:37.0, , ,20-22,+3,T. Craig makes 3-pt jump shot from 23 ft (assist by O. Bitim),Lead change
2:24.0,Personal foul by T. Craig (drawn by J. Tatum), ,20-22, , ,
2:24.0, , ,20-22, ,A. Drummond enters the game for A. Dosunmu,
2:24.0, , ,20-22, ,C. White enters the game for N. Vučević,
2:19.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by X. Tillman),+3,23-22, , ,Lead change
2:04.0, , ,23-24,+2,D. Terry makes 2-pt layup from 3 ft (assist by C. White),Lead change
1:51.0,S. Mykhailiuk makes 3-pt jump shot from 23 ft (assist by P. Pritchard),+3,26-24, , ,Lead change
1:33.0, , ,26-26,+2,D. Terry makes 2-pt layup from 3 ft (assist by T. Craig),Tie
1:16.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft, ,26-26, , ,
1:14.0, , ,26-26, ,Defensive rebound by A. Drummond,
1:09.0, , ,26-26, ,C. White misses 2-pt layup from 2 ft,
1:07.0,Defensive rebound by X. Tillman, ,26-26, , ,
1:01.0,J. Tatum makes 2-pt layup from 1 ft (assist by P. Pritchard),+2,28-26, , ,
1:01.0,Shooting foul by O. Bitim (drawn by J. Tatum), ,28-26, , ,
1:01.0, , ,28-26, ,D. DeRozan enters the game for O. Bitim,
1:01.0,J. Tatum makes free throw 1 of 1,+1,29-26, , ,
0:44.0, , ,29-28,+2,A. Drummond makes 2-pt jump shot from 6 ft (assist by C. White),
0:30.0,X. Tillman misses 3-pt jump shot from 23 ft, ,29-28, , ,
0:27.0,Offensive rebound by O. Brissett, ,29-28, , ,
0:27.0,O. Brissett makes 2-pt layup at rim,+2,31-28, , ,
0:08.0, , ,31-31,+3,T. Craig makes 3-pt jump shot from 25 ft (assist by D. DeRozan),Tie
0:01.0,J. Tatum misses 3-pt jump shot from 27 ft, ,31-31, , ,
0:01.0, , ,31-31, ,Defensive rebound by A. Drummond,
0:00.0,End of 1st quarter,
2nd Q,
Time,Boston,,Score,,Chicago,
12:00.0,Start of 2nd quarter,
11:47.0, , ,31-33,+2,D. DeRozan makes 2-pt jump shot from 16 ft (assist by D. Terry),Lead change
11:25.0,S. Hauser makes 2-pt jump shot from 12 ft,+2,33-33, , ,Tie
10:58.0, , ,33-36,+3,D. Terry makes 3-pt jump shot from 23 ft (assist by C. White),
10:36.0,P. Pritchard misses 2-pt jump shot from 18 ft, ,33-36, , ,
10:34.0, , ,33-36, ,Defensive rebound by D. DeRozan,
10:30.0, , ,33-36, ,Turnover by C. White (bad pass; steal by D. White),
10:24.0,P. Pritchard misses 3-pt jump shot from 23 ft, ,33-36, , ,
10:20.0,Offensive rebound by L. Kornet, ,33-36, , ,
10:17.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by S. Hauser),+3,36-36, , ,Tie
10:03.0, , ,36-36, ,D. DeRozan misses 2-pt jump shot from 12 ft,
10:00.0,Defensive rebound by L. Kornet, ,36-36, , ,
9:53.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by X. Tillman),+3,39-36, , ,Lead change
9:51.0, , ,39-36, ,Chicago full timeout,
9:51.0, , ,39-36, ,A. Caruso enters the game for D. Terry,
9:36.0, , ,39-38,+2,T. Craig makes 2-pt jump shot from 7 ft (assist by D. DeRozan),
9:36.0, , ,39-38, ,A. Dosunmu enters the game for C. White,
9:08.0,P. Pritchard misses 2-pt jump shot from 16 ft, ,39-38, , ,
9:06.0, , ,39-38, ,Defensive rebound by A. Drummond,
8:55.0, , ,39-40,+2,D. DeRozan makes 2-pt jump shot from 12 ft,Lead change
8:40.0,D. White makes 2-pt jump shot from 14 ft,+2,41-40, , ,Lead change
8:15.0, , ,41-40, ,A. Dosunmu misses 2-pt jump shot from 19 ft,
8:14.0,Defensive rebound by L. Kornet, ,41-40, , ,
8:06.0,Turnover by D. White (lost ball; steal by T. Craig), ,41-40, , ,
8:02.0, , ,41-42,+2,A. Caruso makes 2-pt layup from 1 ft (assist by T. Craig),Lead change
7:48.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by D. White),+3,44-42, , ,Lead change
7:30.0, , ,44-42, ,A. Caruso misses 3-pt jump shot from 23 ft,
7:27.0,Defensive rebound by L. Kornet, ,44-42, , ,
7:24.0,P. Pritchard misses 3-pt jump shot from 28 ft, ,44-42, , ,
7:18.0,Offensive rebound by L. Kornet, ,44-42, , ,
7:13.0,Personal foul by A. Dosunmu (drawn by L. Kornet), ,44-42, , ,
7:13.0,A. Horford enters the game for X. Tillman, ,44-42, , ,
7:13.0, , ,44-42, ,D. Terry enters the game for T. Craig,
7:13.0, , ,44-42, ,N. Vučević enters the game for A. Drummond,
7:04.0,D. White misses 3-pt jump shot from 26 ft, ,44-42, , ,
6:57.0,Offensive rebound by S. Hauser, ,44-42, , ,
6:54.0,A. Horford makes 2-pt layup from 1 ft (assist by D. White),+2,46-42, , ,
6:54.0, , ,46-42, ,Chicago full timeout,
6:54.0,J. Tatum enters the game for L. Kornet, ,46-42, , ,
6:54.0, , ,46-42, ,O. Bitim enters the game for A. Caruso,
6:28.0, , ,46-44,+2,N. Vučević makes 2-pt jump shot from 10 ft (assist by D. DeRozan),
6:04.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by P. Pritchard),+3,49-44, , ,
5:50.0, , ,49-44, ,N. Vučević misses 3-pt jump shot from 25 ft,
5:48.0,Defensive rebound by J. Tatum, ,49-44, , ,
5:35.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Tatum),+3,52-44, , ,
5:15.0, , ,52-46,+2,O. Bitim makes 2-pt jump shot from 12 ft (assist by D. DeRozan),
4:59.0,A. Horford misses 3-pt jump shot from 26 ft, ,52-46, , ,
4:56.0, , ,52-46, ,Defensive rebound by D. DeRozan,
4:45.0, , ,52-46, ,O. Bitim misses 2-pt layup from 2 ft,
4:41.0,Defensive rebound by A. Horford, ,52-46, , ,
4:33.0,Turnover by S. Hauser (bad pass; steal by D. Terry), ,52-46, , ,
4:33.0, , ,52-46, ,C. White enters the game for D. DeRozan,
4:25.0,Jump ball: S. Hauser vs. D. Terry (J. Tatum gains possession),
4:25.0, , ,52-46, ,Turnover by A. Dosunmu (bad pass; steal by S. Hauser),
4:07.0,J. Tatum makes 2-pt layup from 1 ft,+2,54-46, , ,
3:51.0, , ,54-48,+2,C. White makes 2-pt layup from 1 ft,
3:32.0,A. Horford makes 3-pt jump shot from 23 ft (assist by D. White),+3,57-48, , ,
3:27.0, , ,57-48, ,Personal foul by P. Pritchard (drawn by C. White),
3:27.0, , ,57-48, ,D. DeRozan enters the game for D. Terry,
3:16.0, , ,57-50,+2,A. Dosunmu makes 2-pt layup from 1 ft (assist by N. Vučević),
3:16.0,Violation by Team (def goaltending), ,57-50, , ,
3:03.0,Shooting foul by O. Bitim (drawn by J. Tatum), ,57-50, , ,
3:03.0,J. Tatum makes free throw 1 of 2,+1,58-50, , ,
3:03.0,L. Kornet enters the game for S. Hauser, ,58-50, , ,
3:03.0, , ,58-50, ,T. Craig enters the game for O. Bitim,
3:03.0,J. Tatum makes free throw 2 of 2,+1,59-50, , ,
2:47.0, , ,59-52,+2,D. DeRozan makes 2-pt jump shot from 19 ft (assist by N. Vučević),
2:28.0,D. White makes 2-pt jump shot from 6 ft,+2,61-52, , ,
2:12.0, , ,61-55,+3,T. Craig makes 3-pt jump shot from 25 ft (assist by D. DeRozan),
1:54.0,J. Tatum makes 2-pt jump shot from 21 ft (assist by P. Pritchard),+2,63-55, , ,
1:38.0, , ,63-55, ,A. Dosunmu misses 3-pt jump shot from 23 ft,
1:34.0,Defensive rebound by L. Kornet, ,63-55, , ,
1:16.0,Personal foul by D. DeRozan (drawn by L. Kornet), ,63-55, , ,
1:10.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by L. Kornet),+3,66-55, , ,
0:50.0, , ,66-57,+2,N. Vučević makes 2-pt hook shot from 8 ft (assist by C. White),
0:32.0,P. Pritchard misses 3-pt jump shot from 23 ft, ,66-57, , ,
0:26.0, , ,66-57, ,Defensive rebound by C. White,
0:13.0, , ,66-60,+3,C. White makes 3-pt jump shot from 29 ft (assist by A. Dosunmu),
0:00.0,J. Tatum misses 2-pt jump shot from 19 ft, ,66-60, , ,
0:00.0,Offensive rebound by Team, ,66-60, , ,
0:00.0,End of 2nd quarter,
3rd Q,
Time,Boston,,Score,,Chicago,
12:00.0,Start of 3rd quarter,
11:50.0, , ,66-62,+2,N. Vučević makes 2-pt jump shot from 19 ft (assist by A. Dosunmu),
11:25.0,D. White misses 3-pt jump shot from 26 ft, ,66-62, , ,
11:23.0, , ,66-62, ,Defensive rebound by C. White,
11:21.0, , ,66-64,+2,A. Dosunmu makes 2-pt dunk from 1 ft (assist by C. White),
10:56.0,D. White misses 3-pt jump shot from 27 ft, ,66-64, , ,
10:49.0,Offensive rebound by L. Kornet, ,66-64, , ,
10:49.0,L. Kornet makes 2-pt layup at rim,+2,68-64, , ,
10:35.0, , ,68-64, ,Turnover by N. Vučević (bad pass; steal by S. Hauser),
10:28.0,Shooting foul by C. White (drawn by A. Horford), ,68-64, , ,
10:28.0,A. Horford makes free throw 1 of 2,+1,69-64, , ,
10:28.0,A. Horford makes free throw 2 of 2,+1,70-64, , ,
10:06.0, , ,70-66,+2,N. Vučević makes 2-pt jump shot from 9 ft (assist by C. White),
9:50.0,A. Horford misses 2-pt jump shot from 3 ft, ,70-66, , ,
9:49.0,Offensive rebound by A. Horford, ,70-66, , ,
9:48.0,A. Horford makes 2-pt layup at rim,+2,72-66, , ,
9:46.0, , ,72-66, ,Technical foul by N. Vučević,
9:46.0,J. Tatum makes technical free throw,+1,73-66, , ,
9:38.0, , ,73-68,+2,D. DeRozan makes 2-pt layup from 1 ft,
9:08.0,Turnover by A. Horford (bad pass; steal by N. Vučević), ,73-68, , ,
9:03.0, , ,73-70,+2,A. Dosunmu makes 2-pt layup from 2 ft (assist by D. DeRozan),
8:49.0,A. Horford misses 2-pt layup from 2 ft (block by N. Vučević), ,73-70, , ,
8:44.0,Offensive rebound by A. Horford, ,73-70, , ,
8:43.0,Turnover by A. Horford (bad pass; steal by A. Dosunmu), ,73-70, , ,
8:34.0, , ,73-70, ,A. Dosunmu misses 2-pt layup from 2 ft (block by L. Kornet),
8:31.0,Defensive rebound by S. Hauser, ,73-70, , ,
8:26.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by D. White),+3,76-70, , ,
8:04.0, , ,76-73,+3,A. Caruso makes 3-pt jump shot from 22 ft (assist by C. White),
7:55.0,Personal foul by A. Dosunmu (drawn by D. White), ,76-73, , ,
7:42.0,J. Tatum misses 2-pt layup from 4 ft (block by N. Vučević), ,76-73, , ,
7:39.0, , ,76-73, ,Defensive rebound by A. Caruso,
7:34.0, , ,76-73, ,Shooting foul by L. Kornet (drawn by C. White),
7:34.0, , ,76-74,+1,C. White makes free throw 1 of 2,
7:34.0, , ,76-75,+1,C. White makes free throw 2 of 2,
7:15.0,J. Tatum misses 3-pt jump shot from 25 ft, ,76-75, , ,
7:12.0, , ,76-75, ,Defensive rebound by A. Caruso,
7:05.0, , ,76-75, ,N. Vučević misses 3-pt jump shot from 27 ft,
7:03.0,Defensive rebound by A. Horford, ,76-75, , ,
7:03.0,Boston full timeout, ,76-75, , ,
7:03.0,O. Brissett enters the game for L. Kornet, ,76-75, , ,
6:48.0,J. Tatum misses 2-pt jump shot from 11 ft, ,76-75, , ,
6:46.0, , ,76-75, ,Defensive rebound by N. Vučević,
6:44.0, , ,76-77,+2,A. Dosunmu makes 2-pt layup from 2 ft (assist by A. Caruso),Lead change
6:22.0,J. Tatum misses 3-pt jump shot from 24 ft, ,76-77, , ,
6:22.0, , ,76-77, ,Defensive rebound by C. White,
6:02.0, , ,76-77, ,D. DeRozan misses 2-pt jump shot from 17 ft,
6:00.0,Defensive rebound by A. Horford, ,76-77, , ,
