A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Miami,
12:00.0,Jump ball: J. Duren vs. B. Adebayo (A. Thompson gains possession),
11:43.0,I. Stewart makes 2-pt hook shot from 5 ft (assist by J. Duren),+2,2-0, , ,
11:20.0, , ,2-0, ,T. Herro misses 2-pt jump shot from 17 ft,
11:18.0,Defensive rebound by J. Duren, ,2-0, , ,
11:08.0,J. Duren makes 2-pt dunk from 1 ft (assist by I. Stewart),+2,4-0, , ,
10:54.0, , ,4-0, ,T. Herro misses 2-pt layup from 4 ft (block by A. Thompson),
10:51.0,Defensive rebound by J. Duren, ,4-0, , ,
10:50.0,Turnover by J. Duren (bad pass), ,4-0, , ,
10:29.0, , ,4-0, ,J. Butler misses 2-pt layup from 1 ft (block by A. Thompson),
10:25.0, , ,4-0, ,Offensive rebound by J. Butler,
10:22.0, , ,4-0, ,J. Butler misses 2-pt layup from 5 ft (block by A. Thompson),
10:19.0, , ,4-0, ,Offensive rebound by J. Butler,
10:18.0, , ,4-2,+2,J. Butler makes 2-pt layup from 3 ft,
10:13.0,K. Hayes misses 2-pt jump shot from 13 ft, ,4-2, , ,
10:13.0, , ,4-2, ,Defensive rebound by K. Love,
9:57.0, , ,4-5,+3,K. Love makes 3-pt jump shot from 26 ft (assist by T. Herro),Lead change
9:47.0,Shooting foul by T. Herro (drawn by K. Hayes), ,4-5, , ,
9:47.0,K. Hayes makes free throw 1 of 2,+1,5-5, , ,Tie
9:47.0,K. Hayes makes free throw 2 of 2,+1,6-5, , ,Lead change
9:29.0, , ,6-5, ,B. Adebayo misses 2-pt hook shot from 7 ft,
9:26.0,Defensive rebound by A. Thompson, ,6-5, , ,
9:23.0, , ,6-5, ,Violation by Team (kicked ball),
9:16.0,I. Stewart makes 3-pt jump shot from 27 ft (assist by C. Cunningham),+3,9-5, , ,
8:56.0, , ,9-5, ,K. Love misses 2-pt jump shot from 18 ft,
8:54.0,Defensive rebound by I. Stewart, ,9-5, , ,
8:47.0,C. Cunningham misses 2-pt jump shot from 17 ft, ,9-5, , ,
8:43.0,Offensive rebound by J. Duren, ,9-5, , ,
8:40.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by J. Duren),+3,12-5, , ,
8:28.0, , ,12-8,+3,T. Herro makes 3-pt jump shot from 27 ft,
8:21.0,Turnover by C. Cunningham (bad pass; steal by T. Herro), ,12-8, , ,
8:15.0, , ,12-8, ,T. Herro misses 2-pt layup from 4 ft (block by J. Duren),
8:09.0, , ,12-8, ,Offensive rebound by B. Adebayo,
8:09.0, , ,12-10,+2,B. Adebayo makes 2-pt dunk at rim,
7:56.0,K. Hayes misses 3-pt jump shot from 26 ft, ,12-10, , ,
7:56.0, , ,12-10, ,Defensive rebound by B. Adebayo,
7:46.0, , ,12-10, ,T. Herro misses 2-pt jump shot from 16 ft,
7:43.0,Defensive rebound by A. Thompson, ,12-10, , ,
7:42.0,Turnover by A. Thompson (lost ball; steal by T. Herro), ,12-10, , ,
7:39.0, , ,12-12,+2,J. Butler makes 2-pt layup from 3 ft (assist by T. Herro),Tie
7:39.0, , ,12-12, ,Shooting foul by J. Duren (drawn by J. Butler),
7:39.0, , ,12-13,+1,J. Butler makes free throw 1 of 1,Lead change
7:27.0,Turnover by J. Duren (bad pass; steal by J. Butler), ,12-13, , ,
7:23.0, , ,12-13, ,Shooting foul by J. Duren (drawn by B. Adebayo),
7:23.0, , ,12-13, ,B. Adebayo misses free throw 1 of 2,
7:23.0, , ,12-13, ,Offensive rebound by Team,
7:23.0, , ,12-14,+1,B. Adebayo makes free throw 2 of 2,
7:09.0,Turnover by C. Cunningham (bad pass; steal by J. Butler), ,12-14, , ,
7:03.0, , ,12-14, ,B. Adebayo misses 2-pt layup from 6 ft,
7:00.0, , ,12-14, ,Offensive rebound by K. Love,
7:00.0, , ,12-14, ,K. Love misses 2-pt layup from 2 ft (block by J. Duren),
7:00.0, , ,12-14, ,Offensive rebound by K. Love,
7:00.0, , ,12-14, ,Shooting foul by I. Stewart (drawn by K. Love),
7:00.0, , ,12-15,+1,K. Love makes free throw 1 of 2,
7:00.0, , ,12-16,+1,K. Love makes free throw 2 of 2,
6:45.0,C. Cunningham makes 2-pt layup from 6 ft (assist by K. Hayes),+2,14-16, , ,
6:37.0, , ,14-16, ,Turnover by T. Herro (bad pass; steal by K. Hayes),
6:31.0,Turnover by J. Duren (bad pass; steal by K. Lowry), ,14-16, , ,
6:24.0, , ,14-18,+2,J. Butler makes 2-pt jump shot from 6 ft (assist by B. Adebayo),
6:23.0,Detroit full timeout, ,14-18, , ,
6:23.0,M. Bagley enters the game for J. Duren, ,14-18, , ,
6:23.0, , ,14-18, ,C. Martin enters the game for T. Herro,
6:09.0,C. Cunningham makes 2-pt jump shot from 15 ft,+2,16-18, , ,
5:53.0, , ,16-20,+2,J. Butler makes 2-pt jump shot from 13 ft (assist by K. Lowry),
5:30.0,C. Cunningham makes 2-pt jump shot from 13 ft,+2,18-20, , ,
5:19.0, , ,18-20, ,Personal foul by A. Thompson (drawn by B. Adebayo),
5:19.0,J. Ivey enters the game for K. Hayes, ,18-20, , ,
5:08.0, , ,18-20, ,C. Martin misses 3-pt jump shot from 25 ft,
5:03.0,Defensive rebound by M. Bagley, ,18-20, , ,
4:51.0,I. Stewart misses 2-pt hook shot from 7 ft, ,18-20, , ,
4:48.0, , ,18-20, ,Defensive rebound by J. Butler,
4:48.0, , ,18-20, ,Personal foul by C. Cunningham (drawn by B. Adebayo),
4:48.0, , ,18-21,+1,B. Adebayo makes free throw 1 of 2,
4:48.0, , ,18-22,+1,B. Adebayo makes free throw 2 of 2,
4:29.0,Turnover by I. Stewart (bad pass), ,18-22, , ,
4:18.0, , ,18-22, ,B. Adebayo misses 2-pt jump shot from 12 ft,
4:13.0,Defensive rebound by I. Stewart, ,18-22, , ,
4:04.0,J. Ivey misses 2-pt jump shot from 10 ft, ,18-22, , ,
3:58.0,Offensive rebound by A. Thompson, ,18-22, , ,
