A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Milwaukee,
12:00.0,Jump ball: J. Duren vs. B. Lopez (C. Cunningham gains possession),
11:38.0,C. Cunningham misses 2-pt jump shot from 7 ft (block by B. Lopez), ,0-0, , ,
11:33.0, , ,0-0, ,Defensive rebound by M. Beasley,
11:32.0, , ,0-2,+2,M. Beasley makes 2-pt layup from 5 ft,
11:22.0,K. Hayes misses 2-pt jump shot from 14 ft, ,0-2, , ,
11:18.0, , ,0-2, ,Defensive rebound by G. Antetokounmpo,
11:14.0, , ,0-2, ,G. Antetokounmpo misses 2-pt layup from 3 ft,
11:12.0,Defensive rebound by J. Duren, ,0-2, , ,
11:04.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),+2,2-2, , ,Tie
10:47.0, , ,2-2, ,M. Beasley misses 3-pt jump shot from 29 ft,
10:44.0,Defensive rebound by A. Thompson, ,2-2, , ,
10:35.0,J. Duren misses 2-pt jump shot from 10 ft (block by B. Lopez), ,2-2, , ,
10:30.0,Offensive rebound by J. Duren, ,2-2, , ,
10:29.0,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Duren),+2,4-2, , ,Lead change
10:14.0, , ,4-2, ,D. Lillard misses 3-pt jump shot from 28 ft,
10:11.0,Defensive rebound by C. Cunningham, ,4-2, , ,
10:08.0,C. Cunningham misses 2-pt layup from 2 ft (block by G. Antetokounmpo), ,4-2, , ,
10:08.0, , ,4-2, ,Defensive rebound by J. Crowder,
9:48.0, , ,4-5,+3,B. Lopez makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),Lead change
9:36.0,J. Duren misses 2-pt layup from 4 ft, ,4-5, , ,
9:32.0, , ,4-5, ,Defensive rebound by M. Beasley,
9:25.0, , ,4-5, ,B. Lopez misses 3-pt jump shot from 28 ft,
9:21.0,Defensive rebound by K. Hayes, ,4-5, , ,
9:15.0,K. Hayes misses 2-pt jump shot from 15 ft, ,4-5, , ,
9:12.0, , ,4-5, ,Defensive rebound by G. Antetokounmpo,
9:08.0, , ,4-5, ,Shooting foul by A. Thompson (drawn by D. Lillard),
9:08.0, , ,4-6,+1,D. Lillard makes free throw 1 of 2,
9:08.0, , ,4-7,+1,D. Lillard makes free throw 2 of 2,
8:55.0,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),+2,6-7, , ,
8:41.0, , ,6-7, ,G. Antetokounmpo misses 2-pt hook shot from 7 ft,
8:37.0,Defensive rebound by C. Cunningham, ,6-7, , ,
8:31.0,I. Stewart misses 3-pt jump shot from 24 ft, ,6-7, , ,
8:28.0, , ,6-7, ,Defensive rebound by B. Lopez,
8:21.0, , ,6-7, ,D. Lillard misses 3-pt jump shot from 28 ft,
8:19.0,Defensive rebound by A. Thompson, ,6-7, , ,
8:10.0,J. Duren makes 2-pt layup from 3 ft (assist by A. Thompson),+2,8-7, , ,Lead change
8:10.0,Shooting foul by G. Antetokounmpo (drawn by J. Duren), ,8-7, , ,
8:10.0,J. Duren makes free throw 1 of 1,+1,9-7, , ,
8:01.0, , ,9-7, ,Personal foul by K. Hayes (drawn by M. Beasley),
7:54.0, , ,9-9,+2,J. Crowder makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),Tie
7:37.0,C. Cunningham misses 2-pt jump shot from 15 ft, ,9-9, , ,
7:34.0,Offensive rebound by J. Duren, ,9-9, , ,
7:32.0,I. Stewart makes 2-pt jump shot from 8 ft (assist by K. Hayes),+2,11-9, , ,
7:16.0, , ,11-11,+2,G. Antetokounmpo makes 2-pt hook shot from 9 ft,Tie
6:56.0,C. Cunningham misses 3-pt jump shot from 27 ft, ,11-11, , ,
6:53.0, , ,11-11, ,Defensive rebound by G. Antetokounmpo,
6:50.0, , ,11-11, ,Shooting foul by I. Stewart (drawn by G. Antetokounmpo),
6:50.0, , ,11-11, ,Milwaukee full timeout,
6:50.0, , ,11-11, ,M. Beauchamp enters the game for M. Beasley,
6:50.0, , ,11-12,+1,G. Antetokounmpo makes free throw 1 of 2,Lead change
6:50.0, , ,11-12, ,G. Antetokounmpo misses free throw 2 of 2,
6:45.0,Defensive rebound by J. Duren, ,11-12, , ,
6:32.0,J. Duren makes 2-pt dunk from 2 ft (assist by K. Hayes),+2,13-12, , ,Lead change
6:02.0, , ,13-12, ,G. Antetokounmpo misses 3-pt jump shot from 27 ft,
5:58.0,Defensive rebound by K. Hayes, ,13-12, , ,
5:55.0,K. Hayes misses 2-pt layup from 2 ft (block by G. Antetokounmpo), ,13-12, , ,
5:55.0, , ,13-12, ,Defensive rebound by D. Lillard,
5:47.0, , ,13-12, ,G. Antetokounmpo misses 2-pt layup from 5 ft,
5:47.0, , ,13-12, ,Offensive rebound by Team,
5:47.0, , ,13-12, ,Turnover by G. Antetokounmpo (traveling),
5:47.0,M. Sasser enters the game for K. Hayes, ,13-12, , ,
5:47.0, , ,13-12, ,B. Portis enters the game for G. Antetokounmpo,
5:27.0,Personal foul by B. Lopez (drawn by A. Thompson), ,13-12, , ,
5:27.0,S. Umude enters the game for I. Stewart, ,13-12, , ,
5:22.0,J. Duren misses 3-pt jump shot from 26 ft, ,13-12, , ,
5:22.0, , ,13-12, ,Defensive rebound by Team,
5:06.0, , ,13-12, ,J. Crowder misses 3-pt jump shot from 28 ft,
5:03.0,Defensive rebound by A. Thompson, ,13-12, , ,
