A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Philadelphia,
12:00.0,Jump ball: I. Stewart vs. J. Embiid (T. Maxey gains possession),
11:45.0, , ,0-2,+2,J. Embiid makes 2-pt jump shot from 8 ft (assist by N. Batum),
11:24.0,B. Bogdanović misses 3-pt jump shot from 26 ft, ,0-2, , ,
11:22.0, , ,0-2, ,Defensive rebound by N. Batum,
11:17.0, , ,0-2, ,Personal foul by A. Thompson (drawn by T. Maxey),
11:06.0, , ,0-2, ,T. Maxey misses 3-pt jump shot from 29 ft,
11:05.0, , ,0-2, ,Offensive rebound by Team,
10:53.0, , ,0-5,+3,T. Maxey makes 3-pt jump shot from 27 ft (assist by J. Embiid),
10:36.0,K. Hayes misses 3-pt jump shot from 26 ft, ,0-5, , ,
10:34.0, , ,0-5, ,Defensive rebound by J. Embiid,
10:32.0, , ,0-5, ,Turnover by J. Embiid (dbl dribble),
10:22.0,B. Bogdanović makes 2-pt jump shot from 8 ft,+2,2-5, , ,
10:22.0,Shooting foul by J. Embiid (drawn by B. Bogdanović), ,2-5, , ,
10:22.0,B. Bogdanović makes free throw 1 of 1,+1,3-5, , ,
10:06.0, , ,3-5, ,Turnover by J. Embiid (lost ball; steal by C. Cunningham),
9:59.0,C. Cunningham misses 2-pt layup from 5 ft (block by T. Harris), ,3-5, , ,
9:57.0, , ,3-5, ,Defensive rebound by T. Harris,
9:52.0, , ,3-7,+2,T. Maxey makes 2-pt layup from 2 ft,
9:41.0,I. Stewart misses 3-pt jump shot from 26 ft, ,3-7, , ,
9:39.0, , ,3-7, ,Defensive rebound by T. Harris,
9:33.0, , ,3-7, ,D. Melton misses 3-pt jump shot from 27 ft,
9:30.0,Defensive rebound by K. Hayes, ,3-7, , ,
9:26.0,A. Thompson makes 2-pt layup at rim (assist by K. Hayes),+2,5-7, , ,
9:02.0, , ,5-7, ,Turnover by J. Embiid (out of bounds lost ball),
8:47.0,K. Hayes misses 2-pt jump shot from 20 ft, ,5-7, , ,
8:44.0, , ,5-7, ,Defensive rebound by T. Maxey,
8:38.0, , ,5-7, ,Shooting foul by K. Hayes (drawn by T. Harris),
8:38.0, , ,5-8,+1,T. Harris makes free throw 1 of 2,
8:38.0, , ,5-9,+1,T. Harris makes free throw 2 of 2,
8:22.0,Turnover by K. Hayes (lost ball; steal by N. Batum), ,5-9, , ,
8:19.0, , ,5-11,+2,T. Maxey makes 2-pt layup from 1 ft (assist by D. Melton),
8:19.0,Detroit full timeout, ,5-11, , ,
8:19.0,J. Ivey enters the game for K. Hayes, ,5-11, , ,
8:00.0,Turnover by C. Cunningham (bad pass), ,5-11, , ,
7:43.0, , ,5-13,+2,T. Harris makes 2-pt jump shot from 9 ft,
