A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Brooklyn,
12:00.0,Jump ball: I. Stewart vs. N. Claxton (J. Ivey gains possession),
11:43.0,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Ivey),+2,2-0, , ,
11:43.0,Shooting foul by N. Claxton (drawn by A. Thompson), ,2-0, , ,
11:43.0,A. Thompson makes free throw 1 of 1,+1,3-0, , ,
11:20.0, , ,3-0, ,C. Johnson misses 3-pt jump shot from 23 ft (block by J. Ivey),
11:14.0,Defensive rebound by I. Stewart, ,3-0, , ,
11:08.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),+3,6-0, , ,
10:49.0, , ,6-0, ,Shooting foul by J. Ivey (drawn by S. Dinwiddie),
10:49.0, , ,6-0, ,S. Dinwiddie misses free throw 1 of 2,
10:49.0, , ,6-0, ,Offensive rebound by Team,
10:49.0, , ,6-0, ,S. Dinwiddie misses free throw 2 of 2,
10:46.0,Defensive rebound by I. Stewart, ,6-0, , ,
10:37.0,Turnover by B. Bogdanović (bad pass; steal by C. Thomas), ,6-0, , ,
10:34.0, , ,6-2,+2,M. Bridges makes 2-pt layup at rim (assist by C. Thomas),
10:34.0, , ,6-2, ,Shooting foul by C. Cunningham (drawn by M. Bridges),
10:34.0, , ,6-3,+1,M. Bridges makes free throw 1 of 1,
10:19.0,A. Thompson misses 3-pt jump shot from 26 ft, ,6-3, , ,
10:16.0, , ,6-3, ,Defensive rebound by Team,
10:05.0, , ,6-3, ,M. Bridges misses 3-pt jump shot from 24 ft,
10:01.0,Defensive rebound by I. Stewart, ,6-3, , ,
9:50.0,Turnover by J. Ivey (bad pass; steal by S. Dinwiddie), ,6-3, , ,
9:42.0, , ,6-3, ,C. Thomas misses 2-pt jump shot from 13 ft,
9:36.0, , ,6-3, ,Offensive rebound by M. Bridges,
9:36.0, , ,6-5,+2,M. Bridges makes 2-pt layup at rim,
9:27.0,C. Cunningham misses 2-pt jump shot from 13 ft, ,6-5, , ,
9:23.0, , ,6-5, ,Defensive rebound by S. Dinwiddie,
9:09.0, , ,6-5, ,Turnover by C. Thomas (bad pass; steal by B. Bogdanović),
9:05.0,J. Ivey misses 3-pt jump shot from 25 ft, ,6-5, , ,
9:03.0, , ,6-5, ,Defensive rebound by Team,
8:46.0, , ,6-7,+2,N. Claxton makes 2-pt hook shot from 3 ft (assist by C. Thomas),Lead change
8:28.0,A. Thompson makes 3-pt jump shot from 23 ft (assist by C. Cunningham),+3,9-7, , ,Lead change
8:14.0, , ,9-7, ,Turnover by N. Claxton (bad pass),
8:08.0,C. Cunningham misses 3-pt jump shot from 25 ft, ,9-7, , ,
8:04.0, , ,9-7, ,Defensive rebound by N. Claxton,
7:56.0, , ,9-10,+3,M. Bridges makes 3-pt jump shot from 24 ft (assist by C. Thomas),Lead change
7:41.0,I. Stewart makes 2-pt dunk at rim (assist by B. Bogdanović),+2,11-10, , ,Lead change
7:24.0, , ,11-10, ,Personal foul by C. Cunningham (drawn by C. Thomas),
7:24.0,J. Harris enters the game for A. Thompson, ,11-10, , ,
7:24.0, , ,11-10, ,D. Finney-Smith enters the game for N. Claxton,
7:24.0, , ,11-10, ,D. Sharpe enters the game for C. Thomas,
7:15.0, , ,11-12,+2,M. Bridges makes 2-pt jump shot from 10 ft,Lead change
6:52.0,J. Ivey makes 2-pt layup from 4 ft,+2,13-12, , ,Lead change
6:38.0, , ,13-12, ,M. Bridges misses 2-pt jump shot from 14 ft,
6:33.0,Defensive rebound by I. Stewart, ,13-12, , ,
6:29.0,Personal foul by C. Johnson (drawn by J. Ivey), ,13-12, , ,
6:29.0, , ,13-12, ,Brooklyn full timeout,
6:23.0,C. Cunningham makes 2-pt jump shot from 19 ft,+2,15-12, , ,
5:59.0, , ,15-14,+2,D. Sharpe makes 2-pt layup from 3 ft (assist by S. Dinwiddie),
5:40.0,B. Bogdanović misses 3-pt jump shot from 26 ft, ,15-14, , ,
5:37.0, , ,15-14, ,Defensive rebound by S. Dinwiddie,
5:18.0, , ,15-16,+2,M. Bridges makes 2-pt layup from 2 ft (assist by D. Sharpe),Lead change
5:03.0,Turnover by J. Ivey (out of bounds lost ball), ,15-16, , ,
5:03.0,A. Burks enters the game for C. Cunningham, ,15-16, , ,
5:03.0,M. Sasser enters the game for J. Ivey, ,15-16, , ,
4:50.0, , ,15-18,+2,D. Finney-Smith makes 2-pt jump shot from 4 ft (assist by S. Dinwiddie),
4:37.0,A. Burks makes 2-pt jump shot from 15 ft (assist by I. Stewart),+2,17-18, , ,
4:25.0, , ,17-18, ,Shooting foul by I. Stewart (drawn by M. Bridges),
4:25.0, , ,17-19,+1,M. Bridges makes free throw 1 of 2,
4:25.0,M. Bagley enters the game for B. Bogdanović, ,17-19, , ,
4:25.0,K. Knox enters the game for I. Stewart, ,17-19, , ,
4:25.0, , ,17-19, ,R. O'Neale enters the game for C. Johnson,
4:25.0, , ,17-20,+1,M. Bridges makes free throw 2 of 2,
4:03.0,Turnover by A. Burks (lost ball; steal by D. Finney-Smith), ,17-20, , ,
3:50.0, , ,17-22,+2,D. Sharpe makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),
3:31.0,K. Knox makes 3-pt jump shot from 26 ft (assist by A. Burks),+3,20-22, , ,
