A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Boston,
12:00.0,Jump ball: J. Duren vs. K. Porziņģis (J. Ivey gains possession),
11:43.0,C. Cunningham makes 2-pt jump shot from 9 ft,+2,2-0, , ,
11:28.0, , ,2-2,+2,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),Tie
11:15.0,C. Cunningham misses 2-pt layup from 5 ft, ,2-2, , ,
11:12.0,Offensive rebound by J. Duren, ,2-2, , ,
11:10.0,C. Cunningham makes 2-pt layup from 3 ft (assist by J. Duren),+2,4-2, , ,
10:54.0, , ,4-2, ,K. Porziņģis misses 3-pt jump shot from 27 ft,
10:52.0,Defensive rebound by B. Bogdanović, ,4-2, , ,
10:39.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by C. Cunningham),+2,6-2, , ,
10:25.0, , ,6-4,+2,K. Porziņģis makes 2-pt jump shot from 6 ft (assist by J. Holiday),
10:12.0,C. Cunningham makes 2-pt jump shot from 17 ft,+2,8-4, , ,
9:58.0, , ,8-4, ,Shooting foul by K. Knox (drawn by J. Tatum),
9:58.0, , ,8-5,+1,J. Tatum makes free throw 1 of 2,
9:58.0, , ,8-6,+1,J. Tatum makes free throw 2 of 2,
9:51.0, , ,8-6, ,Violation by Team (kicked ball),
9:40.0,C. Cunningham makes 2-pt jump shot from 6 ft,+2,10-6, , ,
9:24.0, , ,10-6, ,J. Holiday misses 3-pt jump shot from 27 ft,
9:22.0,Defensive rebound by K. Knox, ,10-6, , ,
9:18.0,J. Ivey misses 2-pt jump shot from 7 ft, ,10-6, , ,
9:16.0, , ,10-6, ,Defensive rebound by J. Holiday,
9:09.0, , ,10-6, ,D. White misses 3-pt jump shot from 25 ft,
9:07.0,Defensive rebound by J. Ivey, ,10-6, , ,
9:01.0,J. Ivey makes 2-pt layup from 2 ft,+2,12-6, , ,
8:36.0, , ,12-6, ,Turnover by J. Tatum (bad pass; steal by C. Cunningham),
8:31.0,Shooting foul by K. Porziņģis (drawn by J. Duren), ,12-6, , ,
8:31.0,J. Duren misses free throw 1 of 2, ,12-6, , ,
8:31.0,Offensive rebound by Team, ,12-6, , ,
8:31.0,J. Duren makes free throw 2 of 2,+1,13-6, , ,
8:16.0, , ,13-9,+3,J. Tatum makes 3-pt jump shot from 29 ft,
8:07.0,Offensive foul by C. Cunningham (drawn by D. White), ,13-9, , ,
8:07.0,Turnover by C. Cunningham (offensive foul), ,13-9, , ,
7:53.0, , ,13-9, ,D. White misses 2-pt layup from 1 ft,
7:51.0,Defensive rebound by J. Ivey, ,13-9, , ,
7:46.0,C. Cunningham misses 3-pt jump shot from 26 ft, ,13-9, , ,
7:44.0,Offensive rebound by J. Ivey, ,13-9, , ,
7:40.0,Turnover by J. Ivey (bad pass), ,13-9, , ,
7:27.0, , ,13-9, ,K. Porziņģis misses 3-pt jump shot from 24 ft,
7:25.0, , ,13-9, ,Offensive rebound by D. White,
7:22.0, , ,13-11,+2,D. White makes 2-pt layup from 1 ft,
7:00.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),+3,16-11, , ,
6:40.0, , ,16-11, ,K. Porziņģis misses 2-pt jump shot from 17 ft,
6:38.0,Defensive rebound by B. Bogdanović, ,16-11, , ,
6:27.0,B. Bogdanović misses 2-pt layup from 4 ft, ,16-11, , ,
6:25.0, , ,16-11, ,Defensive rebound by J. Holiday,
6:18.0, , ,16-11, ,D. White misses 2-pt layup from 3 ft (block by J. Ivey),
6:16.0, , ,16-11, ,Offensive rebound by A. Horford,
6:09.0, , ,16-13,+2,J. Holiday makes 2-pt layup from 6 ft,
5:56.0,J. Ivey misses 2-pt jump shot from 13 ft, ,16-13, , ,
5:55.0, , ,16-13, ,Defensive rebound by K. Porziņģis,
5:49.0, , ,16-13, ,J. Tatum misses 3-pt jump shot from 27 ft,
5:47.0,Defensive rebound by B. Bogdanović, ,16-13, , ,
5:42.0, , ,16-13, ,Violation by Team (kicked ball),
5:42.0, , ,16-13, ,Boston full timeout,
5:42.0, , ,16-13, ,S. Hauser enters the game for J. Holiday,
5:42.0, , ,16-13, ,P. Pritchard enters the game for A. Horford,
5:42.0, , ,16-13, ,N. Queta enters the game for D. White,
5:36.0,K. Knox misses 3-pt jump shot from 27 ft, ,16-13, , ,
5:32.0, , ,16-13, ,Defensive rebound by S. Hauser,
5:22.0, , ,16-15,+2,K. Porziņģis makes 2-pt layup from 4 ft (assist by J. Tatum),
5:11.0,C. Cunningham makes 2-pt jump shot from 16 ft,+2,18-15, , ,
4:54.0, , ,18-15, ,J. Tatum misses 3-pt jump shot from 28 ft,
4:51.0,Defensive rebound by B. Bogdanović, ,18-15, , ,
4:47.0,B. Bogdanović misses 2-pt layup from 4 ft, ,18-15, , ,
4:46.0,Offensive rebound by J. Duren, ,18-15, , ,
4:46.0,J. Duren makes 2-pt dunk at rim,+2,20-15, , ,
4:31.0, , ,20-15, ,J. Tatum misses 2-pt layup from 5 ft,
4:29.0,Defensive rebound by B. Bogdanović, ,20-15, , ,
4:24.0,K. Knox misses 3-pt jump shot from 25 ft, ,20-15, , ,
4:22.0, , ,20-15, ,Defensive rebound by K. Porziņģis,
