A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Utah,
12:00.0,Jump ball: J. Duren vs. J. Collins (C. Cunningham gains possession),
11:43.0,I. Livers makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),+2,2-0, , ,
11:43.0,Shooting foul by S. Fontecchio (drawn by I. Livers), ,2-0, , ,
11:43.0,I. Livers makes free throw 1 of 1,+1,3-0, , ,
11:27.0, , ,3-0, ,Shooting foul by I. Livers (drawn by C. Sexton),
11:27.0, , ,3-1,+1,C. Sexton makes free throw 1 of 2,
11:27.0, , ,3-2,+1,C. Sexton makes free throw 2 of 2,
11:16.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by J. Duren),+3,6-2, , ,
10:53.0, , ,6-4,+2,J. Collins makes 2-pt layup from 2 ft,
10:44.0,I. Livers makes 3-pt jump shot from 23 ft (assist by C. Cunningham),+3,9-4, , ,
10:26.0, , ,9-4, ,K. Dunn misses 2-pt layup from 2 ft,
10:25.0,Defensive rebound by I. Livers, ,9-4, , ,
10:18.0,J. Ivey makes 2-pt layup from 4 ft (assist by C. Cunningham),+2,11-4, , ,
10:18.0, , ,11-4, ,Utah full timeout,
10:12.0, , ,11-4, ,Personal foul by I. Livers (drawn by L. Markkanen),
10:05.0, , ,11-6,+2,S. Fontecchio makes 2-pt layup from 2 ft (assist by J. Collins),
9:45.0,Turnover by J. Ivey (lost ball; steal by S. Fontecchio), ,11-6, , ,
9:45.0, , ,11-6, ,Personal foul by J. Ivey (drawn by S. Fontecchio),
9:45.0,K. Knox enters the game for I. Livers, ,11-6, , ,
9:39.0, , ,11-6, ,L. Markkanen misses 3-pt jump shot from 25 ft,
9:36.0,Defensive rebound by J. Duren, ,11-6, , ,
9:26.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Cunningham),+3,14-6, , ,
9:09.0, , ,14-6, ,C. Sexton misses 2-pt jump shot from 9 ft,
9:06.0, , ,14-6, ,Offensive rebound by J. Collins,
9:06.0, , ,14-8,+2,J. Collins makes 2-pt layup at rim,
8:58.0,B. Bogdanović misses 3-pt jump shot from 26 ft, ,14-8, , ,
8:55.0, , ,14-8, ,Defensive rebound by L. Markkanen,
8:50.0, , ,14-11,+3,S. Fontecchio makes 3-pt jump shot from 25 ft (assist by K. Dunn),
8:38.0,Personal foul by S. Fontecchio (drawn by B. Bogdanović), ,14-11, , ,
8:30.0,J. Ivey makes 2-pt layup from 4 ft (assist by J. Duren),+2,16-11, , ,
8:22.0, , ,16-11, ,Turnover by J. Collins (traveling),
8:22.0, , ,16-11, ,W. Kessler enters the game for J. Collins,
8:02.0,J. Duren makes 2-pt dunk from 3 ft (assist by K. Knox),+2,18-11, , ,
7:48.0, , ,18-11, ,S. Fontecchio misses 3-pt jump shot from 26 ft,
7:46.0,Defensive rebound by J. Duren, ,18-11, , ,
7:37.0,C. Cunningham misses 2-pt hook shot from 7 ft, ,18-11, , ,
7:34.0,Offensive rebound by J. Duren, ,18-11, , ,
7:29.0,C. Cunningham misses 2-pt layup from 8 ft (block by W. Kessler), ,18-11, , ,
7:29.0,Offensive rebound by Team, ,18-11, , ,
7:28.0,Turnover by B. Bogdanović (out of bounds lost ball), ,18-11, , ,
7:18.0, , ,18-13,+2,L. Markkanen makes 2-pt layup from 2 ft (assist by K. Dunn),
7:04.0,Def 3 sec tech foul by Team, ,18-13, , ,
7:04.0,C. Cunningham misses technical free throw, ,18-13, , ,
7:04.0,Offensive rebound by Team, ,18-13, , ,
6:59.0,C. Cunningham misses 2-pt jump shot from 16 ft, ,18-13, , ,
